# _root_ Instead , they bought on weakness and sold into the strength , which kept the market orderly .
#goldHeads=4,4,4,0,4,5,4,7,8,11,9,4,14,4,16,14,14,4,
#predictedHeads=4,4,4,0,4,5,4,7,8,11,9,11,14,11,16,14,14,4,
(0,1),-5.36697 # DEPENDENCYPART_ARC
(0,2),-6.71913 # DEPENDENCYPART_ARC
(0,3),-4.64126 # DEPENDENCYPART_ARC
(0,4),-3.31454 # DEPENDENCYPART_ARC
(0,5),-6.09543 # DEPENDENCYPART_ARC
(0,6),-6.51521 # DEPENDENCYPART_ARC
(0,7),-7.48168 # DEPENDENCYPART_ARC
(0,8),-4.33206 # DEPENDENCYPART_ARC
(0,9),-6.30625 # DEPENDENCYPART_ARC
(0,10),-7.85779 # DEPENDENCYPART_ARC
(0,11),-6.20126 # DEPENDENCYPART_ARC
(0,12),-7.46231 # DEPENDENCYPART_ARC
(0,13),-7.54381 # DEPENDENCYPART_ARC
(0,14),-4.73928 # DEPENDENCYPART_ARC
(0,15),-8.35597 # DEPENDENCYPART_ARC
(0,16),-6.6342 # DEPENDENCYPART_ARC
(0,17),-7.20308 # DEPENDENCYPART_ARC
(0,18),-5.4371 # DEPENDENCYPART_ARC
(1,2),1.41947 # DEPENDENCYPART_ARC
(1,3),0.730484 # DEPENDENCYPART_ARC
(1,4),1.3589 # DEPENDENCYPART_ARC
(1,5),0.0649614 # DEPENDENCYPART_ARC
(1,6),-0.309462 # DEPENDENCYPART_ARC
(1,7),0.25598 # DEPENDENCYPART_ARC
(1,8),0.205742 # DEPENDENCYPART_ARC
(1,9),-0.418027 # DEPENDENCYPART_ARC
(1,10),-0.541403 # DEPENDENCYPART_ARC
(1,11),-1.50867 # DEPENDENCYPART_ARC
(1,12),-0.0124022 # DEPENDENCYPART_ARC
(1,13),-1.21945 # DEPENDENCYPART_ARC
(1,14),-0.262539 # DEPENDENCYPART_ARC
(1,15),-1.2342 # DEPENDENCYPART_ARC
(1,16),-2.23802 # DEPENDENCYPART_ARC
(1,17),-1.54605 # DEPENDENCYPART_ARC
(1,18),4.01632 # DEPENDENCYPART_ARC
(2,1),-0.786655 # DEPENDENCYPART_ARC
(2,3),-0.76407 # DEPENDENCYPART_ARC
(2,4),-0.784145 # DEPENDENCYPART_ARC
(2,5),-1.38539 # DEPENDENCYPART_ARC
(2,6),-2.01652 # DEPENDENCYPART_ARC
(2,7),-1.90067 # DEPENDENCYPART_ARC
(2,8),-1.7211 # DEPENDENCYPART_ARC
(2,9),-1.85258 # DEPENDENCYPART_ARC
(2,10),-2.47428 # DEPENDENCYPART_ARC
(2,11),-2.89406 # DEPENDENCYPART_ARC
(2,12),-1.11738 # DEPENDENCYPART_ARC
(2,13),-3.22875 # DEPENDENCYPART_ARC
(2,14),-2.35841 # DEPENDENCYPART_ARC
(2,15),-3.01198 # DEPENDENCYPART_ARC
(2,16),-3.45444 # DEPENDENCYPART_ARC
(2,17),-3.29326 # DEPENDENCYPART_ARC
(2,18),-2.51257 # DEPENDENCYPART_ARC
(3,1),-0.89907 # DEPENDENCYPART_ARC
(3,2),1.06206 # DEPENDENCYPART_ARC
(3,4),1.35708 # DEPENDENCYPART_ARC
(3,5),0.210085 # DEPENDENCYPART_ARC
(3,6),0.0603247 # DEPENDENCYPART_ARC
(3,7),0.299021 # DEPENDENCYPART_ARC
(3,8),-0.274685 # DEPENDENCYPART_ARC
(3,9),-0.261972 # DEPENDENCYPART_ARC
(3,10),-0.43166 # DEPENDENCYPART_ARC
(3,11),-0.755401 # DEPENDENCYPART_ARC
(3,12),0.101925 # DEPENDENCYPART_ARC
(3,13),-1.70831 # DEPENDENCYPART_ARC
(3,14),-0.949361 # DEPENDENCYPART_ARC
(3,15),-1.09318 # DEPENDENCYPART_ARC
(3,16),-1.17691 # DEPENDENCYPART_ARC
(3,17),-1.97606 # DEPENDENCYPART_ARC
(3,18),-0.747866 # DEPENDENCYPART_ARC
(4,1),1.69399 # DEPENDENCYPART_ARC
(4,2),3.34203 # DEPENDENCYPART_ARC
(4,3),4.26638 # DEPENDENCYPART_ARC
(4,5),4.30566 # DEPENDENCYPART_ARC
(4,6),1.65836 # DEPENDENCYPART_ARC
(4,7),3.88145 # DEPENDENCYPART_ARC
(4,8),0.807002 # DEPENDENCYPART_ARC
(4,9),2.35168 # DEPENDENCYPART_ARC
(4,10),-0.784867 # DEPENDENCYPART_ARC
(4,11),0.207878 # DEPENDENCYPART_ARC
(4,12),1.18854 # DEPENDENCYPART_ARC
(4,13),-0.82114 # DEPENDENCYPART_ARC
(4,14),-0.303756 # DEPENDENCYPART_ARC
(4,15),-1.35545 # DEPENDENCYPART_ARC
(4,16),-1.51058 # DEPENDENCYPART_ARC
(4,17),-0.517923 # DEPENDENCYPART_ARC
(4,18),5.46834 # DEPENDENCYPART_ARC
(5,1),-0.497102 # DEPENDENCYPART_ARC
(5,2),-0.378198 # DEPENDENCYPART_ARC
(5,3),-0.00974219 # DEPENDENCYPART_ARC
(5,4),0.296738 # DEPENDENCYPART_ARC
(5,6),3.85185 # DEPENDENCYPART_ARC
(5,7),0.832884 # DEPENDENCYPART_ARC
(5,8),1.07002 # DEPENDENCYPART_ARC
(5,9),0.00838585 # DEPENDENCYPART_ARC
(5,10),-1.98277 # DEPENDENCYPART_ARC
(5,11),-1.24514 # DEPENDENCYPART_ARC
(5,12),0.373441 # DEPENDENCYPART_ARC
(5,13),-1.27943 # DEPENDENCYPART_ARC
(5,14),-1.75703 # DEPENDENCYPART_ARC
(5,15),-2.8485 # DEPENDENCYPART_ARC
(5,16),-4.64897 # DEPENDENCYPART_ARC
(5,17),-1.99889 # DEPENDENCYPART_ARC
(5,18),0.910587 # DEPENDENCYPART_ARC
(6,1),-1.90874 # DEPENDENCYPART_ARC
(6,2),-1.30071 # DEPENDENCYPART_ARC
(6,3),-0.419484 # DEPENDENCYPART_ARC
(6,4),-0.371226 # DEPENDENCYPART_ARC
(6,5),0.873229 # DEPENDENCYPART_ARC
(6,7),0.566306 # DEPENDENCYPART_ARC
(6,8),1.00866 # DEPENDENCYPART_ARC
(6,9),0.373196 # DEPENDENCYPART_ARC
(6,10),-0.691411 # DEPENDENCYPART_ARC
(6,11),-0.822911 # DEPENDENCYPART_ARC
(6,12),0.443839 # DEPENDENCYPART_ARC
(6,13),-1.18477 # DEPENDENCYPART_ARC
(6,14),0.583634 # DEPENDENCYPART_ARC
(6,15),-1.05278 # DEPENDENCYPART_ARC
(6,16),-1.95458 # DEPENDENCYPART_ARC
(6,17),-1.60931 # DEPENDENCYPART_ARC
(6,18),0.0889895 # DEPENDENCYPART_ARC
(7,1),-1.4708 # DEPENDENCYPART_ARC
(7,2),-1.15329 # DEPENDENCYPART_ARC
(7,3),-0.873103 # DEPENDENCYPART_ARC
(7,4),0.127242 # DEPENDENCYPART_ARC
(7,5),-0.15035 # DEPENDENCYPART_ARC
(7,6),0.223111 # DEPENDENCYPART_ARC
(7,8),3.76427 # DEPENDENCYPART_ARC
(7,9),1.51738 # DEPENDENCYPART_ARC
(7,10),-0.469699 # DEPENDENCYPART_ARC
(7,11),0.0182519 # DEPENDENCYPART_ARC
(7,12),0.937025 # DEPENDENCYPART_ARC
(7,13),-1.41658 # DEPENDENCYPART_ARC
(7,14),0.68037 # DEPENDENCYPART_ARC
(7,15),-1.38409 # DEPENDENCYPART_ARC
(7,16),-2.99708 # DEPENDENCYPART_ARC
(7,17),-0.852673 # DEPENDENCYPART_ARC
(7,18),0.0566561 # DEPENDENCYPART_ARC
(8,1),-0.864384 # DEPENDENCYPART_ARC
(8,2),0.0226275 # DEPENDENCYPART_ARC
(8,3),0.617762 # DEPENDENCYPART_ARC
(8,4),-0.679226 # DEPENDENCYPART_ARC
(8,5),-0.0966133 # DEPENDENCYPART_ARC
(8,6),-0.290629 # DEPENDENCYPART_ARC
(8,7),0.415004 # DEPENDENCYPART_ARC
(8,9),3.90124 # DEPENDENCYPART_ARC
(8,10),0.181622 # DEPENDENCYPART_ARC
(8,11),1.23755 # DEPENDENCYPART_ARC
(8,12),1.08765 # DEPENDENCYPART_ARC
(8,13),-0.53166 # DEPENDENCYPART_ARC
(8,14),0.653283 # DEPENDENCYPART_ARC
(8,15),-0.860128 # DEPENDENCYPART_ARC
(8,16),-0.865801 # DEPENDENCYPART_ARC
(8,17),-0.118107 # DEPENDENCYPART_ARC
(8,18),2.86488 # DEPENDENCYPART_ARC
(9,1),-1.02175 # DEPENDENCYPART_ARC
(9,2),-0.831625 # DEPENDENCYPART_ARC
(9,3),-1.13709 # DEPENDENCYPART_ARC
(9,4),-0.978684 # DEPENDENCYPART_ARC
(9,5),-0.054102 # DEPENDENCYPART_ARC
(9,6),0.0656617 # DEPENDENCYPART_ARC
(9,7),0.0148564 # DEPENDENCYPART_ARC
(9,8),0.463887 # DEPENDENCYPART_ARC
(9,10),0.257821 # DEPENDENCYPART_ARC
(9,11),3.6262 # DEPENDENCYPART_ARC
(9,12),0.54079 # DEPENDENCYPART_ARC
(9,13),-0.0659079 # DEPENDENCYPART_ARC
(9,14),-0.272691 # DEPENDENCYPART_ARC
(9,15),-1.85005 # DEPENDENCYPART_ARC
(9,16),-1.18629 # DEPENDENCYPART_ARC
(9,17),-0.867872 # DEPENDENCYPART_ARC
(9,18),0.0159608 # DEPENDENCYPART_ARC
(10,1),-2.94493 # DEPENDENCYPART_ARC
(10,2),-2.61589 # DEPENDENCYPART_ARC
(10,3),-2.28525 # DEPENDENCYPART_ARC
(10,4),-2.34583 # DEPENDENCYPART_ARC
(10,5),-1.69749 # DEPENDENCYPART_ARC
(10,6),-2.23511 # DEPENDENCYPART_ARC
(10,7),-2.10381 # DEPENDENCYPART_ARC
(10,8),-1.67296 # DEPENDENCYPART_ARC
(10,9),-0.108844 # DEPENDENCYPART_ARC
(10,11),-0.0487954 # DEPENDENCYPART_ARC
(10,12),-1.57945 # DEPENDENCYPART_ARC
(10,13),-2.47931 # DEPENDENCYPART_ARC
(10,14),-1.51531 # DEPENDENCYPART_ARC
(10,15),-2.86891 # DEPENDENCYPART_ARC
(10,16),-1.87252 # DEPENDENCYPART_ARC
(10,17),-2.42669 # DEPENDENCYPART_ARC
(10,18),-2.17772 # DEPENDENCYPART_ARC
(11,1),-3.36252 # DEPENDENCYPART_ARC
(11,2),-2.50749 # DEPENDENCYPART_ARC
(11,3),-1.47407 # DEPENDENCYPART_ARC
(11,4),-0.732113 # DEPENDENCYPART_ARC
(11,5),-0.605169 # DEPENDENCYPART_ARC
(11,6),-1.43278 # DEPENDENCYPART_ARC
(11,7),-0.364565 # DEPENDENCYPART_ARC
(11,8),-0.234449 # DEPENDENCYPART_ARC
