# _root_ Under the agreement , Intel will invest $ 3 million to acquire a 4 % stake in Alliant , a maker of minisupercomputers for scientists and engineers .
#goldHeads=6,3,1,6,6,0,6,7,8,8,7,11,16,15,16,12,16,17,18,21,18,21,22,23,24,25,26,6,
#predictedHeads=6,3,1,6,6,0,6,7,8,8,7,11,16,15,16,12,16,17,18,21,18,21,22,23,24,25,26,6,
(0,1),-6.90074 # DEPENDENCYPART_ARC
(0,2),-6.91008 # DEPENDENCYPART_ARC
(0,3),-5.84938 # DEPENDENCYPART_ARC
(0,4),-6.87444 # DEPENDENCYPART_ARC
(0,5),-6.28638 # DEPENDENCYPART_ARC
(0,6),-3.04581 # DEPENDENCYPART_ARC
(0,7),-5.18312 # DEPENDENCYPART_ARC
(0,8),-8.00363 # DEPENDENCYPART_ARC
(0,9),-8.24338 # DEPENDENCYPART_ARC
(0,10),-8.39527 # DEPENDENCYPART_ARC
(0,11),-7.34594 # DEPENDENCYPART_ARC
(0,12),-5.97162 # DEPENDENCYPART_ARC
(0,13),-7.77929 # DEPENDENCYPART_ARC
(0,14),-8.57301 # DEPENDENCYPART_ARC
(0,15),-6.2067 # DEPENDENCYPART_ARC
(0,16),-6.02174 # DEPENDENCYPART_ARC
(0,17),-8.97527 # DEPENDENCYPART_ARC
(0,18),-8.52488 # DEPENDENCYPART_ARC
(0,19),-8.40494 # DEPENDENCYPART_ARC
(0,20),-8.68796 # DEPENDENCYPART_ARC
(0,21),-6.71836 # DEPENDENCYPART_ARC
(0,22),-9.89025 # DEPENDENCYPART_ARC
(0,23),-6.82268 # DEPENDENCYPART_ARC
(0,24),-8.9172 # DEPENDENCYPART_ARC
(0,25),-6.77836 # DEPENDENCYPART_ARC
(0,26),-9.89427 # DEPENDENCYPART_ARC
(0,27),-6.7941 # DEPENDENCYPART_ARC
(0,28),-5.83388 # DEPENDENCYPART_ARC
(1,2),0.501226 # DEPENDENCYPART_ARC
(1,3),4.29914 # DEPENDENCYPART_ARC
(1,4),0.538829 # DEPENDENCYPART_ARC
(1,5),0.447727 # DEPENDENCYPART_ARC
(1,6),1.17062 # DEPENDENCYPART_ARC
(1,7),0.318375 # DEPENDENCYPART_ARC
(1,8),-1.53989 # DEPENDENCYPART_ARC
(1,9),-1.39278 # DEPENDENCYPART_ARC
(1,10),-1.17627 # DEPENDENCYPART_ARC
(1,11),-1.69933 # DEPENDENCYPART_ARC
(1,12),-0.352304 # DEPENDENCYPART_ARC
(1,13),-2.45334 # DEPENDENCYPART_ARC
(1,14),-2.36242 # DEPENDENCYPART_ARC
(1,15),-4.74991 # DEPENDENCYPART_ARC
(1,16),-1.67967 # DEPENDENCYPART_ARC
(1,17),-1.83491 # DEPENDENCYPART_ARC
(1,18),-3.61737 # DEPENDENCYPART_ARC
(1,19),-0.432997 # DEPENDENCYPART_ARC
(1,20),-3.77159 # DEPENDENCYPART_ARC
(1,21),-4.36134 # DEPENDENCYPART_ARC
(1,22),-3.80352 # DEPENDENCYPART_ARC
(1,23),-8.2194 # DEPENDENCYPART_ARC
(1,24),-2.01269 # DEPENDENCYPART_ARC
(1,25),-10.4025 # DEPENDENCYPART_ARC
(1,26),-1.95985 # DEPENDENCYPART_ARC
(1,27),-11.3602 # DEPENDENCYPART_ARC
(1,28),-0.0554665 # DEPENDENCYPART_ARC
(2,1),-0.673008 # DEPENDENCYPART_ARC
(2,3),-0.392985 # DEPENDENCYPART_ARC
(2,4),-2.08451 # DEPENDENCYPART_ARC
(2,5),-2.12529 # DEPENDENCYPART_ARC
(2,6),-2.29331 # DEPENDENCYPART_ARC
(2,7),-2.50819 # DEPENDENCYPART_ARC
(2,8),-3.64432 # DEPENDENCYPART_ARC
(2,9),-2.64516 # DEPENDENCYPART_ARC
(2,10),-2.62492 # DEPENDENCYPART_ARC
(2,11),-2.27463 # DEPENDENCYPART_ARC
(2,12),-3.16652 # DEPENDENCYPART_ARC
(2,13),-3.94303 # DEPENDENCYPART_ARC
(2,14),-3.18584 # DEPENDENCYPART_ARC
(2,15),-3.4679 # DEPENDENCYPART_ARC
(2,16),-3.49977 # DEPENDENCYPART_ARC
(2,17),-3.9965 # DEPENDENCYPART_ARC
(2,18),-4.1902 # DEPENDENCYPART_ARC
(2,19),-3.35628 # DEPENDENCYPART_ARC
(2,20),-4.68687 # DEPENDENCYPART_ARC
(2,21),-3.88659 # DEPENDENCYPART_ARC
(2,22),-4.51383 # DEPENDENCYPART_ARC
(2,23),-4.49072 # DEPENDENCYPART_ARC
(2,24),-4.55836 # DEPENDENCYPART_ARC
(2,25),-4.79476 # DEPENDENCYPART_ARC
(2,26),-4.943 # DEPENDENCYPART_ARC
(2,27),-4.96102 # DEPENDENCYPART_ARC
(2,28),-2.67857 # DEPENDENCYPART_ARC
(3,1),0.354833 # DEPENDENCYPART_ARC
(3,2),5.39037 # DEPENDENCYPART_ARC
(3,4),1.3511 # DEPENDENCYPART_ARC
(3,5),0.890007 # DEPENDENCYPART_ARC
(3,6),1.43817 # DEPENDENCYPART_ARC
(3,7),0.705617 # DEPENDENCYPART_ARC
(3,8),0.171084 # DEPENDENCYPART_ARC
(3,9),0.663878 # DEPENDENCYPART_ARC
(3,10),-0.0304135 # DEPENDENCYPART_ARC
(3,11),0.412029 # DEPENDENCYPART_ARC
(3,12),0.0891522 # DEPENDENCYPART_ARC
(3,13),0.00613172 # DEPENDENCYPART_ARC
(3,14),-0.16305 # DEPENDENCYPART_ARC
(3,15),-0.756637 # DEPENDENCYPART_ARC
(3,16),0.695696 # DEPENDENCYPART_ARC
(3,17),-0.348926 # DEPENDENCYPART_ARC
(3,18),-0.143214 # DEPENDENCYPART_ARC
(3,19),1.00649 # DEPENDENCYPART_ARC
(3,20),-0.391101 # DEPENDENCYPART_ARC
(3,21),-0.645491 # DEPENDENCYPART_ARC
(3,22),-3.58757 # DEPENDENCYPART_ARC
(3,23),-1.96951 # DEPENDENCYPART_ARC
(3,24),-1.50061 # DEPENDENCYPART_ARC
(3,25),-1.85737 # DEPENDENCYPART_ARC
(3,26),-0.912504 # DEPENDENCYPART_ARC
(3,27),-2.67528 # DEPENDENCYPART_ARC
(3,28),0.275461 # DEPENDENCYPART_ARC
(4,1),-1.41034 # DEPENDENCYPART_ARC
(4,2),-0.994315 # DEPENDENCYPART_ARC
(4,3),-1.18192 # DEPENDENCYPART_ARC
(4,5),0.0171351 # DEPENDENCYPART_ARC
(4,6),-0.5809 # DEPENDENCYPART_ARC
(4,7),-0.798963 # DEPENDENCYPART_ARC
(4,8),-1.61625 # DEPENDENCYPART_ARC
(4,9),-1.78556 # DEPENDENCYPART_ARC
(4,10),-2.16757 # DEPENDENCYPART_ARC
(4,11),-1.6704 # DEPENDENCYPART_ARC
(4,12),-1.69733 # DEPENDENCYPART_ARC
(4,13),-2.10746 # DEPENDENCYPART_ARC
(4,14),-2.59438 # DEPENDENCYPART_ARC
(4,15),-2.53656 # DEPENDENCYPART_ARC
(4,16),-2.74748 # DEPENDENCYPART_ARC
(4,17),-2.18062 # DEPENDENCYPART_ARC
(4,18),-2.70411 # DEPENDENCYPART_ARC
(4,19),-1.1348 # DEPENDENCYPART_ARC
(4,20),-2.82204 # DEPENDENCYPART_ARC
(4,21),-3.29304 # DEPENDENCYPART_ARC
(4,22),-2.4449 # DEPENDENCYPART_ARC
(4,23),-3.45463 # DEPENDENCYPART_ARC
(4,24),-2.56923 # DEPENDENCYPART_ARC
(4,25),-3.53771 # DEPENDENCYPART_ARC
(4,26),-3.2845 # DEPENDENCYPART_ARC
(4,27),-3.79456 # DEPENDENCYPART_ARC
(4,28),-2.80022 # DEPENDENCYPART_ARC
(5,1),-1.11172 # DEPENDENCYPART_ARC
(5,2),1.07614 # DEPENDENCYPART_ARC
(5,3),-0.958339 # DEPENDENCYPART_ARC
(5,4),0.572302 # DEPENDENCYPART_ARC
(5,6),0.476434 # DEPENDENCYPART_ARC
(5,7),-0.197536 # DEPENDENCYPART_ARC
(5,8),-0.643589 # DEPENDENCYPART_ARC
(5,9),0.0461953 # DEPENDENCYPART_ARC
(5,10),-0.475629 # DEPENDENCYPART_ARC
(5,11),-0.992 # DEPENDENCYPART_ARC
(5,12),-1.37947 # DEPENDENCYPART_ARC
(5,13),-1.20533 # DEPENDENCYPART_ARC
(5,14),-1.43033 # DEPENDENCYPART_ARC
(5,15),-1.52038 # DEPENDENCYPART_ARC
(5,16),-2.33196 # DEPENDENCYPART_ARC
(5,17),-0.872857 # DEPENDENCYPART_ARC
(5,18),-0.838112 # DEPENDENCYPART_ARC
(5,19),0.0404579 # DEPENDENCYPART_ARC
(5,20),-2.03848 # DEPENDENCYPART_ARC
(5,21),-2.92384 # DEPENDENCYPART_ARC
(5,22),-2.88703 # DEPENDENCYPART_ARC
(5,23),-2.0543 # DEPENDENCYPART_ARC
(5,24),-2.36913 # DEPENDENCYPART_ARC
(5,25),-2.35772 # DEPENDENCYPART_ARC
(5,26),-1.50988 # DEPENDENCYPART_ARC
(5,27),-2.88637 # DEPENDENCYPART_ARC
(5,28),0.747432 # DEPENDENCYPART_ARC
(6,1),2.18767 # DEPENDENCYPART_ARC
(6,2),0.0210865 # DEPENDENCYPART_ARC
(6,3),1.28416 # DEPENDENCYPART_ARC
(6,4),3.97541 # DEPENDENCYPART_ARC
(6,5),3.33535 # DEPENDENCYPART_ARC
(6,7),4.27452 # DEPENDENCYPART_ARC
(6,8),0.778387 # DEPENDENCYPART_ARC
(6,9),0.229911 # DEPENDENCYPART_ARC
(6,10),-0.0470909 # DEPENDENCYPART_ARC
(6,11),0.339047 # DEPENDENCYPART_ARC
(6,12),0.680995 # DEPENDENCYPART_ARC
(6,13),-0.321586 # DEPENDENCYPART_ARC
(6,14),-0.946303 # DEPENDENCYPART_ARC
(6,15),-0.246408 # DEPENDENCYPART_ARC
(6,16),-0.186691 # DEPENDENCYPART_ARC
(6,17),0.0222206 # DEPENDENCYPART_ARC
(6,18),-0.214379 # DEPENDENCYPART_ARC
(6,19),0.76216 # DEPENDENCYPART_ARC
(6,20),-0.889437 # DEPENDENCYPART_ARC
(6,21),-0.709051 # DEPENDENCYPART_ARC
(6,22),-0.812791 # DEPENDENCYPART_ARC
(6,23),-1.31084 # DEPENDENCYPART_ARC
(6,24),-0.427153 # DEPENDENCYPART_ARC
(6,25),-1.72515 # DEPENDENCYPART_ARC
(6,26),0.996586 # DEPENDENCYPART_ARC
(6,27),-1.95397 # DEPENDENCYPART_ARC
(6,28),5.55778 # DEPENDENCYPART_ARC
(7,1),0.00987824 # DEPENDENCYPART_ARC
(7,2),0.0651516 # DEPENDENCYPART_ARC
(7,3),-0.156605 # DEPENDENCYPART_ARC
(7,4),0.536279 # DEPENDENCYPART_ARC
(7,5),0.164486 # DEPENDENCYPART_ARC
(7,6),0.899251 # DEPENDENCYPART_ARC
(7,8),2.63292 # DEPENDENCYPART_ARC
(7,9),1.28646 # DEPENDENCYPART_ARC
(7,10),1.04412 # DEPENDENCYPART_ARC
(7,11),2.96953 # DEPENDENCYPART_ARC
(7,12),0.893996 # DEPENDENCYPART_ARC
(7,13),-0.388724 # DEPENDENCYPART_ARC
(7,14),-0.030409 # DEPENDENCYPART_ARC
(7,15),0.0446681 # DEPENDENCYPART_ARC
(7,16),1.21522 # DEPENDENCYPART_ARC
(7,17),2.78687 # DEPENDENCYPART_ARC
(7,18),-0.335666 # DEPENDENCYPART_ARC
(7,19),1.93184 # DEPENDENCYPART_ARC
(7,20),-1.08728 # DEPENDENCYPART_ARC
(7,21),-1.01109 # DEPENDENCYPART_ARC
(7,22),-1.2473 # DEPENDENCYPART_ARC
(7,23),-1.95892 # DEPENDENCYPART_ARC
(7,24),0.723706 # DEPENDENCYPART_ARC
(7,25),-3.35937 # DEPENDENCYPART_ARC
(7,26),-0.0658463 # DEPENDENCYPART_ARC
(7,27),-4.02487 # DEPENDENCYPART_ARC
(7,28),0.911513 # DEPENDENCYPART_ARC
(8,1),-0.811856 # DEPENDENCYPART_ARC
(8,2),0.551918 # DEPENDENCYPART_ARC
(8,3),-0.524903 # DEPENDENCYPART_ARC
(8,4),-0.389642 # DEPENDENCYPART_ARC
(8,5),-0.273031 # DEPENDENCYPART_ARC
(8,6),0.292267 # DEPENDENCYPART_ARC
(8,7),1.31016 # DEPENDENCYPART_ARC
(8,9),5.18862 # DEPENDENCYPART_ARC
(8,10),4.59714 # DEPENDENCYPART_ARC
(8,11),1.87578 # DEPENDENCYPART_ARC
(8,12),1.13673 # DEPENDENCYPART_ARC
(8,13),0.737958 # DEPENDENCYPART_ARC
(8,14),2.37745 # DEPENDENCYPART_ARC
(8,15),1.0261 # DEPENDENCYPART_ARC
(8,16),0.655138 # DEPENDENCYPART_ARC
(8,17),1.14828 # DEPENDENCYPART_ARC
(8,18),-0.577651 # DEPENDENCYPART_ARC
(8,19),0.180745 # DEPENDENCYPART_ARC
(8,20),-0.400706 # DEPENDENCYPART_ARC
(8,21),-0.162231 # DEPENDENCYPART_ARC
(8,22),-0.905087 # DEPENDENCYPART_ARC
(8,23),-1.35545 # DEPENDENCYPART_ARC
(8,24),-0.4223 # DEPENDENCYPART_ARC
(8,25),-1.34881 # DEPENDENCYPART_ARC
(8,26),0.511063 # DEPENDENCYPART_ARC
(8,27),-1.69123 # DEPENDENCYPART_ARC
(8,28),0.614101 # DEPENDENCYPART_ARC
(9,1),-2.85308 # DEPENDENCYPART_ARC
(9,2),-2.01984 # DEPENDENCYPART_ARC
(9,3),-3.05617 # DEPENDENCYPART_ARC
(9,4),-2.20808 # DEPENDENCYPART_ARC
(9,5),-1.91559 # DEPENDENCYPART_ARC
(9,6),-1.88758 # DEPENDENCYPART_ARC
(9,7),-0.797587 # DEPENDENCYPART_ARC
(9,8),-0.659081 # DEPENDENCYPART_ARC
(9,10),1.46755 # DEPENDENCYPART_ARC
(9,11),-0.113718 # DEPENDENCYPART_ARC
(9,12),-0.552546 # DEPENDENCYPART_ARC
(9,13),-1.19478 # DEPENDENCYPART_ARC
(9,14),-0.816851 # DEPENDENCYPART_ARC
(9,15),-0.718959 # DEPENDENCYPART_ARC
(9,16),-1.43806 # DEPENDENCYPART_ARC
(9,17),-0.875472 # DEPENDENCYPART_ARC
(9,18),-1.24083 # DEPENDENCYPART_ARC
(9,19),-0.789317 # DEPENDENCYPART_ARC
(9,20),-1.8158 # DEPENDENCYPART_ARC
(9,21),-2.06817 # DEPENDENCYPART_ARC
(9,22),-2.46902 # DEPENDENCYPART_ARC
(9,23),-1.91824 # DEPENDENCYPART_ARC
(9,24),-2.00997 # DEPENDENCYPART_ARC
(9,25),-1.8744 # DEPENDENCYPART_ARC
(9,26),-2.05447 # DEPENDENCYPART_ARC
(9,27),-2.12437 # DEPENDENCYPART_ARC
(9,28),-1.19466 # DEPENDENCYPART_ARC
(10,1),-1.16734 # DEPENDENCYPART_ARC
(10,2),-0.365446 # DEPENDENCYPART_ARC
(10,3),-1.55013 # DEPENDENCYPART_ARC
(10,4),-0.796459 # DEPENDENCYPART_ARC
(10,5),-0.366062 # DEPENDENCYPART_ARC
(10,6),-0.500634 # DEPENDENCYPART_ARC
(10,7),0.368735 # DEPENDENCYPART_ARC
(10,8),0.659275 # DEPENDENCYPART_ARC
(10,9),2.57562 # DEPENDENCYPART_ARC
(10,11),0.264123 # DEPENDENCYPART_ARC
(10,12),-0.0590279 # DEPENDENCYPART_ARC
(10,13),-0.969469 # DEPENDENCYPART_ARC
(10,14),-0.989048 # DEPENDENCYPART_ARC
(10,15),-0.0264225 # DEPENDENCYPART_ARC
(10,16),-1.02088 # DEPENDENCYPART_ARC
(10,17),-0.401999 # DEPENDENCYPART_ARC
(10,18),-1.1146 # DEPENDENCYPART_ARC
(10,19),-0.146538 # DEPENDENCYPART_ARC
(10,20),-1.65588 # DEPENDENCYPART_ARC
(10,21),-1.62555 # DEPENDENCYPART_ARC
(10,22),-2.40674 # DEPENDENCYPART_ARC
(10,23),-1.80334 # DEPENDENCYPART_ARC
(10,24),-1.90985 # DEPENDENCYPART_ARC
(10,25),-1.79655 # DEPENDENCYPART_ARC
(10,26),-1.70413 # DEPENDENCYPART_ARC
(10,27),-2.0233 # DEPENDENCYPART_ARC
(10,28),-1.2615 # DEPENDENCYPART_ARC
(11,1),-0.748417 # DEPENDENCYPART_ARC
(11,2),-0.365014 # DEPENDENCYPART_ARC
(11,3),-0.938756 # DEPENDENCYPART_ARC
(11,4),-0.678352 # DEPENDENCYPART_ARC
(11,5),-0.477888 # DEPENDENCYPART_ARC
(11,6),-0.72309 # DEPENDENCYPART_ARC
(11,7),-0.0380766 # DEPENDENCYPART_ARC
(11,8),0.397957 # DEPENDENCYPART_ARC
(11,9),0.485329 # DEPENDENCYPART_ARC
(11,10),0.688289 # DEPENDENCYPART_ARC
(11,12),3.81732 # DEPENDENCYPART_ARC
(11,13),0.286712 # DEPENDENCYPART_ARC
(11,14),0.0680297 # DEPENDENCYPART_ARC
(11,15),-0.667956 # DEPENDENCYPART_ARC
(11,16),-0.465578 # DEPENDENCYPART_ARC
(11,17),0.4228 # DEPENDENCYPART_ARC
(11,18),-1.89586 # DEPENDENCYPART_ARC
(11,19),0.515196 # DEPENDENCYPART_ARC
(11,20),-1.33802 # DEPENDENCYPART_ARC
(11,21),-3.91715 # DEPENDENCYPART_ARC
(11,22),-1.47552 # DEPENDENCYPART_ARC
(11,23),-4.45378 # DEPENDENCYPART_ARC
(11,24),-1.46146 # DEPENDENCYPART_ARC
(11,25),-5.81483 # DEPENDENCYPART_ARC
(11,26),0.575098 # DEPENDENCYPART_ARC
(11,27),-6.18204 # DEPENDENCYPART_ARC
(11,28),0.0995671 # DEPENDENCYPART_ARC
(12,1),-0.494073 # DEPENDENCYPART_ARC
(12,2),-0.683145 # DEPENDENCYPART_ARC
(12,3),-1.17924 # DEPENDENCYPART_ARC
(12,4),-0.8228 # DEPENDENCYPART_ARC
