# _root_ But then , as quickly as the Dow had fallen , it began to turn around .
#goldHeads=13,13,13,13,4,4,8,9,6,9,13,13,0,13,14,15,13,
#predictedHeads=13,13,9,13,4,4,8,9,6,9,13,13,0,13,14,15,13,
(0,1),-7.13184 # DEPENDENCYPART_ARC
(0,2),-5.9642 # DEPENDENCYPART_ARC
(0,3),-6.34263 # DEPENDENCYPART_ARC
(0,4),-6.30934 # DEPENDENCYPART_ARC
(0,5),-6.61427 # DEPENDENCYPART_ARC
(0,6),-4.80425 # DEPENDENCYPART_ARC
(0,7),-7.32252 # DEPENDENCYPART_ARC
(0,8),-5.32636 # DEPENDENCYPART_ARC
(0,9),-3.22139 # DEPENDENCYPART_ARC
(0,10),-5.20178 # DEPENDENCYPART_ARC
(0,11),-7.1155 # DEPENDENCYPART_ARC
(0,12),-4.7985 # DEPENDENCYPART_ARC
(0,13),-3.30272 # DEPENDENCYPART_ARC
(0,14),-6.67751 # DEPENDENCYPART_ARC
(0,15),-5.52582 # DEPENDENCYPART_ARC
(0,16),-7.21212 # DEPENDENCYPART_ARC
(0,17),-5.37334 # DEPENDENCYPART_ARC
(1,2),-0.893493 # DEPENDENCYPART_ARC
(1,3),-1.22478 # DEPENDENCYPART_ARC
(1,4),-2.09511 # DEPENDENCYPART_ARC
(1,5),-2.0445 # DEPENDENCYPART_ARC
(1,6),-1.85448 # DEPENDENCYPART_ARC
(1,7),-3.7719 # DEPENDENCYPART_ARC
(1,8),-4.07307 # DEPENDENCYPART_ARC
(1,9),-2.15154 # DEPENDENCYPART_ARC
(1,10),-2.17177 # DEPENDENCYPART_ARC
(1,11),-2.18822 # DEPENDENCYPART_ARC
(1,12),-3.84994 # DEPENDENCYPART_ARC
(1,13),-3.88434 # DEPENDENCYPART_ARC
(1,14),-3.11133 # DEPENDENCYPART_ARC
(1,15),-3.45827 # DEPENDENCYPART_ARC
(1,16),-3.80899 # DEPENDENCYPART_ARC
(1,17),-1.95723 # DEPENDENCYPART_ARC
(2,1),-0.0568436 # DEPENDENCYPART_ARC
(2,3),0.684932 # DEPENDENCYPART_ARC
(2,4),-0.626092 # DEPENDENCYPART_ARC
(2,5),-0.597496 # DEPENDENCYPART_ARC
(2,6),-0.741379 # DEPENDENCYPART_ARC
(2,7),-1.09117 # DEPENDENCYPART_ARC
(2,8),-1.29046 # DEPENDENCYPART_ARC
(2,9),0.0939018 # DEPENDENCYPART_ARC
(2,10),-0.891302 # DEPENDENCYPART_ARC
(2,11),0.317222 # DEPENDENCYPART_ARC
(2,12),-1.28782 # DEPENDENCYPART_ARC
(2,13),-0.21292 # DEPENDENCYPART_ARC
(2,14),-1.87124 # DEPENDENCYPART_ARC
(2,15),-1.32176 # DEPENDENCYPART_ARC
(2,16),-1.29899 # DEPENDENCYPART_ARC
(2,17),0.939697 # DEPENDENCYPART_ARC
(3,1),-1.64248 # DEPENDENCYPART_ARC
(3,2),-1.27908 # DEPENDENCYPART_ARC
(3,4),-0.574285 # DEPENDENCYPART_ARC
(3,5),-1.11683 # DEPENDENCYPART_ARC
(3,6),-0.853023 # DEPENDENCYPART_ARC
(3,7),-1.71998 # DEPENDENCYPART_ARC
(3,8),-1.46512 # DEPENDENCYPART_ARC
(3,9),-1.39713 # DEPENDENCYPART_ARC
(3,10),-1.80231 # DEPENDENCYPART_ARC
(3,11),0.173623 # DEPENDENCYPART_ARC
(3,12),-2.12377 # DEPENDENCYPART_ARC
(3,13),-1.81301 # DEPENDENCYPART_ARC
(3,14),-2.21336 # DEPENDENCYPART_ARC
(3,15),-2.10062 # DEPENDENCYPART_ARC
(3,16),-2.49418 # DEPENDENCYPART_ARC
(3,17),-1.83453 # DEPENDENCYPART_ARC
(4,1),-0.149815 # DEPENDENCYPART_ARC
(4,2),0.330352 # DEPENDENCYPART_ARC
(4,3),0.76736 # DEPENDENCYPART_ARC
(4,5),3.269 # DEPENDENCYPART_ARC
(4,6),3.31973 # DEPENDENCYPART_ARC
(4,7),1.06945 # DEPENDENCYPART_ARC
(4,8),1.07312 # DEPENDENCYPART_ARC
(4,9),1.61622 # DEPENDENCYPART_ARC
(4,10),1.51955 # DEPENDENCYPART_ARC
(4,11),1.29103 # DEPENDENCYPART_ARC
(4,12),0.0388868 # DEPENDENCYPART_ARC
(4,13),0.979539 # DEPENDENCYPART_ARC
(4,14),0.229735 # DEPENDENCYPART_ARC
(4,15),0.834667 # DEPENDENCYPART_ARC
(4,16),0.446277 # DEPENDENCYPART_ARC
(4,17),1.76702 # DEPENDENCYPART_ARC
(5,1),-0.2535 # DEPENDENCYPART_ARC
(5,2),0.150388 # DEPENDENCYPART_ARC
(5,3),-0.0274576 # DEPENDENCYPART_ARC
(5,4),0.956584 # DEPENDENCYPART_ARC
(5,6),1.25859 # DEPENDENCYPART_ARC
(5,7),0.503637 # DEPENDENCYPART_ARC
(5,8),0.0524341 # DEPENDENCYPART_ARC
(5,9),0.17875 # DEPENDENCYPART_ARC
(5,10),-0.120371 # DEPENDENCYPART_ARC
(5,11),0.581248 # DEPENDENCYPART_ARC
(5,12),-0.665144 # DEPENDENCYPART_ARC
(5,13),-0.566368 # DEPENDENCYPART_ARC
(5,14),-1.10385 # DEPENDENCYPART_ARC
(5,15),-0.791291 # DEPENDENCYPART_ARC
(5,16),-0.750781 # DEPENDENCYPART_ARC
(5,17),0.536614 # DEPENDENCYPART_ARC
(6,1),0.75979 # DEPENDENCYPART_ARC
(6,2),0.0938826 # DEPENDENCYPART_ARC
(6,3),0.294811 # DEPENDENCYPART_ARC
(6,4),1.1773 # DEPENDENCYPART_ARC
(6,5),1.25205 # DEPENDENCYPART_ARC
(6,7),0.51538 # DEPENDENCYPART_ARC
(6,8),1.78228 # DEPENDENCYPART_ARC
(6,9),2.82274 # DEPENDENCYPART_ARC
(6,10),1.4976 # DEPENDENCYPART_ARC
(6,11),0.736377 # DEPENDENCYPART_ARC
(6,12),-1.32291 # DEPENDENCYPART_ARC
(6,13),-0.115524 # DEPENDENCYPART_ARC
(6,14),-1.6242 # DEPENDENCYPART_ARC
(6,15),0.11534 # DEPENDENCYPART_ARC
(6,16),-0.455441 # DEPENDENCYPART_ARC
(6,17),1.93138 # DEPENDENCYPART_ARC
(7,1),-2.97202 # DEPENDENCYPART_ARC
(7,2),-2.11446 # DEPENDENCYPART_ARC
(7,3),-1.81616 # DEPENDENCYPART_ARC
(7,4),-1.65989 # DEPENDENCYPART_ARC
(7,5),-1.17815 # DEPENDENCYPART_ARC
(7,6),-0.844445 # DEPENDENCYPART_ARC
(7,8),-0.68602 # DEPENDENCYPART_ARC
(7,9),-0.185095 # DEPENDENCYPART_ARC
(7,10),-0.91493 # DEPENDENCYPART_ARC
(7,11),-0.959053 # DEPENDENCYPART_ARC
(7,12),-1.75118 # DEPENDENCYPART_ARC
(7,13),-1.67683 # DEPENDENCYPART_ARC
(7,14),-1.57967 # DEPENDENCYPART_ARC
(7,15),-1.95034 # DEPENDENCYPART_ARC
(7,16),-2.11004 # DEPENDENCYPART_ARC
(7,17),-1.20692 # DEPENDENCYPART_ARC
(8,1),-2.00274 # DEPENDENCYPART_ARC
(8,2),-1.76706 # DEPENDENCYPART_ARC
(8,3),-0.108558 # DEPENDENCYPART_ARC
(8,4),-0.238102 # DEPENDENCYPART_ARC
(8,5),0.125152 # DEPENDENCYPART_ARC
(8,6),0.352361 # DEPENDENCYPART_ARC
(8,7),4.12218 # DEPENDENCYPART_ARC
(8,9),0.532929 # DEPENDENCYPART_ARC
(8,10),0.0495438 # DEPENDENCYPART_ARC
(8,11),0.224024 # DEPENDENCYPART_ARC
(8,12),-0.562925 # DEPENDENCYPART_ARC
(8,13),-0.974374 # DEPENDENCYPART_ARC
(8,14),-0.815101 # DEPENDENCYPART_ARC
(8,15),-1.51396 # DEPENDENCYPART_ARC
(8,16),-1.49437 # DEPENDENCYPART_ARC
(8,17),-0.795234 # DEPENDENCYPART_ARC
(9,1),0.872913 # DEPENDENCYPART_ARC
(9,2),1.14224 # DEPENDENCYPART_ARC
(9,3),1.85631 # DEPENDENCYPART_ARC
(9,4),0.541872 # DEPENDENCYPART_ARC
(9,5),0.272478 # DEPENDENCYPART_ARC
(9,6),0.787858 # DEPENDENCYPART_ARC
(9,7),0.722161 # DEPENDENCYPART_ARC
(9,8),2.83204 # DEPENDENCYPART_ARC
(9,10),3.47404 # DEPENDENCYPART_ARC
(9,11),0.661486 # DEPENDENCYPART_ARC
(9,12),-0.214395 # DEPENDENCYPART_ARC
(9,13),0.559609 # DEPENDENCYPART_ARC
(9,14),-0.953164 # DEPENDENCYPART_ARC
(9,15),-0.935289 # DEPENDENCYPART_ARC
(9,16),-0.823225 # DEPENDENCYPART_ARC
(9,17),3.36647 # DEPENDENCYPART_ARC
(10,1),-0.924388 # DEPENDENCYPART_ARC
(10,2),-0.827828 # DEPENDENCYPART_ARC
(10,3),-0.198195 # DEPENDENCYPART_ARC
(10,4),-0.671511 # DEPENDENCYPART_ARC
(10,5),-0.091266 # DEPENDENCYPART_ARC
(10,6),-0.159096 # DEPENDENCYPART_ARC
(10,7),1.01165 # DEPENDENCYPART_ARC
(10,8),0.349318 # DEPENDENCYPART_ARC
(10,9),0.707964 # DEPENDENCYPART_ARC
(10,11),1.4554 # DEPENDENCYPART_ARC
(10,12),1.15759 # DEPENDENCYPART_ARC
(10,13),1.10963 # DEPENDENCYPART_ARC
(10,14),1.19756 # DEPENDENCYPART_ARC
(10,15),0.448258 # DEPENDENCYPART_ARC
(10,16),0.520274 # DEPENDENCYPART_ARC
(10,17),0.771161 # DEPENDENCYPART_ARC
(11,1),-2.11087 # DEPENDENCYPART_ARC
(11,2),-2.33123 # DEPENDENCYPART_ARC
(11,3),-0.297006 # DEPENDENCYPART_ARC
(11,4),-2.03513 # DEPENDENCYPART_ARC
(11,5),-1.90068 # DEPENDENCYPART_ARC
(11,6),-1.35777 # DEPENDENCYPART_ARC
(11,7),-0.731061 # DEPENDENCYPART_ARC
(11,8),-1.14377 # DEPENDENCYPART_ARC
(11,9),-1.06291 # DEPENDENCYPART_ARC
(11,10),-0.0960673 # DEPENDENCYPART_ARC
(11,12),-0.129548 # DEPENDENCYPART_ARC
(11,13),-0.130831 # DEPENDENCYPART_ARC
(11,14),-0.86671 # DEPENDENCYPART_ARC
(11,15),-0.809931 # DEPENDENCYPART_ARC
(11,16),-1.20273 # DEPENDENCYPART_ARC
(11,17),-0.848188 # DEPENDENCYPART_ARC
(12,1),-2.3745 # DEPENDENCYPART_ARC
(12,2),-2.58318 # DEPENDENCYPART_ARC
(12,3),-1.06762 # DEPENDENCYPART_ARC
(12,4),-2.35562 # DEPENDENCYPART_ARC
(12,5),-2.21092 # DEPENDENCYPART_ARC
(12,6),-1.21066 # DEPENDENCYPART_ARC
(12,7),-0.591828 # DEPENDENCYPART_ARC
(12,8),-1.32379 # DEPENDENCYPART_ARC
(12,9),-0.660611 # DEPENDENCYPART_ARC
(12,10),-0.649882 # DEPENDENCYPART_ARC
(12,11),1.51671 # DEPENDENCYPART_ARC
(12,13),1.41541 # DEPENDENCYPART_ARC
(12,14),1.0254 # DEPENDENCYPART_ARC
(12,15),-0.658087 # DEPENDENCYPART_ARC
(12,16),-0.708043 # DEPENDENCYPART_ARC
(12,17),-0.387011 # DEPENDENCYPART_ARC
