# _root_ J.P. Morgan & Co. swung to a loss in the third quarter , while NCNB Corp. reported net income more than doubled , and Security Pacific Corp. net rose 10 % .
#goldHeads=2,5,2,3,0,5,8,6,5,12,12,9,5,5,17,15,14,19,22,22,20,17,17,17,28,28,28,29,24,31,29,5,
#predictedHeads=2,5,2,3,0,5,8,6,5,12,12,9,5,5,17,15,14,19,22,22,20,14,22,17,26,28,28,29,24,31,29,17,
(0,1),-6.05536 # DEPENDENCYPART_ARC
(0,2),-6.36574 # DEPENDENCYPART_ARC
(0,3),-7.30566 # DEPENDENCYPART_ARC
(0,4),-6.3988 # DEPENDENCYPART_ARC
(0,5),-3.43103 # DEPENDENCYPART_ARC
(0,6),-6.73122 # DEPENDENCYPART_ARC
(0,7),-7.51046 # DEPENDENCYPART_ARC
(0,8),-8.09223 # DEPENDENCYPART_ARC
(0,9),-8.47329 # DEPENDENCYPART_ARC
(0,10),-8.17137 # DEPENDENCYPART_ARC
(0,11),-6.89267 # DEPENDENCYPART_ARC
(0,12),-7.71068 # DEPENDENCYPART_ARC
(0,13),-7.99053 # DEPENDENCYPART_ARC
(0,14),-8.3611 # DEPENDENCYPART_ARC
(0,15),-7.89405 # DEPENDENCYPART_ARC
(0,16),-6.43871 # DEPENDENCYPART_ARC
(0,17),-2.07274 # DEPENDENCYPART_ARC
(0,18),-6.94339 # DEPENDENCYPART_ARC
(0,19),-8.88273 # DEPENDENCYPART_ARC
(0,20),-8.07539 # DEPENDENCYPART_ARC
(0,21),-9.83801 # DEPENDENCYPART_ARC
(0,22),-4.16656 # DEPENDENCYPART_ARC
(0,23),-9.51231 # DEPENDENCYPART_ARC
(0,24),-9.8936 # DEPENDENCYPART_ARC
(0,25),-9.07923 # DEPENDENCYPART_ARC
(0,26),-8.5507 # DEPENDENCYPART_ARC
(0,27),-8.4249 # DEPENDENCYPART_ARC
(0,28),-9.96815 # DEPENDENCYPART_ARC
(0,29),-6.10239 # DEPENDENCYPART_ARC
(0,30),-10.4622 # DEPENDENCYPART_ARC
(0,31),-11.4734 # DEPENDENCYPART_ARC
(0,32),-7.31147 # DEPENDENCYPART_ARC
(1,2),1.67881 # DEPENDENCYPART_ARC
(1,3),2.7498 # DEPENDENCYPART_ARC
(1,4),1.47096 # DEPENDENCYPART_ARC
(1,5),-0.370858 # DEPENDENCYPART_ARC
(1,6),-0.558369 # DEPENDENCYPART_ARC
(1,7),-0.552266 # DEPENDENCYPART_ARC
(1,8),-1.12217 # DEPENDENCYPART_ARC
(1,9),-1.54413 # DEPENDENCYPART_ARC
(1,10),-0.483076 # DEPENDENCYPART_ARC
(1,11),-1.12264 # DEPENDENCYPART_ARC
(1,12),-1.62761 # DEPENDENCYPART_ARC
(1,13),-0.428156 # DEPENDENCYPART_ARC
(1,14),-1.87428 # DEPENDENCYPART_ARC
(1,15),-2.92979 # DEPENDENCYPART_ARC
(1,16),-1.50662 # DEPENDENCYPART_ARC
(1,17),-2.12013 # DEPENDENCYPART_ARC
(1,18),-2.19999 # DEPENDENCYPART_ARC
(1,19),-4.85055 # DEPENDENCYPART_ARC
(1,20),-2.71678 # DEPENDENCYPART_ARC
(1,21),-2.9113 # DEPENDENCYPART_ARC
(1,22),-2.44751 # DEPENDENCYPART_ARC
(1,23),-2.13393 # DEPENDENCYPART_ARC
(1,24),-0.553055 # DEPENDENCYPART_ARC
(1,25),-5.61652 # DEPENDENCYPART_ARC
(1,26),-4.44582 # DEPENDENCYPART_ARC
(1,27),-6.2086 # DEPENDENCYPART_ARC
(1,28),-7.57216 # DEPENDENCYPART_ARC
(1,29),-4.04466 # DEPENDENCYPART_ARC
(1,30),-5.35796 # DEPENDENCYPART_ARC
(1,31),-8.59415 # DEPENDENCYPART_ARC
(1,32),-0.8229 # DEPENDENCYPART_ARC
(2,1),4.63105 # DEPENDENCYPART_ARC
(2,3),4.93649 # DEPENDENCYPART_ARC
(2,4),2.95665 # DEPENDENCYPART_ARC
(2,5),1.79242 # DEPENDENCYPART_ARC
(2,6),1.31334 # DEPENDENCYPART_ARC
(2,7),0.955427 # DEPENDENCYPART_ARC
(2,8),0.884086 # DEPENDENCYPART_ARC
(2,9),0.959725 # DEPENDENCYPART_ARC
(2,10),1.20465 # DEPENDENCYPART_ARC
(2,11),0.641756 # DEPENDENCYPART_ARC
(2,12),0.636012 # DEPENDENCYPART_ARC
(2,13),1.6434 # DEPENDENCYPART_ARC
(2,14),0.234321 # DEPENDENCYPART_ARC
(2,15),-1.4432 # DEPENDENCYPART_ARC
(2,16),-0.108859 # DEPENDENCYPART_ARC
(2,17),0.0362556 # DEPENDENCYPART_ARC
(2,18),-0.349193 # DEPENDENCYPART_ARC
(2,19),-2.71345 # DEPENDENCYPART_ARC
(2,20),-0.923284 # DEPENDENCYPART_ARC
(2,21),-0.879771 # DEPENDENCYPART_ARC
(2,22),-0.368131 # DEPENDENCYPART_ARC
(2,23),0.133636 # DEPENDENCYPART_ARC
(2,24),0.722669 # DEPENDENCYPART_ARC
(2,25),-4.50994 # DEPENDENCYPART_ARC
(2,26),-2.9657 # DEPENDENCYPART_ARC
(2,27),-4.09133 # DEPENDENCYPART_ARC
(2,28),-5.22619 # DEPENDENCYPART_ARC
(2,29),-2.06897 # DEPENDENCYPART_ARC
(2,30),-3.63045 # DEPENDENCYPART_ARC
(2,31),-6.39849 # DEPENDENCYPART_ARC
(2,32),0.539372 # DEPENDENCYPART_ARC
(3,1),0.865449 # DEPENDENCYPART_ARC
(3,2),1.42833 # DEPENDENCYPART_ARC
(3,4),5.46035 # DEPENDENCYPART_ARC
(3,5),1.67308 # DEPENDENCYPART_ARC
(3,6),0.606968 # DEPENDENCYPART_ARC
(3,7),0.182625 # DEPENDENCYPART_ARC
(3,8),0.575818 # DEPENDENCYPART_ARC
(3,9),0.013785 # DEPENDENCYPART_ARC
(3,10),-0.791996 # DEPENDENCYPART_ARC
(3,11),-0.25001 # DEPENDENCYPART_ARC
(3,12),-0.155371 # DEPENDENCYPART_ARC
(3,13),0.289183 # DEPENDENCYPART_ARC
(3,14),-0.434187 # DEPENDENCYPART_ARC
(3,15),-2.32324 # DEPENDENCYPART_ARC
(3,16),-0.928275 # DEPENDENCYPART_ARC
(3,17),-2.23914 # DEPENDENCYPART_ARC
(3,18),-1.65258 # DEPENDENCYPART_ARC
(3,19),-3.21497 # DEPENDENCYPART_ARC
(3,20),-1.6201 # DEPENDENCYPART_ARC
(3,21),-1.21656 # DEPENDENCYPART_ARC
(3,22),-2.37913 # DEPENDENCYPART_ARC
(3,23),-0.156702 # DEPENDENCYPART_ARC
(3,24),0.565021 # DEPENDENCYPART_ARC
(3,25),-5.75079 # DEPENDENCYPART_ARC
(3,26),-6.10305 # DEPENDENCYPART_ARC
(3,27),-6.77826 # DEPENDENCYPART_ARC
(3,28),-4.49964 # DEPENDENCYPART_ARC
(3,29),-3.08568 # DEPENDENCYPART_ARC
(3,30),-2.87808 # DEPENDENCYPART_ARC
(3,31),-7.14734 # DEPENDENCYPART_ARC
(3,32),-0.483021 # DEPENDENCYPART_ARC
(4,1),-1.44777 # DEPENDENCYPART_ARC
(4,2),-2.39004 # DEPENDENCYPART_ARC
(4,3),-0.995454 # DEPENDENCYPART_ARC
(4,5),-1.11335 # DEPENDENCYPART_ARC
(4,6),-1.38801 # DEPENDENCYPART_ARC
(4,7),-1.89209 # DEPENDENCYPART_ARC
(4,8),-2.88185 # DEPENDENCYPART_ARC
(4,9),-2.9364 # DEPENDENCYPART_ARC
(4,10),-1.84923 # DEPENDENCYPART_ARC
(4,11),-2.08158 # DEPENDENCYPART_ARC
(4,12),-3.33019 # DEPENDENCYPART_ARC
(4,13),-2.36457 # DEPENDENCYPART_ARC
(4,14),-3.62983 # DEPENDENCYPART_ARC
(4,15),-3.57247 # DEPENDENCYPART_ARC
(4,16),-1.8837 # DEPENDENCYPART_ARC
(4,17),-3.53173 # DEPENDENCYPART_ARC
(4,18),-3.13054 # DEPENDENCYPART_ARC
(4,19),-6.73409 # DEPENDENCYPART_ARC
(4,20),-3.75615 # DEPENDENCYPART_ARC
(4,21),-4.5528 # DEPENDENCYPART_ARC
(4,22),-3.81835 # DEPENDENCYPART_ARC
(4,23),-3.81673 # DEPENDENCYPART_ARC
(4,24),-0.207855 # DEPENDENCYPART_ARC
(4,25),-6.11994 # DEPENDENCYPART_ARC
(4,26),-4.91543 # DEPENDENCYPART_ARC
(4,27),-5.81588 # DEPENDENCYPART_ARC
(4,28),-9.59792 # DEPENDENCYPART_ARC
(4,29),-5.42934 # DEPENDENCYPART_ARC
(4,30),-6.51417 # DEPENDENCYPART_ARC
(4,31),-11.0973 # DEPENDENCYPART_ARC
(4,32),-2.56761 # DEPENDENCYPART_ARC
(5,1),1.99352 # DEPENDENCYPART_ARC
(5,2),2.52045 # DEPENDENCYPART_ARC
(5,3),1.57532 # DEPENDENCYPART_ARC
(5,4),2.49206 # DEPENDENCYPART_ARC
(5,6),4.36015 # DEPENDENCYPART_ARC
(5,7),1.06043 # DEPENDENCYPART_ARC
(5,8),2.16395 # DEPENDENCYPART_ARC
(5,9),2.72372 # DEPENDENCYPART_ARC
(5,10),-0.0754823 # DEPENDENCYPART_ARC
(5,11),-0.177213 # DEPENDENCYPART_ARC
(5,12),1.28205 # DEPENDENCYPART_ARC
(5,13),2.54334 # DEPENDENCYPART_ARC
(5,14),3.62949 # DEPENDENCYPART_ARC
(5,15),-1.20578 # DEPENDENCYPART_ARC
