# _root_ Bear Stearns is the holding company for Bear , Stearns & Co. , the investment banking and brokerage firm .
#goldHeads=2,3,0,6,6,3,6,7,8,8,10,11,8,16,16,8,16,19,17,3,
#predictedHeads=2,3,0,6,6,3,6,7,8,8,10,11,8,16,16,8,16,19,17,3,
(0,1),-6.13309 # DEPENDENCYPART_ARC
(0,2),-5.56473 # DEPENDENCYPART_ARC
(0,3),-2.66068 # DEPENDENCYPART_ARC
(0,4),-7.62073 # DEPENDENCYPART_ARC
(0,5),-6.53328 # DEPENDENCYPART_ARC
(0,6),-7.59361 # DEPENDENCYPART_ARC
(0,7),-7.42434 # DEPENDENCYPART_ARC
(0,8),-8.0166 # DEPENDENCYPART_ARC
(0,9),-7.55934 # DEPENDENCYPART_ARC
(0,10),-9.04125 # DEPENDENCYPART_ARC
(0,11),-8.0127 # DEPENDENCYPART_ARC
(0,12),-8.60372 # DEPENDENCYPART_ARC
(0,13),-7.88817 # DEPENDENCYPART_ARC
(0,14),-8.5721 # DEPENDENCYPART_ARC
(0,15),-7.68622 # DEPENDENCYPART_ARC
(0,16),-7.90431 # DEPENDENCYPART_ARC
(0,17),-9.02215 # DEPENDENCYPART_ARC
(0,18),-8.38978 # DEPENDENCYPART_ARC
(0,19),-8.35218 # DEPENDENCYPART_ARC
(0,20),-5.74413 # DEPENDENCYPART_ARC
(1,2),1.78962 # DEPENDENCYPART_ARC
(1,3),-0.321834 # DEPENDENCYPART_ARC
(1,4),-0.538525 # DEPENDENCYPART_ARC
(1,5),-1.04526 # DEPENDENCYPART_ARC
(1,6),-0.159306 # DEPENDENCYPART_ARC
(1,7),-0.821108 # DEPENDENCYPART_ARC
(1,8),-1.62321 # DEPENDENCYPART_ARC
(1,9),-0.30046 # DEPENDENCYPART_ARC
(1,10),-1.19461 # DEPENDENCYPART_ARC
(1,11),0.237453 # DEPENDENCYPART_ARC
(1,12),-2.11794 # DEPENDENCYPART_ARC
(1,13),-0.439474 # DEPENDENCYPART_ARC
(1,14),-1.68511 # DEPENDENCYPART_ARC
(1,15),-3.38132 # DEPENDENCYPART_ARC
(1,16),-3.28286 # DEPENDENCYPART_ARC
(1,17),-2.22691 # DEPENDENCYPART_ARC
(1,18),-4.75376 # DEPENDENCYPART_ARC
(1,19),-4.26061 # DEPENDENCYPART_ARC
(1,20),-1.24726 # DEPENDENCYPART_ARC
(2,1),5.10957 # DEPENDENCYPART_ARC
(2,3),0.271547 # DEPENDENCYPART_ARC
(2,4),-0.394765 # DEPENDENCYPART_ARC
(2,5),-0.641757 # DEPENDENCYPART_ARC
(2,6),-0.0251701 # DEPENDENCYPART_ARC
(2,7),-0.741638 # DEPENDENCYPART_ARC
(2,8),-1.63194 # DEPENDENCYPART_ARC
(2,9),-0.428472 # DEPENDENCYPART_ARC
(2,10),-1.67813 # DEPENDENCYPART_ARC
(2,11),-0.0226485 # DEPENDENCYPART_ARC
(2,12),-2.27655 # DEPENDENCYPART_ARC
(2,13),-0.869136 # DEPENDENCYPART_ARC
(2,14),-1.83074 # DEPENDENCYPART_ARC
(2,15),-3.09216 # DEPENDENCYPART_ARC
(2,16),-2.5503 # DEPENDENCYPART_ARC
(2,17),-2.21688 # DEPENDENCYPART_ARC
(2,18),-4.31875 # DEPENDENCYPART_ARC
(2,19),-3.65237 # DEPENDENCYPART_ARC
(2,20),-1.0344 # DEPENDENCYPART_ARC
(3,1),1.91142 # DEPENDENCYPART_ARC
(3,2),2.48557 # DEPENDENCYPART_ARC
(3,4),0.929617 # DEPENDENCYPART_ARC
(3,5),1.87399 # DEPENDENCYPART_ARC
(3,6),2.32823 # DEPENDENCYPART_ARC
(3,7),0.867434 # DEPENDENCYPART_ARC
(3,8),0.335222 # DEPENDENCYPART_ARC
(3,9),0.740805 # DEPENDENCYPART_ARC
(3,10),-0.659353 # DEPENDENCYPART_ARC
(3,11),0.627478 # DEPENDENCYPART_ARC
(3,12),-0.895772 # DEPENDENCYPART_ARC
(3,13),0.0713679 # DEPENDENCYPART_ARC
