# _root_ This time , however , many small investors may have been hurt by acting so swiftly .
#goldHeads=2,9,9,9,9,8,8,9,0,9,10,11,12,13,14,15,9,
#predictedHeads=2,9,9,9,9,8,8,9,0,9,10,11,12,13,14,15,9,
(0,1),-6.34366 # DEPENDENCYPART_ARC
(0,2),-6.34997 # DEPENDENCYPART_ARC
(0,3),-6.54652 # DEPENDENCYPART_ARC
(0,4),-6.21626 # DEPENDENCYPART_ARC
(0,5),-7.02554 # DEPENDENCYPART_ARC
(0,6),-7.13245 # DEPENDENCYPART_ARC
(0,7),-6.47731 # DEPENDENCYPART_ARC
(0,8),-6.13537 # DEPENDENCYPART_ARC
(0,9),-3.42319 # DEPENDENCYPART_ARC
(0,10),-3.71086 # DEPENDENCYPART_ARC
(0,11),-3.48257 # DEPENDENCYPART_ARC
(0,12),-4.73153 # DEPENDENCYPART_ARC
(0,13),-7.70812 # DEPENDENCYPART_ARC
(0,14),-7.16446 # DEPENDENCYPART_ARC
(0,15),-7.73621 # DEPENDENCYPART_ARC
(0,16),-7.43558 # DEPENDENCYPART_ARC
(0,17),-6.29114 # DEPENDENCYPART_ARC
(1,2),-0.119167 # DEPENDENCYPART_ARC
(1,3),-0.860503 # DEPENDENCYPART_ARC
(1,4),-1.08556 # DEPENDENCYPART_ARC
(1,5),-1.02132 # DEPENDENCYPART_ARC
(1,6),-1.38977 # DEPENDENCYPART_ARC
(1,7),-1.63008 # DEPENDENCYPART_ARC
(1,8),-1.62415 # DEPENDENCYPART_ARC
(1,9),-2.18164 # DEPENDENCYPART_ARC
(1,10),-1.96106 # DEPENDENCYPART_ARC
(1,11),-1.79499 # DEPENDENCYPART_ARC
(1,12),-1.92249 # DEPENDENCYPART_ARC
(1,13),-2.55187 # DEPENDENCYPART_ARC
(1,14),-2.13769 # DEPENDENCYPART_ARC
(1,15),-2.53252 # DEPENDENCYPART_ARC
(1,16),-2.6151 # DEPENDENCYPART_ARC
(1,17),-0.503895 # DEPENDENCYPART_ARC
(2,1),4.59845 # DEPENDENCYPART_ARC
(2,3),0.819765 # DEPENDENCYPART_ARC
(2,4),0.742376 # DEPENDENCYPART_ARC
(2,5),0.356628 # DEPENDENCYPART_ARC
(2,6),0.140513 # DEPENDENCYPART_ARC
(2,7),0.278127 # DEPENDENCYPART_ARC
(2,8),-0.115543 # DEPENDENCYPART_ARC
(2,9),-0.0324976 # DEPENDENCYPART_ARC
(2,10),0.345477 # DEPENDENCYPART_ARC
