# _root_ In 1988 the Cincinnati company earned $ 3.1 million , or 32 cents a share , on revenue of $ 148.5 million .
#goldHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,7,6,17,18,19,20,20,6,
#predictedHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,7,6,17,18,19,20,20,6,
(0,1),-6.89983 # DEPENDENCYPART_ARC
(0,2),-6.85481 # DEPENDENCYPART_ARC
(0,3),-6.92041 # DEPENDENCYPART_ARC
(0,4),-5.90122 # DEPENDENCYPART_ARC
(0,5),-5.88757 # DEPENDENCYPART_ARC
(0,6),-3.19795 # DEPENDENCYPART_ARC
(0,7),-7.78138 # DEPENDENCYPART_ARC
(0,8),-8.06567 # DEPENDENCYPART_ARC
(0,9),-8.19381 # DEPENDENCYPART_ARC
(0,10),-7.08184 # DEPENDENCYPART_ARC
(0,11),-7.57688 # DEPENDENCYPART_ARC
(0,12),-8.30805 # DEPENDENCYPART_ARC
(0,13),-6.84691 # DEPENDENCYPART_ARC
(0,14),-7.88493 # DEPENDENCYPART_ARC
(0,15),-6.44738 # DEPENDENCYPART_ARC
(0,16),-7.81491 # DEPENDENCYPART_ARC
(0,17),-8.54984 # DEPENDENCYPART_ARC
(0,18),-6.68302 # DEPENDENCYPART_ARC
(0,19),-9.1698 # DEPENDENCYPART_ARC
(0,20),-9.2592 # DEPENDENCYPART_ARC
(0,21),-9.30244 # DEPENDENCYPART_ARC
(0,22),-9.61963 # DEPENDENCYPART_ARC
(0,23),-5.64177 # DEPENDENCYPART_ARC
(1,2),3.09019 # DEPENDENCYPART_ARC
(1,3),-0.242534 # DEPENDENCYPART_ARC
(1,4),0.695481 # DEPENDENCYPART_ARC
(1,5),0.828771 # DEPENDENCYPART_ARC
(1,6),0.449713 # DEPENDENCYPART_ARC
(1,7),-2.67482 # DEPENDENCYPART_ARC
(1,8),-1.49466 # DEPENDENCYPART_ARC
(1,9),-0.578519 # DEPENDENCYPART_ARC
(1,10),0.223014 # DEPENDENCYPART_ARC
(1,11),-1.02747 # DEPENDENCYPART_ARC
(1,12),-1.86301 # DEPENDENCYPART_ARC
(1,13),-3.59691 # DEPENDENCYPART_ARC
(1,14),-3.01574 # DEPENDENCYPART_ARC
(1,15),-5.6848 # DEPENDENCYPART_ARC
(1,16),-1.18347 # DEPENDENCYPART_ARC
(1,17),-1.32038 # DEPENDENCYPART_ARC
(1,18),-7.75965 # DEPENDENCYPART_ARC
(1,19),-3.13505 # DEPENDENCYPART_ARC
(1,20),-7.19637 # DEPENDENCYPART_ARC
(1,21),-4.07693 # DEPENDENCYPART_ARC
(1,22),-3.76633 # DEPENDENCYPART_ARC
(1,23),0.781087 # DEPENDENCYPART_ARC
(2,1),0.145041 # DEPENDENCYPART_ARC
(2,3),0.609566 # DEPENDENCYPART_ARC
(2,4),0.283575 # DEPENDENCYPART_ARC
(2,5),0.0700814 # DEPENDENCYPART_ARC
(2,6),0.344061 # DEPENDENCYPART_ARC
(2,7),-0.0940704 # DEPENDENCYPART_ARC
(2,8),-0.697228 # DEPENDENCYPART_ARC
(2,9),-0.628211 # DEPENDENCYPART_ARC
(2,10),0.406063 # DEPENDENCYPART_ARC
(2,11),0.0799475 # DEPENDENCYPART_ARC
(2,12),-1.11355 # DEPENDENCYPART_ARC
(2,13),-1.30504 # DEPENDENCYPART_ARC
(2,14),-1.46857 # DEPENDENCYPART_ARC
