# _root_ The new offer , which seeks 50.3 % of the cellular and broadcasting concern , is for $ 125 a share for 22 million LIN shares .
#goldHeads=3,3,16,3,6,3,8,6,8,14,14,11,12,9,3,0,16,17,18,21,18,18,24,26,26,22,16,
#predictedHeads=3,3,16,3,6,3,8,6,8,11,14,11,14,9,3,0,16,17,18,21,18,18,24,26,26,22,16,
(0,1),-6.21005 # DEPENDENCYPART_ARC
(0,2),-6.24027 # DEPENDENCYPART_ARC
(0,3),-6.57428 # DEPENDENCYPART_ARC
(0,4),-6.70484 # DEPENDENCYPART_ARC
(0,5),-7.01366 # DEPENDENCYPART_ARC
(0,6),-4.20195 # DEPENDENCYPART_ARC
(0,7),-7.78365 # DEPENDENCYPART_ARC
(0,8),-7.48132 # DEPENDENCYPART_ARC
(0,9),-6.80151 # DEPENDENCYPART_ARC
(0,10),-7.81235 # DEPENDENCYPART_ARC
(0,11),-6.77951 # DEPENDENCYPART_ARC
(0,12),-7.8459 # DEPENDENCYPART_ARC
(0,13),-6.73143 # DEPENDENCYPART_ARC
(0,14),-7.13307 # DEPENDENCYPART_ARC
(0,15),-7.93213 # DEPENDENCYPART_ARC
(0,16),-2.35568 # DEPENDENCYPART_ARC
(0,17),-5.63481 # DEPENDENCYPART_ARC
(0,18),-8.74793 # DEPENDENCYPART_ARC
(0,19),-8.96128 # DEPENDENCYPART_ARC
(0,20),-8.62037 # DEPENDENCYPART_ARC
(0,21),-7.7095 # DEPENDENCYPART_ARC
(0,22),-6.4858 # DEPENDENCYPART_ARC
(0,23),-9.42954 # DEPENDENCYPART_ARC
(0,24),-9.54459 # DEPENDENCYPART_ARC
(0,25),-7.63932 # DEPENDENCYPART_ARC
(0,26),-8.48464 # DEPENDENCYPART_ARC
(0,27),-5.12093 # DEPENDENCYPART_ARC
(1,2),-0.257737 # DEPENDENCYPART_ARC
(1,3),-0.856664 # DEPENDENCYPART_ARC
(1,4),-0.882227 # DEPENDENCYPART_ARC
(1,5),-2.19475 # DEPENDENCYPART_ARC
(1,6),-1.2472 # DEPENDENCYPART_ARC
(1,7),-1.44162 # DEPENDENCYPART_ARC
(1,8),-2.05636 # DEPENDENCYPART_ARC
(1,9),-1.49741 # DEPENDENCYPART_ARC
(1,10),-2.62167 # DEPENDENCYPART_ARC
(1,11),-2.38255 # DEPENDENCYPART_ARC
(1,12),-1.89361 # DEPENDENCYPART_ARC
(1,13),-2.61853 # DEPENDENCYPART_ARC
(1,14),-2.65393 # DEPENDENCYPART_ARC
(1,15),-2.08534 # DEPENDENCYPART_ARC
(1,16),-4.50879 # DEPENDENCYPART_ARC
(1,17),-2.17715 # DEPENDENCYPART_ARC
(1,18),-4.00068 # DEPENDENCYPART_ARC
(1,19),-3.34225 # DEPENDENCYPART_ARC
(1,20),-3.90901 # DEPENDENCYPART_ARC
(1,21),-3.53172 # DEPENDENCYPART_ARC
(1,22),-2.74175 # DEPENDENCYPART_ARC
(1,23),-3.61698 # DEPENDENCYPART_ARC
(1,24),-3.64273 # DEPENDENCYPART_ARC
(1,25),-4.23126 # DEPENDENCYPART_ARC
(1,26),-4.32263 # DEPENDENCYPART_ARC
