# _root_ Among those sighing with relief was John H. Gutfreund , chairman of Salomon Brothers , who took to the firm 's trading floor to monitor yesterday 's events .
#goldHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
#predictedHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,14,17,14,17,20,23,20,23,18,17,24,28,26,25,6,
(0,1),-6.891 # DEPENDENCYPART_ARC
(0,2),-6.64955 # DEPENDENCYPART_ARC
(0,3),-6.0695 # DEPENDENCYPART_ARC
(0,4),-6.57782 # DEPENDENCYPART_ARC
(0,5),-5.71621 # DEPENDENCYPART_ARC
(0,6),-2.8245 # DEPENDENCYPART_ARC
(0,7),-6.09168 # DEPENDENCYPART_ARC
(0,8),-5.80738 # DEPENDENCYPART_ARC
(0,9),-6.4095 # DEPENDENCYPART_ARC
(0,10),-7.1798 # DEPENDENCYPART_ARC
(0,11),-7.02783 # DEPENDENCYPART_ARC
(0,12),-8.15155 # DEPENDENCYPART_ARC
(0,13),-7.16209 # DEPENDENCYPART_ARC
(0,14),-7.06636 # DEPENDENCYPART_ARC
(0,15),-7.79947 # DEPENDENCYPART_ARC
(0,16),-7.39872 # DEPENDENCYPART_ARC
(0,17),-5.43978 # DEPENDENCYPART_ARC
(0,18),-7.60911 # DEPENDENCYPART_ARC
(0,19),-8.77254 # DEPENDENCYPART_ARC
(0,20),-7.5805 # DEPENDENCYPART_ARC
(0,21),-10.3963 # DEPENDENCYPART_ARC
(0,22),-8.03326 # DEPENDENCYPART_ARC
(0,23),-7.46237 # DEPENDENCYPART_ARC
(0,24),-8.54284 # DEPENDENCYPART_ARC
(0,25),-8.08519 # DEPENDENCYPART_ARC
(0,26),-6.98291 # DEPENDENCYPART_ARC
(0,27),-11.2394 # DEPENDENCYPART_ARC
(0,28),-6.45596 # DEPENDENCYPART_ARC
(0,29),-5.97583 # DEPENDENCYPART_ARC
(1,2),2.75902 # DEPENDENCYPART_ARC
(1,3),2.06541 # DEPENDENCYPART_ARC
(1,4),0.882682 # DEPENDENCYPART_ARC
(1,5),0.966623 # DEPENDENCYPART_ARC
(1,6),2.70885 # DEPENDENCYPART_ARC
(1,7),-1.72631 # DEPENDENCYPART_ARC
(1,8),-1.26255 # DEPENDENCYPART_ARC
(1,9),-0.580849 # DEPENDENCYPART_ARC
(1,10),0.877292 # DEPENDENCYPART_ARC
(1,11),-0.982025 # DEPENDENCYPART_ARC
(1,12),-0.877345 # DEPENDENCYPART_ARC
(1,13),-3.89306 # DEPENDENCYPART_ARC
(1,14),-2.49822 # DEPENDENCYPART_ARC
(1,15),0.0507637 # DEPENDENCYPART_ARC
(1,16),-1.00478 # DEPENDENCYPART_ARC
(1,17),-0.515777 # DEPENDENCYPART_ARC
(1,18),-4.04874 # DEPENDENCYPART_ARC
(1,19),-3.11365 # DEPENDENCYPART_ARC
(1,20),-7.15821 # DEPENDENCYPART_ARC
(1,21),-2.20492 # DEPENDENCYPART_ARC
(1,22),-6.64881 # DEPENDENCYPART_ARC
(1,23),-6.77281 # DEPENDENCYPART_ARC
(1,24),-5.73092 # DEPENDENCYPART_ARC
(1,25),-1.45473 # DEPENDENCYPART_ARC
(1,26),-13.818 # DEPENDENCYPART_ARC
(1,27),-3.29057 # DEPENDENCYPART_ARC
(1,28),-7.96026 # DEPENDENCYPART_ARC
(1,29),0.787953 # DEPENDENCYPART_ARC
(2,1),0.144071 # DEPENDENCYPART_ARC
(2,3),2.36901 # DEPENDENCYPART_ARC
(2,4),1.67112 # DEPENDENCYPART_ARC
(2,5),1.00784 # DEPENDENCYPART_ARC
(2,6),0.922235 # DEPENDENCYPART_ARC
(2,7),0.138621 # DEPENDENCYPART_ARC
(2,8),-0.193945 # DEPENDENCYPART_ARC
(2,9),-0.262222 # DEPENDENCYPART_ARC
(2,10),1.04585 # DEPENDENCYPART_ARC
(2,11),0.0128536 # DEPENDENCYPART_ARC
(2,12),-0.0848065 # DEPENDENCYPART_ARC
(2,13),-0.944845 # DEPENDENCYPART_ARC
(2,14),-0.995016 # DEPENDENCYPART_ARC
