# _root_ Asked what stocks the computer bought , the money manager says , `` I do n't know . ''
#goldHeads=11,3,6,5,6,1,11,10,10,11,0,11,15,15,11,15,15,11,11,
#predictedHeads=11,3,1,5,3,3,11,10,10,11,0,11,11,15,11,15,15,15,15,
(0,1),-6.20878 # DEPENDENCYPART_ARC
(0,2),-6.43223 # DEPENDENCYPART_ARC
(0,3),-4.4321 # DEPENDENCYPART_ARC
(0,4),-7.51897 # DEPENDENCYPART_ARC
(0,5),-6.15216 # DEPENDENCYPART_ARC
(0,6),-4.4058 # DEPENDENCYPART_ARC
(0,7),-7.00362 # DEPENDENCYPART_ARC
(0,8),-7.88986 # DEPENDENCYPART_ARC
(0,9),-6.24888 # DEPENDENCYPART_ARC
(0,10),-6.40151 # DEPENDENCYPART_ARC
(0,11),-2.53737 # DEPENDENCYPART_ARC
(0,12),-7.69607 # DEPENDENCYPART_ARC
(0,13),-7.70584 # DEPENDENCYPART_ARC
(0,14),-6.61955 # DEPENDENCYPART_ARC
(0,15),-4.94378 # DEPENDENCYPART_ARC
(0,16),-7.86425 # DEPENDENCYPART_ARC
(0,17),-4.90766 # DEPENDENCYPART_ARC
(0,18),-4.78415 # DEPENDENCYPART_ARC
(0,19),-7.71885 # DEPENDENCYPART_ARC
(1,2),1.47276 # DEPENDENCYPART_ARC
(1,3),2.40815 # DEPENDENCYPART_ARC
(1,4),0.587108 # DEPENDENCYPART_ARC
(1,5),1.31029 # DEPENDENCYPART_ARC
(1,6),1.66187 # DEPENDENCYPART_ARC
(1,7),0.256165 # DEPENDENCYPART_ARC
(1,8),0.0731705 # DEPENDENCYPART_ARC
(1,9),0.00333272 # DEPENDENCYPART_ARC
(1,10),-0.0176321 # DEPENDENCYPART_ARC
(1,11),0.693149 # DEPENDENCYPART_ARC
(1,12),-0.512838 # DEPENDENCYPART_ARC
(1,13),0.400203 # DEPENDENCYPART_ARC
(1,14),0.180437 # DEPENDENCYPART_ARC
(1,15),-0.409993 # DEPENDENCYPART_ARC
(1,16),-0.731253 # DEPENDENCYPART_ARC
(1,17),-0.391189 # DEPENDENCYPART_ARC
(1,18),0.918714 # DEPENDENCYPART_ARC
(1,19),0.255763 # DEPENDENCYPART_ARC
(2,1),0.270661 # DEPENDENCYPART_ARC
(2,3),0.895559 # DEPENDENCYPART_ARC
(2,4),-0.416578 # DEPENDENCYPART_ARC
(2,5),-0.320189 # DEPENDENCYPART_ARC
(2,6),-0.585835 # DEPENDENCYPART_ARC
(2,7),-0.379592 # DEPENDENCYPART_ARC
(2,8),-1.08098 # DEPENDENCYPART_ARC
(2,9),-0.988386 # DEPENDENCYPART_ARC
(2,10),-1.08889 # DEPENDENCYPART_ARC
(2,11),-0.751196 # DEPENDENCYPART_ARC
(2,12),-0.631132 # DEPENDENCYPART_ARC
(2,13),-0.939592 # DEPENDENCYPART_ARC
(2,14),-1.49902 # DEPENDENCYPART_ARC
(2,15),-1.06858 # DEPENDENCYPART_ARC
(2,16),-1.40383 # DEPENDENCYPART_ARC
(2,17),-1.73858 # DEPENDENCYPART_ARC
(2,18),-0.831419 # DEPENDENCYPART_ARC
(2,19),-1.16003 # DEPENDENCYPART_ARC
(3,1),0.655882 # DEPENDENCYPART_ARC
(3,2),3.74095 # DEPENDENCYPART_ARC
(3,4),1.61796 # DEPENDENCYPART_ARC
(3,5),3.00204 # DEPENDENCYPART_ARC
(3,6),1.79299 # DEPENDENCYPART_ARC
(3,7),0.96266 # DEPENDENCYPART_ARC
(3,8),0.0499981 # DEPENDENCYPART_ARC
(3,9),0.585204 # DEPENDENCYPART_ARC
(3,10),0.668467 # DEPENDENCYPART_ARC
(3,11),0.911703 # DEPENDENCYPART_ARC
(3,12),1.07362 # DEPENDENCYPART_ARC
(3,13),1.24429 # DEPENDENCYPART_ARC
(3,14),-0.221491 # DEPENDENCYPART_ARC
(3,15),0.555876 # DEPENDENCYPART_ARC
(3,16),0.257652 # DEPENDENCYPART_ARC
(3,17),-0.0416544 # DEPENDENCYPART_ARC
(3,18),2.95167 # DEPENDENCYPART_ARC
(3,19),1.72694 # DEPENDENCYPART_ARC
(4,1),-1.74819 # DEPENDENCYPART_ARC
(4,2),-0.478888 # DEPENDENCYPART_ARC
(4,3),-0.989662 # DEPENDENCYPART_ARC
(4,5),0.0824996 # DEPENDENCYPART_ARC
(4,6),0.108227 # DEPENDENCYPART_ARC
(4,7),-1.01209 # DEPENDENCYPART_ARC
(4,8),-2.12772 # DEPENDENCYPART_ARC
(4,9),-1.32649 # DEPENDENCYPART_ARC
(4,10),-1.52458 # DEPENDENCYPART_ARC
(4,11),-1.29077 # DEPENDENCYPART_ARC
(4,12),-1.40841 # DEPENDENCYPART_ARC
(4,13),-1.89859 # DEPENDENCYPART_ARC
(4,14),-2.03998 # DEPENDENCYPART_ARC
(4,15),-2.66125 # DEPENDENCYPART_ARC
(4,16),-2.41318 # DEPENDENCYPART_ARC
(4,17),-2.77802 # DEPENDENCYPART_ARC
(4,18),-1.57772 # DEPENDENCYPART_ARC
(4,19),-1.46487 # DEPENDENCYPART_ARC
(5,1),-0.464272 # DEPENDENCYPART_ARC
(5,2),1.1494 # DEPENDENCYPART_ARC
(5,3),-0.232062 # DEPENDENCYPART_ARC
(5,4),4.13215 # DEPENDENCYPART_ARC
(5,6),1.32104 # DEPENDENCYPART_ARC
(5,7),0.362263 # DEPENDENCYPART_ARC
(5,8),-0.193797 # DEPENDENCYPART_ARC
(5,9),-0.125559 # DEPENDENCYPART_ARC
(5,10),-0.230671 # DEPENDENCYPART_ARC
(5,11),0.662901 # DEPENDENCYPART_ARC
(5,12),-0.187177 # DEPENDENCYPART_ARC
(5,13),0.285421 # DEPENDENCYPART_ARC
(5,14),-0.667202 # DEPENDENCYPART_ARC
(5,15),-0.98209 # DEPENDENCYPART_ARC
(5,16),-1.3655 # DEPENDENCYPART_ARC
(5,17),-0.950057 # DEPENDENCYPART_ARC
(5,18),1.00767 # DEPENDENCYPART_ARC
(5,19),-0.471956 # DEPENDENCYPART_ARC
(6,1),0.534983 # DEPENDENCYPART_ARC
(6,2),1.3287 # DEPENDENCYPART_ARC
(6,3),0.309226 # DEPENDENCYPART_ARC
(6,4),0.389156 # DEPENDENCYPART_ARC
(6,5),2.87477 # DEPENDENCYPART_ARC
(6,7),2.2466 # DEPENDENCYPART_ARC
(6,8),-0.437254 # DEPENDENCYPART_ARC
(6,9),0.608338 # DEPENDENCYPART_ARC
(6,10),-0.0174593 # DEPENDENCYPART_ARC
(6,11),0.719349 # DEPENDENCYPART_ARC
(6,12),0.844024 # DEPENDENCYPART_ARC
(6,13),0.939318 # DEPENDENCYPART_ARC
(6,14),-0.640194 # DEPENDENCYPART_ARC
(6,15),0.070894 # DEPENDENCYPART_ARC
(6,16),-0.234944 # DEPENDENCYPART_ARC
(6,17),-0.543104 # DEPENDENCYPART_ARC
(6,18),1.14419 # DEPENDENCYPART_ARC
(6,19),1.6727 # DEPENDENCYPART_ARC
(7,1),-1.66169 # DEPENDENCYPART_ARC
(7,2),-1.25139 # DEPENDENCYPART_ARC
(7,3),-1.99908 # DEPENDENCYPART_ARC
(7,4),-1.05318 # DEPENDENCYPART_ARC
(7,5),-2.01167 # DEPENDENCYPART_ARC
(7,6),-1.00556 # DEPENDENCYPART_ARC
(7,8),0.0571757 # DEPENDENCYPART_ARC
(7,9),-0.579025 # DEPENDENCYPART_ARC
