# _root_ India recently bought 200,000 tons and was expected to buy more , the analyst said .
#goldHeads=3,3,15,5,3,3,6,7,8,9,10,15,14,15,0,15,
#predictedHeads=3,3,15,5,3,3,6,7,8,9,10,15,14,15,0,15,
(0,1),-6.18064 # DEPENDENCYPART_ARC
(0,2),-6.46358 # DEPENDENCYPART_ARC
(0,3),-3.58481 # DEPENDENCYPART_ARC
(0,4),-7.70992 # DEPENDENCYPART_ARC
(0,5),-7.40844 # DEPENDENCYPART_ARC
(0,6),-7.61719 # DEPENDENCYPART_ARC
(0,7),-4.28794 # DEPENDENCYPART_ARC
(0,8),-5.06648 # DEPENDENCYPART_ARC
(0,9),-7.19055 # DEPENDENCYPART_ARC
(0,10),-6.40861 # DEPENDENCYPART_ARC
(0,11),-7.38073 # DEPENDENCYPART_ARC
(0,12),-7.36517 # DEPENDENCYPART_ARC
(0,13),-8.20196 # DEPENDENCYPART_ARC
(0,14),-6.68774 # DEPENDENCYPART_ARC
(0,15),-1.25044 # DEPENDENCYPART_ARC
(0,16),-5.69484 # DEPENDENCYPART_ARC
(1,2),0.464777 # DEPENDENCYPART_ARC
(1,3),0.376754 # DEPENDENCYPART_ARC
(1,4),0.0886509 # DEPENDENCYPART_ARC
(1,5),-0.423197 # DEPENDENCYPART_ARC
(1,6),-0.968534 # DEPENDENCYPART_ARC
(1,7),-0.937134 # DEPENDENCYPART_ARC
(1,8),-0.536864 # DEPENDENCYPART_ARC
(1,9),-0.531293 # DEPENDENCYPART_ARC
(1,10),-1.41051 # DEPENDENCYPART_ARC
(1,11),-1.31387 # DEPENDENCYPART_ARC
(1,12),-0.67751 # DEPENDENCYPART_ARC
(1,13),-1.43612 # DEPENDENCYPART_ARC
(1,14),-3.241 # DEPENDENCYPART_ARC
(1,15),-2.28984 # DEPENDENCYPART_ARC
(1,16),-0.604473 # DEPENDENCYPART_ARC
(2,1),-0.0221043 # DEPENDENCYPART_ARC
(2,3),0.963328 # DEPENDENCYPART_ARC
(2,4),1.26246 # DEPENDENCYPART_ARC
(2,5),-0.0157812 # DEPENDENCYPART_ARC
(2,6),0.168106 # DEPENDENCYPART_ARC
(2,7),-0.321361 # DEPENDENCYPART_ARC
(2,8),-0.719689 # DEPENDENCYPART_ARC
(2,9),-0.767114 # DEPENDENCYPART_ARC
(2,10),-1.19126 # DEPENDENCYPART_ARC
(2,11),-1.0829 # DEPENDENCYPART_ARC
(2,12),-0.603103 # DEPENDENCYPART_ARC
(2,13),-1.7288 # DEPENDENCYPART_ARC
(2,14),-1.82872 # DEPENDENCYPART_ARC
(2,15),-1.26821 # DEPENDENCYPART_ARC
(2,16),1.60211 # DEPENDENCYPART_ARC
(3,1),2.867 # DEPENDENCYPART_ARC
(3,2),3.29141 # DEPENDENCYPART_ARC
(3,4),1.65805 # DEPENDENCYPART_ARC
(3,5),3.07808 # DEPENDENCYPART_ARC
