# _root_ By 10 a.m. Tokyo time , the index was up 435.11 points , to 34903.80 as investors hailed New York 's overnight rally .
#goldHeads=9,1,2,5,2,9,8,9,0,9,12,10,10,10,14,9,18,16,20,23,20,23,18,9,
#predictedHeads=9,5,5,5,1,9,8,9,0,9,12,10,18,9,14,9,18,16,20,23,20,23,18,9,
(0,1),-7.2187 # DEPENDENCYPART_ARC
(0,2),-6.82717 # DEPENDENCYPART_ARC
(0,3),-6.4791 # DEPENDENCYPART_ARC
(0,4),-5.82401 # DEPENDENCYPART_ARC
(0,5),-6.37396 # DEPENDENCYPART_ARC
(0,6),-6.77061 # DEPENDENCYPART_ARC
(0,7),-7.44528 # DEPENDENCYPART_ARC
(0,8),-6.28382 # DEPENDENCYPART_ARC
(0,9),-2.66642 # DEPENDENCYPART_ARC
(0,10),-7.29346 # DEPENDENCYPART_ARC
(0,11),-8.18905 # DEPENDENCYPART_ARC
(0,12),-5.5334 # DEPENDENCYPART_ARC
(0,13),-7.61739 # DEPENDENCYPART_ARC
(0,14),-7.60389 # DEPENDENCYPART_ARC
(0,15),-8.81431 # DEPENDENCYPART_ARC
(0,16),-7.77899 # DEPENDENCYPART_ARC
(0,17),-6.56652 # DEPENDENCYPART_ARC
(0,18),-3.21559 # DEPENDENCYPART_ARC
(0,19),-7.43939 # DEPENDENCYPART_ARC
(0,20),-7.60234 # DEPENDENCYPART_ARC
(0,21),-10.2394 # DEPENDENCYPART_ARC
(0,22),-6.88476 # DEPENDENCYPART_ARC
(0,23),-7.5356 # DEPENDENCYPART_ARC
(0,24),-6.75933 # DEPENDENCYPART_ARC
(1,2),2.18527 # DEPENDENCYPART_ARC
(1,3),0.554055 # DEPENDENCYPART_ARC
(1,4),2.11437 # DEPENDENCYPART_ARC
(1,5),2.61174 # DEPENDENCYPART_ARC
(1,6),0.218116 # DEPENDENCYPART_ARC
(1,7),-1.85735 # DEPENDENCYPART_ARC
(1,8),-1.20784 # DEPENDENCYPART_ARC
(1,9),-0.421915 # DEPENDENCYPART_ARC
(1,10),-0.975903 # DEPENDENCYPART_ARC
(1,11),-2.31783 # DEPENDENCYPART_ARC
(1,12),-1.82012 # DEPENDENCYPART_ARC
(1,13),-0.213288 # DEPENDENCYPART_ARC
(1,14),-3.64088 # DEPENDENCYPART_ARC
(1,15),-2.12287 # DEPENDENCYPART_ARC
(1,16),-0.921192 # DEPENDENCYPART_ARC
(1,17),-7.46928 # DEPENDENCYPART_ARC
(1,18),-3.00411 # DEPENDENCYPART_ARC
(1,19),-6.5901 # DEPENDENCYPART_ARC
(1,20),-6.88083 # DEPENDENCYPART_ARC
(1,21),-2.28984 # DEPENDENCYPART_ARC
(1,22),-3.21735 # DEPENDENCYPART_ARC
(1,23),-6.58773 # DEPENDENCYPART_ARC
(1,24),-1.59184 # DEPENDENCYPART_ARC
(2,1),0.445804 # DEPENDENCYPART_ARC
(2,3),1.3677 # DEPENDENCYPART_ARC
(2,4),0.327431 # DEPENDENCYPART_ARC
(2,5),0.553707 # DEPENDENCYPART_ARC
(2,6),0.653315 # DEPENDENCYPART_ARC
(2,7),-0.520003 # DEPENDENCYPART_ARC
(2,8),0.074982 # DEPENDENCYPART_ARC
(2,9),0.0325344 # DEPENDENCYPART_ARC
(2,10),0.0369854 # DEPENDENCYPART_ARC
(2,11),-0.490116 # DEPENDENCYPART_ARC
(2,12),-0.718962 # DEPENDENCYPART_ARC
(2,13),0.305612 # DEPENDENCYPART_ARC
(2,14),-1.11931 # DEPENDENCYPART_ARC
(2,15),-1.05335 # DEPENDENCYPART_ARC
(2,16),-1.29059 # DEPENDENCYPART_ARC
(2,17),-1.25854 # DEPENDENCYPART_ARC
(2,18),-0.825348 # DEPENDENCYPART_ARC
(2,19),-1.47445 # DEPENDENCYPART_ARC
(2,20),-1.53428 # DEPENDENCYPART_ARC
(2,21),-0.768826 # DEPENDENCYPART_ARC
(2,22),-1.4947 # DEPENDENCYPART_ARC
(2,23),-1.34853 # DEPENDENCYPART_ARC
(2,24),-1.03888 # DEPENDENCYPART_ARC
(3,1),0.132819 # DEPENDENCYPART_ARC
(3,2),0.151134 # DEPENDENCYPART_ARC
(3,4),0.104634 # DEPENDENCYPART_ARC
(3,5),0.0527734 # DEPENDENCYPART_ARC
(3,6),-0.470482 # DEPENDENCYPART_ARC
(3,7),-1.19204 # DEPENDENCYPART_ARC
(3,8),-1.18254 # DEPENDENCYPART_ARC
(3,9),-0.80207 # DEPENDENCYPART_ARC
(3,10),-1.3446 # DEPENDENCYPART_ARC
(3,11),-1.99448 # DEPENDENCYPART_ARC
(3,12),-1.45755 # DEPENDENCYPART_ARC
(3,13),-0.789879 # DEPENDENCYPART_ARC
(3,14),-2.30902 # DEPENDENCYPART_ARC
(3,15),-3.13679 # DEPENDENCYPART_ARC
(3,16),-2.06052 # DEPENDENCYPART_ARC
(3,17),-3.21182 # DEPENDENCYPART_ARC
(3,18),-2.00192 # DEPENDENCYPART_ARC
(3,19),-3.02436 # DEPENDENCYPART_ARC
(3,20),-2.78087 # DEPENDENCYPART_ARC
(3,21),-2.87981 # DEPENDENCYPART_ARC
(3,22),-2.32576 # DEPENDENCYPART_ARC
(3,23),-3.53628 # DEPENDENCYPART_ARC
(3,24),-1.41807 # DEPENDENCYPART_ARC
(4,1),-0.0983893 # DEPENDENCYPART_ARC
(4,2),1.9797 # DEPENDENCYPART_ARC
(4,3),1.61582 # DEPENDENCYPART_ARC
(4,5),0.594203 # DEPENDENCYPART_ARC
(4,6),-0.331411 # DEPENDENCYPART_ARC
(4,7),-1.1396 # DEPENDENCYPART_ARC
(4,8),-1.57078 # DEPENDENCYPART_ARC
(4,9),-1.23518 # DEPENDENCYPART_ARC
(4,10),-1.79429 # DEPENDENCYPART_ARC
(4,11),-2.02384 # DEPENDENCYPART_ARC
(4,12),-1.95793 # DEPENDENCYPART_ARC
(4,13),-1.16275 # DEPENDENCYPART_ARC
(4,14),-2.22707 # DEPENDENCYPART_ARC
(4,15),-2.73316 # DEPENDENCYPART_ARC
(4,16),-2.52643 # DEPENDENCYPART_ARC
(4,17),-2.89277 # DEPENDENCYPART_ARC
(4,18),-2.43206 # DEPENDENCYPART_ARC
(4,19),-3.96039 # DEPENDENCYPART_ARC
(4,20),-3.51514 # DEPENDENCYPART_ARC
(4,21),-2.77148 # DEPENDENCYPART_ARC
(4,22),-2.76514 # DEPENDENCYPART_ARC
(4,23),-5.04396 # DEPENDENCYPART_ARC
(4,24),-1.47868 # DEPENDENCYPART_ARC
(5,1),0.562788 # DEPENDENCYPART_ARC
(5,2),2.69114 # DEPENDENCYPART_ARC
(5,3),2.63313 # DEPENDENCYPART_ARC
(5,4),4.2609 # DEPENDENCYPART_ARC
(5,6),1.4518 # DEPENDENCYPART_ARC
(5,7),0.147541 # DEPENDENCYPART_ARC
(5,8),0.374832 # DEPENDENCYPART_ARC
(5,9),0.961919 # DEPENDENCYPART_ARC
(5,10),0.337921 # DEPENDENCYPART_ARC
(5,11),0.294897 # DEPENDENCYPART_ARC
(5,12),0.599961 # DEPENDENCYPART_ARC
(5,13),0.787784 # DEPENDENCYPART_ARC
(5,14),0.0633972 # DEPENDENCYPART_ARC
(5,15),-0.0972912 # DEPENDENCYPART_ARC
(5,16),-0.755044 # DEPENDENCYPART_ARC
(5,17),-0.990763 # DEPENDENCYPART_ARC
(5,18),-0.556994 # DEPENDENCYPART_ARC
(5,19),-1.69094 # DEPENDENCYPART_ARC
(5,20),-1.79999 # DEPENDENCYPART_ARC
(5,21),-1.89804 # DEPENDENCYPART_ARC
(5,22),-0.620238 # DEPENDENCYPART_ARC
(5,23),-1.91071 # DEPENDENCYPART_ARC
(5,24),1.30281 # DEPENDENCYPART_ARC
(6,1),-2.15651 # DEPENDENCYPART_ARC
(6,2),-1.92134 # DEPENDENCYPART_ARC
(6,3),-2.00752 # DEPENDENCYPART_ARC
(6,4),-1.99909 # DEPENDENCYPART_ARC
(6,5),-1.5418 # DEPENDENCYPART_ARC
(6,7),-0.127424 # DEPENDENCYPART_ARC
(6,8),-0.823148 # DEPENDENCYPART_ARC
(6,9),-0.568511 # DEPENDENCYPART_ARC
(6,10),-1.35435 # DEPENDENCYPART_ARC
(6,11),-1.5951 # DEPENDENCYPART_ARC
(6,12),-1.84955 # DEPENDENCYPART_ARC
(6,13),0.191486 # DEPENDENCYPART_ARC
(6,14),-1.63385 # DEPENDENCYPART_ARC
(6,15),-2.33449 # DEPENDENCYPART_ARC
(6,16),-1.44544 # DEPENDENCYPART_ARC
(6,17),-2.37276 # DEPENDENCYPART_ARC
(6,18),-1.75751 # DEPENDENCYPART_ARC
(6,19),-2.36948 # DEPENDENCYPART_ARC
(6,20),-2.50443 # DEPENDENCYPART_ARC
(6,21),-2.49356 # DEPENDENCYPART_ARC
(6,22),-2.79297 # DEPENDENCYPART_ARC
(6,23),-3.16332 # DEPENDENCYPART_ARC
(6,24),-2.14953 # DEPENDENCYPART_ARC
(7,1),-2.33155 # DEPENDENCYPART_ARC
(7,2),-2.11034 # DEPENDENCYPART_ARC
(7,3),-2.11457 # DEPENDENCYPART_ARC
(7,4),-1.90937 # DEPENDENCYPART_ARC
(7,5),-2.10723 # DEPENDENCYPART_ARC
(7,6),-0.930826 # DEPENDENCYPART_ARC
(7,8),-0.269964 # DEPENDENCYPART_ARC
(7,9),-0.33383 # DEPENDENCYPART_ARC
(7,10),-1.52029 # DEPENDENCYPART_ARC
(7,11),-1.29867 # DEPENDENCYPART_ARC
(7,12),-1.75587 # DEPENDENCYPART_ARC
(7,13),-1.20748 # DEPENDENCYPART_ARC
(7,14),-1.72456 # DEPENDENCYPART_ARC
(7,15),-2.50874 # DEPENDENCYPART_ARC
(7,16),-2.23682 # DEPENDENCYPART_ARC
(7,17),-2.46594 # DEPENDENCYPART_ARC
(7,18),-2.71809 # DEPENDENCYPART_ARC
(7,19),-3.14853 # DEPENDENCYPART_ARC
(7,20),-3.15803 # DEPENDENCYPART_ARC
(7,21),-3.44885 # DEPENDENCYPART_ARC
(7,22),-3.14082 # DEPENDENCYPART_ARC
(7,23),-3.2004 # DEPENDENCYPART_ARC
(7,24),-2.52915 # DEPENDENCYPART_ARC
(8,1),-0.642398 # DEPENDENCYPART_ARC
(8,2),-0.454589 # DEPENDENCYPART_ARC
(8,3),-0.0440291 # DEPENDENCYPART_ARC
(8,4),0.815303 # DEPENDENCYPART_ARC
(8,5),-0.602725 # DEPENDENCYPART_ARC
