# _root_ A spokesman for Dow Jones said he had n't seen the group 's filing , but added , `` obviously Dow Jones disagrees with their conclusions .
#goldHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
#predictedHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
(0,1),-6.11737 # DEPENDENCYPART_ARC
(0,2),-6.5234 # DEPENDENCYPART_ARC
(0,3),-6.19831 # DEPENDENCYPART_ARC
(0,4),-5.78485 # DEPENDENCYPART_ARC
(0,5),-4.80825 # DEPENDENCYPART_ARC
(0,6),-2.05855 # DEPENDENCYPART_ARC
(0,7),-5.6476 # DEPENDENCYPART_ARC
(0,8),-3.41517 # DEPENDENCYPART_ARC
(0,9),-6.92031 # DEPENDENCYPART_ARC
(0,10),-5.0112 # DEPENDENCYPART_ARC
(0,11),-7.75547 # DEPENDENCYPART_ARC
(0,12),-7.67639 # DEPENDENCYPART_ARC
(0,13),-8.31554 # DEPENDENCYPART_ARC
(0,14),-7.20058 # DEPENDENCYPART_ARC
(0,15),-7.87241 # DEPENDENCYPART_ARC
(0,16),-8.33075 # DEPENDENCYPART_ARC
(0,17),-2.01267 # DEPENDENCYPART_ARC
(0,18),-8.16934 # DEPENDENCYPART_ARC
(0,19),-7.9788 # DEPENDENCYPART_ARC
(0,20),-7.8247 # DEPENDENCYPART_ARC
(0,21),-7.66657 # DEPENDENCYPART_ARC
(0,22),-6.74713 # DEPENDENCYPART_ARC
(0,23),-2.72753 # DEPENDENCYPART_ARC
(0,24),-8.95556 # DEPENDENCYPART_ARC
(0,25),-8.30769 # DEPENDENCYPART_ARC
(0,26),-6.60445 # DEPENDENCYPART_ARC
(0,27),-5.78209 # DEPENDENCYPART_ARC
(1,2),0.220114 # DEPENDENCYPART_ARC
(1,3),-0.301733 # DEPENDENCYPART_ARC
(1,4),-0.795501 # DEPENDENCYPART_ARC
(1,5),-0.916291 # DEPENDENCYPART_ARC
(1,6),-0.694874 # DEPENDENCYPART_ARC
(1,7),-1.35765 # DEPENDENCYPART_ARC
(1,8),-1.68988 # DEPENDENCYPART_ARC
(1,9),-1.55239 # DEPENDENCYPART_ARC
(1,10),-1.49331 # DEPENDENCYPART_ARC
(1,11),-2.3597 # DEPENDENCYPART_ARC
(1,12),-1.98709 # DEPENDENCYPART_ARC
(1,13),-2.64277 # DEPENDENCYPART_ARC
(1,14),-2.2305 # DEPENDENCYPART_ARC
(1,15),-1.14722 # DEPENDENCYPART_ARC
(1,16),-2.11509 # DEPENDENCYPART_ARC
(1,17),-3.37454 # DEPENDENCYPART_ARC
(1,18),-1.0336 # DEPENDENCYPART_ARC
(1,19),-2.68086 # DEPENDENCYPART_ARC
(1,20),-2.7311 # DEPENDENCYPART_ARC
(1,21),-2.82731 # DEPENDENCYPART_ARC
(1,22),-2.86304 # DEPENDENCYPART_ARC
(1,23),-3.95408 # DEPENDENCYPART_ARC
(1,24),-3.18394 # DEPENDENCYPART_ARC
(1,25),-3.86853 # DEPENDENCYPART_ARC
(1,26),-3.34964 # DEPENDENCYPART_ARC
(1,27),-1.91875 # DEPENDENCYPART_ARC
(2,1),4.81936 # DEPENDENCYPART_ARC
(2,3),3.21648 # DEPENDENCYPART_ARC
(2,4),0.631598 # DEPENDENCYPART_ARC
(2,5),1.15093 # DEPENDENCYPART_ARC
(2,6),1.13085 # DEPENDENCYPART_ARC
(2,7),0.00131504 # DEPENDENCYPART_ARC
(2,8),0.652876 # DEPENDENCYPART_ARC
(2,9),-0.416932 # DEPENDENCYPART_ARC
(2,10),0.24688 # DEPENDENCYPART_ARC
(2,11),-0.555025 # DEPENDENCYPART_ARC
(2,12),-0.890978 # DEPENDENCYPART_ARC
(2,13),0.0417984 # DEPENDENCYPART_ARC
(2,14),-0.863186 # DEPENDENCYPART_ARC
(2,15),0.573393 # DEPENDENCYPART_ARC
(2,16),-0.912103 # DEPENDENCYPART_ARC
(2,17),-1.79383 # DEPENDENCYPART_ARC
(2,18),0.0727935 # DEPENDENCYPART_ARC
(2,19),-0.409848 # DEPENDENCYPART_ARC
(2,20),-1.77052 # DEPENDENCYPART_ARC
(2,21),-1.93428 # DEPENDENCYPART_ARC
(2,22),-1.35676 # DEPENDENCYPART_ARC
(2,23),-1.98037 # DEPENDENCYPART_ARC
(2,24),-3.20446 # DEPENDENCYPART_ARC
(2,25),-2.78681 # DEPENDENCYPART_ARC
(2,26),-2.51961 # DEPENDENCYPART_ARC
(2,27),1.67792 # DEPENDENCYPART_ARC
(3,1),0.178498 # DEPENDENCYPART_ARC
(3,2),0.213325 # DEPENDENCYPART_ARC
(3,4),2.41736 # DEPENDENCYPART_ARC
(3,5),3.80698 # DEPENDENCYPART_ARC
(3,6),1.77331 # DEPENDENCYPART_ARC
(3,7),-0.632349 # DEPENDENCYPART_ARC
(3,8),-0.638172 # DEPENDENCYPART_ARC
(3,9),-0.0439977 # DEPENDENCYPART_ARC
(3,10),-0.353472 # DEPENDENCYPART_ARC
(3,11),-1.68788 # DEPENDENCYPART_ARC
(3,12),-1.93067 # DEPENDENCYPART_ARC
(3,13),-1.51253 # DEPENDENCYPART_ARC
(3,14),-0.64543 # DEPENDENCYPART_ARC
(3,15),1.25028 # DEPENDENCYPART_ARC
(3,16),0.392066 # DEPENDENCYPART_ARC
(3,17),-3.3472 # DEPENDENCYPART_ARC
(3,18),0.27783 # DEPENDENCYPART_ARC
(3,19),-0.960113 # DEPENDENCYPART_ARC
(3,20),-1.36373 # DEPENDENCYPART_ARC
(3,21),-5.06322 # DEPENDENCYPART_ARC
(3,22),-3.29877 # DEPENDENCYPART_ARC
(3,23),-4.39732 # DEPENDENCYPART_ARC
(3,24),-2.76826 # DEPENDENCYPART_ARC
(3,25),-2.4967 # DEPENDENCYPART_ARC
(3,26),-7.01877 # DEPENDENCYPART_ARC
(3,27),0.708589 # DEPENDENCYPART_ARC
(4,1),-1.12525 # DEPENDENCYPART_ARC
(4,2),-2.03976 # DEPENDENCYPART_ARC
(4,3),-0.783493 # DEPENDENCYPART_ARC
(4,5),2.29895 # DEPENDENCYPART_ARC
(4,6),-0.728537 # DEPENDENCYPART_ARC
(4,7),-1.16372 # DEPENDENCYPART_ARC
(4,8),-1.16525 # DEPENDENCYPART_ARC
(4,9),-1.74806 # DEPENDENCYPART_ARC
(4,10),-1.6641 # DEPENDENCYPART_ARC
(4,11),-1.49451 # DEPENDENCYPART_ARC
(4,12),-3.0335 # DEPENDENCYPART_ARC
(4,13),-1.40604 # DEPENDENCYPART_ARC
(4,14),-2.71276 # DEPENDENCYPART_ARC
(4,15),-1.28538 # DEPENDENCYPART_ARC
(4,16),-3.15192 # DEPENDENCYPART_ARC
(4,17),-2.97448 # DEPENDENCYPART_ARC
(4,18),-1.95748 # DEPENDENCYPART_ARC
(4,19),-1.97232 # DEPENDENCYPART_ARC
(4,20),-3.25384 # DEPENDENCYPART_ARC
(4,21),-4.42496 # DEPENDENCYPART_ARC
(4,22),-3.79526 # DEPENDENCYPART_ARC
(4,23),-3.62779 # DEPENDENCYPART_ARC
(4,24),-3.41066 # DEPENDENCYPART_ARC
