# _root_ Other brokerage firms , including Merrill Lynch & Co. , were plotting out potential new ad strategies .
#goldHeads=3,3,11,3,3,7,5,7,8,3,0,11,12,17,17,17,12,11,
#predictedHeads=3,3,11,3,3,7,5,7,8,7,0,11,12,17,17,17,12,11,
(0,1),-5.92029 # DEPENDENCYPART_ARC
(0,2),-6.24972 # DEPENDENCYPART_ARC
(0,3),-6.10763 # DEPENDENCYPART_ARC
(0,4),-6.84034 # DEPENDENCYPART_ARC
(0,5),-6.51486 # DEPENDENCYPART_ARC
(0,6),-6.23598 # DEPENDENCYPART_ARC
(0,7),-6.51949 # DEPENDENCYPART_ARC
(0,8),-7.47948 # DEPENDENCYPART_ARC
(0,9),-7.38197 # DEPENDENCYPART_ARC
(0,10),-7.25664 # DEPENDENCYPART_ARC
(0,11),-1.85035 # DEPENDENCYPART_ARC
(0,12),-6.41874 # DEPENDENCYPART_ARC
(0,13),-6.902 # DEPENDENCYPART_ARC
(0,14),-6.6142 # DEPENDENCYPART_ARC
(0,15),-6.41642 # DEPENDENCYPART_ARC
(0,16),-8.49691 # DEPENDENCYPART_ARC
(0,17),-6.03474 # DEPENDENCYPART_ARC
(0,18),-7.34526 # DEPENDENCYPART_ARC
(1,2),0.932331 # DEPENDENCYPART_ARC
(1,3),0.474616 # DEPENDENCYPART_ARC
(1,4),-0.0260285 # DEPENDENCYPART_ARC
(1,5),0.207515 # DEPENDENCYPART_ARC
(1,6),-0.827048 # DEPENDENCYPART_ARC
(1,7),-1.28529 # DEPENDENCYPART_ARC
(1,8),-0.861706 # DEPENDENCYPART_ARC
(1,9),-1.5405 # DEPENDENCYPART_ARC
(1,10),0.0109083 # DEPENDENCYPART_ARC
(1,11),-1.32125 # DEPENDENCYPART_ARC
(1,12),-1.15667 # DEPENDENCYPART_ARC
(1,13),-1.41523 # DEPENDENCYPART_ARC
(1,14),-1.58294 # DEPENDENCYPART_ARC
(1,15),-1.66578 # DEPENDENCYPART_ARC
(1,16),-1.84245 # DEPENDENCYPART_ARC
(1,17),-1.95117 # DEPENDENCYPART_ARC
(1,18),-0.613475 # DEPENDENCYPART_ARC
(2,1),1.17419 # DEPENDENCYPART_ARC
(2,3),1.07381 # DEPENDENCYPART_ARC
(2,4),0.0226341 # DEPENDENCYPART_ARC
(2,5),0.777207 # DEPENDENCYPART_ARC
(2,6),-0.621259 # DEPENDENCYPART_ARC
(2,7),-0.589632 # DEPENDENCYPART_ARC
(2,8),-0.513061 # DEPENDENCYPART_ARC
(2,9),-1.00409 # DEPENDENCYPART_ARC
(2,10),0.410956 # DEPENDENCYPART_ARC
(2,11),-0.448981 # DEPENDENCYPART_ARC
(2,12),-0.954485 # DEPENDENCYPART_ARC
(2,13),-1.04043 # DEPENDENCYPART_ARC
(2,14),-1.53328 # DEPENDENCYPART_ARC
(2,15),-1.71836 # DEPENDENCYPART_ARC
(2,16),-2.12623 # DEPENDENCYPART_ARC
(2,17),-1.47053 # DEPENDENCYPART_ARC
(2,18),-0.690952 # DEPENDENCYPART_ARC
(3,1),4.76756 # DEPENDENCYPART_ARC
(3,2),5.0706 # DEPENDENCYPART_ARC
(3,4),1.90647 # DEPENDENCYPART_ARC
(3,5),2.67441 # DEPENDENCYPART_ARC
(3,6),0.598312 # DEPENDENCYPART_ARC
(3,7),0.918165 # DEPENDENCYPART_ARC
(3,8),0.371521 # DEPENDENCYPART_ARC
(3,9),0.524609 # DEPENDENCYPART_ARC
(3,10),2.26801 # DEPENDENCYPART_ARC
(3,11),0.192605 # DEPENDENCYPART_ARC
(3,12),-0.112516 # DEPENDENCYPART_ARC
(3,13),-0.342698 # DEPENDENCYPART_ARC
(3,14),-0.763171 # DEPENDENCYPART_ARC
(3,15),-1.05362 # DEPENDENCYPART_ARC
(3,16),-0.639098 # DEPENDENCYPART_ARC
(3,17),-1.33892 # DEPENDENCYPART_ARC
(3,18),-0.101056 # DEPENDENCYPART_ARC
(4,1),-1.1734 # DEPENDENCYPART_ARC
(4,2),-1.53437 # DEPENDENCYPART_ARC
(4,3),-1.23818 # DEPENDENCYPART_ARC
(4,5),-0.430999 # DEPENDENCYPART_ARC
(4,6),-0.912727 # DEPENDENCYPART_ARC
(4,7),-1.18756 # DEPENDENCYPART_ARC
(4,8),-1.38007 # DEPENDENCYPART_ARC
(4,9),-1.6328 # DEPENDENCYPART_ARC
(4,10),-0.133104 # DEPENDENCYPART_ARC
(4,11),-1.64382 # DEPENDENCYPART_ARC
(4,12),-1.94014 # DEPENDENCYPART_ARC
(4,13),-2.27297 # DEPENDENCYPART_ARC
(4,14),-2.50677 # DEPENDENCYPART_ARC
(4,15),-2.68608 # DEPENDENCYPART_ARC
(4,16),-2.96251 # DEPENDENCYPART_ARC
(4,17),-2.991 # DEPENDENCYPART_ARC
(4,18),-1.97123 # DEPENDENCYPART_ARC
(5,1),-0.925882 # DEPENDENCYPART_ARC
(5,2),-0.544638 # DEPENDENCYPART_ARC
(5,3),-0.70709 # DEPENDENCYPART_ARC
(5,4),0.363173 # DEPENDENCYPART_ARC
(5,6),2.46137 # DEPENDENCYPART_ARC
(5,7),2.76301 # DEPENDENCYPART_ARC
(5,8),0.942704 # DEPENDENCYPART_ARC
(5,9),1.5512 # DEPENDENCYPART_ARC
(5,10),0.0218657 # DEPENDENCYPART_ARC
(5,11),0.546689 # DEPENDENCYPART_ARC
(5,12),0.334705 # DEPENDENCYPART_ARC
(5,13),0.265369 # DEPENDENCYPART_ARC
(5,14),-0.425116 # DEPENDENCYPART_ARC
(5,15),-0.525987 # DEPENDENCYPART_ARC
(5,16),-0.185917 # DEPENDENCYPART_ARC
(5,17),0.74013 # DEPENDENCYPART_ARC
(5,18),0.486324 # DEPENDENCYPART_ARC
(6,1),-1.50885 # DEPENDENCYPART_ARC
(6,2),-1.59462 # DEPENDENCYPART_ARC
(6,3),-2.15441 # DEPENDENCYPART_ARC
(6,4),-1.4335 # DEPENDENCYPART_ARC
(6,5),-0.613313 # DEPENDENCYPART_ARC
(6,7),1.86137 # DEPENDENCYPART_ARC
(6,8),2.38166 # DEPENDENCYPART_ARC
(6,9),0.797231 # DEPENDENCYPART_ARC
(6,10),0.514506 # DEPENDENCYPART_ARC
(6,11),-0.57339 # DEPENDENCYPART_ARC
(6,12),-1.03085 # DEPENDENCYPART_ARC
(6,13),-1.51725 # DEPENDENCYPART_ARC
(6,14),-1.20252 # DEPENDENCYPART_ARC
(6,15),-1.23647 # DEPENDENCYPART_ARC
(6,16),-1.62537 # DEPENDENCYPART_ARC
(6,17),-1.72974 # DEPENDENCYPART_ARC
(6,18),-0.781863 # DEPENDENCYPART_ARC
(7,1),0.844393 # DEPENDENCYPART_ARC
(7,2),1.50928 # DEPENDENCYPART_ARC
(7,3),0.41502 # DEPENDENCYPART_ARC
(7,4),0.370019 # DEPENDENCYPART_ARC
(7,5),1.47783 # DEPENDENCYPART_ARC
(7,6),4.78817 # DEPENDENCYPART_ARC
(7,8),4.3736 # DEPENDENCYPART_ARC
(7,9),2.35322 # DEPENDENCYPART_ARC
(7,10),2.5131 # DEPENDENCYPART_ARC
(7,11),0.910286 # DEPENDENCYPART_ARC
(7,12),0.457239 # DEPENDENCYPART_ARC
(7,13),-0.0199449 # DEPENDENCYPART_ARC
