# _root_ If you side with the arbitragers and raiders , you clearly have more to fear from private investors than from regulators , although the Delaware courts should never be underestimated .
#goldHeads=12,3,1,3,6,4,6,7,12,12,12,0,12,13,14,15,18,16,13,19,20,12,12,26,26,27,23,27,27,29,12,
#predictedHeads=12,3,1,3,6,4,6,7,12,12,12,0,12,13,14,15,18,16,13,19,20,12,12,26,26,27,23,27,27,29,12,
(0,1),-5.96689 # DEPENDENCYPART_ARC
(0,2),-5.88683 # DEPENDENCYPART_ARC
(0,3),-3.79313 # DEPENDENCYPART_ARC
(0,4),-6.9627 # DEPENDENCYPART_ARC
(0,5),-7.61213 # DEPENDENCYPART_ARC
(0,6),-6.73261 # DEPENDENCYPART_ARC
(0,7),-7.65199 # DEPENDENCYPART_ARC
(0,8),-6.79785 # DEPENDENCYPART_ARC
(0,9),-7.14977 # DEPENDENCYPART_ARC
(0,10),-4.93933 # DEPENDENCYPART_ARC
(0,11),-7.65987 # DEPENDENCYPART_ARC
(0,12),-3.55728 # DEPENDENCYPART_ARC
(0,13),-7.56783 # DEPENDENCYPART_ARC
(0,14),-7.58957 # DEPENDENCYPART_ARC
(0,15),-4.95352 # DEPENDENCYPART_ARC
(0,16),-7.56634 # DEPENDENCYPART_ARC
(0,17),-7.31368 # DEPENDENCYPART_ARC
(0,18),-7.50172 # DEPENDENCYPART_ARC
(0,19),-8.60839 # DEPENDENCYPART_ARC
(0,20),-8.59856 # DEPENDENCYPART_ARC
(0,21),-6.85468 # DEPENDENCYPART_ARC
(0,22),-8.83802 # DEPENDENCYPART_ARC
(0,23),-8.14423 # DEPENDENCYPART_ARC
(0,24),-9.43807 # DEPENDENCYPART_ARC
(0,25),-6.33536 # DEPENDENCYPART_ARC
(0,26),-6.5666 # DEPENDENCYPART_ARC
(0,27),-3.89681 # DEPENDENCYPART_ARC
(0,28),-9.94603 # DEPENDENCYPART_ARC
(0,29),-7.02802 # DEPENDENCYPART_ARC
(0,30),-7.20827 # DEPENDENCYPART_ARC
(0,31),-5.92528 # DEPENDENCYPART_ARC
(1,2),0.884166 # DEPENDENCYPART_ARC
(1,3),4.18688 # DEPENDENCYPART_ARC
(1,4),0.224121 # DEPENDENCYPART_ARC
(1,5),-1.4674 # DEPENDENCYPART_ARC
(1,6),-2.86344 # DEPENDENCYPART_ARC
(1,7),-0.0613829 # DEPENDENCYPART_ARC
(1,8),-4.08619 # DEPENDENCYPART_ARC
(1,9),1.15744 # DEPENDENCYPART_ARC
(1,10),-2.44824 # DEPENDENCYPART_ARC
