# _root_ The A-men batting Nos. 6 through 9 , a.k.a. the `` bottom of the order , '' got seven of their team 's 11 hits and scored four of its runs in a 5-0 decision .
#goldHeads=2,18,2,3,4,4,4,12,12,12,12,4,12,15,13,12,12,0,18,19,22,25,22,25,20,18,26,27,28,31,29,27,35,35,32,18,
#predictedHeads=2,18,2,3,4,3,6,4,12,12,12,18,12,15,13,12,18,0,18,19,22,25,22,25,20,18,26,27,28,31,29,31,35,35,32,18,
(0,1),-6.1514 # DEPENDENCYPART_ARC
(0,2),-6.03362 # DEPENDENCYPART_ARC
(0,3),-6.00735 # DEPENDENCYPART_ARC
(0,4),-5.77794 # DEPENDENCYPART_ARC
(0,5),-7.65998 # DEPENDENCYPART_ARC
(0,6),-7.43807 # DEPENDENCYPART_ARC
(0,7),-7.96939 # DEPENDENCYPART_ARC
(0,8),-6.69599 # DEPENDENCYPART_ARC
(0,9),-6.62261 # DEPENDENCYPART_ARC
(0,10),-7.64058 # DEPENDENCYPART_ARC
(0,11),-7.03042 # DEPENDENCYPART_ARC
(0,12),-6.31694 # DEPENDENCYPART_ARC
(0,13),-7.97387 # DEPENDENCYPART_ARC
(0,14),-8.16474 # DEPENDENCYPART_ARC
(0,15),-6.62102 # DEPENDENCYPART_ARC
(0,16),-7.8818 # DEPENDENCYPART_ARC
(0,17),-6.90548 # DEPENDENCYPART_ARC
(0,18),-2.39981 # DEPENDENCYPART_ARC
(0,19),-9.17398 # DEPENDENCYPART_ARC
(0,20),-8.93261 # DEPENDENCYPART_ARC
(0,21),-7.82265 # DEPENDENCYPART_ARC
(0,22),-6.58896 # DEPENDENCYPART_ARC
(0,23),-8.35122 # DEPENDENCYPART_ARC
(0,24),-9.58039 # DEPENDENCYPART_ARC
(0,25),-7.59522 # DEPENDENCYPART_ARC
(0,26),-9.72569 # DEPENDENCYPART_ARC
(0,27),-4.20328 # DEPENDENCYPART_ARC
(0,28),-10.2767 # DEPENDENCYPART_ARC
(0,29),-10.2653 # DEPENDENCYPART_ARC
(0,30),-8.75126 # DEPENDENCYPART_ARC
(0,31),-9.40855 # DEPENDENCYPART_ARC
(0,32),-11.1937 # DEPENDENCYPART_ARC
(0,33),-10.1003 # DEPENDENCYPART_ARC
(0,34),-10.8673 # DEPENDENCYPART_ARC
(0,35),-7.50486 # DEPENDENCYPART_ARC
(0,36),-5.87891 # DEPENDENCYPART_ARC
(1,2),-0.761582 # DEPENDENCYPART_ARC
(1,3),-1.10165 # DEPENDENCYPART_ARC
(1,4),-1.60148 # DEPENDENCYPART_ARC
(1,5),-1.93028 # DEPENDENCYPART_ARC
(1,6),-1.90422 # DEPENDENCYPART_ARC
(1,7),-2.08588 # DEPENDENCYPART_ARC
(1,8),-0.907376 # DEPENDENCYPART_ARC
(1,9),-2.52486 # DEPENDENCYPART_ARC
(1,10),-3.19823 # DEPENDENCYPART_ARC
(1,11),-2.64565 # DEPENDENCYPART_ARC
(1,12),-3.04958 # DEPENDENCYPART_ARC
(1,13),-3.10315 # DEPENDENCYPART_ARC
(1,14),-3.84067 # DEPENDENCYPART_ARC
(1,15),-3.35815 # DEPENDENCYPART_ARC
(1,16),-2.09563 # DEPENDENCYPART_ARC
(1,17),-2.768 # DEPENDENCYPART_ARC
(1,18),-4.17841 # DEPENDENCYPART_ARC
(1,19),-4.17363 # DEPENDENCYPART_ARC
