# _root_ `` Because Tokyo did n't collapse , let 's pick up a little stock , '' Mr. Smith said .
#goldHeads=19,8,4,2,4,4,8,19,8,8,10,14,14,10,19,19,18,19,0,19,
#predictedHeads=19,8,4,2,4,19,6,6,8,8,10,14,14,10,19,19,18,19,0,19,
(0,1),-6.40454 # DEPENDENCYPART_ARC
(0,2),-5.9613 # DEPENDENCYPART_ARC
(0,3),-5.13485 # DEPENDENCYPART_ARC
(0,4),-3.27586 # DEPENDENCYPART_ARC
(0,5),-6.54089 # DEPENDENCYPART_ARC
(0,6),-5.35558 # DEPENDENCYPART_ARC
(0,7),-6.58365 # DEPENDENCYPART_ARC
(0,8),-4.73333 # DEPENDENCYPART_ARC
(0,9),-7.79028 # DEPENDENCYPART_ARC
(0,10),-5.5309 # DEPENDENCYPART_ARC
(0,11),-6.63259 # DEPENDENCYPART_ARC
(0,12),-7.48947 # DEPENDENCYPART_ARC
(0,13),-7.3475 # DEPENDENCYPART_ARC
(0,14),-6.31575 # DEPENDENCYPART_ARC
(0,15),-7.54774 # DEPENDENCYPART_ARC
(0,16),-6.8208 # DEPENDENCYPART_ARC
(0,17),-7.07728 # DEPENDENCYPART_ARC
(0,18),-5.837 # DEPENDENCYPART_ARC
(0,19),1.62478 # DEPENDENCYPART_ARC
(0,20),-5.99183 # DEPENDENCYPART_ARC
(1,2),-2.44458 # DEPENDENCYPART_ARC
(1,3),-2.54273 # DEPENDENCYPART_ARC
(1,4),-2.7372 # DEPENDENCYPART_ARC
(1,5),-3.08984 # DEPENDENCYPART_ARC
(1,6),-3.42718 # DEPENDENCYPART_ARC
(1,7),-2.74291 # DEPENDENCYPART_ARC
(1,8),-3.68088 # DEPENDENCYPART_ARC
(1,9),-3.9155 # DEPENDENCYPART_ARC
(1,10),-3.896 # DEPENDENCYPART_ARC
(1,11),-3.90404 # DEPENDENCYPART_ARC
(1,12),-4.4184 # DEPENDENCYPART_ARC
(1,13),-3.92357 # DEPENDENCYPART_ARC
(1,14),-4.24647 # DEPENDENCYPART_ARC
(1,15),-3.59659 # DEPENDENCYPART_ARC
(1,16),-2.35597 # DEPENDENCYPART_ARC
(1,17),-4.64987 # DEPENDENCYPART_ARC
