# _root_ Two years ago , Tokyo 's biggest fall came the day after New York 's 22.6 % Black Monday plunge , when the Nikkei average fell 14.9 % .
#goldHeads=2,3,9,9,8,5,8,9,0,11,9,11,14,20,14,17,20,20,20,12,11,26,25,25,26,11,28,26,9,
#predictedHeads=2,3,26,9,8,5,8,9,0,11,9,9,14,20,14,17,20,20,20,12,20,26,25,25,26,9,28,26,9,
(0,1),-6.48974 # DEPENDENCYPART_ARC
(0,2),-6.36046 # DEPENDENCYPART_ARC
(0,3),-6.42917 # DEPENDENCYPART_ARC
(0,4),-6.59536 # DEPENDENCYPART_ARC
(0,5),-6.55984 # DEPENDENCYPART_ARC
(0,6),-7.66102 # DEPENDENCYPART_ARC
(0,7),-7.32021 # DEPENDENCYPART_ARC
(0,8),-6.2917 # DEPENDENCYPART_ARC
(0,9),-2.27272 # DEPENDENCYPART_ARC
(0,10),-7.67027 # DEPENDENCYPART_ARC
(0,11),-6.6464 # DEPENDENCYPART_ARC
(0,12),-7.54134 # DEPENDENCYPART_ARC
(0,13),-6.91094 # DEPENDENCYPART_ARC
(0,14),-7.22222 # DEPENDENCYPART_ARC
(0,15),-9.25201 # DEPENDENCYPART_ARC
(0,16),-8.76802 # DEPENDENCYPART_ARC
(0,17),-7.6616 # DEPENDENCYPART_ARC
(0,18),-8.12456 # DEPENDENCYPART_ARC
(0,19),-8.17041 # DEPENDENCYPART_ARC
(0,20),-8.13928 # DEPENDENCYPART_ARC
(0,21),-8.86357 # DEPENDENCYPART_ARC
(0,22),-5.80069 # DEPENDENCYPART_ARC
(0,23),-9.25569 # DEPENDENCYPART_ARC
(0,24),-9.38955 # DEPENDENCYPART_ARC
(0,25),-8.60621 # DEPENDENCYPART_ARC
(0,26),-4.39935 # DEPENDENCYPART_ARC
(0,27),-10.0102 # DEPENDENCYPART_ARC
(0,28),-9.75818 # DEPENDENCYPART_ARC
(0,29),-6.18972 # DEPENDENCYPART_ARC
(1,2),0.684937 # DEPENDENCYPART_ARC
(1,3),-0.261309 # DEPENDENCYPART_ARC
(1,4),0.472783 # DEPENDENCYPART_ARC
(1,5),-0.47094 # DEPENDENCYPART_ARC
(1,6),-0.147763 # DEPENDENCYPART_ARC
(1,7),-1.17193 # DEPENDENCYPART_ARC
(1,8),-0.375901 # DEPENDENCYPART_ARC
(1,9),-0.585951 # DEPENDENCYPART_ARC
(1,10),-1.30854 # DEPENDENCYPART_ARC
(1,11),-0.542301 # DEPENDENCYPART_ARC
(1,12),-1.53301 # DEPENDENCYPART_ARC
(1,13),-1.21831 # DEPENDENCYPART_ARC
(1,14),-1.04947 # DEPENDENCYPART_ARC
(1,15),-1.09803 # DEPENDENCYPART_ARC
(1,16),-1.81579 # DEPENDENCYPART_ARC
(1,17),-1.1167 # DEPENDENCYPART_ARC
(1,18),-1.40592 # DEPENDENCYPART_ARC
(1,19),-1.36138 # DEPENDENCYPART_ARC
(1,20),-1.45581 # DEPENDENCYPART_ARC
(1,21),0.0825279 # DEPENDENCYPART_ARC
(1,22),-2.68656 # DEPENDENCYPART_ARC
(1,23),-2.78571 # DEPENDENCYPART_ARC
(1,24),-1.80787 # DEPENDENCYPART_ARC
(1,25),-2.03669 # DEPENDENCYPART_ARC
(1,26),-2.11002 # DEPENDENCYPART_ARC
(1,27),-2.84158 # DEPENDENCYPART_ARC
(1,28),-2.75956 # DEPENDENCYPART_ARC
(1,29),-2.839 # DEPENDENCYPART_ARC
(2,1),4.0371 # DEPENDENCYPART_ARC
(2,3),1.7541 # DEPENDENCYPART_ARC
(2,4),-0.672065 # DEPENDENCYPART_ARC
(2,5),-0.0713684 # DEPENDENCYPART_ARC
(2,6),0.420974 # DEPENDENCYPART_ARC
(2,7),-0.531325 # DEPENDENCYPART_ARC
(2,8),-0.167681 # DEPENDENCYPART_ARC
(2,9),-0.55443 # DEPENDENCYPART_ARC
(2,10),-0.742891 # DEPENDENCYPART_ARC
(2,11),-0.414483 # DEPENDENCYPART_ARC
(2,12),-1.14551 # DEPENDENCYPART_ARC
(2,13),-1.1198 # DEPENDENCYPART_ARC
(2,14),-0.899584 # DEPENDENCYPART_ARC
(2,15),-1.16951 # DEPENDENCYPART_ARC
(2,16),-0.774202 # DEPENDENCYPART_ARC
(2,17),-1.99954 # DEPENDENCYPART_ARC
(2,18),-0.846893 # DEPENDENCYPART_ARC
(2,19),-1.60933 # DEPENDENCYPART_ARC
(2,20),-2.00102 # DEPENDENCYPART_ARC
(2,21),-0.138415 # DEPENDENCYPART_ARC
(2,22),-2.46365 # DEPENDENCYPART_ARC
(2,23),-2.14603 # DEPENDENCYPART_ARC
(2,24),-2.0687 # DEPENDENCYPART_ARC
(2,25),-2.4149 # DEPENDENCYPART_ARC
(2,26),-1.88974 # DEPENDENCYPART_ARC
(2,27),-1.13861 # DEPENDENCYPART_ARC
(2,28),-3.98087 # DEPENDENCYPART_ARC
