# _root_ The DAX Index of 30 West German blue chips plunged 12.8 % , a one-day record , wiping out the summer 's gains .
#goldHeads=3,3,10,3,9,9,9,9,4,0,12,10,12,16,16,12,12,10,18,21,23,21,18,10,
#predictedHeads=3,3,10,3,9,7,9,9,10,0,12,10,10,16,16,10,10,10,18,21,23,21,18,10,
(0,1),-6.20509 # DEPENDENCYPART_ARC
(0,2),-5.84574 # DEPENDENCYPART_ARC
(0,3),-5.55947 # DEPENDENCYPART_ARC
(0,4),-7.41679 # DEPENDENCYPART_ARC
(0,5),-7.50992 # DEPENDENCYPART_ARC
(0,6),-6.48633 # DEPENDENCYPART_ARC
(0,7),-6.46619 # DEPENDENCYPART_ARC
(0,8),-6.30112 # DEPENDENCYPART_ARC
(0,9),-6.03883 # DEPENDENCYPART_ARC
(0,10),-3.37499 # DEPENDENCYPART_ARC
(0,11),-8.19959 # DEPENDENCYPART_ARC
(0,12),-8.02613 # DEPENDENCYPART_ARC
(0,13),-7.52382 # DEPENDENCYPART_ARC
(0,14),-7.84133 # DEPENDENCYPART_ARC
(0,15),-6.66547 # DEPENDENCYPART_ARC
(0,16),-8.10026 # DEPENDENCYPART_ARC
(0,17),-8.23092 # DEPENDENCYPART_ARC
(0,18),-6.82829 # DEPENDENCYPART_ARC
(0,19),-7.50475 # DEPENDENCYPART_ARC
(0,20),-8.86187 # DEPENDENCYPART_ARC
(0,21),-8.05 # DEPENDENCYPART_ARC
(0,22),-10.15 # DEPENDENCYPART_ARC
(0,23),-7.11806 # DEPENDENCYPART_ARC
(0,24),-6.20155 # DEPENDENCYPART_ARC
(1,2),-0.572355 # DEPENDENCYPART_ARC
(1,3),-1.01075 # DEPENDENCYPART_ARC
(1,4),-0.417331 # DEPENDENCYPART_ARC
(1,5),-0.936869 # DEPENDENCYPART_ARC
(1,6),-1.43914 # DEPENDENCYPART_ARC
(1,7),-1.63335 # DEPENDENCYPART_ARC
(1,8),-1.75244 # DEPENDENCYPART_ARC
(1,9),-1.78734 # DEPENDENCYPART_ARC
(1,10),-1.50744 # DEPENDENCYPART_ARC
(1,11),-1.72765 # DEPENDENCYPART_ARC
