# _root_ At its low , shortly before Wall Street opened , it was off more than 130 points .
#goldHeads=12,3,1,12,6,12,8,9,6,12,12,0,12,16,16,17,13,12,
#predictedHeads=12,3,1,3,6,12,8,9,6,12,12,0,12,16,16,17,13,12,
(0,1),-7.29181 # DEPENDENCYPART_ARC
(0,2),-6.34507 # DEPENDENCYPART_ARC
(0,3),-6.18739 # DEPENDENCYPART_ARC
(0,4),-6.62784 # DEPENDENCYPART_ARC
(0,5),-7.01225 # DEPENDENCYPART_ARC
(0,6),-6.24742 # DEPENDENCYPART_ARC
(0,7),-5.69632 # DEPENDENCYPART_ARC
(0,8),-4.45175 # DEPENDENCYPART_ARC
(0,9),-3.16582 # DEPENDENCYPART_ARC
(0,10),-7.15233 # DEPENDENCYPART_ARC
(0,11),-5.02466 # DEPENDENCYPART_ARC
(0,12),-2.57989 # DEPENDENCYPART_ARC
(0,13),-7.08346 # DEPENDENCYPART_ARC
(0,14),-7.0032 # DEPENDENCYPART_ARC
(0,15),-7.69755 # DEPENDENCYPART_ARC
(0,16),-8.81383 # DEPENDENCYPART_ARC
(0,17),-5.86511 # DEPENDENCYPART_ARC
(0,18),-6.93335 # DEPENDENCYPART_ARC
(1,2),0.889539 # DEPENDENCYPART_ARC
(1,3),2.06159 # DEPENDENCYPART_ARC
(1,4),0.832366 # DEPENDENCYPART_ARC
(1,5),0.428948 # DEPENDENCYPART_ARC
(1,6),0.464776 # DEPENDENCYPART_ARC
(1,7),-1.35682 # DEPENDENCYPART_ARC
(1,8),-1.01028 # DEPENDENCYPART_ARC
(1,9),0.583197 # DEPENDENCYPART_ARC
(1,10),0.768103 # DEPENDENCYPART_ARC
(1,11),-0.598273 # DEPENDENCYPART_ARC
(1,12),-1.75328 # DEPENDENCYPART_ARC
(1,13),-0.644526 # DEPENDENCYPART_ARC
(1,14),-1.51219 # DEPENDENCYPART_ARC
(1,15),-1.15239 # DEPENDENCYPART_ARC
(1,16),-2.29521 # DEPENDENCYPART_ARC
(1,17),-2.48134 # DEPENDENCYPART_ARC
(1,18),1.16336 # DEPENDENCYPART_ARC
(2,1),-0.956127 # DEPENDENCYPART_ARC
(2,3),0.459156 # DEPENDENCYPART_ARC
(2,4),-0.132325 # DEPENDENCYPART_ARC
(2,5),-0.577569 # DEPENDENCYPART_ARC
(2,6),-0.685799 # DEPENDENCYPART_ARC
(2,7),-0.977428 # DEPENDENCYPART_ARC
(2,8),-1.41536 # DEPENDENCYPART_ARC
(2,9),-0.886969 # DEPENDENCYPART_ARC
(2,10),-0.712111 # DEPENDENCYPART_ARC
(2,11),-1.47314 # DEPENDENCYPART_ARC
(2,12),-1.19954 # DEPENDENCYPART_ARC
(2,13),-1.92827 # DEPENDENCYPART_ARC
(2,14),-1.82499 # DEPENDENCYPART_ARC
(2,15),-1.70206 # DEPENDENCYPART_ARC
(2,16),-2.37189 # DEPENDENCYPART_ARC
(2,17),-1.68575 # DEPENDENCYPART_ARC
(2,18),-1.45956 # DEPENDENCYPART_ARC
(3,1),0.360256 # DEPENDENCYPART_ARC
(3,2),2.37729 # DEPENDENCYPART_ARC
(3,4),1.43806 # DEPENDENCYPART_ARC
(3,5),0.183943 # DEPENDENCYPART_ARC
(3,6),-0.180918 # DEPENDENCYPART_ARC
(3,7),0.0571066 # DEPENDENCYPART_ARC
(3,8),-0.0340926 # DEPENDENCYPART_ARC
(3,9),-0.40859 # DEPENDENCYPART_ARC
(3,10),0.581654 # DEPENDENCYPART_ARC
(3,11),-0.563502 # DEPENDENCYPART_ARC
(3,12),-0.75118 # DEPENDENCYPART_ARC
(3,13),-0.495851 # DEPENDENCYPART_ARC
(3,14),-1.52853 # DEPENDENCYPART_ARC
(3,15),-0.465815 # DEPENDENCYPART_ARC
(3,16),-2.51285 # DEPENDENCYPART_ARC
(3,17),-1.15696 # DEPENDENCYPART_ARC
(3,18),0.271874 # DEPENDENCYPART_ARC
(4,1),-0.809672 # DEPENDENCYPART_ARC
(4,2),-0.167312 # DEPENDENCYPART_ARC
(4,3),-0.387583 # DEPENDENCYPART_ARC
(4,5),-0.370482 # DEPENDENCYPART_ARC
