# _root_ Institutional investors and bankers , many of whom spent the night before in their offices watching Far Eastern markets , were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .
#goldHeads=2,21,2,3,2,9,6,7,2,11,9,11,9,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
#predictedHeads=2,21,2,3,2,9,6,7,2,11,9,9,9,15,13,9,19,19,16,21,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
(0,1),-6.07076 # DEPENDENCYPART_ARC
(0,2),-6.99448 # DEPENDENCYPART_ARC
(0,3),-7.31925 # DEPENDENCYPART_ARC
(0,4),-6.85212 # DEPENDENCYPART_ARC
(0,5),-7.05401 # DEPENDENCYPART_ARC
(0,6),-7.43724 # DEPENDENCYPART_ARC
(0,7),-7.27393 # DEPENDENCYPART_ARC
(0,8),-7.15598 # DEPENDENCYPART_ARC
(0,9),-4.90524 # DEPENDENCYPART_ARC
(0,10),-7.93433 # DEPENDENCYPART_ARC
(0,11),-6.28799 # DEPENDENCYPART_ARC
(0,12),-8.21219 # DEPENDENCYPART_ARC
(0,13),-7.87182 # DEPENDENCYPART_ARC
(0,14),-7.55873 # DEPENDENCYPART_ARC
(0,15),-6.53644 # DEPENDENCYPART_ARC
(0,16),-7.38386 # DEPENDENCYPART_ARC
(0,17),-7.07691 # DEPENDENCYPART_ARC
(0,18),-6.69867 # DEPENDENCYPART_ARC
(0,19),-7.68748 # DEPENDENCYPART_ARC
(0,20),-8.68478 # DEPENDENCYPART_ARC
(0,21),-2.14928 # DEPENDENCYPART_ARC
(0,22),-9.23668 # DEPENDENCYPART_ARC
(0,23),-7.32372 # DEPENDENCYPART_ARC
(0,24),-8.6208 # DEPENDENCYPART_ARC
(0,25),-9.57446 # DEPENDENCYPART_ARC
(0,26),-7.50602 # DEPENDENCYPART_ARC
(0,27),-10.3273 # DEPENDENCYPART_ARC
(0,28),-8.34095 # DEPENDENCYPART_ARC
(0,29),-8.30873 # DEPENDENCYPART_ARC
(0,30),-10.2197 # DEPENDENCYPART_ARC
(0,31),-6.70699 # DEPENDENCYPART_ARC
(0,32),-9.0365 # DEPENDENCYPART_ARC
(0,33),-8.13959 # DEPENDENCYPART_ARC
(0,34),-7.46804 # DEPENDENCYPART_ARC
(1,2),1.12236 # DEPENDENCYPART_ARC
(1,3),0.628022 # DEPENDENCYPART_ARC
(1,4),0.268997 # DEPENDENCYPART_ARC
(1,5),0.671827 # DEPENDENCYPART_ARC
(1,6),-1.25477 # DEPENDENCYPART_ARC
(1,7),-0.279081 # DEPENDENCYPART_ARC
(1,8),-1.32057 # DEPENDENCYPART_ARC
(1,9),-0.34234 # DEPENDENCYPART_ARC
(1,10),-1.54871 # DEPENDENCYPART_ARC
(1,11),-1.34051 # DEPENDENCYPART_ARC
(1,12),-1.67066 # DEPENDENCYPART_ARC
(1,13),-1.5987 # DEPENDENCYPART_ARC
(1,14),-1.91307 # DEPENDENCYPART_ARC
(1,15),-1.45529 # DEPENDENCYPART_ARC
(1,16),-0.985438 # DEPENDENCYPART_ARC
(1,17),-1.58898 # DEPENDENCYPART_ARC
(1,18),-1.72641 # DEPENDENCYPART_ARC
(1,19),-1.99981 # DEPENDENCYPART_ARC
(1,20),0.173259 # DEPENDENCYPART_ARC
(1,21),-1.68634 # DEPENDENCYPART_ARC
(1,22),-2.27748 # DEPENDENCYPART_ARC
(1,23),-2.1619 # DEPENDENCYPART_ARC
(1,24),-2.4138 # DEPENDENCYPART_ARC
(1,25),-3.70095 # DEPENDENCYPART_ARC
(1,26),-2.50644 # DEPENDENCYPART_ARC
(1,27),-4.48493 # DEPENDENCYPART_ARC
(1,28),-3.22519 # DEPENDENCYPART_ARC
(1,29),-3.46139 # DEPENDENCYPART_ARC
(1,30),-3.0503 # DEPENDENCYPART_ARC
(1,31),-3.57573 # DEPENDENCYPART_ARC
(1,32),-3.679 # DEPENDENCYPART_ARC
(1,33),-3.06781 # DEPENDENCYPART_ARC
(1,34),-0.173394 # DEPENDENCYPART_ARC
(2,1),3.82323 # DEPENDENCYPART_ARC
(2,3),3.86348 # DEPENDENCYPART_ARC
(2,4),1.40844 # DEPENDENCYPART_ARC
(2,5),1.60492 # DEPENDENCYPART_ARC
(2,6),0.302882 # DEPENDENCYPART_ARC
(2,7),0.0272573 # DEPENDENCYPART_ARC
(2,8),-0.978763 # DEPENDENCYPART_ARC
(2,9),2.34411 # DEPENDENCYPART_ARC
(2,10),-0.16456 # DEPENDENCYPART_ARC
(2,11),-0.353557 # DEPENDENCYPART_ARC
(2,12),0.0110973 # DEPENDENCYPART_ARC
(2,13),-1.09487 # DEPENDENCYPART_ARC
(2,14),-1.1297 # DEPENDENCYPART_ARC
(2,15),-0.869493 # DEPENDENCYPART_ARC
(2,16),0.192199 # DEPENDENCYPART_ARC
(2,17),-0.130526 # DEPENDENCYPART_ARC
(2,18),-0.17067 # DEPENDENCYPART_ARC
(2,19),-1.00427 # DEPENDENCYPART_ARC
(2,20),1.33248 # DEPENDENCYPART_ARC
(2,21),0.0470376 # DEPENDENCYPART_ARC
