# _root_ The cold guys in the set were Will Clark , Kevin Mitchell and Matt Williams , the Giants ' 3-4-5 hitters .
#goldHeads=3,3,7,3,6,4,0,9,7,9,12,9,12,15,13,9,18,21,18,21,9,7,
#predictedHeads=3,3,7,3,6,4,0,9,7,9,12,9,12,15,13,15,18,21,18,21,12,7,
(0,1),-6.21005 # DEPENDENCYPART_ARC
(0,2),-6.06959 # DEPENDENCYPART_ARC
(0,3),-6.66563 # DEPENDENCYPART_ARC
(0,4),-6.98285 # DEPENDENCYPART_ARC
(0,5),-7.39517 # DEPENDENCYPART_ARC
(0,6),-6.18543 # DEPENDENCYPART_ARC
(0,7),-2.01722 # DEPENDENCYPART_ARC
(0,8),-5.83284 # DEPENDENCYPART_ARC
(0,9),-6.03984 # DEPENDENCYPART_ARC
(0,10),-7.22284 # DEPENDENCYPART_ARC
(0,11),-7.19864 # DEPENDENCYPART_ARC
(0,12),-6.89618 # DEPENDENCYPART_ARC
(0,13),-7.97662 # DEPENDENCYPART_ARC
(0,14),-7.68924 # DEPENDENCYPART_ARC
(0,15),-7.61079 # DEPENDENCYPART_ARC
(0,16),-7.85288 # DEPENDENCYPART_ARC
(0,17),-8.46701 # DEPENDENCYPART_ARC
(0,18),-8.61733 # DEPENDENCYPART_ARC
(0,19),-7.99009 # DEPENDENCYPART_ARC
(0,20),-9.0006 # DEPENDENCYPART_ARC
(0,21),-6.29527 # DEPENDENCYPART_ARC
(0,22),-5.85909 # DEPENDENCYPART_ARC
(1,2),-0.285635 # DEPENDENCYPART_ARC
(1,3),-0.748561 # DEPENDENCYPART_ARC
(1,4),-1.2233 # DEPENDENCYPART_ARC
(1,5),-2.17959 # DEPENDENCYPART_ARC
(1,6),-1.54119 # DEPENDENCYPART_ARC
(1,7),-1.52361 # DEPENDENCYPART_ARC
(1,8),-2.23438 # DEPENDENCYPART_ARC
(1,9),-2.29675 # DEPENDENCYPART_ARC
(1,10),-1.23005 # DEPENDENCYPART_ARC
(1,11),-2.38122 # DEPENDENCYPART_ARC
(1,12),-2.69085 # DEPENDENCYPART_ARC
(1,13),-2.46705 # DEPENDENCYPART_ARC
(1,14),-2.88151 # DEPENDENCYPART_ARC
(1,15),-2.90919 # DEPENDENCYPART_ARC
(1,16),-1.56482 # DEPENDENCYPART_ARC
(1,17),-3.59391 # DEPENDENCYPART_ARC
(1,18),-3.26463 # DEPENDENCYPART_ARC
(1,19),-3.43173 # DEPENDENCYPART_ARC
(1,20),-3.45247 # DEPENDENCYPART_ARC
(1,21),-3.31379 # DEPENDENCYPART_ARC
(1,22),-2.70624 # DEPENDENCYPART_ARC
(2,1),1.64628 # DEPENDENCYPART_ARC
(2,3),0.768482 # DEPENDENCYPART_ARC
(2,4),-0.174963 # DEPENDENCYPART_ARC
(2,5),-0.869148 # DEPENDENCYPART_ARC
(2,6),-0.523534 # DEPENDENCYPART_ARC
(2,7),-0.245738 # DEPENDENCYPART_ARC
(2,8),-0.962434 # DEPENDENCYPART_ARC
(2,9),-1.18454 # DEPENDENCYPART_ARC
(2,10),-0.219043 # DEPENDENCYPART_ARC
(2,11),-1.08163 # DEPENDENCYPART_ARC
(2,12),-1.3991 # DEPENDENCYPART_ARC
(2,13),-0.46984 # DEPENDENCYPART_ARC
(2,14),-1.46032 # DEPENDENCYPART_ARC
(2,15),-1.56221 # DEPENDENCYPART_ARC
(2,16),-0.554689 # DEPENDENCYPART_ARC
(2,17),-2.5238 # DEPENDENCYPART_ARC
(2,18),-1.91211 # DEPENDENCYPART_ARC
(2,19),-1.58441 # DEPENDENCYPART_ARC
(2,20),-3.62404 # DEPENDENCYPART_ARC
(2,21),-1.90983 # DEPENDENCYPART_ARC
(2,22),-0.66245 # DEPENDENCYPART_ARC
(3,1),4.64789 # DEPENDENCYPART_ARC
(3,2),4.53058 # DEPENDENCYPART_ARC
(3,4),2.8817 # DEPENDENCYPART_ARC
(3,5),0.823751 # DEPENDENCYPART_ARC
(3,6),1.68127 # DEPENDENCYPART_ARC
(3,7),1.54514 # DEPENDENCYPART_ARC
(3,8),0.707977 # DEPENDENCYPART_ARC
(3,9),1.11692 # DEPENDENCYPART_ARC
(3,10),1.07827 # DEPENDENCYPART_ARC
(3,11),0.37897 # DEPENDENCYPART_ARC
(3,12),0.77181 # DEPENDENCYPART_ARC
(3,13),0.829163 # DEPENDENCYPART_ARC
(3,14),0.122409 # DEPENDENCYPART_ARC
(3,15),0.458026 # DEPENDENCYPART_ARC
(3,16),1.05514 # DEPENDENCYPART_ARC
(3,17),-0.296646 # DEPENDENCYPART_ARC
(3,18),-0.150984 # DEPENDENCYPART_ARC
(3,19),0.164092 # DEPENDENCYPART_ARC
(3,20),0.349959 # DEPENDENCYPART_ARC
(3,21),-0.841563 # DEPENDENCYPART_ARC
(3,22),0.790803 # DEPENDENCYPART_ARC
(4,1),-0.120329 # DEPENDENCYPART_ARC
(4,2),-0.409376 # DEPENDENCYPART_ARC
(4,3),0.312905 # DEPENDENCYPART_ARC
(4,5),0.831431 # DEPENDENCYPART_ARC
(4,6),4.26742 # DEPENDENCYPART_ARC
(4,7),1.37869 # DEPENDENCYPART_ARC
(4,8),-0.0251189 # DEPENDENCYPART_ARC
(4,9),1.21112 # DEPENDENCYPART_ARC
(4,10),0.374265 # DEPENDENCYPART_ARC
(4,11),-1.98029 # DEPENDENCYPART_ARC
(4,12),-0.619537 # DEPENDENCYPART_ARC
(4,13),0.144994 # DEPENDENCYPART_ARC
(4,14),-3.24827 # DEPENDENCYPART_ARC
(4,15),-2.55368 # DEPENDENCYPART_ARC
(4,16),-0.201841 # DEPENDENCYPART_ARC
(4,17),-2.84593 # DEPENDENCYPART_ARC
(4,18),-5.0046 # DEPENDENCYPART_ARC
(4,19),-1.12477 # DEPENDENCYPART_ARC
(4,20),-4.22231 # DEPENDENCYPART_ARC
(4,21),-4.26885 # DEPENDENCYPART_ARC
(4,22),-0.335665 # DEPENDENCYPART_ARC
(5,1),-1.71198 # DEPENDENCYPART_ARC
(5,2),-1.86204 # DEPENDENCYPART_ARC
(5,3),-1.99797 # DEPENDENCYPART_ARC
(5,4),-0.556214 # DEPENDENCYPART_ARC
(5,6),0.311327 # DEPENDENCYPART_ARC
(5,7),-0.461832 # DEPENDENCYPART_ARC
(5,8),-1.63694 # DEPENDENCYPART_ARC
(5,9),-1.71706 # DEPENDENCYPART_ARC
(5,10),-1.67434 # DEPENDENCYPART_ARC
(5,11),-2.20082 # DEPENDENCYPART_ARC
(5,12),-2.29635 # DEPENDENCYPART_ARC
(5,13),-2.18814 # DEPENDENCYPART_ARC
(5,14),-2.50651 # DEPENDENCYPART_ARC
(5,15),-2.4922 # DEPENDENCYPART_ARC
(5,16),-1.73302 # DEPENDENCYPART_ARC
(5,17),-3.43452 # DEPENDENCYPART_ARC
(5,18),-3.12029 # DEPENDENCYPART_ARC
(5,19),-3.21875 # DEPENDENCYPART_ARC
(5,20),-3.15593 # DEPENDENCYPART_ARC
(5,21),-3.24331 # DEPENDENCYPART_ARC
(5,22),-3.12056 # DEPENDENCYPART_ARC
(6,1),-0.130548 # DEPENDENCYPART_ARC
(6,2),-0.0232941 # DEPENDENCYPART_ARC
(6,3),-0.6489 # DEPENDENCYPART_ARC
(6,4),0.247313 # DEPENDENCYPART_ARC
(6,5),4.3735 # DEPENDENCYPART_ARC
(6,7),1.71771 # DEPENDENCYPART_ARC
(6,8),0.288751 # DEPENDENCYPART_ARC
(6,9),0.601778 # DEPENDENCYPART_ARC
(6,10),0.517943 # DEPENDENCYPART_ARC
(6,11),-0.171917 # DEPENDENCYPART_ARC
(6,12),-0.272609 # DEPENDENCYPART_ARC
(6,13),0.087642 # DEPENDENCYPART_ARC
(6,14),-0.698344 # DEPENDENCYPART_ARC
(6,15),-0.281812 # DEPENDENCYPART_ARC
(6,16),0.0643584 # DEPENDENCYPART_ARC
(6,17),-1.661 # DEPENDENCYPART_ARC
(6,18),-0.874933 # DEPENDENCYPART_ARC
(6,19),-0.655735 # DEPENDENCYPART_ARC
(6,20),-1.09367 # DEPENDENCYPART_ARC
(6,21),-1.16697 # DEPENDENCYPART_ARC
(6,22),-0.432584 # DEPENDENCYPART_ARC
(7,1),-0.170399 # DEPENDENCYPART_ARC
(7,2),0.60029 # DEPENDENCYPART_ARC
(7,3),1.68549 # DEPENDENCYPART_ARC
(7,4),0.471237 # DEPENDENCYPART_ARC
(7,5),0.55374 # DEPENDENCYPART_ARC
(7,6),1.89067 # DEPENDENCYPART_ARC
(7,8),1.91827 # DEPENDENCYPART_ARC
(7,9),2.80708 # DEPENDENCYPART_ARC
(7,10),0.908865 # DEPENDENCYPART_ARC
(7,11),0.582092 # DEPENDENCYPART_ARC
(7,12),1.25391 # DEPENDENCYPART_ARC
(7,13),1.50689 # DEPENDENCYPART_ARC
(7,14),-0.0283607 # DEPENDENCYPART_ARC
(7,15),1.05834 # DEPENDENCYPART_ARC
(7,16),0.295898 # DEPENDENCYPART_ARC
(7,17),-1.2421 # DEPENDENCYPART_ARC
(7,18),-0.774732 # DEPENDENCYPART_ARC
(7,19),-0.906989 # DEPENDENCYPART_ARC
(7,20),-0.501054 # DEPENDENCYPART_ARC
(7,21),0.621507 # DEPENDENCYPART_ARC
(7,22),4.93642 # DEPENDENCYPART_ARC
(8,1),-2.0997 # DEPENDENCYPART_ARC
(8,2),-2.17702 # DEPENDENCYPART_ARC
(8,3),-2.41499 # DEPENDENCYPART_ARC
(8,4),-2.10049 # DEPENDENCYPART_ARC
(8,5),0.306953 # DEPENDENCYPART_ARC
(8,6),-1.09858 # DEPENDENCYPART_ARC
(8,7),-0.621131 # DEPENDENCYPART_ARC
(8,9),1.70792 # DEPENDENCYPART_ARC
(8,10),0.865288 # DEPENDENCYPART_ARC
(8,11),0.731257 # DEPENDENCYPART_ARC
(8,12),0.468426 # DEPENDENCYPART_ARC
(8,13),1.30297 # DEPENDENCYPART_ARC
(8,14),-1.16236 # DEPENDENCYPART_ARC
(8,15),-0.76198 # DEPENDENCYPART_ARC
(8,16),0.425948 # DEPENDENCYPART_ARC
(8,17),-0.558474 # DEPENDENCYPART_ARC
(8,18),-2.37723 # DEPENDENCYPART_ARC
(8,19),-1.98715 # DEPENDENCYPART_ARC
(8,20),-1.9773 # DEPENDENCYPART_ARC
(8,21),-1.20056 # DEPENDENCYPART_ARC
(8,22),0.176545 # DEPENDENCYPART_ARC
(9,1),-0.221417 # DEPENDENCYPART_ARC
(9,2),-0.444241 # DEPENDENCYPART_ARC
(9,3),-1.52902 # DEPENDENCYPART_ARC
(9,4),-0.775991 # DEPENDENCYPART_ARC
(9,5),2.03486 # DEPENDENCYPART_ARC
(9,6),-0.00278732 # DEPENDENCYPART_ARC
(9,7),0.141736 # DEPENDENCYPART_ARC
(9,8),4.64802 # DEPENDENCYPART_ARC
(9,10),3.92957 # DEPENDENCYPART_ARC
(9,11),2.49069 # DEPENDENCYPART_ARC
(9,12),2.75786 # DEPENDENCYPART_ARC
(9,13),2.36734 # DEPENDENCYPART_ARC
(9,14),0.221445 # DEPENDENCYPART_ARC
(9,15),1.3028 # DEPENDENCYPART_ARC
(9,16),2.44005 # DEPENDENCYPART_ARC
(9,17),0.757843 # DEPENDENCYPART_ARC
(9,18),-0.377664 # DEPENDENCYPART_ARC
(9,19),-0.0721013 # DEPENDENCYPART_ARC
(9,20),-0.703945 # DEPENDENCYPART_ARC
(9,21),0.572795 # DEPENDENCYPART_ARC
(9,22),1.04507 # DEPENDENCYPART_ARC
(10,1),-1.67141 # DEPENDENCYPART_ARC
(10,2),-2.04082 # DEPENDENCYPART_ARC
(10,3),-1.81666 # DEPENDENCYPART_ARC
(10,4),-1.62018 # DEPENDENCYPART_ARC
(10,5),-1.30464 # DEPENDENCYPART_ARC
(10,6),-1.61065 # DEPENDENCYPART_ARC
(10,7),-1.26947 # DEPENDENCYPART_ARC
(10,8),-1.64765 # DEPENDENCYPART_ARC
(10,9),-1.11627 # DEPENDENCYPART_ARC
(10,11),-0.0924315 # DEPENDENCYPART_ARC
(10,12),-0.744658 # DEPENDENCYPART_ARC
(10,13),-1.07748 # DEPENDENCYPART_ARC
(10,14),-1.24587 # DEPENDENCYPART_ARC
(10,15),-1.46957 # DEPENDENCYPART_ARC
(10,16),-0.0564459 # DEPENDENCYPART_ARC
(10,17),-1.93261 # DEPENDENCYPART_ARC
(10,18),-2.12306 # DEPENDENCYPART_ARC
(10,19),-2.12591 # DEPENDENCYPART_ARC
(10,20),-2.58894 # DEPENDENCYPART_ARC
(10,21),-2.54826 # DEPENDENCYPART_ARC
(10,22),-1.57846 # DEPENDENCYPART_ARC
(11,1),-2.66754 # DEPENDENCYPART_ARC
(11,2),-2.63898 # DEPENDENCYPART_ARC
(11,3),-3.34324 # DEPENDENCYPART_ARC
(11,4),-2.87351 # DEPENDENCYPART_ARC
(11,5),-0.994374 # DEPENDENCYPART_ARC
(11,6),-1.96905 # DEPENDENCYPART_ARC
(11,7),-1.84926 # DEPENDENCYPART_ARC
(11,8),0.0874534 # DEPENDENCYPART_ARC
(11,9),-0.0922709 # DEPENDENCYPART_ARC
(11,10),0.530515 # DEPENDENCYPART_ARC
(11,12),1.95534 # DEPENDENCYPART_ARC
(11,13),2.56029 # DEPENDENCYPART_ARC
(11,14),-0.616821 # DEPENDENCYPART_ARC
(11,15),-0.0688409 # DEPENDENCYPART_ARC
(11,16),0.449006 # DEPENDENCYPART_ARC
(11,17),-1.05977 # DEPENDENCYPART_ARC
(11,18),-2.52047 # DEPENDENCYPART_ARC
(11,19),-1.93748 # DEPENDENCYPART_ARC
(11,20),-2.10997 # DEPENDENCYPART_ARC
(11,21),-1.5761 # DEPENDENCYPART_ARC
(11,22),-0.85728 # DEPENDENCYPART_ARC
