# _root_ The builders like the subsidies , but at the same time they tend to be fiscal conservatives in terms of major issues , such as the balanced-budget amendment . ''
#goldHeads=2,3,0,5,3,3,3,13,11,11,8,13,7,13,14,17,15,15,18,19,22,20,22,25,22,28,28,25,3,3,
#predictedHeads=2,3,0,5,3,3,3,3,11,11,8,13,11,13,14,17,15,17,18,19,22,20,22,25,22,28,28,25,3,3,
(0,1),-6.1514 # DEPENDENCYPART_ARC
(0,2),-5.84195 # DEPENDENCYPART_ARC
(0,3),-2.84142 # DEPENDENCYPART_ARC
(0,4),-7.1139 # DEPENDENCYPART_ARC
(0,5),-6.27318 # DEPENDENCYPART_ARC
(0,6),-6.43179 # DEPENDENCYPART_ARC
(0,7),-7.49673 # DEPENDENCYPART_ARC
(0,8),-7.45752 # DEPENDENCYPART_ARC
(0,9),-7.58965 # DEPENDENCYPART_ARC
(0,10),-6.78953 # DEPENDENCYPART_ARC
(0,11),-6.12373 # DEPENDENCYPART_ARC
(0,12),-5.30643 # DEPENDENCYPART_ARC
(0,13),-3.23481 # DEPENDENCYPART_ARC
(0,14),-7.55308 # DEPENDENCYPART_ARC
(0,15),-5.10446 # DEPENDENCYPART_ARC
(0,16),-6.6819 # DEPENDENCYPART_ARC
(0,17),-6.80616 # DEPENDENCYPART_ARC
(0,18),-8.81329 # DEPENDENCYPART_ARC
(0,19),-7.27274 # DEPENDENCYPART_ARC
(0,20),-8.78493 # DEPENDENCYPART_ARC
(0,21),-6.36797 # DEPENDENCYPART_ARC
(0,22),-6.72823 # DEPENDENCYPART_ARC
(0,23),-8.8483 # DEPENDENCYPART_ARC
(0,24),-6.92323 # DEPENDENCYPART_ARC
(0,25),-8.80786 # DEPENDENCYPART_ARC
(0,26),-9.60044 # DEPENDENCYPART_ARC
(0,27),-6.92378 # DEPENDENCYPART_ARC
(0,28),-6.0722 # DEPENDENCYPART_ARC
(0,29),-6.47364 # DEPENDENCYPART_ARC
(0,30),-8.20355 # DEPENDENCYPART_ARC
(1,2),-0.854306 # DEPENDENCYPART_ARC
(1,3),-0.714771 # DEPENDENCYPART_ARC
(1,4),-2.53454 # DEPENDENCYPART_ARC
(1,5),-1.89577 # DEPENDENCYPART_ARC
(1,6),-1.5007 # DEPENDENCYPART_ARC
(1,7),-1.58117 # DEPENDENCYPART_ARC
(1,8),-2.29862 # DEPENDENCYPART_ARC
(1,9),-3.19593 # DEPENDENCYPART_ARC
(1,10),-2.73494 # DEPENDENCYPART_ARC
(1,11),-2.80972 # DEPENDENCYPART_ARC
(1,12),-2.88913 # DEPENDENCYPART_ARC
(1,13),-2.87798 # DEPENDENCYPART_ARC
(1,14),-3.35384 # DEPENDENCYPART_ARC
(1,15),-3.53342 # DEPENDENCYPART_ARC
(1,16),-3.60584 # DEPENDENCYPART_ARC
(1,17),-3.32697 # DEPENDENCYPART_ARC
(1,18),-4.03574 # DEPENDENCYPART_ARC
(1,19),-3.49207 # DEPENDENCYPART_ARC
(1,20),-4.25219 # DEPENDENCYPART_ARC
(1,21),-4.09891 # DEPENDENCYPART_ARC
(1,22),-3.83213 # DEPENDENCYPART_ARC
(1,23),-2.58574 # DEPENDENCYPART_ARC
(1,24),-4.36845 # DEPENDENCYPART_ARC
(1,25),-3.85355 # DEPENDENCYPART_ARC
(1,26),-5.16108 # DEPENDENCYPART_ARC
(1,27),-4.86969 # DEPENDENCYPART_ARC
(1,28),-4.77077 # DEPENDENCYPART_ARC
(1,29),-2.22522 # DEPENDENCYPART_ARC
(1,30),-3.17452 # DEPENDENCYPART_ARC
(2,1),4.07126 # DEPENDENCYPART_ARC
(2,3),1.31336 # DEPENDENCYPART_ARC
(2,4),0.0333854 # DEPENDENCYPART_ARC
(2,5),0.709597 # DEPENDENCYPART_ARC
(2,6),0.0469079 # DEPENDENCYPART_ARC
(2,7),-0.734162 # DEPENDENCYPART_ARC
(2,8),-0.296255 # DEPENDENCYPART_ARC
(2,9),-0.603664 # DEPENDENCYPART_ARC
(2,10),-0.668545 # DEPENDENCYPART_ARC
(2,11),-1.17159 # DEPENDENCYPART_ARC
(2,12),-1.11896 # DEPENDENCYPART_ARC
(2,13),-0.665504 # DEPENDENCYPART_ARC
(2,14),-0.572731 # DEPENDENCYPART_ARC
(2,15),-0.754738 # DEPENDENCYPART_ARC
(2,16),-1.56194 # DEPENDENCYPART_ARC
(2,17),-1.42055 # DEPENDENCYPART_ARC
