# _root_ In national over-the-counter trading , LIN closed at $ 104.75 , down $ 2.75 .
#goldHeads=7,4,4,1,7,7,0,7,8,9,7,7,12,13,7,
#predictedHeads=7,4,4,1,7,7,0,7,8,9,7,7,12,13,7,
(0,1),-6.02874 # DEPENDENCYPART_ARC
(0,2),-6.35782 # DEPENDENCYPART_ARC
(0,3),-5.97339 # DEPENDENCYPART_ARC
(0,4),-6.62591 # DEPENDENCYPART_ARC
(0,5),-7.05762 # DEPENDENCYPART_ARC
(0,6),-5.47579 # DEPENDENCYPART_ARC
(0,7),-2.52048 # DEPENDENCYPART_ARC
(0,8),-7.67761 # DEPENDENCYPART_ARC
(0,9),-7.94798 # DEPENDENCYPART_ARC
(0,10),-8.29018 # DEPENDENCYPART_ARC
(0,11),-7.15835 # DEPENDENCYPART_ARC
(0,12),-7.47399 # DEPENDENCYPART_ARC
(0,13),-8.1588 # DEPENDENCYPART_ARC
(0,14),-8.67623 # DEPENDENCYPART_ARC
(0,15),-6.72402 # DEPENDENCYPART_ARC
(1,2),1.83918 # DEPENDENCYPART_ARC
(1,3),1.38127 # DEPENDENCYPART_ARC
(1,4),4.64362 # DEPENDENCYPART_ARC
(1,5),1.09108 # DEPENDENCYPART_ARC
(1,6),0.306723 # DEPENDENCYPART_ARC
(1,7),0.384453 # DEPENDENCYPART_ARC
(1,8),-0.0494813 # DEPENDENCYPART_ARC
(1,9),-1.6223 # DEPENDENCYPART_ARC
(1,10),-0.222982 # DEPENDENCYPART_ARC
(1,11),0.246063 # DEPENDENCYPART_ARC
(1,12),-0.75646 # DEPENDENCYPART_ARC
(1,13),-2.81898 # DEPENDENCYPART_ARC
(1,14),-0.710654 # DEPENDENCYPART_ARC
(1,15),0.96701 # DEPENDENCYPART_ARC
(2,1),-0.470318 # DEPENDENCYPART_ARC
(2,3),0.253119 # DEPENDENCYPART_ARC
(2,4),0.569466 # DEPENDENCYPART_ARC
(2,5),-0.559725 # DEPENDENCYPART_ARC
(2,6),-0.5519 # DEPENDENCYPART_ARC
(2,7),-0.950027 # DEPENDENCYPART_ARC
(2,8),-1.43762 # DEPENDENCYPART_ARC
(2,9),-1.9779 # DEPENDENCYPART_ARC
(2,10),-2.25968 # DEPENDENCYPART_ARC
(2,11),-1.24223 # DEPENDENCYPART_ARC
(2,12),-1.4586 # DEPENDENCYPART_ARC
(2,13),-2.22651 # DEPENDENCYPART_ARC
(2,14),-2.73133 # DEPENDENCYPART_ARC
(2,15),-0.776694 # DEPENDENCYPART_ARC
(3,1),-0.30769 # DEPENDENCYPART_ARC
(3,2),1.82559 # DEPENDENCYPART_ARC
(3,4),0.458329 # DEPENDENCYPART_ARC
(3,5),-0.771533 # DEPENDENCYPART_ARC
(3,6),-0.905209 # DEPENDENCYPART_ARC
