# _root_ NCNB Texas National , formed from the remnants of of the failed First RepublicBank Corp. of Dallas , contributed $ 76.9 million to NCNB 's bottom line in the third quarter .
#goldHeads=3,3,19,3,3,5,8,6,8,8,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
#predictedHeads=3,3,19,3,3,5,8,6,8,9,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,27,31,31,28,19,
(0,1),-6.03056 # DEPENDENCYPART_ARC
(0,2),-6.1933 # DEPENDENCYPART_ARC
(0,3),-7.62409 # DEPENDENCYPART_ARC
(0,4),-6.98437 # DEPENDENCYPART_ARC
(0,5),-4.65434 # DEPENDENCYPART_ARC
(0,6),-7.75774 # DEPENDENCYPART_ARC
(0,7),-7.64166 # DEPENDENCYPART_ARC
(0,8),-6.68483 # DEPENDENCYPART_ARC
(0,9),-8.68111 # DEPENDENCYPART_ARC
(0,10),-8.37604 # DEPENDENCYPART_ARC
(0,11),-8.04414 # DEPENDENCYPART_ARC
(0,12),-5.02453 # DEPENDENCYPART_ARC
(0,13),-7.79009 # DEPENDENCYPART_ARC
(0,14),-7.467 # DEPENDENCYPART_ARC
(0,15),-7.30073 # DEPENDENCYPART_ARC
(0,16),-10.0816 # DEPENDENCYPART_ARC
(0,17),-9.38219 # DEPENDENCYPART_ARC
(0,18),-8.52072 # DEPENDENCYPART_ARC
(0,19),-1.64436 # DEPENDENCYPART_ARC
(0,20),-10.6826 # DEPENDENCYPART_ARC
(0,21),-9.58549 # DEPENDENCYPART_ARC
(0,22),-9.79754 # DEPENDENCYPART_ARC
(0,23),-8.47856 # DEPENDENCYPART_ARC
(0,24),-10.4203 # DEPENDENCYPART_ARC
(0,25),-13.1948 # DEPENDENCYPART_ARC
(0,26),-7.49821 # DEPENDENCYPART_ARC
(0,27),-9.17384 # DEPENDENCYPART_ARC
(0,28),-12.5932 # DEPENDENCYPART_ARC
(0,29),-10.2448 # DEPENDENCYPART_ARC
(0,30),-7.45353 # DEPENDENCYPART_ARC
(0,31),-8.91628 # DEPENDENCYPART_ARC
(0,32),-7.0735 # DEPENDENCYPART_ARC
(1,2),0.487423 # DEPENDENCYPART_ARC
(1,3),0.937808 # DEPENDENCYPART_ARC
(1,4),0.747827 # DEPENDENCYPART_ARC
(1,5),-0.737401 # DEPENDENCYPART_ARC
(1,6),-2.256 # DEPENDENCYPART_ARC
(1,7),-0.907115 # DEPENDENCYPART_ARC
(1,8),-1.2807 # DEPENDENCYPART_ARC
(1,9),-1.96442 # DEPENDENCYPART_ARC
