# _root_ `` The beginning was chaotic , '' said Nigel Longley , a broker for Commerzbank AG .
#goldHeads=8,3,4,8,4,8,8,0,10,8,10,13,10,13,16,14,8,
#predictedHeads=8,3,4,8,4,8,8,0,10,8,10,13,10,13,16,14,8,
(0,1),-6.40372 # DEPENDENCYPART_ARC
(0,2),-6.74726 # DEPENDENCYPART_ARC
(0,3),-5.70525 # DEPENDENCYPART_ARC
(0,4),-3.4814 # DEPENDENCYPART_ARC
(0,5),-6.45599 # DEPENDENCYPART_ARC
(0,6),-6.56134 # DEPENDENCYPART_ARC
(0,7),-6.24219 # DEPENDENCYPART_ARC
(0,8),0.455009 # DEPENDENCYPART_ARC
(0,9),-6.60172 # DEPENDENCYPART_ARC
(0,10),-6.67033 # DEPENDENCYPART_ARC
(0,11),-7.04585 # DEPENDENCYPART_ARC
(0,12),-7.61044 # DEPENDENCYPART_ARC
(0,13),-7.2276 # DEPENDENCYPART_ARC
(0,14),-7.49025 # DEPENDENCYPART_ARC
(0,15),-7.27485 # DEPENDENCYPART_ARC
(0,16),-6.69354 # DEPENDENCYPART_ARC
(0,17),-5.64704 # DEPENDENCYPART_ARC
(1,2),-1.82282 # DEPENDENCYPART_ARC
(1,3),-2.13975 # DEPENDENCYPART_ARC
(1,4),-1.97566 # DEPENDENCYPART_ARC
(1,5),-2.11227 # DEPENDENCYPART_ARC
(1,6),-2.14344 # DEPENDENCYPART_ARC
(1,7),-1.17111 # DEPENDENCYPART_ARC
(1,8),-2.5793 # DEPENDENCYPART_ARC
(1,9),-3.08634 # DEPENDENCYPART_ARC
(1,10),-3.16801 # DEPENDENCYPART_ARC
(1,11),-2.40669 # DEPENDENCYPART_ARC
(1,12),-3.67099 # DEPENDENCYPART_ARC
(1,13),-3.55934 # DEPENDENCYPART_ARC
(1,14),-3.42276 # DEPENDENCYPART_ARC
(1,15),-3.71241 # DEPENDENCYPART_ARC
(1,16),-3.77932 # DEPENDENCYPART_ARC
(1,17),-2.80239 # DEPENDENCYPART_ARC
(2,1),-0.685833 # DEPENDENCYPART_ARC
(2,3),0.0138865 # DEPENDENCYPART_ARC
(2,4),-0.188443 # DEPENDENCYPART_ARC
(2,5),-1.25312 # DEPENDENCYPART_ARC
(2,6),-1.43734 # DEPENDENCYPART_ARC
(2,7),-1.4641 # DEPENDENCYPART_ARC
(2,8),-1.603 # DEPENDENCYPART_ARC
(2,9),-2.21545 # DEPENDENCYPART_ARC
(2,10),-2.26367 # DEPENDENCYPART_ARC
(2,11),-1.55745 # DEPENDENCYPART_ARC
(2,12),-2.77418 # DEPENDENCYPART_ARC
(2,13),-2.38551 # DEPENDENCYPART_ARC
(2,14),-2.34913 # DEPENDENCYPART_ARC
(2,15),-2.93885 # DEPENDENCYPART_ARC
(2,16),-3.00875 # DEPENDENCYPART_ARC
(2,17),-2.58153 # DEPENDENCYPART_ARC
(3,1),0.389277 # DEPENDENCYPART_ARC
(3,2),3.67465 # DEPENDENCYPART_ARC
(3,4),1.06553 # DEPENDENCYPART_ARC
(3,5),0.608324 # DEPENDENCYPART_ARC
(3,6),0.260664 # DEPENDENCYPART_ARC
(3,7),0.721008 # DEPENDENCYPART_ARC
(3,8),-0.348442 # DEPENDENCYPART_ARC
(3,9),-0.843268 # DEPENDENCYPART_ARC
(3,10),-0.551098 # DEPENDENCYPART_ARC
(3,11),-0.501314 # DEPENDENCYPART_ARC
(3,12),-0.936845 # DEPENDENCYPART_ARC
(3,13),-1.91449 # DEPENDENCYPART_ARC
(3,14),-0.908534 # DEPENDENCYPART_ARC
(3,15),-1.42736 # DEPENDENCYPART_ARC
(3,16),-1.43705 # DEPENDENCYPART_ARC
(3,17),0.00963742 # DEPENDENCYPART_ARC
(4,1),2.71355 # DEPENDENCYPART_ARC
(4,2),0.917785 # DEPENDENCYPART_ARC
(4,3),3.19541 # DEPENDENCYPART_ARC
(4,5),2.82714 # DEPENDENCYPART_ARC
(4,6),1.56053 # DEPENDENCYPART_ARC
(4,7),1.16837 # DEPENDENCYPART_ARC
(4,8),0.591357 # DEPENDENCYPART_ARC
(4,9),-0.348777 # DEPENDENCYPART_ARC
(4,10),-0.161163 # DEPENDENCYPART_ARC
(4,11),0.50129 # DEPENDENCYPART_ARC
(4,12),-1.42223 # DEPENDENCYPART_ARC
(4,13),-0.231976 # DEPENDENCYPART_ARC
(4,14),1.07042 # DEPENDENCYPART_ARC
(4,15),-2.36626 # DEPENDENCYPART_ARC
(4,16),-1.90509 # DEPENDENCYPART_ARC
(4,17),1.48566 # DEPENDENCYPART_ARC
(5,1),-0.052374 # DEPENDENCYPART_ARC
(5,2),0.915577 # DEPENDENCYPART_ARC
(5,3),0.282192 # DEPENDENCYPART_ARC
(5,4),0.0367412 # DEPENDENCYPART_ARC
(5,6),0.849748 # DEPENDENCYPART_ARC
(5,7),1.13947 # DEPENDENCYPART_ARC
(5,8),0.470302 # DEPENDENCYPART_ARC
(5,9),0.481057 # DEPENDENCYPART_ARC
(5,10),0.326658 # DEPENDENCYPART_ARC
(5,11),0.364673 # DEPENDENCYPART_ARC
(5,12),-0.557476 # DEPENDENCYPART_ARC
(5,13),-0.555868 # DEPENDENCYPART_ARC
(5,14),-0.843273 # DEPENDENCYPART_ARC
(5,15),-0.512672 # DEPENDENCYPART_ARC
(5,16),-0.782111 # DEPENDENCYPART_ARC
(5,17),0.0440499 # DEPENDENCYPART_ARC
(6,1),-1.1801 # DEPENDENCYPART_ARC
(6,2),-0.795321 # DEPENDENCYPART_ARC
(6,3),-0.993742 # DEPENDENCYPART_ARC
(6,4),-1.12813 # DEPENDENCYPART_ARC
(6,5),-0.490065 # DEPENDENCYPART_ARC
(6,7),0.294399 # DEPENDENCYPART_ARC
(6,8),-0.116685 # DEPENDENCYPART_ARC
(6,9),-0.714168 # DEPENDENCYPART_ARC
(6,10),-1.01049 # DEPENDENCYPART_ARC
(6,11),0.304349 # DEPENDENCYPART_ARC
(6,12),-1.55592 # DEPENDENCYPART_ARC
(6,13),-2.0278 # DEPENDENCYPART_ARC
(6,14),-1.27029 # DEPENDENCYPART_ARC
(6,15),-1.93378 # DEPENDENCYPART_ARC
(6,16),-2.06085 # DEPENDENCYPART_ARC
(6,17),-1.23451 # DEPENDENCYPART_ARC
(7,1),0.330755 # DEPENDENCYPART_ARC
(7,2),-0.337529 # DEPENDENCYPART_ARC
(7,3),-1.33841 # DEPENDENCYPART_ARC
(7,4),-0.875328 # DEPENDENCYPART_ARC
(7,5),-0.898654 # DEPENDENCYPART_ARC
(7,6),0.452344 # DEPENDENCYPART_ARC
(7,8),0.0709356 # DEPENDENCYPART_ARC
(7,9),-0.969018 # DEPENDENCYPART_ARC
(7,10),-1.3343 # DEPENDENCYPART_ARC
(7,11),-1.10394 # DEPENDENCYPART_ARC
(7,12),-2.11645 # DEPENDENCYPART_ARC
(7,13),-1.92569 # DEPENDENCYPART_ARC
(7,14),-1.70571 # DEPENDENCYPART_ARC
(7,15),-2.4513 # DEPENDENCYPART_ARC
(7,16),-2.54719 # DEPENDENCYPART_ARC
(7,17),-1.61978 # DEPENDENCYPART_ARC
(8,1),4.28918 # DEPENDENCYPART_ARC
(8,2),-0.0422992 # DEPENDENCYPART_ARC
(8,3),-0.113332 # DEPENDENCYPART_ARC
(8,4),1.6089 # DEPENDENCYPART_ARC
(8,5),0.804353 # DEPENDENCYPART_ARC
(8,6),3.82137 # DEPENDENCYPART_ARC
(8,7),4.29288 # DEPENDENCYPART_ARC
(8,9),1.217 # DEPENDENCYPART_ARC
(8,10),2.59294 # DEPENDENCYPART_ARC
(8,11),1.27893 # DEPENDENCYPART_ARC
(8,12),-0.792199 # DEPENDENCYPART_ARC
(8,13),-0.127514 # DEPENDENCYPART_ARC
(8,14),-0.302595 # DEPENDENCYPART_ARC
(8,15),-1.28481 # DEPENDENCYPART_ARC
(8,16),-0.103285 # DEPENDENCYPART_ARC
(8,17),6.95747 # DEPENDENCYPART_ARC
(9,1),-1.64455 # DEPENDENCYPART_ARC
(9,2),-1.55601 # DEPENDENCYPART_ARC
(9,3),-3.17717 # DEPENDENCYPART_ARC
(9,4),-2.30868 # DEPENDENCYPART_ARC
(9,5),-1.1263 # DEPENDENCYPART_ARC
(9,6),-1.15347 # DEPENDENCYPART_ARC
(9,7),-0.799152 # DEPENDENCYPART_ARC
(9,8),-0.462299 # DEPENDENCYPART_ARC
(9,10),1.8761 # DEPENDENCYPART_ARC
(9,11),1.33457 # DEPENDENCYPART_ARC
(9,12),-0.323992 # DEPENDENCYPART_ARC
(9,13),0.714763 # DEPENDENCYPART_ARC
(9,14),-0.399002 # DEPENDENCYPART_ARC
(9,15),-1.07167 # DEPENDENCYPART_ARC
(9,16),-0.626742 # DEPENDENCYPART_ARC
(9,17),0.431824 # DEPENDENCYPART_ARC
(10,1),-0.0791154 # DEPENDENCYPART_ARC
(10,2),-0.048847 # DEPENDENCYPART_ARC
(10,3),-2.169 # DEPENDENCYPART_ARC
(10,4),-1.43175 # DEPENDENCYPART_ARC
(10,5),-0.216002 # DEPENDENCYPART_ARC
(10,6),-0.0864552 # DEPENDENCYPART_ARC
(10,7),-0.0548517 # DEPENDENCYPART_ARC
(10,8),0.104078 # DEPENDENCYPART_ARC
(10,9),4.78508 # DEPENDENCYPART_ARC
(10,11),3.56444 # DEPENDENCYPART_ARC
(10,12),0.784804 # DEPENDENCYPART_ARC
(10,13),2.38491 # DEPENDENCYPART_ARC
