# _root_ RJR Nabisco pays up to $ 30,000 of losses , including improvements .
#goldHeads=2,3,0,6,6,3,6,6,8,9,9,11,3,
#predictedHeads=2,3,0,6,6,3,6,6,8,3,9,11,3,
(0,1),-6.04284 # DEPENDENCYPART_ARC
(0,2),-5.45946 # DEPENDENCYPART_ARC
(0,3),-3.01535 # DEPENDENCYPART_ARC
(0,4),-7.27886 # DEPENDENCYPART_ARC
(0,5),-6.92013 # DEPENDENCYPART_ARC
(0,6),-8.11707 # DEPENDENCYPART_ARC
(0,7),-8.35316 # DEPENDENCYPART_ARC
(0,8),-7.56923 # DEPENDENCYPART_ARC
(0,9),-7.13824 # DEPENDENCYPART_ARC
(0,10),-7.41081 # DEPENDENCYPART_ARC
(0,11),-6.17849 # DEPENDENCYPART_ARC
(0,12),-6.12211 # DEPENDENCYPART_ARC
(0,13),-5.98165 # DEPENDENCYPART_ARC
(1,2),1.85733 # DEPENDENCYPART_ARC
(1,3),-0.241846 # DEPENDENCYPART_ARC
(1,4),-0.911599 # DEPENDENCYPART_ARC
(1,5),-1.00621 # DEPENDENCYPART_ARC
(1,6),-1.26145 # DEPENDENCYPART_ARC
(1,7),-1.17875 # DEPENDENCYPART_ARC
(1,8),-1.27874 # DEPENDENCYPART_ARC
(1,9),-1.68364 # DEPENDENCYPART_ARC
(1,10),-1.9821 # DEPENDENCYPART_ARC
(1,11),-1.48717 # DEPENDENCYPART_ARC
(1,12),-2.53102 # DEPENDENCYPART_ARC
(1,13),-0.0136489 # DEPENDENCYPART_ARC
(2,1),4.13352 # DEPENDENCYPART_ARC
(2,3),1.68508 # DEPENDENCYPART_ARC
(2,4),0.582626 # DEPENDENCYPART_ARC
(2,5),0.229219 # DEPENDENCYPART_ARC
(2,6),-0.226613 # DEPENDENCYPART_ARC
(2,7),0.329737 # DEPENDENCYPART_ARC
(2,8),-0.0541599 # DEPENDENCYPART_ARC
(2,9),-0.608707 # DEPENDENCYPART_ARC
(2,10),-0.777632 # DEPENDENCYPART_ARC
(2,11),-0.31236 # DEPENDENCYPART_ARC
(2,12),-1.41855 # DEPENDENCYPART_ARC
(2,13),1.0567 # DEPENDENCYPART_ARC
(3,1),2.67846 # DEPENDENCYPART_ARC
(3,2),3.62445 # DEPENDENCYPART_ARC
(3,4),3.57649 # DEPENDENCYPART_ARC
(3,5),2.78454 # DEPENDENCYPART_ARC
(3,6),1.46426 # DEPENDENCYPART_ARC
(3,7),0.535824 # DEPENDENCYPART_ARC
(3,8),1.45919 # DEPENDENCYPART_ARC
(3,9),-0.175007 # DEPENDENCYPART_ARC
(3,10),2.56227 # DEPENDENCYPART_ARC
(3,11),1.13414 # DEPENDENCYPART_ARC
(3,12),-0.453886 # DEPENDENCYPART_ARC
(3,13),4.13936 # DEPENDENCYPART_ARC
