# _root_ In composite trading on the New York Stock Exchange , Telerate shares closed yesterday at $ 18.875 , down 75 cents a share .
#goldHeads=13,3,1,3,9,9,9,9,4,13,12,13,0,13,13,15,16,13,13,21,19,23,21,13,
#predictedHeads=13,3,1,13,9,9,9,9,4,13,12,13,0,13,13,15,16,13,13,21,19,23,21,13,
(0,1),-6.02874 # DEPENDENCYPART_ARC
(0,2),-6.0402 # DEPENDENCYPART_ARC
(0,3),-6.26648 # DEPENDENCYPART_ARC
(0,4),-6.8661 # DEPENDENCYPART_ARC
(0,5),-7.49089 # DEPENDENCYPART_ARC
(0,6),-5.80089 # DEPENDENCYPART_ARC
(0,7),-5.72133 # DEPENDENCYPART_ARC
(0,8),-6.05684 # DEPENDENCYPART_ARC
(0,9),-6.67737 # DEPENDENCYPART_ARC
(0,10),-7.36863 # DEPENDENCYPART_ARC
(0,11),-7.70707 # DEPENDENCYPART_ARC
(0,12),-6.64816 # DEPENDENCYPART_ARC
(0,13),-2.33423 # DEPENDENCYPART_ARC
(0,14),-7.07888 # DEPENDENCYPART_ARC
(0,15),-9.84403 # DEPENDENCYPART_ARC
(0,16),-9.3584 # DEPENDENCYPART_ARC
(0,17),-8.91139 # DEPENDENCYPART_ARC
(0,18),-8.31521 # DEPENDENCYPART_ARC
(0,19),-8.57152 # DEPENDENCYPART_ARC
(0,20),-9.28104 # DEPENDENCYPART_ARC
(0,21),-6.68316 # DEPENDENCYPART_ARC
(0,22),-8.72828 # DEPENDENCYPART_ARC
(0,23),-7.53202 # DEPENDENCYPART_ARC
(0,24),-6.62301 # DEPENDENCYPART_ARC
(1,2),1.48066 # DEPENDENCYPART_ARC
(1,3),4.20265 # DEPENDENCYPART_ARC
(1,4),0.92223 # DEPENDENCYPART_ARC
(1,5),-1.12128 # DEPENDENCYPART_ARC
(1,6),-1.10553 # DEPENDENCYPART_ARC
(1,7),-0.778002 # DEPENDENCYPART_ARC
(1,8),-1.0872 # DEPENDENCYPART_ARC
(1,9),-0.30666 # DEPENDENCYPART_ARC
(1,10),0.64849 # DEPENDENCYPART_ARC
(1,11),-3.05216 # DEPENDENCYPART_ARC
(1,12),-2.7316 # DEPENDENCYPART_ARC
(1,13),-0.302763 # DEPENDENCYPART_ARC
(1,14),-7.95453 # DEPENDENCYPART_ARC
(1,15),-1.78331 # DEPENDENCYPART_ARC
(1,16),-4.58965 # DEPENDENCYPART_ARC
(1,17),-3.6268 # DEPENDENCYPART_ARC
(1,18),-0.250832 # DEPENDENCYPART_ARC
(1,19),-2.07662 # DEPENDENCYPART_ARC
(1,20),-4.51427 # DEPENDENCYPART_ARC
(1,21),-8.84798 # DEPENDENCYPART_ARC
(1,22),-4.77306 # DEPENDENCYPART_ARC
(1,23),-11.08 # DEPENDENCYPART_ARC
(1,24),-0.26862 # DEPENDENCYPART_ARC
(2,1),-0.482453 # DEPENDENCYPART_ARC
(2,3),1.07016 # DEPENDENCYPART_ARC
(2,4),-0.417668 # DEPENDENCYPART_ARC
(2,5),-1.49298 # DEPENDENCYPART_ARC
(2,6),-0.792241 # DEPENDENCYPART_ARC
(2,7),-0.978355 # DEPENDENCYPART_ARC
(2,8),-1.36628 # DEPENDENCYPART_ARC
(2,9),-1.28056 # DEPENDENCYPART_ARC
(2,10),-0.422857 # DEPENDENCYPART_ARC
