# _root_ As a U.S.-based company , Blue Arrow would have to amortize the good will over as many as 40 years , creating a continuing drag on reported earnings .
#goldHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,9,9,25,25,22,25,28,26,8,
#predictedHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,17,11,25,25,22,25,28,26,8,
(0,1),-6.74999 # DEPENDENCYPART_ARC
(0,2),-6.93187 # DEPENDENCYPART_ARC
(0,3),-6.50459 # DEPENDENCYPART_ARC
(0,4),-6.38697 # DEPENDENCYPART_ARC
(0,5),-7.3237 # DEPENDENCYPART_ARC
(0,6),-6.67895 # DEPENDENCYPART_ARC
(0,7),-5.76341 # DEPENDENCYPART_ARC
(0,8),-3.30968 # DEPENDENCYPART_ARC
(0,9),-4.9729 # DEPENDENCYPART_ARC
(0,10),-7.18884 # DEPENDENCYPART_ARC
(0,11),-5.96689 # DEPENDENCYPART_ARC
(0,12),-8.13728 # DEPENDENCYPART_ARC
(0,13),-6.73519 # DEPENDENCYPART_ARC
(0,14),-7.10547 # DEPENDENCYPART_ARC
(0,15),-8.77812 # DEPENDENCYPART_ARC
(0,16),-7.81662 # DEPENDENCYPART_ARC
(0,17),-7.58986 # DEPENDENCYPART_ARC
(0,18),-8.70293 # DEPENDENCYPART_ARC
(0,19),-9.48241 # DEPENDENCYPART_ARC
(0,20),-6.88243 # DEPENDENCYPART_ARC
(0,21),-9.12622 # DEPENDENCYPART_ARC
(0,22),-7.8909 # DEPENDENCYPART_ARC
(0,23),-9.09984 # DEPENDENCYPART_ARC
(0,24),-7.85643 # DEPENDENCYPART_ARC
(0,25),-7.38693 # DEPENDENCYPART_ARC
(0,26),-10.3647 # DEPENDENCYPART_ARC
(0,27),-4.15632 # DEPENDENCYPART_ARC
(0,28),-5.42027 # DEPENDENCYPART_ARC
(0,29),-6.21002 # DEPENDENCYPART_ARC
(1,2),0.814731 # DEPENDENCYPART_ARC
(1,3),1.62741 # DEPENDENCYPART_ARC
(1,4),2.74133 # DEPENDENCYPART_ARC
(1,5),0.704875 # DEPENDENCYPART_ARC
(1,6),-0.644252 # DEPENDENCYPART_ARC
(1,7),0.125977 # DEPENDENCYPART_ARC
(1,8),1.42101 # DEPENDENCYPART_ARC
(1,9),0.27626 # DEPENDENCYPART_ARC
(1,10),-2.03619 # DEPENDENCYPART_ARC
(1,11),0.252141 # DEPENDENCYPART_ARC
(1,12),-2.33343 # DEPENDENCYPART_ARC
(1,13),-1.59611 # DEPENDENCYPART_ARC
(1,14),-3.37479 # DEPENDENCYPART_ARC
(1,15),-2.45655 # DEPENDENCYPART_ARC
(1,16),-0.335503 # DEPENDENCYPART_ARC
(1,17),-2.07842 # DEPENDENCYPART_ARC
(1,18),-1.62071 # DEPENDENCYPART_ARC
(1,19),-2.78138 # DEPENDENCYPART_ARC
(1,20),-4.03952 # DEPENDENCYPART_ARC
(1,21),-0.739813 # DEPENDENCYPART_ARC
(1,22),-3.40986 # DEPENDENCYPART_ARC
(1,23),-4.44939 # DEPENDENCYPART_ARC
(1,24),-4.48521 # DEPENDENCYPART_ARC
(1,25),-6.95149 # DEPENDENCYPART_ARC
(1,26),-3.76362 # DEPENDENCYPART_ARC
(1,27),-1.23339 # DEPENDENCYPART_ARC
(1,28),-9.01167 # DEPENDENCYPART_ARC
