# _root_ Mr. Fromstein disclosed the planned steps , expected within a few months , as Blue Arrow posted a 2.5 % drop in its third-quarter pretax earnings .
#goldHeads=2,3,0,6,6,3,6,6,8,12,12,9,6,3,16,17,14,21,20,21,17,21,26,26,26,22,3,
#predictedHeads=2,3,0,6,6,3,6,6,8,12,12,9,17,3,16,17,14,21,20,21,17,21,26,26,26,22,3,
(0,1),-5.94768 # DEPENDENCYPART_ARC
(0,2),-5.20048 # DEPENDENCYPART_ARC
(0,3),-2.28457 # DEPENDENCYPART_ARC
(0,4),-7.41023 # DEPENDENCYPART_ARC
(0,5),-4.97659 # DEPENDENCYPART_ARC
(0,6),-6.63321 # DEPENDENCYPART_ARC
(0,7),-6.89886 # DEPENDENCYPART_ARC
(0,8),-4.32254 # DEPENDENCYPART_ARC
(0,9),-7.95828 # DEPENDENCYPART_ARC
(0,10),-7.73585 # DEPENDENCYPART_ARC
(0,11),-6.63137 # DEPENDENCYPART_ARC
(0,12),-6.27336 # DEPENDENCYPART_ARC
(0,13),-7.59387 # DEPENDENCYPART_ARC
(0,14),-8.09014 # DEPENDENCYPART_ARC
(0,15),-7.3022 # DEPENDENCYPART_ARC
(0,16),-6.36199 # DEPENDENCYPART_ARC
(0,17),-2.16986 # DEPENDENCYPART_ARC
(0,18),-8.51335 # DEPENDENCYPART_ARC
(0,19),-9.30901 # DEPENDENCYPART_ARC
(0,20),-7.59755 # DEPENDENCYPART_ARC
(0,21),-7.62119 # DEPENDENCYPART_ARC
(0,22),-11.3258 # DEPENDENCYPART_ARC
(0,23),-8.43593 # DEPENDENCYPART_ARC
(0,24),-6.83238 # DEPENDENCYPART_ARC
(0,25),-6.58123 # DEPENDENCYPART_ARC
(0,26),-5.98266 # DEPENDENCYPART_ARC
(0,27),-7.07361 # DEPENDENCYPART_ARC
(1,2),1.4627 # DEPENDENCYPART_ARC
(1,3),-0.863016 # DEPENDENCYPART_ARC
(1,4),-1.20731 # DEPENDENCYPART_ARC
(1,5),-1.66764 # DEPENDENCYPART_ARC
(1,6),-1.47442 # DEPENDENCYPART_ARC
