# _root_ In a stark lesson in the power of the appropriations committees , the House deliberately killed a handful of projects backed by lawmakers in Florida , Illinois and Pennsylvania who had voted against the panel leadership on the House floor .
#goldHeads=16,4,4,1,4,7,5,7,11,11,8,16,14,16,16,0,18,16,18,19,20,21,22,23,24,25,25,27,28,31,23,31,32,36,36,33,32,40,40,37,16,
#predictedHeads=16,4,4,1,4,7,5,7,11,11,8,16,14,16,16,0,18,16,18,19,20,21,22,23,24,25,25,27,28,31,18,31,32,36,36,33,36,40,40,37,16,
(0,1),-6.7136 # DEPENDENCYPART_ARC
(0,2),-6.6575 # DEPENDENCYPART_ARC
(0,3),-6.23021 # DEPENDENCYPART_ARC
(0,4),-6.24693 # DEPENDENCYPART_ARC
(0,5),-7.26253 # DEPENDENCYPART_ARC
(0,6),-7.34734 # DEPENDENCYPART_ARC
(0,7),-6.50676 # DEPENDENCYPART_ARC
(0,8),-7.41973 # DEPENDENCYPART_ARC
(0,9),-7.80091 # DEPENDENCYPART_ARC
(0,10),-6.29986 # DEPENDENCYPART_ARC
(0,11),-5.9619 # DEPENDENCYPART_ARC
(0,12),-7.57401 # DEPENDENCYPART_ARC
(0,13),-8.18026 # DEPENDENCYPART_ARC
(0,14),-5.97941 # DEPENDENCYPART_ARC
(0,15),-8.06759 # DEPENDENCYPART_ARC
(0,16),-2.9062 # DEPENDENCYPART_ARC
(0,17),-8.32094 # DEPENDENCYPART_ARC
(0,18),-6.18678 # DEPENDENCYPART_ARC
(0,19),-9.40381 # DEPENDENCYPART_ARC
(0,20),-5.62429 # DEPENDENCYPART_ARC
(0,21),-6.42942 # DEPENDENCYPART_ARC
(0,22),-10.1055 # DEPENDENCYPART_ARC
(0,23),-6.50131 # DEPENDENCYPART_ARC
(0,24),-10.537 # DEPENDENCYPART_ARC
(0,25),-6.65004 # DEPENDENCYPART_ARC
(0,26),-9.86223 # DEPENDENCYPART_ARC
(0,27),-7.7293 # DEPENDENCYPART_ARC
(0,28),-10.0545 # DEPENDENCYPART_ARC
(0,29),-7.27816 # DEPENDENCYPART_ARC
(0,30),-8.82813 # DEPENDENCYPART_ARC
(0,31),-5.58267 # DEPENDENCYPART_ARC
