# _root_ In Big Board composite trading yesterday , PaineWebber closed at $ 18.50 , up 75 cents .
#goldHeads=9,5,5,5,1,9,9,9,0,9,10,11,9,9,16,14,9,
#predictedHeads=9,5,5,5,1,9,9,9,0,9,10,11,9,9,16,14,9,
(0,1),-6.4278 # DEPENDENCYPART_ARC
(0,2),-5.66112 # DEPENDENCYPART_ARC
(0,3),-5.10834 # DEPENDENCYPART_ARC
(0,4),-6.35689 # DEPENDENCYPART_ARC
(0,5),-6.5938 # DEPENDENCYPART_ARC
(0,6),-5.82559 # DEPENDENCYPART_ARC
(0,7),-7.00114 # DEPENDENCYPART_ARC
(0,8),-6.5493 # DEPENDENCYPART_ARC
(0,9),-2.68583 # DEPENDENCYPART_ARC
(0,10),-8.31449 # DEPENDENCYPART_ARC
(0,11),-8.23338 # DEPENDENCYPART_ARC
(0,12),-8.30818 # DEPENDENCYPART_ARC
(0,13),-7.5408 # DEPENDENCYPART_ARC
(0,14),-7.44014 # DEPENDENCYPART_ARC
(0,15),-8.64188 # DEPENDENCYPART_ARC
(0,16),-6.35284 # DEPENDENCYPART_ARC
(0,17),-6.7665 # DEPENDENCYPART_ARC
(1,2),2.86227 # DEPENDENCYPART_ARC
(1,3),2.18183 # DEPENDENCYPART_ARC
(1,4),2.25612 # DEPENDENCYPART_ARC
(1,5),3.02359 # DEPENDENCYPART_ARC
(1,6),-2.21859 # DEPENDENCYPART_ARC
(1,7),0.481175 # DEPENDENCYPART_ARC
(1,8),-0.916135 # DEPENDENCYPART_ARC
(1,9),0.377298 # DEPENDENCYPART_ARC
(1,10),-0.79799 # DEPENDENCYPART_ARC
(1,11),-2.9164 # DEPENDENCYPART_ARC
(1,12),-2.1347 # DEPENDENCYPART_ARC
(1,13),-0.37895 # DEPENDENCYPART_ARC
(1,14),-1.81651 # DEPENDENCYPART_ARC
(1,15),-2.91637 # DEPENDENCYPART_ARC
(1,16),-6.26471 # DEPENDENCYPART_ARC
(1,17),0.291033 # DEPENDENCYPART_ARC
(2,1),-2.74146 # DEPENDENCYPART_ARC
(2,3),-0.443392 # DEPENDENCYPART_ARC
(2,4),-1.21779 # DEPENDENCYPART_ARC
(2,5),-1.50481 # DEPENDENCYPART_ARC
(2,6),-2.83023 # DEPENDENCYPART_ARC
(2,7),-0.588178 # DEPENDENCYPART_ARC
(2,8),-1.78638 # DEPENDENCYPART_ARC
(2,9),-2.66726 # DEPENDENCYPART_ARC
(2,10),-3.68231 # DEPENDENCYPART_ARC
(2,11),-3.63537 # DEPENDENCYPART_ARC
(2,12),-2.95057 # DEPENDENCYPART_ARC
(2,13),-2.48048 # DEPENDENCYPART_ARC
(2,14),-3.53631 # DEPENDENCYPART_ARC
(2,15),-4.12608 # DEPENDENCYPART_ARC
(2,16),-4.19981 # DEPENDENCYPART_ARC
(2,17),-2.07615 # DEPENDENCYPART_ARC
(3,1),-1.32036 # DEPENDENCYPART_ARC
(3,2),2.85778 # DEPENDENCYPART_ARC
(3,4),0.551937 # DEPENDENCYPART_ARC
(3,5),0.108709 # DEPENDENCYPART_ARC
(3,6),-1.13811 # DEPENDENCYPART_ARC
(3,7),0.0522533 # DEPENDENCYPART_ARC
(3,8),-0.934767 # DEPENDENCYPART_ARC
(3,9),-0.839189 # DEPENDENCYPART_ARC
(3,10),-2.47733 # DEPENDENCYPART_ARC
(3,11),-2.24836 # DEPENDENCYPART_ARC
(3,12),-1.62823 # DEPENDENCYPART_ARC
(3,13),-0.710387 # DEPENDENCYPART_ARC
(3,14),-1.72394 # DEPENDENCYPART_ARC
(3,15),-2.8388 # DEPENDENCYPART_ARC
(3,16),-2.73691 # DEPENDENCYPART_ARC
(3,17),-0.415458 # DEPENDENCYPART_ARC
(4,1),-0.352534 # DEPENDENCYPART_ARC
(4,2),2.88788 # DEPENDENCYPART_ARC
(4,3),2.54289 # DEPENDENCYPART_ARC
(4,5),0.895404 # DEPENDENCYPART_ARC
(4,6),0.0851364 # DEPENDENCYPART_ARC
(4,7),0.452966 # DEPENDENCYPART_ARC
(4,8),-0.430353 # DEPENDENCYPART_ARC
(4,9),-0.307401 # DEPENDENCYPART_ARC
(4,10),-1.88176 # DEPENDENCYPART_ARC
(4,11),-1.66639 # DEPENDENCYPART_ARC
(4,12),-0.790946 # DEPENDENCYPART_ARC
(4,13),-0.499664 # DEPENDENCYPART_ARC
(4,14),-1.0588 # DEPENDENCYPART_ARC
(4,15),-1.36611 # DEPENDENCYPART_ARC
(4,16),-1.92407 # DEPENDENCYPART_ARC
(4,17),0.154092 # DEPENDENCYPART_ARC
(5,1),0.82648 # DEPENDENCYPART_ARC
(5,2),5.05345 # DEPENDENCYPART_ARC
(5,3),4.66432 # DEPENDENCYPART_ARC
(5,4),4.78716 # DEPENDENCYPART_ARC
(5,6),0.92199 # DEPENDENCYPART_ARC
(5,7),-0.217751 # DEPENDENCYPART_ARC
(5,8),-0.353224 # DEPENDENCYPART_ARC
(5,9),-0.600018 # DEPENDENCYPART_ARC
(5,10),-1.3083 # DEPENDENCYPART_ARC
(5,11),-1.89406 # DEPENDENCYPART_ARC
(5,12),-0.630814 # DEPENDENCYPART_ARC
(5,13),-0.860594 # DEPENDENCYPART_ARC
(5,14),-0.297856 # DEPENDENCYPART_ARC
(5,15),-1.1925 # DEPENDENCYPART_ARC
(5,16),-1.99981 # DEPENDENCYPART_ARC
(5,17),-0.0572303 # DEPENDENCYPART_ARC
