# _root_ `` The pendulum is swinging back to black and white , '' says Richard DeMoulin , the general manager of Eastman Kodak Co. 's professional photography division .
#goldHeads=4,3,4,13,4,5,5,7,8,9,4,4,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
#predictedHeads=13,3,4,13,4,5,6,7,8,9,13,13,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
(0,1),-6.40372 # DEPENDENCYPART_ARC
(0,2),-6.74726 # DEPENDENCYPART_ARC
(0,3),-5.87042 # DEPENDENCYPART_ARC
(0,4),-3.90862 # DEPENDENCYPART_ARC
(0,5),-6.59108 # DEPENDENCYPART_ARC
(0,6),-6.50815 # DEPENDENCYPART_ARC
(0,7),-6.79719 # DEPENDENCYPART_ARC
(0,8),-6.94782 # DEPENDENCYPART_ARC
(0,9),-7.78975 # DEPENDENCYPART_ARC
(0,10),-6.99325 # DEPENDENCYPART_ARC
(0,11),-7.23114 # DEPENDENCYPART_ARC
(0,12),-6.43934 # DEPENDENCYPART_ARC
(0,13),1.79346 # DEPENDENCYPART_ARC
(0,14),-6.92535 # DEPENDENCYPART_ARC
(0,15),-6.88555 # DEPENDENCYPART_ARC
(0,16),-7.83224 # DEPENDENCYPART_ARC
(0,17),-8.469 # DEPENDENCYPART_ARC
(0,18),-7.04104 # DEPENDENCYPART_ARC
(0,19),-7.97831 # DEPENDENCYPART_ARC
(0,20),-7.93437 # DEPENDENCYPART_ARC
(0,21),-7.55272 # DEPENDENCYPART_ARC
(0,22),-7.37466 # DEPENDENCYPART_ARC
(0,23),-7.65381 # DEPENDENCYPART_ARC
(0,24),-11.0299 # DEPENDENCYPART_ARC
(0,25),-6.60344 # DEPENDENCYPART_ARC
(0,26),-9.00864 # DEPENDENCYPART_ARC
(0,27),-8.83823 # DEPENDENCYPART_ARC
(0,28),-5.48505 # DEPENDENCYPART_ARC
(1,2),-1.82282 # DEPENDENCYPART_ARC
(1,3),-2.13975 # DEPENDENCYPART_ARC
(1,4),-1.95046 # DEPENDENCYPART_ARC
(1,5),-2.45223 # DEPENDENCYPART_ARC
(1,6),-2.49837 # DEPENDENCYPART_ARC
(1,7),-2.63994 # DEPENDENCYPART_ARC
(1,8),-2.90497 # DEPENDENCYPART_ARC
(1,9),-3.0907 # DEPENDENCYPART_ARC
(1,10),-3.04302 # DEPENDENCYPART_ARC
(1,11),-2.40669 # DEPENDENCYPART_ARC
(1,12),-1.37848 # DEPENDENCYPART_ARC
(1,13),-3.12829 # DEPENDENCYPART_ARC
(1,14),-3.59309 # DEPENDENCYPART_ARC
(1,15),-3.71883 # DEPENDENCYPART_ARC
(1,16),-2.90048 # DEPENDENCYPART_ARC
(1,17),-4.17641 # DEPENDENCYPART_ARC
(1,18),-3.67684 # DEPENDENCYPART_ARC
(1,19),-3.79635 # DEPENDENCYPART_ARC
(1,20),-4.03284 # DEPENDENCYPART_ARC
(1,21),-4.29089 # DEPENDENCYPART_ARC
(1,22),-4.37289 # DEPENDENCYPART_ARC
(1,23),-4.53049 # DEPENDENCYPART_ARC
(1,24),-4.55541 # DEPENDENCYPART_ARC
(1,25),-4.33667 # DEPENDENCYPART_ARC
(1,26),-4.17177 # DEPENDENCYPART_ARC
(1,27),-4.1863 # DEPENDENCYPART_ARC
(1,28),-3.83826 # DEPENDENCYPART_ARC
(2,1),-1.07628 # DEPENDENCYPART_ARC
(2,3),-0.0831536 # DEPENDENCYPART_ARC
(2,4),-0.00234178 # DEPENDENCYPART_ARC
(2,5),-1.19866 # DEPENDENCYPART_ARC
(2,6),-1.64387 # DEPENDENCYPART_ARC
(2,7),-1.63785 # DEPENDENCYPART_ARC
(2,8),-1.59841 # DEPENDENCYPART_ARC
(2,9),-0.860758 # DEPENDENCYPART_ARC
(2,10),-2.04535 # DEPENDENCYPART_ARC
(2,11),-1.86956 # DEPENDENCYPART_ARC
(2,12),-1.78413 # DEPENDENCYPART_ARC
(2,13),-2.56845 # DEPENDENCYPART_ARC
(2,14),-3.06952 # DEPENDENCYPART_ARC
(2,15),-3.04902 # DEPENDENCYPART_ARC
(2,16),-2.40804 # DEPENDENCYPART_ARC
(2,17),-3.5792 # DEPENDENCYPART_ARC
(2,18),-3.06524 # DEPENDENCYPART_ARC
(2,19),-3.13729 # DEPENDENCYPART_ARC
(2,20),-3.26028 # DEPENDENCYPART_ARC
(2,21),-3.63544 # DEPENDENCYPART_ARC
(2,22),-3.63451 # DEPENDENCYPART_ARC
(2,23),-3.77687 # DEPENDENCYPART_ARC
(2,24),-4.29334 # DEPENDENCYPART_ARC
(2,25),-3.77158 # DEPENDENCYPART_ARC
(2,26),-3.80135 # DEPENDENCYPART_ARC
(2,27),-3.79831 # DEPENDENCYPART_ARC
(2,28),-3.97632 # DEPENDENCYPART_ARC
(3,1),0.219032 # DEPENDENCYPART_ARC
(3,2),4.02663 # DEPENDENCYPART_ARC
(3,4),1.37616 # DEPENDENCYPART_ARC
(3,5),0.865578 # DEPENDENCYPART_ARC
(3,6),0.513184 # DEPENDENCYPART_ARC
(3,7),0.160239 # DEPENDENCYPART_ARC
(3,8),-0.284763 # DEPENDENCYPART_ARC
(3,9),0.497081 # DEPENDENCYPART_ARC
(3,10),-0.690504 # DEPENDENCYPART_ARC
(3,11),-0.0390167 # DEPENDENCYPART_ARC
(3,12),0.573409 # DEPENDENCYPART_ARC
(3,13),-0.665378 # DEPENDENCYPART_ARC
(3,14),-1.74697 # DEPENDENCYPART_ARC
(3,15),-1.47124 # DEPENDENCYPART_ARC
(3,16),-0.833929 # DEPENDENCYPART_ARC
(3,17),-1.60402 # DEPENDENCYPART_ARC
(3,18),-1.15787 # DEPENDENCYPART_ARC
(3,19),-1.84999 # DEPENDENCYPART_ARC
(3,20),-1.08994 # DEPENDENCYPART_ARC
(3,21),-2.21722 # DEPENDENCYPART_ARC
(3,22),-2.21082 # DEPENDENCYPART_ARC
(3,23),-2.35668 # DEPENDENCYPART_ARC
(3,24),-3.07161 # DEPENDENCYPART_ARC
(3,25),-1.56565 # DEPENDENCYPART_ARC
(3,26),-2.54417 # DEPENDENCYPART_ARC
(3,27),-3.18236 # DEPENDENCYPART_ARC
(3,28),-0.396546 # DEPENDENCYPART_ARC
(4,1),2.25308 # DEPENDENCYPART_ARC
(4,2),0.636518 # DEPENDENCYPART_ARC
(4,3),3.47407 # DEPENDENCYPART_ARC
(4,5),3.47752 # DEPENDENCYPART_ARC
(4,6),0.903999 # DEPENDENCYPART_ARC
(4,7),0.813299 # DEPENDENCYPART_ARC
(4,8),0.724083 # DEPENDENCYPART_ARC
(4,9),1.97091 # DEPENDENCYPART_ARC
(4,10),-0.0326121 # DEPENDENCYPART_ARC
(4,11),1.69853 # DEPENDENCYPART_ARC
(4,12),1.48477 # DEPENDENCYPART_ARC
(4,13),0.479751 # DEPENDENCYPART_ARC
(4,14),-1.55177 # DEPENDENCYPART_ARC
(4,15),-0.985594 # DEPENDENCYPART_ARC
(4,16),0.137227 # DEPENDENCYPART_ARC
(4,17),-2.06934 # DEPENDENCYPART_ARC
(4,18),-1.40295 # DEPENDENCYPART_ARC
(4,19),-1.72388 # DEPENDENCYPART_ARC
(4,20),-2.48188 # DEPENDENCYPART_ARC
(4,21),-2.95237 # DEPENDENCYPART_ARC
(4,22),-2.82912 # DEPENDENCYPART_ARC
(4,23),-3.25511 # DEPENDENCYPART_ARC
(4,24),-1.45145 # DEPENDENCYPART_ARC
(4,25),-1.45255 # DEPENDENCYPART_ARC
(4,26),-3.14654 # DEPENDENCYPART_ARC
(4,27),-2.54848 # DEPENDENCYPART_ARC
(4,28),2.86188 # DEPENDENCYPART_ARC
(5,1),0.170462 # DEPENDENCYPART_ARC
(5,2),1.29273 # DEPENDENCYPART_ARC
(5,3),0.58284 # DEPENDENCYPART_ARC
(5,4),0.511612 # DEPENDENCYPART_ARC
(5,6),3.24345 # DEPENDENCYPART_ARC
(5,7),2.94478 # DEPENDENCYPART_ARC
(5,8),1.8181 # DEPENDENCYPART_ARC
(5,9),1.60983 # DEPENDENCYPART_ARC
(5,10),1.21204 # DEPENDENCYPART_ARC
(5,11),1.48614 # DEPENDENCYPART_ARC
(5,12),1.49323 # DEPENDENCYPART_ARC
(5,13),-0.161857 # DEPENDENCYPART_ARC
(5,14),-0.869436 # DEPENDENCYPART_ARC
(5,15),-0.398599 # DEPENDENCYPART_ARC
(5,16),0.388023 # DEPENDENCYPART_ARC
(5,17),-1.22507 # DEPENDENCYPART_ARC
(5,18),-0.41217 # DEPENDENCYPART_ARC
(5,19),-1.22317 # DEPENDENCYPART_ARC
(5,20),-1.34303 # DEPENDENCYPART_ARC
(5,21),-2.06913 # DEPENDENCYPART_ARC
(5,22),-1.74647 # DEPENDENCYPART_ARC
(5,23),-1.88261 # DEPENDENCYPART_ARC
(5,24),-1.65892 # DEPENDENCYPART_ARC
(5,25),-0.687681 # DEPENDENCYPART_ARC
(5,26),-2.52546 # DEPENDENCYPART_ARC
(5,27),-2.3847 # DEPENDENCYPART_ARC
(5,28),0.0659771 # DEPENDENCYPART_ARC
(6,1),-0.740588 # DEPENDENCYPART_ARC
(6,2),0.274421 # DEPENDENCYPART_ARC
(6,3),-0.339015 # DEPENDENCYPART_ARC
(6,4),-0.320105 # DEPENDENCYPART_ARC
(6,5),0.486634 # DEPENDENCYPART_ARC
(6,7),3.04907 # DEPENDENCYPART_ARC
(6,8),1.4464 # DEPENDENCYPART_ARC
