# _root_ Like its parent that year , `` Bluefield was not having a good year , '' the judge said .
#goldHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
#predictedHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
(0,1),-6.74169 # DEPENDENCYPART_ARC
(0,2),-6.38557 # DEPENDENCYPART_ARC
(0,3),-5.94931 # DEPENDENCYPART_ARC
(0,4),-6.76505 # DEPENDENCYPART_ARC
(0,5),-6.42685 # DEPENDENCYPART_ARC
(0,6),-6.80741 # DEPENDENCYPART_ARC
(0,7),-7.07876 # DEPENDENCYPART_ARC
(0,8),-5.90219 # DEPENDENCYPART_ARC
(0,9),-3.06353 # DEPENDENCYPART_ARC
(0,10),-7.59445 # DEPENDENCYPART_ARC
(0,11),-6.65153 # DEPENDENCYPART_ARC
(0,12),-7.73524 # DEPENDENCYPART_ARC
(0,13),-6.46926 # DEPENDENCYPART_ARC
(0,14),-7.42354 # DEPENDENCYPART_ARC
(0,15),-7.98682 # DEPENDENCYPART_ARC
(0,16),-6.94946 # DEPENDENCYPART_ARC
(0,17),-8.6272 # DEPENDENCYPART_ARC
(0,18),-7.43169 # DEPENDENCYPART_ARC
(0,19),0.713084 # DEPENDENCYPART_ARC
(0,20),-5.45561 # DEPENDENCYPART_ARC
(1,2),1.11009 # DEPENDENCYPART_ARC
(1,3),2.99482 # DEPENDENCYPART_ARC
(1,4),0.638356 # DEPENDENCYPART_ARC
(1,5),0.839699 # DEPENDENCYPART_ARC
(1,6),1.05431 # DEPENDENCYPART_ARC
(1,7),0.562793 # DEPENDENCYPART_ARC
(1,8),-1.41834 # DEPENDENCYPART_ARC
(1,9),1.87359 # DEPENDENCYPART_ARC
(1,10),0.166971 # DEPENDENCYPART_ARC
(1,11),0.595474 # DEPENDENCYPART_ARC
(1,12),-1.82049 # DEPENDENCYPART_ARC
(1,13),-1.29619 # DEPENDENCYPART_ARC
(1,14),-3.03864 # DEPENDENCYPART_ARC
(1,15),0.517645 # DEPENDENCYPART_ARC
(1,16),0.280695 # DEPENDENCYPART_ARC
(1,17),-2.67498 # DEPENDENCYPART_ARC
(1,18),-5.30162 # DEPENDENCYPART_ARC
(1,19),-1.83297 # DEPENDENCYPART_ARC
(1,20),2.65274 # DEPENDENCYPART_ARC
(2,1),-0.570629 # DEPENDENCYPART_ARC
(2,3),0.214024 # DEPENDENCYPART_ARC
(2,4),-0.775157 # DEPENDENCYPART_ARC
(2,5),-0.888696 # DEPENDENCYPART_ARC
(2,6),-0.657093 # DEPENDENCYPART_ARC
(2,7),-1.22859 # DEPENDENCYPART_ARC
(2,8),-1.68643 # DEPENDENCYPART_ARC
(2,9),-1.16471 # DEPENDENCYPART_ARC
(2,10),-1.60335 # DEPENDENCYPART_ARC
(2,11),-1.52444 # DEPENDENCYPART_ARC
(2,12),-2.10502 # DEPENDENCYPART_ARC
(2,13),-2.20861 # DEPENDENCYPART_ARC
(2,14),-2.28148 # DEPENDENCYPART_ARC
(2,15),-1.47128 # DEPENDENCYPART_ARC
(2,16),-1.51915 # DEPENDENCYPART_ARC
(2,17),-2.65419 # DEPENDENCYPART_ARC
(2,18),-2.61028 # DEPENDENCYPART_ARC
(2,19),-2.16906 # DEPENDENCYPART_ARC
(2,20),-2.32952 # DEPENDENCYPART_ARC
(3,1),0.619447 # DEPENDENCYPART_ARC
(3,2),3.95507 # DEPENDENCYPART_ARC
(3,4),1.32343 # DEPENDENCYPART_ARC
(3,5),1.43441 # DEPENDENCYPART_ARC
(3,6),1.61418 # DEPENDENCYPART_ARC
(3,7),1.1885 # DEPENDENCYPART_ARC
(3,8),0.905048 # DEPENDENCYPART_ARC
(3,9),1.04936 # DEPENDENCYPART_ARC
(3,10),0.483539 # DEPENDENCYPART_ARC
(3,11),-0.132131 # DEPENDENCYPART_ARC
(3,12),-0.274396 # DEPENDENCYPART_ARC
(3,13),-0.215739 # DEPENDENCYPART_ARC
(3,14),0.0939842 # DEPENDENCYPART_ARC
(3,15),0.359357 # DEPENDENCYPART_ARC
(3,16),0.754104 # DEPENDENCYPART_ARC
(3,17),-1.02652 # DEPENDENCYPART_ARC
(3,18),-1.18615 # DEPENDENCYPART_ARC
(3,19),-1.78638 # DEPENDENCYPART_ARC
(3,20),0.652712 # DEPENDENCYPART_ARC
(4,1),-0.220037 # DEPENDENCYPART_ARC
(4,2),0.443588 # DEPENDENCYPART_ARC
(4,3),-0.343929 # DEPENDENCYPART_ARC
(4,5),-0.0691341 # DEPENDENCYPART_ARC
(4,6),0.158898 # DEPENDENCYPART_ARC
(4,7),-0.166518 # DEPENDENCYPART_ARC
(4,8),-1.5373 # DEPENDENCYPART_ARC
(4,9),1.82983 # DEPENDENCYPART_ARC
(4,10),-0.781612 # DEPENDENCYPART_ARC
(4,11),-0.951553 # DEPENDENCYPART_ARC
(4,12),-2.13614 # DEPENDENCYPART_ARC
(4,13),-1.13749 # DEPENDENCYPART_ARC
(4,14),-1.64457 # DEPENDENCYPART_ARC
(4,15),-0.219657 # DEPENDENCYPART_ARC
(4,16),-0.627782 # DEPENDENCYPART_ARC
(4,17),-2.88644 # DEPENDENCYPART_ARC
(4,18),-2.62632 # DEPENDENCYPART_ARC
(4,19),1.07588 # DEPENDENCYPART_ARC
(4,20),-0.659982 # DEPENDENCYPART_ARC
(5,1),0.259807 # DEPENDENCYPART_ARC
(5,2),2.04969 # DEPENDENCYPART_ARC
(5,3),0.374808 # DEPENDENCYPART_ARC
(5,4),2.6209 # DEPENDENCYPART_ARC
(5,6),0.70426 # DEPENDENCYPART_ARC
(5,7),1.12802 # DEPENDENCYPART_ARC
(5,8),0.0448271 # DEPENDENCYPART_ARC
(5,9),0.0148123 # DEPENDENCYPART_ARC
(5,10),0.31653 # DEPENDENCYPART_ARC
(5,11),-0.142629 # DEPENDENCYPART_ARC
(5,12),-0.530516 # DEPENDENCYPART_ARC
(5,13),-0.195144 # DEPENDENCYPART_ARC
(5,14),0.189423 # DEPENDENCYPART_ARC
(5,15),-0.292737 # DEPENDENCYPART_ARC
(5,16),0.991897 # DEPENDENCYPART_ARC
(5,17),-1.29307 # DEPENDENCYPART_ARC
(5,18),-1.89969 # DEPENDENCYPART_ARC
(5,19),-2.20829 # DEPENDENCYPART_ARC
(5,20),0.672409 # DEPENDENCYPART_ARC
(6,1),-2.00922 # DEPENDENCYPART_ARC
(6,2),-1.19569 # DEPENDENCYPART_ARC
(6,3),-1.40922 # DEPENDENCYPART_ARC
(6,4),-1.01167 # DEPENDENCYPART_ARC
(6,5),-1.3779 # DEPENDENCYPART_ARC
(6,7),0.43346 # DEPENDENCYPART_ARC
(6,8),-0.47325 # DEPENDENCYPART_ARC
(6,9),-0.557235 # DEPENDENCYPART_ARC
