# _root_ A. manual typewriters , B. black-and-white snapshots , C. radio adventure shows .
#goldHeads=3,3,0,3,7,7,3,7,12,12,12,7,3,
#predictedHeads=3,3,12,3,7,7,3,7,12,12,12,0,5,
(0,1),-6.13334 # DEPENDENCYPART_ARC
(0,2),-6.19488 # DEPENDENCYPART_ARC
(0,3),-6.53054 # DEPENDENCYPART_ARC
(0,4),-6.76638 # DEPENDENCYPART_ARC
(0,5),-7.16735 # DEPENDENCYPART_ARC
(0,6),-6.41427 # DEPENDENCYPART_ARC
(0,7),-6.49453 # DEPENDENCYPART_ARC
(0,8),-7.0125 # DEPENDENCYPART_ARC
(0,9),-7.33971 # DEPENDENCYPART_ARC
(0,10),-6.67234 # DEPENDENCYPART_ARC
(0,11),-6.33539 # DEPENDENCYPART_ARC
(0,12),-5.4394 # DEPENDENCYPART_ARC
(0,13),-7.4665 # DEPENDENCYPART_ARC
(1,2),1.04302 # DEPENDENCYPART_ARC
(1,3),0.588752 # DEPENDENCYPART_ARC
(1,4),0.237876 # DEPENDENCYPART_ARC
(1,5),-0.477329 # DEPENDENCYPART_ARC
(1,6),-0.540862 # DEPENDENCYPART_ARC
(1,7),-0.68057 # DEPENDENCYPART_ARC
(1,8),-0.139483 # DEPENDENCYPART_ARC
(1,9),-1.0005 # DEPENDENCYPART_ARC
(1,10),-0.86344 # DEPENDENCYPART_ARC
(1,11),-0.970804 # DEPENDENCYPART_ARC
(1,12),-1.21822 # DEPENDENCYPART_ARC
(1,13),0.232432 # DEPENDENCYPART_ARC
(2,1),1.46989 # DEPENDENCYPART_ARC
(2,3),1.06609 # DEPENDENCYPART_ARC
(2,4),0.165022 # DEPENDENCYPART_ARC
(2,5),-0.379825 # DEPENDENCYPART_ARC
(2,6),-0.361771 # DEPENDENCYPART_ARC
(2,7),-0.449631 # DEPENDENCYPART_ARC
(2,8),0.0160098 # DEPENDENCYPART_ARC
(2,9),-1.06243 # DEPENDENCYPART_ARC
(2,10),-0.999139 # DEPENDENCYPART_ARC
(2,11),-1.32408 # DEPENDENCYPART_ARC
