# _root_ `` The question is how long it 's going to take Barry Wright to make a contribution , '' says F. John Mirek , an analyst at Blunt Ellis Loewi in Milwaukee .
#goldHeads=20,3,4,20,6,11,8,4,8,9,10,13,11,11,14,17,15,20,20,0,23,23,20,23,26,23,26,30,30,27,30,31,20,
#predictedHeads=20,3,4,20,8,5,8,4,8,9,10,13,11,11,14,17,15,20,20,0,23,23,20,23,26,23,26,30,30,27,30,31,20,
(0,1),-6.40372 # DEPENDENCYPART_ARC
(0,2),-6.74726 # DEPENDENCYPART_ARC
(0,3),-5.13709 # DEPENDENCYPART_ARC
(0,4),-3.48653 # DEPENDENCYPART_ARC
(0,5),-5.96643 # DEPENDENCYPART_ARC
(0,6),-6.66022 # DEPENDENCYPART_ARC
(0,7),-6.0716 # DEPENDENCYPART_ARC
(0,8),-5.2504 # DEPENDENCYPART_ARC
(0,9),-6.66125 # DEPENDENCYPART_ARC
(0,10),-7.04311 # DEPENDENCYPART_ARC
(0,11),-5.20941 # DEPENDENCYPART_ARC
(0,12),-6.49739 # DEPENDENCYPART_ARC
(0,13),-6.53751 # DEPENDENCYPART_ARC
(0,14),-7.13133 # DEPENDENCYPART_ARC
(0,15),-6.45397 # DEPENDENCYPART_ARC
(0,16),-7.94842 # DEPENDENCYPART_ARC
(0,17),-6.88258 # DEPENDENCYPART_ARC
(0,18),-7.99328 # DEPENDENCYPART_ARC
(0,19),-7.2081 # DEPENDENCYPART_ARC
(0,20),0.340282 # DEPENDENCYPART_ARC
(0,21),-8.03986 # DEPENDENCYPART_ARC
(0,22),-7.88022 # DEPENDENCYPART_ARC
(0,23),-8.50488 # DEPENDENCYPART_ARC
(0,24),-8.84507 # DEPENDENCYPART_ARC
(0,25),-8.88862 # DEPENDENCYPART_ARC
(0,26),-8.16202 # DEPENDENCYPART_ARC
(0,27),-9.79152 # DEPENDENCYPART_ARC
(0,28),-9.30667 # DEPENDENCYPART_ARC
(0,29),-9.06833 # DEPENDENCYPART_ARC
(0,30),-9.66251 # DEPENDENCYPART_ARC
(0,31),-11.5872 # DEPENDENCYPART_ARC
(0,32),-10.248 # DEPENDENCYPART_ARC
(0,33),-3.72143 # DEPENDENCYPART_ARC
(1,2),-1.82282 # DEPENDENCYPART_ARC
(1,3),-2.13975 # DEPENDENCYPART_ARC
(1,4),-1.95908 # DEPENDENCYPART_ARC
(1,5),-3.01934 # DEPENDENCYPART_ARC
(1,6),-2.28002 # DEPENDENCYPART_ARC
(1,7),-2.78864 # DEPENDENCYPART_ARC
(1,8),-2.79313 # DEPENDENCYPART_ARC
(1,9),-2.81499 # DEPENDENCYPART_ARC
(1,10),-3.02341 # DEPENDENCYPART_ARC
(1,11),-3.23043 # DEPENDENCYPART_ARC
(1,12),-3.38142 # DEPENDENCYPART_ARC
(1,13),-3.52194 # DEPENDENCYPART_ARC
(1,14),-3.49022 # DEPENDENCYPART_ARC
(1,15),-3.59144 # DEPENDENCYPART_ARC
(1,16),-4.06888 # DEPENDENCYPART_ARC
(1,17),-3.95235 # DEPENDENCYPART_ARC
(1,18),-3.11874 # DEPENDENCYPART_ARC
(1,19),-2.04655 # DEPENDENCYPART_ARC
(1,20),-3.88212 # DEPENDENCYPART_ARC
(1,21),-4.29089 # DEPENDENCYPART_ARC
(1,22),-4.37289 # DEPENDENCYPART_ARC
(1,23),-4.53692 # DEPENDENCYPART_ARC
(1,24),-3.86249 # DEPENDENCYPART_ARC
(1,25),-4.96594 # DEPENDENCYPART_ARC
(1,26),-4.69524 # DEPENDENCYPART_ARC
(1,27),-4.93628 # DEPENDENCYPART_ARC
(1,28),-5.10406 # DEPENDENCYPART_ARC
(1,29),-5.15009 # DEPENDENCYPART_ARC
(1,30),-5.24741 # DEPENDENCYPART_ARC
(1,31),-5.20202 # DEPENDENCYPART_ARC
(1,32),-5.36508 # DEPENDENCYPART_ARC
(1,33),-4.27072 # DEPENDENCYPART_ARC
(2,1),-0.982936 # DEPENDENCYPART_ARC
(2,3),0.0154832 # DEPENDENCYPART_ARC
(2,4),-0.0317428 # DEPENDENCYPART_ARC
(2,5),-1.67969 # DEPENDENCYPART_ARC
(2,6),-1.50057 # DEPENDENCYPART_ARC
(2,7),-1.72557 # DEPENDENCYPART_ARC
(2,8),-1.53741 # DEPENDENCYPART_ARC
(2,9),-1.61848 # DEPENDENCYPART_ARC
(2,10),-1.83418 # DEPENDENCYPART_ARC
(2,11),-2.1921 # DEPENDENCYPART_ARC
(2,12),-2.55399 # DEPENDENCYPART_ARC
(2,13),-2.81453 # DEPENDENCYPART_ARC
(2,14),-2.49491 # DEPENDENCYPART_ARC
(2,15),-2.8327 # DEPENDENCYPART_ARC
(2,16),-3.40622 # DEPENDENCYPART_ARC
(2,17),-2.70309 # DEPENDENCYPART_ARC
(2,18),-2.66117 # DEPENDENCYPART_ARC
(2,19),-1.98007 # DEPENDENCYPART_ARC
(2,20),-3.6479 # DEPENDENCYPART_ARC
(2,21),-3.59746 # DEPENDENCYPART_ARC
(2,22),-3.6006 # DEPENDENCYPART_ARC
(2,23),-3.7028 # DEPENDENCYPART_ARC
(2,24),-3.34906 # DEPENDENCYPART_ARC
(2,25),-4.36492 # DEPENDENCYPART_ARC
(2,26),-3.67594 # DEPENDENCYPART_ARC
(2,27),-5.02804 # DEPENDENCYPART_ARC
(2,28),-4.31969 # DEPENDENCYPART_ARC
(2,29),-4.35126 # DEPENDENCYPART_ARC
(2,30),-4.3765 # DEPENDENCYPART_ARC
(2,31),-5.76657 # DEPENDENCYPART_ARC
(2,32),-4.4994 # DEPENDENCYPART_ARC
(2,33),-3.95318 # DEPENDENCYPART_ARC
(3,1),0.473853 # DEPENDENCYPART_ARC
(3,2),4.17041 # DEPENDENCYPART_ARC
(3,4),1.10382 # DEPENDENCYPART_ARC
(3,5),-0.454986 # DEPENDENCYPART_ARC
(3,6),0.157311 # DEPENDENCYPART_ARC
(3,7),-0.366333 # DEPENDENCYPART_ARC
(3,8),0.599694 # DEPENDENCYPART_ARC
(3,9),-0.060641 # DEPENDENCYPART_ARC
(3,10),-0.127183 # DEPENDENCYPART_ARC
(3,11),-0.126285 # DEPENDENCYPART_ARC
(3,12),-1.36429 # DEPENDENCYPART_ARC
(3,13),-1.0168 # DEPENDENCYPART_ARC
(3,14),-1.11378 # DEPENDENCYPART_ARC
(3,15),-0.421886 # DEPENDENCYPART_ARC
(3,16),-1.45131 # DEPENDENCYPART_ARC
(3,17),-1.68554 # DEPENDENCYPART_ARC
(3,18),-0.880382 # DEPENDENCYPART_ARC
(3,19),0.260257 # DEPENDENCYPART_ARC
(3,20),-2.07318 # DEPENDENCYPART_ARC
(3,21),-2.45839 # DEPENDENCYPART_ARC
(3,22),-2.56387 # DEPENDENCYPART_ARC
(3,23),-2.09169 # DEPENDENCYPART_ARC
(3,24),-2.03511 # DEPENDENCYPART_ARC
(3,25),-2.74011 # DEPENDENCYPART_ARC
(3,26),-3.24335 # DEPENDENCYPART_ARC
(3,27),-4.58305 # DEPENDENCYPART_ARC
(3,28),-3.07258 # DEPENDENCYPART_ARC
(3,29),-3.17702 # DEPENDENCYPART_ARC
(3,30),-2.9353 # DEPENDENCYPART_ARC
(3,31),-4.55285 # DEPENDENCYPART_ARC
(3,32),-3.46349 # DEPENDENCYPART_ARC
(3,33),3.4496 # DEPENDENCYPART_ARC
(4,1),2.61424 # DEPENDENCYPART_ARC
(4,2),0.863438 # DEPENDENCYPART_ARC
(4,3),3.13164 # DEPENDENCYPART_ARC
(4,5),0.163866 # DEPENDENCYPART_ARC
(4,6),1.89253 # DEPENDENCYPART_ARC
(4,7),1.20608 # DEPENDENCYPART_ARC
(4,8),1.72759 # DEPENDENCYPART_ARC
(4,9),1.67165 # DEPENDENCYPART_ARC
(4,10),1.0829 # DEPENDENCYPART_ARC
(4,11),0.689993 # DEPENDENCYPART_ARC
(4,12),-0.374144 # DEPENDENCYPART_ARC
(4,13),0.166795 # DEPENDENCYPART_ARC
(4,14),0.0690622 # DEPENDENCYPART_ARC
(4,15),0.0530109 # DEPENDENCYPART_ARC
(4,16),-0.918781 # DEPENDENCYPART_ARC
(4,17),-1.59907 # DEPENDENCYPART_ARC
(4,18),0.91784 # DEPENDENCYPART_ARC
(4,19),2.81729 # DEPENDENCYPART_ARC
(4,20),0.335725 # DEPENDENCYPART_ARC
(4,21),-1.77088 # DEPENDENCYPART_ARC
(4,22),-1.69472 # DEPENDENCYPART_ARC
(4,23),-1.17389 # DEPENDENCYPART_ARC
(4,24),-0.567431 # DEPENDENCYPART_ARC
(4,25),-1.4941 # DEPENDENCYPART_ARC
(4,26),-3.4752 # DEPENDENCYPART_ARC
(4,27),-1.2226 # DEPENDENCYPART_ARC
(4,28),-3.00336 # DEPENDENCYPART_ARC
(4,29),-2.83326 # DEPENDENCYPART_ARC
(4,30),-2.71567 # DEPENDENCYPART_ARC
(4,31),-2.43407 # DEPENDENCYPART_ARC
(4,32),-3.29656 # DEPENDENCYPART_ARC
(4,33),5.06675 # DEPENDENCYPART_ARC
(5,1),-0.911434 # DEPENDENCYPART_ARC
(5,2),-0.245075 # DEPENDENCYPART_ARC
(5,3),-1.00536 # DEPENDENCYPART_ARC
(5,4),-0.268297 # DEPENDENCYPART_ARC
(5,6),3.54491 # DEPENDENCYPART_ARC
(5,7),0.918304 # DEPENDENCYPART_ARC
(5,8),0.77991 # DEPENDENCYPART_ARC
(5,9),0.543768 # DEPENDENCYPART_ARC
