# _root_ Here are price trends on the world 's major stock markets , as calculated by Morgan Stanley Capital International Perspective , Geneva .
#goldHeads=2,0,4,2,4,7,11,7,11,11,5,4,4,13,14,20,20,20,20,15,20,20,2,
#predictedHeads=2,0,4,2,4,7,11,7,11,11,5,4,4,13,14,20,20,20,20,15,20,20,2,
(0,1),-5.39738 # DEPENDENCYPART_ARC
(0,2),-2.22473 # DEPENDENCYPART_ARC
(0,3),-5.86172 # DEPENDENCYPART_ARC
(0,4),-6.39694 # DEPENDENCYPART_ARC
(0,5),-6.81209 # DEPENDENCYPART_ARC
(0,6),-7.14729 # DEPENDENCYPART_ARC
(0,7),-5.94967 # DEPENDENCYPART_ARC
(0,8),-6.8144 # DEPENDENCYPART_ARC
(0,9),-5.93808 # DEPENDENCYPART_ARC
(0,10),-6.67866 # DEPENDENCYPART_ARC
(0,11),-6.07725 # DEPENDENCYPART_ARC
(0,12),-7.47789 # DEPENDENCYPART_ARC
(0,13),-7.08864 # DEPENDENCYPART_ARC
(0,14),-4.60169 # DEPENDENCYPART_ARC
(0,15),-7.78455 # DEPENDENCYPART_ARC
(0,16),-5.96201 # DEPENDENCYPART_ARC
(0,17),-5.68585 # DEPENDENCYPART_ARC
(0,18),-6.20358 # DEPENDENCYPART_ARC
(0,19),-5.89383 # DEPENDENCYPART_ARC
(0,20),-7.02029 # DEPENDENCYPART_ARC
(0,21),-8.83028 # DEPENDENCYPART_ARC
(0,22),-8.1092 # DEPENDENCYPART_ARC
(0,23),-6.39986 # DEPENDENCYPART_ARC
(1,2),0.794636 # DEPENDENCYPART_ARC
(1,3),-0.415304 # DEPENDENCYPART_ARC
(1,4),-0.906186 # DEPENDENCYPART_ARC
(1,5),-0.54658 # DEPENDENCYPART_ARC
(1,6),-1.09605 # DEPENDENCYPART_ARC
(1,7),-2.30637 # DEPENDENCYPART_ARC
(1,8),-1.87947 # DEPENDENCYPART_ARC
(1,9),-1.34554 # DEPENDENCYPART_ARC
(1,10),-2.6218 # DEPENDENCYPART_ARC
