# _root_ Applied , then a closely held company , was stagnating under the management of its controlling family .
#goldHeads=9,7,7,7,6,7,1,7,0,9,10,13,11,13,17,17,14,9,
#predictedHeads=9,1,7,7,6,7,1,1,0,9,10,13,11,13,17,17,14,9,
(0,1),-6.50323 # DEPENDENCYPART_ARC
(0,2),-6.91427 # DEPENDENCYPART_ARC
(0,3),-6.83804 # DEPENDENCYPART_ARC
(0,4),-7.28457 # DEPENDENCYPART_ARC
(0,5),-7.06627 # DEPENDENCYPART_ARC
(0,6),-5.22574 # DEPENDENCYPART_ARC
(0,7),-6.70256 # DEPENDENCYPART_ARC
(0,8),-7.3722 # DEPENDENCYPART_ARC
(0,9),-1.48701 # DEPENDENCYPART_ARC
(0,10),-6.86339 # DEPENDENCYPART_ARC
(0,11),-7.00769 # DEPENDENCYPART_ARC
(0,12),-8.17093 # DEPENDENCYPART_ARC
(0,13),-6.85773 # DEPENDENCYPART_ARC
(0,14),-7.98429 # DEPENDENCYPART_ARC
(0,15),-7.72582 # DEPENDENCYPART_ARC
(0,16),-7.14866 # DEPENDENCYPART_ARC
(0,17),-7.02661 # DEPENDENCYPART_ARC
(0,18),-5.65216 # DEPENDENCYPART_ARC
(1,2),2.51569 # DEPENDENCYPART_ARC
(1,3),0.893023 # DEPENDENCYPART_ARC
(1,4),0.38089 # DEPENDENCYPART_ARC
(1,5),0.267228 # DEPENDENCYPART_ARC
(1,6),0.51821 # DEPENDENCYPART_ARC
(1,7),2.12115 # DEPENDENCYPART_ARC
(1,8),3.58517 # DEPENDENCYPART_ARC
(1,9),0.0795995 # DEPENDENCYPART_ARC
(1,10),0.191636 # DEPENDENCYPART_ARC
(1,11),-0.622545 # DEPENDENCYPART_ARC
(1,12),-0.625199 # DEPENDENCYPART_ARC
(1,13),-1.00775 # DEPENDENCYPART_ARC
(1,14),-1.59418 # DEPENDENCYPART_ARC
(1,15),-1.18311 # DEPENDENCYPART_ARC
(1,16),-0.682346 # DEPENDENCYPART_ARC
(1,17),-2.477 # DEPENDENCYPART_ARC
(1,18),-0.478362 # DEPENDENCYPART_ARC
(2,1),-0.934629 # DEPENDENCYPART_ARC
(2,3),-0.547924 # DEPENDENCYPART_ARC
(2,4),-1.13656 # DEPENDENCYPART_ARC
(2,5),-1.32634 # DEPENDENCYPART_ARC
(2,6),-1.4669 # DEPENDENCYPART_ARC
(2,7),-1.96547 # DEPENDENCYPART_ARC
(2,8),0.345218 # DEPENDENCYPART_ARC
(2,9),-1.5248 # DEPENDENCYPART_ARC
(2,10),-1.82678 # DEPENDENCYPART_ARC
(2,11),-1.56424 # DEPENDENCYPART_ARC
(2,12),-2.3343 # DEPENDENCYPART_ARC
(2,13),-2.87222 # DEPENDENCYPART_ARC
(2,14),-1.80764 # DEPENDENCYPART_ARC
(2,15),-2.84208 # DEPENDENCYPART_ARC
(2,16),-2.34353 # DEPENDENCYPART_ARC
(2,17),-3.19621 # DEPENDENCYPART_ARC
(2,18),-2.20644 # DEPENDENCYPART_ARC
(3,1),-0.669361 # DEPENDENCYPART_ARC
(3,2),0.0567867 # DEPENDENCYPART_ARC
(3,4),1.75653 # DEPENDENCYPART_ARC
(3,5),0.645429 # DEPENDENCYPART_ARC
