# _root_ `` Those shares which had posted gains on M&A speculation were dashed with cold water , but as far as major stocks are concerned , there is n't much impact . ''
#goldHeads=11,3,11,5,3,5,6,6,10,8,0,11,12,15,13,11,11,27,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
#predictedHeads=11,3,11,5,3,5,6,7,10,8,0,11,12,15,13,11,11,17,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
(0,1),-6.40372 # DEPENDENCYPART_ARC
(0,2),-6.61297 # DEPENDENCYPART_ARC
(0,3),-6.29632 # DEPENDENCYPART_ARC
(0,4),-6.9089 # DEPENDENCYPART_ARC
(0,5),-5.86737 # DEPENDENCYPART_ARC
(0,6),-4.12907 # DEPENDENCYPART_ARC
(0,7),-6.6935 # DEPENDENCYPART_ARC
(0,8),-7.62364 # DEPENDENCYPART_ARC
(0,9),-6.78029 # DEPENDENCYPART_ARC
(0,10),-6.28282 # DEPENDENCYPART_ARC
(0,11),-3.80911 # DEPENDENCYPART_ARC
(0,12),-4.85914 # DEPENDENCYPART_ARC
(0,13),-8.07293 # DEPENDENCYPART_ARC
(0,14),-6.23905 # DEPENDENCYPART_ARC
(0,15),-6.83028 # DEPENDENCYPART_ARC
(0,16),-7.84811 # DEPENDENCYPART_ARC
(0,17),-8.67479 # DEPENDENCYPART_ARC
(0,18),-8.00755 # DEPENDENCYPART_ARC
(0,19),-8.30829 # DEPENDENCYPART_ARC
(0,20),-7.74282 # DEPENDENCYPART_ARC
(0,21),-6.4901 # DEPENDENCYPART_ARC
(0,22),-6.81106 # DEPENDENCYPART_ARC
(0,23),-5.13652 # DEPENDENCYPART_ARC
(0,24),-5.54059 # DEPENDENCYPART_ARC
(0,25),-9.1753 # DEPENDENCYPART_ARC
(0,26),-8.41936 # DEPENDENCYPART_ARC
(0,27),-4.133 # DEPENDENCYPART_ARC
(0,28),-8.87677 # DEPENDENCYPART_ARC
(0,29),-6.90114 # DEPENDENCYPART_ARC
(0,30),-7.79037 # DEPENDENCYPART_ARC
(0,31),-7.6204 # DEPENDENCYPART_ARC
(0,32),-8.57675 # DEPENDENCYPART_ARC
(1,2),-1.90299 # DEPENDENCYPART_ARC
(1,3),-2.23916 # DEPENDENCYPART_ARC
(1,4),-2.91229 # DEPENDENCYPART_ARC
(1,5),-2.27235 # DEPENDENCYPART_ARC
(1,6),-2.50958 # DEPENDENCYPART_ARC
(1,7),-3.3364 # DEPENDENCYPART_ARC
(1,8),-2.83173 # DEPENDENCYPART_ARC
(1,9),-3.12845 # DEPENDENCYPART_ARC
(1,10),-3.3395 # DEPENDENCYPART_ARC
(1,11),-2.97615 # DEPENDENCYPART_ARC
(1,12),-3.03553 # DEPENDENCYPART_ARC
(1,13),-3.41443 # DEPENDENCYPART_ARC
(1,14),-3.31841 # DEPENDENCYPART_ARC
(1,15),-3.72651 # DEPENDENCYPART_ARC
(1,16),-2.94259 # DEPENDENCYPART_ARC
(1,17),-3.87229 # DEPENDENCYPART_ARC
(1,18),-3.64408 # DEPENDENCYPART_ARC
(1,19),-3.8434 # DEPENDENCYPART_ARC
(1,20),-3.99099 # DEPENDENCYPART_ARC
(1,21),-3.89363 # DEPENDENCYPART_ARC
(1,22),-4.79195 # DEPENDENCYPART_ARC
(1,23),-4.46146 # DEPENDENCYPART_ARC
(1,24),-4.37146 # DEPENDENCYPART_ARC
