# _root_ In composite trading on the New York Stock Exchange , the company closed at $ 25.25 a share , down 25 cents .
#goldHeads=13,3,1,3,9,9,9,9,4,13,12,13,0,13,14,15,18,15,13,13,22,20,13,
#predictedHeads=13,3,1,3,9,9,9,9,4,13,12,13,0,13,14,15,18,15,13,13,22,20,13,
(0,1),-6.02874 # DEPENDENCYPART_ARC
(0,2),-6.0402 # DEPENDENCYPART_ARC
(0,3),-6.26648 # DEPENDENCYPART_ARC
(0,4),-6.8661 # DEPENDENCYPART_ARC
(0,5),-7.49089 # DEPENDENCYPART_ARC
(0,6),-5.80089 # DEPENDENCYPART_ARC
(0,7),-5.72133 # DEPENDENCYPART_ARC
(0,8),-6.05684 # DEPENDENCYPART_ARC
(0,9),-6.67737 # DEPENDENCYPART_ARC
(0,10),-7.34574 # DEPENDENCYPART_ARC
(0,11),-7.77063 # DEPENDENCYPART_ARC
(0,12),-6.44512 # DEPENDENCYPART_ARC
(0,13),-2.45351 # DEPENDENCYPART_ARC
(0,14),-9.21173 # DEPENDENCYPART_ARC
(0,15),-9.10717 # DEPENDENCYPART_ARC
(0,16),-8.69039 # DEPENDENCYPART_ARC
(0,17),-8.25046 # DEPENDENCYPART_ARC
(0,18),-7.34141 # DEPENDENCYPART_ARC
(0,19),-8.61676 # DEPENDENCYPART_ARC
(0,20),-8.61676 # DEPENDENCYPART_ARC
(0,21),-9.14672 # DEPENDENCYPART_ARC
(0,22),-6.52267 # DEPENDENCYPART_ARC
(0,23),-5.80391 # DEPENDENCYPART_ARC
(1,2),1.48066 # DEPENDENCYPART_ARC
(1,3),4.20265 # DEPENDENCYPART_ARC
(1,4),0.92223 # DEPENDENCYPART_ARC
(1,5),-1.12128 # DEPENDENCYPART_ARC
(1,6),-1.10553 # DEPENDENCYPART_ARC
(1,7),-0.778002 # DEPENDENCYPART_ARC
(1,8),-1.0872 # DEPENDENCYPART_ARC
(1,9),-0.30666 # DEPENDENCYPART_ARC
(1,10),0.492627 # DEPENDENCYPART_ARC
(1,11),-2.32986 # DEPENDENCYPART_ARC
(1,12),-2.60397 # DEPENDENCYPART_ARC
(1,13),-0.265403 # DEPENDENCYPART_ARC
(1,14),-1.60862 # DEPENDENCYPART_ARC
(1,15),-4.32413 # DEPENDENCYPART_ARC
(1,16),-3.27681 # DEPENDENCYPART_ARC
(1,17),-3.70887 # DEPENDENCYPART_ARC
(1,18),-8.02166 # DEPENDENCYPART_ARC
(1,19),-0.245316 # DEPENDENCYPART_ARC
(1,20),-2.36111 # DEPENDENCYPART_ARC
(1,21),-4.81776 # DEPENDENCYPART_ARC
(1,22),-9.79251 # DEPENDENCYPART_ARC
(1,23),0.269224 # DEPENDENCYPART_ARC
(2,1),-0.482453 # DEPENDENCYPART_ARC
(2,3),1.07016 # DEPENDENCYPART_ARC
(2,4),-0.417668 # DEPENDENCYPART_ARC
(2,5),-1.49298 # DEPENDENCYPART_ARC
(2,6),-0.792241 # DEPENDENCYPART_ARC
(2,7),-0.978355 # DEPENDENCYPART_ARC
(2,8),-1.36628 # DEPENDENCYPART_ARC
(2,9),-1.28056 # DEPENDENCYPART_ARC
(2,10),-0.576631 # DEPENDENCYPART_ARC
(2,11),-2.21837 # DEPENDENCYPART_ARC
(2,12),-1.73509 # DEPENDENCYPART_ARC
