# _root_ `` It 's falling like a stone , '' said Danny Linger , a pit trader who was standing outside the London International Financial Futures Exchange .
#goldHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
#predictedHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.5215 # DEPENDENCYPART_ARC
(0,3),-4.16028 # DEPENDENCYPART_ARC
(0,4),-6.42488 # DEPENDENCYPART_ARC
(0,5),-6.18031 # DEPENDENCYPART_ARC
(0,6),-6.97921 # DEPENDENCYPART_ARC
(0,7),-6.30902 # DEPENDENCYPART_ARC
(0,8),-6.84273 # DEPENDENCYPART_ARC
(0,9),-6.44663 # DEPENDENCYPART_ARC
(0,10),0.820711 # DEPENDENCYPART_ARC
(0,11),-6.49286 # DEPENDENCYPART_ARC
(0,12),-6.60454 # DEPENDENCYPART_ARC
(0,13),-7.23454 # DEPENDENCYPART_ARC
(0,14),-7.81012 # DEPENDENCYPART_ARC
(0,15),-6.63798 # DEPENDENCYPART_ARC
(0,16),-6.46672 # DEPENDENCYPART_ARC
(0,17),-7.51788 # DEPENDENCYPART_ARC
(0,18),-4.9255 # DEPENDENCYPART_ARC
(0,19),-6.88292 # DEPENDENCYPART_ARC
(0,20),-7.84591 # DEPENDENCYPART_ARC
(0,21),-8.91205 # DEPENDENCYPART_ARC
(0,22),-8.00618 # DEPENDENCYPART_ARC
(0,23),-7.10224 # DEPENDENCYPART_ARC
(0,24),-7.86509 # DEPENDENCYPART_ARC
(0,25),-8.41015 # DEPENDENCYPART_ARC
(0,26),-8.78188 # DEPENDENCYPART_ARC
(0,27),-4.30714 # DEPENDENCYPART_ARC
(1,2),-1.58687 # DEPENDENCYPART_ARC
(1,3),-1.93376 # DEPENDENCYPART_ARC
(1,4),-2.26237 # DEPENDENCYPART_ARC
(1,5),-2.58712 # DEPENDENCYPART_ARC
(1,6),-3.21728 # DEPENDENCYPART_ARC
(1,7),-3.0909 # DEPENDENCYPART_ARC
(1,8),-2.17088 # DEPENDENCYPART_ARC
(1,9),-1.62454 # DEPENDENCYPART_ARC
(1,10),-2.90327 # DEPENDENCYPART_ARC
(1,11),-3.33579 # DEPENDENCYPART_ARC
(1,12),-3.4646 # DEPENDENCYPART_ARC
(1,13),-2.71986 # DEPENDENCYPART_ARC
(1,14),-3.94379 # DEPENDENCYPART_ARC
(1,15),-3.70258 # DEPENDENCYPART_ARC
(1,16),-3.55712 # DEPENDENCYPART_ARC
(1,17),-4.4339 # DEPENDENCYPART_ARC
(1,18),-3.6878 # DEPENDENCYPART_ARC
(1,19),-3.82997 # DEPENDENCYPART_ARC
(1,20),-4.13478 # DEPENDENCYPART_ARC
(1,21),-4.6416 # DEPENDENCYPART_ARC
(1,22),-4.44964 # DEPENDENCYPART_ARC
(1,23),-4.60725 # DEPENDENCYPART_ARC
(1,24),-4.7105 # DEPENDENCYPART_ARC
(1,25),-4.81149 # DEPENDENCYPART_ARC
(1,26),-4.87186 # DEPENDENCYPART_ARC
(1,27),-3.82219 # DEPENDENCYPART_ARC
(2,1),0.00873671 # DEPENDENCYPART_ARC
