# _root_ Prices in Brussels , where a computer breakdown disrupted trading , also tumbled .
#goldHeads=13,1,2,3,9,8,8,9,3,9,3,13,0,13,
#predictedHeads=13,1,2,3,9,8,8,9,3,9,3,13,0,13,
(0,1),-6.46077 # DEPENDENCYPART_ARC
(0,2),-7.21993 # DEPENDENCYPART_ARC
(0,3),-6.68307 # DEPENDENCYPART_ARC
(0,4),-6.88594 # DEPENDENCYPART_ARC
(0,5),-6.32031 # DEPENDENCYPART_ARC
(0,6),-7.25404 # DEPENDENCYPART_ARC
(0,7),-6.70862 # DEPENDENCYPART_ARC
(0,8),-6.51671 # DEPENDENCYPART_ARC
(0,9),-4.89861 # DEPENDENCYPART_ARC
(0,10),-7.59765 # DEPENDENCYPART_ARC
(0,11),-7.6152 # DEPENDENCYPART_ARC
(0,12),-7.10581 # DEPENDENCYPART_ARC
(0,13),-3.0147 # DEPENDENCYPART_ARC
(0,14),-5.82765 # DEPENDENCYPART_ARC
(1,2),2.59663 # DEPENDENCYPART_ARC
(1,3),1.71972 # DEPENDENCYPART_ARC
(1,4),2.16815 # DEPENDENCYPART_ARC
(1,5),-0.166013 # DEPENDENCYPART_ARC
(1,6),0.0553385 # DEPENDENCYPART_ARC
(1,7),0.863094 # DEPENDENCYPART_ARC
(1,8),0.619899 # DEPENDENCYPART_ARC
(1,9),1.06077 # DEPENDENCYPART_ARC
(1,10),-0.411142 # DEPENDENCYPART_ARC
(1,11),1.43958 # DEPENDENCYPART_ARC
(1,12),-1.01445 # DEPENDENCYPART_ARC
(1,13),0.216811 # DEPENDENCYPART_ARC
(1,14),0.272265 # DEPENDENCYPART_ARC
(2,1),0.217466 # DEPENDENCYPART_ARC
(2,3),4.48233 # DEPENDENCYPART_ARC
(2,4),0.693154 # DEPENDENCYPART_ARC
(2,5),-0.457173 # DEPENDENCYPART_ARC
(2,6),-1.30596 # DEPENDENCYPART_ARC
(2,7),-1.76336 # DEPENDENCYPART_ARC
(2,8),-0.569782 # DEPENDENCYPART_ARC
(2,9),-0.617144 # DEPENDENCYPART_ARC
(2,10),-2.92122 # DEPENDENCYPART_ARC
(2,11),-0.0575218 # DEPENDENCYPART_ARC
(2,12),-1.24873 # DEPENDENCYPART_ARC
(2,13),-2.73358 # DEPENDENCYPART_ARC
(2,14),0.56347 # DEPENDENCYPART_ARC
(3,1),0.208552 # DEPENDENCYPART_ARC
(3,2),0.955406 # DEPENDENCYPART_ARC
(3,4),3.06382 # DEPENDENCYPART_ARC
(3,5),0.296165 # DEPENDENCYPART_ARC
(3,6),0.431955 # DEPENDENCYPART_ARC
(3,7),0.800949 # DEPENDENCYPART_ARC
(3,8),0.944129 # DEPENDENCYPART_ARC
(3,9),1.81006 # DEPENDENCYPART_ARC
