# _root_ In New York Stock Exchange composite trading yesterday , Di Giorgio closed at $ 31.50 a share , down $ 1.75 .
#goldHeads=12,7,7,7,7,7,1,12,12,11,12,0,12,13,14,17,14,12,12,19,20,12,
#predictedHeads=12,7,7,7,7,7,1,12,12,11,12,0,12,13,14,17,14,12,12,19,20,12,
(0,1),-6.4278 # DEPENDENCYPART_ARC
(0,2),-5.66887 # DEPENDENCYPART_ARC
(0,3),-5.26442 # DEPENDENCYPART_ARC
(0,4),-5.63367 # DEPENDENCYPART_ARC
(0,5),-6.15526 # DEPENDENCYPART_ARC
(0,6),-7.02554 # DEPENDENCYPART_ARC
(0,7),-7.14565 # DEPENDENCYPART_ARC
(0,8),-6.70851 # DEPENDENCYPART_ARC
(0,9),-7.40331 # DEPENDENCYPART_ARC
(0,10),-8.42741 # DEPENDENCYPART_ARC
(0,11),-6.38092 # DEPENDENCYPART_ARC
(0,12),-2.16088 # DEPENDENCYPART_ARC
(0,13),-9.65549 # DEPENDENCYPART_ARC
(0,14),-9.12771 # DEPENDENCYPART_ARC
(0,15),-8.62257 # DEPENDENCYPART_ARC
(0,16),-8.14037 # DEPENDENCYPART_ARC
(0,17),-8.16555 # DEPENDENCYPART_ARC
(0,18),-8.52602 # DEPENDENCYPART_ARC
(0,19),-8.29781 # DEPENDENCYPART_ARC
(0,20),-9.90632 # DEPENDENCYPART_ARC
(0,21),-9.27517 # DEPENDENCYPART_ARC
(0,22),-6.40687 # DEPENDENCYPART_ARC
(1,2),2.16105 # DEPENDENCYPART_ARC
(1,3),2.60967 # DEPENDENCYPART_ARC
(1,4),1.70515 # DEPENDENCYPART_ARC
(1,5),1.77491 # DEPENDENCYPART_ARC
(1,6),2.07883 # DEPENDENCYPART_ARC
(1,7),2.27102 # DEPENDENCYPART_ARC
(1,8),-3.06876 # DEPENDENCYPART_ARC
(1,9),0.664915 # DEPENDENCYPART_ARC
(1,10),-2.27766 # DEPENDENCYPART_ARC
(1,11),-2.25999 # DEPENDENCYPART_ARC
(1,12),-0.198078 # DEPENDENCYPART_ARC
(1,13),-1.82681 # DEPENDENCYPART_ARC
(1,14),-4.38518 # DEPENDENCYPART_ARC
(1,15),-3.8817 # DEPENDENCYPART_ARC
(1,16),-3.45944 # DEPENDENCYPART_ARC
(1,17),-6.77016 # DEPENDENCYPART_ARC
(1,18),-0.201743 # DEPENDENCYPART_ARC
(1,19),-2.18504 # DEPENDENCYPART_ARC
(1,20),-6.61087 # DEPENDENCYPART_ARC
(1,21),-4.90053 # DEPENDENCYPART_ARC
(1,22),-0.198803 # DEPENDENCYPART_ARC
(2,1),-2.57575 # DEPENDENCYPART_ARC
(2,3),0.223697 # DEPENDENCYPART_ARC
(2,4),-0.475189 # DEPENDENCYPART_ARC
(2,5),-1.30106 # DEPENDENCYPART_ARC
(2,6),-1.5181 # DEPENDENCYPART_ARC
(2,7),-1.52262 # DEPENDENCYPART_ARC
(2,8),-1.60645 # DEPENDENCYPART_ARC
(2,9),-0.215266 # DEPENDENCYPART_ARC
(2,10),-2.47152 # DEPENDENCYPART_ARC
(2,11),-2.36369 # DEPENDENCYPART_ARC
(2,12),-2.94533 # DEPENDENCYPART_ARC
(2,13),-3.91009 # DEPENDENCYPART_ARC
(2,14),-3.12775 # DEPENDENCYPART_ARC
(2,15),-3.64018 # DEPENDENCYPART_ARC
(2,16),-3.2742 # DEPENDENCYPART_ARC
(2,17),-5.00244 # DEPENDENCYPART_ARC
(2,18),-2.04506 # DEPENDENCYPART_ARC
(2,19),-3.83634 # DEPENDENCYPART_ARC
(2,20),-4.14877 # DEPENDENCYPART_ARC
(2,21),-4.14688 # DEPENDENCYPART_ARC
(2,22),-3.74833 # DEPENDENCYPART_ARC
