# _root_ Officials at Aristech , based in Pittsburgh , declined comment .
#goldHeads=9,1,2,3,3,5,6,3,0,9,9,
#predictedHeads=9,1,2,3,3,5,6,3,0,9,9,
(0,1),-6.89858 # DEPENDENCYPART_ARC
(0,2),-7.72982 # DEPENDENCYPART_ARC
(0,3),-6.24691 # DEPENDENCYPART_ARC
(0,4),-7.03528 # DEPENDENCYPART_ARC
(0,5),-5.68556 # DEPENDENCYPART_ARC
(0,6),-7.53355 # DEPENDENCYPART_ARC
(0,7),-7.26338 # DEPENDENCYPART_ARC
(0,8),-7.27229 # DEPENDENCYPART_ARC
(0,9),-2.81965 # DEPENDENCYPART_ARC
(0,10),-6.82939 # DEPENDENCYPART_ARC
(0,11),-6.93608 # DEPENDENCYPART_ARC
(1,2),3.00549 # DEPENDENCYPART_ARC
(1,3),0.858306 # DEPENDENCYPART_ARC
(1,4),1.79284 # DEPENDENCYPART_ARC
(1,5),1.37752 # DEPENDENCYPART_ARC
(1,6),0.684602 # DEPENDENCYPART_ARC
(1,7),-0.0977299 # DEPENDENCYPART_ARC
(1,8),1.25847 # DEPENDENCYPART_ARC
(1,9),0.795033 # DEPENDENCYPART_ARC
(1,10),-0.530247 # DEPENDENCYPART_ARC
(1,11),0.00839859 # DEPENDENCYPART_ARC
(2,1),0.0323212 # DEPENDENCYPART_ARC
(2,3),3.56875 # DEPENDENCYPART_ARC
(2,4),0.636438 # DEPENDENCYPART_ARC
(2,5),0.302478 # DEPENDENCYPART_ARC
(2,6),-0.0034934 # DEPENDENCYPART_ARC
(2,7),0.480148 # DEPENDENCYPART_ARC
(2,8),0.714015 # DEPENDENCYPART_ARC
(2,9),0.00861452 # DEPENDENCYPART_ARC
(2,10),-0.782537 # DEPENDENCYPART_ARC
(2,11),-0.810065 # DEPENDENCYPART_ARC
(3,1),-0.360841 # DEPENDENCYPART_ARC
(3,2),0.777974 # DEPENDENCYPART_ARC
(3,4),2.0806 # DEPENDENCYPART_ARC
(3,5),1.9291 # DEPENDENCYPART_ARC
(3,6),0.828412 # DEPENDENCYPART_ARC
(3,7),0.902666 # DEPENDENCYPART_ARC
(3,8),2.3937 # DEPENDENCYPART_ARC
(3,9),0.575342 # DEPENDENCYPART_ARC
(3,10),-0.573877 # DEPENDENCYPART_ARC
(3,11),0.114722 # DEPENDENCYPART_ARC
(4,1),-1.10072 # DEPENDENCYPART_ARC
(4,2),-0.856408 # DEPENDENCYPART_ARC
(4,3),-0.713042 # DEPENDENCYPART_ARC
(4,5),-0.777618 # DEPENDENCYPART_ARC
(4,6),-1.63709 # DEPENDENCYPART_ARC
(4,7),-1.49518 # DEPENDENCYPART_ARC
(4,8),-0.251967 # DEPENDENCYPART_ARC
(4,9),-1.73707 # DEPENDENCYPART_ARC
(4,10),-2.56173 # DEPENDENCYPART_ARC
(4,11),-1.7807 # DEPENDENCYPART_ARC
(5,1),0.267106 # DEPENDENCYPART_ARC
(5,2),0.253048 # DEPENDENCYPART_ARC
(5,3),0.216675 # DEPENDENCYPART_ARC
(5,4),0.59296 # DEPENDENCYPART_ARC
(5,6),3.78134 # DEPENDENCYPART_ARC
(5,7),1.25034 # DEPENDENCYPART_ARC
(5,8),0.524534 # DEPENDENCYPART_ARC
(5,9),0.387055 # DEPENDENCYPART_ARC
(5,10),-0.0692018 # DEPENDENCYPART_ARC
(5,11),1.05844 # DEPENDENCYPART_ARC
(6,1),-0.979731 # DEPENDENCYPART_ARC
(6,2),0.168139 # DEPENDENCYPART_ARC
(6,3),-0.50318 # DEPENDENCYPART_ARC
(6,4),0.154117 # DEPENDENCYPART_ARC
(6,5),0.206649 # DEPENDENCYPART_ARC
(6,7),3.8697 # DEPENDENCYPART_ARC
(6,8),0.656321 # DEPENDENCYPART_ARC
(6,9),0.367365 # DEPENDENCYPART_ARC
(6,10),0.131106 # DEPENDENCYPART_ARC
(6,11),-0.591881 # DEPENDENCYPART_ARC
(7,1),-3.22258 # DEPENDENCYPART_ARC
(7,2),-1.97574 # DEPENDENCYPART_ARC
(7,3),-1.17219 # DEPENDENCYPART_ARC
(7,4),-1.18267 # DEPENDENCYPART_ARC
(7,5),-0.96952 # DEPENDENCYPART_ARC
(7,6),0.264909 # DEPENDENCYPART_ARC
(7,8),0.937116 # DEPENDENCYPART_ARC
(7,9),-0.239985 # DEPENDENCYPART_ARC
(7,10),-0.648116 # DEPENDENCYPART_ARC
