# _root_ `` Futures were pulling the stock market higher , '' said Donald Selkin , head of stock-index futures research at Prudential-Bache Securities Inc .
#goldHeads=11,3,11,3,7,7,4,4,11,11,0,13,11,13,13,15,19,19,16,19,22,20,22,11,
#predictedHeads=11,3,11,3,7,7,4,4,11,11,0,13,11,13,13,15,19,19,16,15,22,20,22,11,
(0,1),-6.35437 # DEPENDENCYPART_ARC
(0,2),-6.0857 # DEPENDENCYPART_ARC
(0,3),-3.35141 # DEPENDENCYPART_ARC
(0,4),-6.57345 # DEPENDENCYPART_ARC
(0,5),-7.32192 # DEPENDENCYPART_ARC
(0,6),-6.38339 # DEPENDENCYPART_ARC
(0,7),-6.12884 # DEPENDENCYPART_ARC
(0,8),-6.40147 # DEPENDENCYPART_ARC
(0,9),-6.96295 # DEPENDENCYPART_ARC
(0,10),-6.52202 # DEPENDENCYPART_ARC
(0,11),0.897462 # DEPENDENCYPART_ARC
(0,12),-6.90474 # DEPENDENCYPART_ARC
(0,13),-6.94705 # DEPENDENCYPART_ARC
(0,14),-7.44208 # DEPENDENCYPART_ARC
(0,15),-7.14563 # DEPENDENCYPART_ARC
(0,16),-8.23073 # DEPENDENCYPART_ARC
(0,17),-6.16539 # DEPENDENCYPART_ARC
(0,18),-6.22943 # DEPENDENCYPART_ARC
(0,19),-7.19122 # DEPENDENCYPART_ARC
(0,20),-9.48725 # DEPENDENCYPART_ARC
(0,21),-7.64886 # DEPENDENCYPART_ARC
(0,22),-7.40471 # DEPENDENCYPART_ARC
(0,23),-6.35396 # DEPENDENCYPART_ARC
(0,24),-6.42158 # DEPENDENCYPART_ARC
(1,2),-1.95177 # DEPENDENCYPART_ARC
(1,3),-2.04426 # DEPENDENCYPART_ARC
(1,4),-2.62205 # DEPENDENCYPART_ARC
(1,5),-3.40542 # DEPENDENCYPART_ARC
(1,6),-3.25649 # DEPENDENCYPART_ARC
(1,7),-3.21728 # DEPENDENCYPART_ARC
(1,8),-3.18793 # DEPENDENCYPART_ARC
(1,9),-2.67042 # DEPENDENCYPART_ARC
(1,10),-2.07369 # DEPENDENCYPART_ARC
(1,11),-3.3283 # DEPENDENCYPART_ARC
(1,12),-3.81785 # DEPENDENCYPART_ARC
(1,13),-3.9648 # DEPENDENCYPART_ARC
(1,14),-3.15067 # DEPENDENCYPART_ARC
(1,15),-3.91949 # DEPENDENCYPART_ARC
(1,16),-4.03904 # DEPENDENCYPART_ARC
(1,17),-3.99645 # DEPENDENCYPART_ARC
(1,18),-4.85205 # DEPENDENCYPART_ARC
(1,19),-4.17846 # DEPENDENCYPART_ARC
(1,20),-4.49137 # DEPENDENCYPART_ARC
(1,21),-4.72732 # DEPENDENCYPART_ARC
(1,22),-4.80932 # DEPENDENCYPART_ARC
(1,23),-4.96692 # DEPENDENCYPART_ARC
(1,24),-3.80437 # DEPENDENCYPART_ARC
(2,1),0.658217 # DEPENDENCYPART_ARC
(2,3),0.789961 # DEPENDENCYPART_ARC
(2,4),0.548541 # DEPENDENCYPART_ARC
(2,5),-0.532713 # DEPENDENCYPART_ARC
(2,6),-0.50235 # DEPENDENCYPART_ARC
(2,7),-0.588405 # DEPENDENCYPART_ARC
(2,8),-0.696881 # DEPENDENCYPART_ARC
(2,9),-0.386731 # DEPENDENCYPART_ARC
(2,10),0.326228 # DEPENDENCYPART_ARC
(2,11),-1.57745 # DEPENDENCYPART_ARC
(2,12),-0.796271 # DEPENDENCYPART_ARC
(2,13),-0.700513 # DEPENDENCYPART_ARC
(2,14),-1.12751 # DEPENDENCYPART_ARC
(2,15),-1.72748 # DEPENDENCYPART_ARC
(2,16),-2.13059 # DEPENDENCYPART_ARC
(2,17),-1.71887 # DEPENDENCYPART_ARC
(2,18),-1.9725 # DEPENDENCYPART_ARC
(2,19),-2.24133 # DEPENDENCYPART_ARC
(2,20),-1.84518 # DEPENDENCYPART_ARC
(2,21),-1.79388 # DEPENDENCYPART_ARC
(2,22),-1.6071 # DEPENDENCYPART_ARC
(2,23),-1.99319 # DEPENDENCYPART_ARC
(2,24),-1.26471 # DEPENDENCYPART_ARC
(3,1),2.65872 # DEPENDENCYPART_ARC
(3,2),3.59463 # DEPENDENCYPART_ARC
(3,4),2.89336 # DEPENDENCYPART_ARC
(3,5),0.137365 # DEPENDENCYPART_ARC
(3,6),0.116358 # DEPENDENCYPART_ARC
(3,7),0.0907816 # DEPENDENCYPART_ARC
(3,8),0.569952 # DEPENDENCYPART_ARC
(3,9),1.41325 # DEPENDENCYPART_ARC
(3,10),0.262648 # DEPENDENCYPART_ARC
(3,11),-0.0124676 # DEPENDENCYPART_ARC
(3,12),-1.55158 # DEPENDENCYPART_ARC
(3,13),-1.14824 # DEPENDENCYPART_ARC
(3,14),-0.348922 # DEPENDENCYPART_ARC
(3,15),-1.73074 # DEPENDENCYPART_ARC
(3,16),-1.3951 # DEPENDENCYPART_ARC
(3,17),-0.910626 # DEPENDENCYPART_ARC
(3,18),-1.5963 # DEPENDENCYPART_ARC
(3,19),-2.26413 # DEPENDENCYPART_ARC
(3,20),-1.37764 # DEPENDENCYPART_ARC
(3,21),-3.7379 # DEPENDENCYPART_ARC
(3,22),-2.6079 # DEPENDENCYPART_ARC
(3,23),-3.55252 # DEPENDENCYPART_ARC
(3,24),2.82119 # DEPENDENCYPART_ARC
(4,1),0.445696 # DEPENDENCYPART_ARC
(4,2),0.428392 # DEPENDENCYPART_ARC
(4,3),0.353274 # DEPENDENCYPART_ARC
(4,5),1.61573 # DEPENDENCYPART_ARC
(4,6),3.19025 # DEPENDENCYPART_ARC
(4,7),2.86231 # DEPENDENCYPART_ARC
(4,8),2.10136 # DEPENDENCYPART_ARC
(4,9),1.31745 # DEPENDENCYPART_ARC
(4,10),1.54172 # DEPENDENCYPART_ARC
(4,11),0.934931 # DEPENDENCYPART_ARC
(4,12),-0.088938 # DEPENDENCYPART_ARC
(4,13),0.65507 # DEPENDENCYPART_ARC
(4,14),1.26251 # DEPENDENCYPART_ARC
(4,15),-0.0609886 # DEPENDENCYPART_ARC
(4,16),-0.474934 # DEPENDENCYPART_ARC
(4,17),0.304739 # DEPENDENCYPART_ARC
(4,18),-1.1686 # DEPENDENCYPART_ARC
(4,19),-0.649969 # DEPENDENCYPART_ARC
(4,20),0.772094 # DEPENDENCYPART_ARC
(4,21),-1.83404 # DEPENDENCYPART_ARC
(4,22),-1.13479 # DEPENDENCYPART_ARC
(4,23),-1.26291 # DEPENDENCYPART_ARC
(4,24),0.416991 # DEPENDENCYPART_ARC
(5,1),-2.27798 # DEPENDENCYPART_ARC
(5,2),-1.87736 # DEPENDENCYPART_ARC
(5,3),-1.76611 # DEPENDENCYPART_ARC
(5,4),-0.787073 # DEPENDENCYPART_ARC
(5,6),0.0258188 # DEPENDENCYPART_ARC
(5,7),-0.54694 # DEPENDENCYPART_ARC
(5,8),-1.14125 # DEPENDENCYPART_ARC
(5,9),-1.49343 # DEPENDENCYPART_ARC
(5,10),-1.49522 # DEPENDENCYPART_ARC
(5,11),-1.34416 # DEPENDENCYPART_ARC
(5,12),-2.22453 # DEPENDENCYPART_ARC
(5,13),-2.28355 # DEPENDENCYPART_ARC
(5,14),-1.6162 # DEPENDENCYPART_ARC
(5,15),-2.09308 # DEPENDENCYPART_ARC
(5,16),-2.3443 # DEPENDENCYPART_ARC
(5,17),-2.75327 # DEPENDENCYPART_ARC
(5,18),-2.75456 # DEPENDENCYPART_ARC
(5,19),-2.65751 # DEPENDENCYPART_ARC
(5,20),-3.48285 # DEPENDENCYPART_ARC
(5,21),-3.17793 # DEPENDENCYPART_ARC
(5,22),-3.24314 # DEPENDENCYPART_ARC
(5,23),-3.32985 # DEPENDENCYPART_ARC
(5,24),-2.98398 # DEPENDENCYPART_ARC
(6,1),-2.29183 # DEPENDENCYPART_ARC
(6,2),-2.02507 # DEPENDENCYPART_ARC
(6,3),-1.71516 # DEPENDENCYPART_ARC
(6,4),-1.03627 # DEPENDENCYPART_ARC
(6,5),2.82551 # DEPENDENCYPART_ARC
(6,7),0.351793 # DEPENDENCYPART_ARC
(6,8),-0.613271 # DEPENDENCYPART_ARC
(6,9),-0.645436 # DEPENDENCYPART_ARC
(6,10),-0.230442 # DEPENDENCYPART_ARC
(6,11),-0.949118 # DEPENDENCYPART_ARC
(6,12),-1.43727 # DEPENDENCYPART_ARC
(6,13),-1.13843 # DEPENDENCYPART_ARC
(6,14),-1.5299 # DEPENDENCYPART_ARC
(6,15),-1.34838 # DEPENDENCYPART_ARC
(6,16),-1.82322 # DEPENDENCYPART_ARC
(6,17),-2.03568 # DEPENDENCYPART_ARC
(6,18),-2.26973 # DEPENDENCYPART_ARC
(6,19),-3.15431 # DEPENDENCYPART_ARC
(6,20),-2.84092 # DEPENDENCYPART_ARC
(6,21),-2.13146 # DEPENDENCYPART_ARC
(6,22),-2.35535 # DEPENDENCYPART_ARC
(6,23),-2.75343 # DEPENDENCYPART_ARC
(6,24),-1.12818 # DEPENDENCYPART_ARC
(7,1),-0.562207 # DEPENDENCYPART_ARC
(7,2),0.547594 # DEPENDENCYPART_ARC
(7,3),-0.236656 # DEPENDENCYPART_ARC
(7,4),0.883228 # DEPENDENCYPART_ARC
(7,5),5.02581 # DEPENDENCYPART_ARC
(7,6),4.60434 # DEPENDENCYPART_ARC
(7,8),0.709637 # DEPENDENCYPART_ARC
(7,9),-0.147811 # DEPENDENCYPART_ARC
(7,10),0.88138 # DEPENDENCYPART_ARC
(7,11),-0.193325 # DEPENDENCYPART_ARC
(7,12),-0.729816 # DEPENDENCYPART_ARC
(7,13),-0.515638 # DEPENDENCYPART_ARC
(7,14),-0.772565 # DEPENDENCYPART_ARC
(7,15),-0.167491 # DEPENDENCYPART_ARC
(7,16),-0.672105 # DEPENDENCYPART_ARC
(7,17),-0.624186 # DEPENDENCYPART_ARC
(7,18),-1.66568 # DEPENDENCYPART_ARC
(7,19),-1.60828 # DEPENDENCYPART_ARC
(7,20),-1.36016 # DEPENDENCYPART_ARC
(7,21),-2.08596 # DEPENDENCYPART_ARC
(7,22),-2.18142 # DEPENDENCYPART_ARC
(7,23),-2.68806 # DEPENDENCYPART_ARC
(7,24),-0.313866 # DEPENDENCYPART_ARC
(8,1),-0.0560795 # DEPENDENCYPART_ARC
(8,2),0.282906 # DEPENDENCYPART_ARC
(8,3),-0.23879 # DEPENDENCYPART_ARC
(8,4),0.0958645 # DEPENDENCYPART_ARC
(8,5),1.4298 # DEPENDENCYPART_ARC
(8,6),1.51228 # DEPENDENCYPART_ARC
(8,7),1.79199 # DEPENDENCYPART_ARC
(8,9),0.939499 # DEPENDENCYPART_ARC
(8,10),0.694269 # DEPENDENCYPART_ARC
(8,11),0.682371 # DEPENDENCYPART_ARC
(8,12),0.190566 # DEPENDENCYPART_ARC
(8,13),-0.0595946 # DEPENDENCYPART_ARC
(8,14),0.125011 # DEPENDENCYPART_ARC
(8,15),-0.561516 # DEPENDENCYPART_ARC
(8,16),-0.0971399 # DEPENDENCYPART_ARC
(8,17),-0.725457 # DEPENDENCYPART_ARC
(8,18),-0.850341 # DEPENDENCYPART_ARC
(8,19),-0.967425 # DEPENDENCYPART_ARC
