# _root_ `` Spain is down 10 % and suspended , Sweden 's down 8 % , Norway 11 % .
#goldHeads=3,3,0,3,6,4,4,7,3,11,3,11,14,12,11,11,18,11,3,
#predictedHeads=3,3,0,3,6,4,3,7,11,11,3,11,14,11,14,18,18,11,3,
(0,1),-6.35902 # DEPENDENCYPART_ARC
(0,2),-5.77071 # DEPENDENCYPART_ARC
(0,3),-2.89433 # DEPENDENCYPART_ARC
(0,4),-6.59716 # DEPENDENCYPART_ARC
(0,5),-7.51887 # DEPENDENCYPART_ARC
(0,6),-7.38937 # DEPENDENCYPART_ARC
(0,7),-7.49272 # DEPENDENCYPART_ARC
(0,8),-4.84463 # DEPENDENCYPART_ARC
(0,9),-6.94528 # DEPENDENCYPART_ARC
(0,10),-7.51116 # DEPENDENCYPART_ARC
(0,11),-4.71191 # DEPENDENCYPART_ARC
(0,12),-7.15466 # DEPENDENCYPART_ARC
(0,13),-8.28268 # DEPENDENCYPART_ARC
(0,14),-8.15696 # DEPENDENCYPART_ARC
(0,15),-7.71059 # DEPENDENCYPART_ARC
(0,16),-8.34855 # DEPENDENCYPART_ARC
(0,17),-8.80174 # DEPENDENCYPART_ARC
(0,18),-8.73282 # DEPENDENCYPART_ARC
(0,19),-5.81456 # DEPENDENCYPART_ARC
(1,2),-1.34155 # DEPENDENCYPART_ARC
(1,3),-1.82857 # DEPENDENCYPART_ARC
(1,4),-2.23393 # DEPENDENCYPART_ARC
(1,5),-2.74272 # DEPENDENCYPART_ARC
(1,6),-2.80103 # DEPENDENCYPART_ARC
(1,7),-3.00638 # DEPENDENCYPART_ARC
(1,8),-2.78534 # DEPENDENCYPART_ARC
(1,9),-2.40378 # DEPENDENCYPART_ARC
(1,10),-3.33459 # DEPENDENCYPART_ARC
(1,11),-3.17463 # DEPENDENCYPART_ARC
(1,12),-3.2053 # DEPENDENCYPART_ARC
(1,13),-3.89421 # DEPENDENCYPART_ARC
(1,14),-3.48159 # DEPENDENCYPART_ARC
(1,15),-3.00336 # DEPENDENCYPART_ARC
(1,16),-3.95232 # DEPENDENCYPART_ARC
(1,17),-4.25912 # DEPENDENCYPART_ARC
(1,18),-3.74422 # DEPENDENCYPART_ARC
(1,19),-3.21059 # DEPENDENCYPART_ARC
(2,1),0.808189 # DEPENDENCYPART_ARC
