# _root_ Purchase of the 76-story structure is subject to execution of a definitive agreement , approval by the boards of Seafirst and its parent company BankAmerica Corp. , and approval by regulators .
#goldHeads=6,1,5,5,2,0,6,7,8,9,13,13,10,9,9,15,18,16,18,19,20,25,25,25,21,25,15,15,28,29,30,6,
#predictedHeads=6,1,5,5,2,0,6,7,8,9,13,13,10,13,9,15,18,16,18,19,20,25,25,25,21,25,25,25,28,29,30,6,
(0,1),-6.85345 # DEPENDENCYPART_ARC
(0,2),-6.82246 # DEPENDENCYPART_ARC
(0,3),-7.52388 # DEPENDENCYPART_ARC
(0,4),-6.68709 # DEPENDENCYPART_ARC
(0,5),-6.95683 # DEPENDENCYPART_ARC
(0,6),-3.41896 # DEPENDENCYPART_ARC
(0,7),-6.56065 # DEPENDENCYPART_ARC
(0,8),-7.39804 # DEPENDENCYPART_ARC
(0,9),-7.89854 # DEPENDENCYPART_ARC
(0,10),-7.35197 # DEPENDENCYPART_ARC
(0,11),-8.13729 # DEPENDENCYPART_ARC
(0,12),-6.76282 # DEPENDENCYPART_ARC
(0,13),-7.88442 # DEPENDENCYPART_ARC
(0,14),-8.56236 # DEPENDENCYPART_ARC
(0,15),-8.07165 # DEPENDENCYPART_ARC
(0,16),-8.36101 # DEPENDENCYPART_ARC
(0,17),-9.30757 # DEPENDENCYPART_ARC
(0,18),-7.34312 # DEPENDENCYPART_ARC
(0,19),-8.83543 # DEPENDENCYPART_ARC
(0,20),-6.97953 # DEPENDENCYPART_ARC
(0,21),-9.73537 # DEPENDENCYPART_ARC
(0,22),-8.58261 # DEPENDENCYPART_ARC
(0,23),-8.09037 # DEPENDENCYPART_ARC
(0,24),-7.26243 # DEPENDENCYPART_ARC
(0,25),-7.45234 # DEPENDENCYPART_ARC
(0,26),-8.1824 # DEPENDENCYPART_ARC
(0,27),-10.8046 # DEPENDENCYPART_ARC
(0,28),-10.6862 # DEPENDENCYPART_ARC
(0,29),-10.187 # DEPENDENCYPART_ARC
(0,30),-11.3075 # DEPENDENCYPART_ARC
(0,31),-7.81046 # DEPENDENCYPART_ARC
(0,32),-7.09324 # DEPENDENCYPART_ARC
(1,2),3.99804 # DEPENDENCYPART_ARC
(1,3),0.838022 # DEPENDENCYPART_ARC
(1,4),1.06644 # DEPENDENCYPART_ARC
(1,5),1.57645 # DEPENDENCYPART_ARC
(1,6),0.843291 # DEPENDENCYPART_ARC
(1,7),0.562096 # DEPENDENCYPART_ARC
(1,8),0.701549 # DEPENDENCYPART_ARC
(1,9),0.479431 # DEPENDENCYPART_ARC
(1,10),1.5931 # DEPENDENCYPART_ARC
(1,11),0.239529 # DEPENDENCYPART_ARC
(1,12),-0.768972 # DEPENDENCYPART_ARC
(1,13),0.00393931 # DEPENDENCYPART_ARC
(1,14),1.49796 # DEPENDENCYPART_ARC
(1,15),0.465836 # DEPENDENCYPART_ARC
(1,16),2.03679 # DEPENDENCYPART_ARC
(1,17),-0.580914 # DEPENDENCYPART_ARC
(1,18),-0.0639891 # DEPENDENCYPART_ARC
(1,19),-1.94243 # DEPENDENCYPART_ARC
(1,20),-1.6355 # DEPENDENCYPART_ARC
(1,21),0.487859 # DEPENDENCYPART_ARC
