# _root_ Mr. Eskandarian , who resigned his Della Femina post in September , becomes chairman and chief executive of Arnold .
#goldHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
#predictedHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
(0,1),-5.94768 # DEPENDENCYPART_ARC
(0,2),-6.60067 # DEPENDENCYPART_ARC
(0,3),-6.56142 # DEPENDENCYPART_ARC
(0,4),-6.81709 # DEPENDENCYPART_ARC
(0,5),-5.73307 # DEPENDENCYPART_ARC
(0,6),-7.0189 # DEPENDENCYPART_ARC
(0,7),-7.53893 # DEPENDENCYPART_ARC
(0,8),-7.27881 # DEPENDENCYPART_ARC
(0,9),-8.02557 # DEPENDENCYPART_ARC
(0,10),-8.87601 # DEPENDENCYPART_ARC
(0,11),-8.78153 # DEPENDENCYPART_ARC
(0,12),-7.54123 # DEPENDENCYPART_ARC
(0,13),-2.3944 # DEPENDENCYPART_ARC
(0,14),-8.4856 # DEPENDENCYPART_ARC
(0,15),-8.48405 # DEPENDENCYPART_ARC
(0,16),-6.54496 # DEPENDENCYPART_ARC
(0,17),-8.95321 # DEPENDENCYPART_ARC
(0,18),-9.20143 # DEPENDENCYPART_ARC
(0,19),-8.21916 # DEPENDENCYPART_ARC
(0,20),-6.47552 # DEPENDENCYPART_ARC
(1,2),0.73463 # DEPENDENCYPART_ARC
(1,3),1.25637 # DEPENDENCYPART_ARC
(1,4),-1.25188 # DEPENDENCYPART_ARC
(1,5),0.879661 # DEPENDENCYPART_ARC
(1,6),-1.29026 # DEPENDENCYPART_ARC
(1,7),-1.46435 # DEPENDENCYPART_ARC
(1,8),-1.53464 # DEPENDENCYPART_ARC
(1,9),-1.64034 # DEPENDENCYPART_ARC
(1,10),-1.11647 # DEPENDENCYPART_ARC
(1,11),-1.92611 # DEPENDENCYPART_ARC
(1,12),1.14299 # DEPENDENCYPART_ARC
(1,13),-0.583897 # DEPENDENCYPART_ARC
(1,14),-3.22412 # DEPENDENCYPART_ARC
(1,15),-1.69905 # DEPENDENCYPART_ARC
(1,16),-1.89649 # DEPENDENCYPART_ARC
(1,17),-4.6144 # DEPENDENCYPART_ARC
(1,18),-1.07716 # DEPENDENCYPART_ARC
(1,19),-3.97796 # DEPENDENCYPART_ARC
(1,20),-0.651694 # DEPENDENCYPART_ARC
(2,1),5.18058 # DEPENDENCYPART_ARC
(2,3),3.60825 # DEPENDENCYPART_ARC
(2,4),0.466683 # DEPENDENCYPART_ARC
(2,5),2.70865 # DEPENDENCYPART_ARC
(2,6),0.356582 # DEPENDENCYPART_ARC
(2,7),0.53111 # DEPENDENCYPART_ARC
(2,8),0.333378 # DEPENDENCYPART_ARC
(2,9),0.40601 # DEPENDENCYPART_ARC
(2,10),-0.191408 # DEPENDENCYPART_ARC
(2,11),0.0768644 # DEPENDENCYPART_ARC
(2,12),3.46875 # DEPENDENCYPART_ARC
(2,13),0.970211 # DEPENDENCYPART_ARC
(2,14),-1.44956 # DEPENDENCYPART_ARC
(2,15),-0.0495542 # DEPENDENCYPART_ARC
(2,16),-0.468858 # DEPENDENCYPART_ARC
(2,17),-2.5647 # DEPENDENCYPART_ARC
(2,18),-0.727473 # DEPENDENCYPART_ARC
(2,19),-2.14387 # DEPENDENCYPART_ARC
(2,20),0.880573 # DEPENDENCYPART_ARC
(3,1),-1.32884 # DEPENDENCYPART_ARC
(3,2),-0.768122 # DEPENDENCYPART_ARC
(3,4),-0.639022 # DEPENDENCYPART_ARC
(3,5),-0.0626343 # DEPENDENCYPART_ARC
(3,6),-1.25155 # DEPENDENCYPART_ARC
(3,7),-0.925465 # DEPENDENCYPART_ARC
(3,8),-1.11291 # DEPENDENCYPART_ARC
(3,9),-1.79748 # DEPENDENCYPART_ARC
(3,10),-1.28302 # DEPENDENCYPART_ARC
(3,11),-1.80926 # DEPENDENCYPART_ARC
(3,12),-0.32388 # DEPENDENCYPART_ARC
(3,13),-1.46467 # DEPENDENCYPART_ARC
(3,14),-2.20255 # DEPENDENCYPART_ARC
(3,15),-1.80052 # DEPENDENCYPART_ARC
(3,16),-2.39528 # DEPENDENCYPART_ARC
(3,17),-2.68894 # DEPENDENCYPART_ARC
(3,18),-1.81426 # DEPENDENCYPART_ARC
(3,19),-2.64183 # DEPENDENCYPART_ARC
(3,20),-1.83592 # DEPENDENCYPART_ARC
