# _root_ United Biscuits ( Holdings ) PLC , a British food producer , announced the creation of a European group to bring together its trading interests in the region .
#goldHeads=6,6,6,6,6,13,6,11,11,11,6,6,0,15,13,15,19,19,16,19,20,21,25,25,21,25,28,26,13,
#predictedHeads=2,6,4,6,4,13,2,11,11,11,2,2,0,15,13,15,19,19,16,19,20,21,25,25,21,25,28,26,13,
(0,1),-6.08918 # DEPENDENCYPART_ARC
(0,2),-5.53993 # DEPENDENCYPART_ARC
(0,3),-7.34471 # DEPENDENCYPART_ARC
(0,4),-7.10796 # DEPENDENCYPART_ARC
(0,5),-7.2718 # DEPENDENCYPART_ARC
(0,6),-8.47583 # DEPENDENCYPART_ARC
(0,7),-7.06984 # DEPENDENCYPART_ARC
(0,8),-7.63466 # DEPENDENCYPART_ARC
(0,9),-6.84037 # DEPENDENCYPART_ARC
(0,10),-7.92474 # DEPENDENCYPART_ARC
(0,11),-7.61489 # DEPENDENCYPART_ARC
(0,12),-7.8827 # DEPENDENCYPART_ARC
(0,13),-0.626499 # DEPENDENCYPART_ARC
(0,14),-8.55149 # DEPENDENCYPART_ARC
(0,15),-8.21255 # DEPENDENCYPART_ARC
(0,16),-9.44501 # DEPENDENCYPART_ARC
(0,17),-8.6716 # DEPENDENCYPART_ARC
(0,18),-6.86183 # DEPENDENCYPART_ARC
(0,19),-9.89716 # DEPENDENCYPART_ARC
(0,20),-8.47207 # DEPENDENCYPART_ARC
(0,21),-6.19097 # DEPENDENCYPART_ARC
(0,22),-8.93059 # DEPENDENCYPART_ARC
(0,23),-8.55529 # DEPENDENCYPART_ARC
(0,24),-8.98385 # DEPENDENCYPART_ARC
(0,25),-8.09773 # DEPENDENCYPART_ARC
(0,26),-11.4655 # DEPENDENCYPART_ARC
(0,27),-10.3371 # DEPENDENCYPART_ARC
(0,28),-8.41868 # DEPENDENCYPART_ARC
(0,29),-6.28887 # DEPENDENCYPART_ARC
(1,2),0.952316 # DEPENDENCYPART_ARC
(1,3),-1.01198 # DEPENDENCYPART_ARC
(1,4),0.469217 # DEPENDENCYPART_ARC
(1,5),-0.236666 # DEPENDENCYPART_ARC
(1,6),-0.0742746 # DEPENDENCYPART_ARC
(1,7),1.38588 # DEPENDENCYPART_ARC
(1,8),-1.01031 # DEPENDENCYPART_ARC
(1,9),-1.29408 # DEPENDENCYPART_ARC
(1,10),-0.0616855 # DEPENDENCYPART_ARC
(1,11),0.467599 # DEPENDENCYPART_ARC
(1,12),1.42975 # DEPENDENCYPART_ARC
(1,13),-1.84822 # DEPENDENCYPART_ARC
(1,14),-1.74038 # DEPENDENCYPART_ARC
(1,15),-2.11747 # DEPENDENCYPART_ARC
(1,16),-3.38133 # DEPENDENCYPART_ARC
(1,17),-2.08873 # DEPENDENCYPART_ARC
(1,18),-2.63629 # DEPENDENCYPART_ARC
(1,19),-1.95394 # DEPENDENCYPART_ARC
(1,20),-2.88419 # DEPENDENCYPART_ARC
(1,21),-3.16488 # DEPENDENCYPART_ARC
(1,22),-3.44772 # DEPENDENCYPART_ARC
(1,23),-3.43222 # DEPENDENCYPART_ARC
(1,24),-4.35761 # DEPENDENCYPART_ARC
(1,25),-2.83834 # DEPENDENCYPART_ARC
(1,26),-5.16182 # DEPENDENCYPART_ARC
(1,27),-3.25784 # DEPENDENCYPART_ARC
(1,28),-5.6097 # DEPENDENCYPART_ARC
(1,29),-1.56386 # DEPENDENCYPART_ARC
(2,1),4.21984 # DEPENDENCYPART_ARC
(2,3),1.62171 # DEPENDENCYPART_ARC
(2,4),3.31057 # DEPENDENCYPART_ARC
(2,5),2.31999 # DEPENDENCYPART_ARC
(2,6),2.27476 # DEPENDENCYPART_ARC
(2,7),3.08137 # DEPENDENCYPART_ARC
(2,8),1.10189 # DEPENDENCYPART_ARC
(2,9),0.97652 # DEPENDENCYPART_ARC
(2,10),2.18471 # DEPENDENCYPART_ARC
(2,11),2.75671 # DEPENDENCYPART_ARC
(2,12),3.39484 # DEPENDENCYPART_ARC
(2,13),0.42797 # DEPENDENCYPART_ARC
(2,14),0.373604 # DEPENDENCYPART_ARC
(2,15),0.00301641 # DEPENDENCYPART_ARC
(2,16),-0.350655 # DEPENDENCYPART_ARC
(2,17),0.070767 # DEPENDENCYPART_ARC
(2,18),-0.39483 # DEPENDENCYPART_ARC
(2,19),0.44112 # DEPENDENCYPART_ARC
(2,20),-0.539742 # DEPENDENCYPART_ARC
(2,21),-0.908692 # DEPENDENCYPART_ARC
(2,22),-1.09234 # DEPENDENCYPART_ARC
(2,23),-1.05968 # DEPENDENCYPART_ARC
(2,24),-2.02711 # DEPENDENCYPART_ARC
(2,25),-0.215814 # DEPENDENCYPART_ARC
(2,26),-2.12977 # DEPENDENCYPART_ARC
(2,27),-0.991924 # DEPENDENCYPART_ARC
(2,28),-3.43461 # DEPENDENCYPART_ARC
(2,29),0.211762 # DEPENDENCYPART_ARC
(3,1),-0.62053 # DEPENDENCYPART_ARC
(3,2),0.0337816 # DEPENDENCYPART_ARC
(3,4),1.26456 # DEPENDENCYPART_ARC
(3,5),1.36248 # DEPENDENCYPART_ARC
(3,6),-0.040153 # DEPENDENCYPART_ARC
(3,7),-0.044906 # DEPENDENCYPART_ARC
(3,8),-0.846379 # DEPENDENCYPART_ARC
(3,9),-1.13855 # DEPENDENCYPART_ARC
(3,10),-1.01654 # DEPENDENCYPART_ARC
(3,11),-0.893912 # DEPENDENCYPART_ARC
(3,12),-0.421783 # DEPENDENCYPART_ARC
(3,13),-0.528024 # DEPENDENCYPART_ARC
(3,14),-1.51979 # DEPENDENCYPART_ARC
(3,15),-1.59939 # DEPENDENCYPART_ARC
(3,16),-1.74762 # DEPENDENCYPART_ARC
(3,17),-1.75047 # DEPENDENCYPART_ARC
(3,18),-2.17161 # DEPENDENCYPART_ARC
(3,19),-1.87337 # DEPENDENCYPART_ARC
(3,20),-1.65738 # DEPENDENCYPART_ARC
(3,21),-1.65629 # DEPENDENCYPART_ARC
(3,22),-2.61251 # DEPENDENCYPART_ARC
(3,23),-2.04209 # DEPENDENCYPART_ARC
(3,24),-2.22498 # DEPENDENCYPART_ARC
(3,25),-2.8653 # DEPENDENCYPART_ARC
(3,26),-2.93856 # DEPENDENCYPART_ARC
(3,27),-2.83147 # DEPENDENCYPART_ARC
(3,28),-2.75732 # DEPENDENCYPART_ARC
(3,29),-0.938981 # DEPENDENCYPART_ARC
(4,1),1.84006 # DEPENDENCYPART_ARC
(4,2),1.07932 # DEPENDENCYPART_ARC
(4,3),3.07822 # DEPENDENCYPART_ARC
(4,5),3.06641 # DEPENDENCYPART_ARC
(4,6),0.818863 # DEPENDENCYPART_ARC
(4,7),1.51038 # DEPENDENCYPART_ARC
(4,8),-0.219713 # DEPENDENCYPART_ARC
(4,9),0.102745 # DEPENDENCYPART_ARC
(4,10),0.56855 # DEPENDENCYPART_ARC
(4,11),0.727917 # DEPENDENCYPART_ARC
(4,12),1.2987 # DEPENDENCYPART_ARC
(4,13),-0.769765 # DEPENDENCYPART_ARC
(4,14),-0.738483 # DEPENDENCYPART_ARC
(4,15),-1.97171 # DEPENDENCYPART_ARC
(4,16),-1.92907 # DEPENDENCYPART_ARC
(4,17),-1.22788 # DEPENDENCYPART_ARC
(4,18),-1.50767 # DEPENDENCYPART_ARC
(4,19),-1.50839 # DEPENDENCYPART_ARC
(4,20),-1.62688 # DEPENDENCYPART_ARC
(4,21),-2.13717 # DEPENDENCYPART_ARC
(4,22),-2.46994 # DEPENDENCYPART_ARC
(4,23),-2.40253 # DEPENDENCYPART_ARC
(4,24),-3.58419 # DEPENDENCYPART_ARC
(4,25),-2.32723 # DEPENDENCYPART_ARC
