# _root_ `` We hope the trend lasts , '' says Laurie DiCara , Ilford 's marketing communications director .
#goldHeads=3,3,9,5,6,3,3,3,0,11,9,11,17,13,17,17,11,9,
#predictedHeads=9,3,9,5,6,3,9,9,0,11,9,11,17,13,17,17,11,9,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.71802 # DEPENDENCYPART_ARC
(0,3),-4.02309 # DEPENDENCYPART_ARC
(0,4),-7.13514 # DEPENDENCYPART_ARC
(0,5),-5.98698 # DEPENDENCYPART_ARC
(0,6),-3.98327 # DEPENDENCYPART_ARC
(0,7),-6.60634 # DEPENDENCYPART_ARC
(0,8),-6.36369 # DEPENDENCYPART_ARC
(0,9),1.21664 # DEPENDENCYPART_ARC
(0,10),-6.72096 # DEPENDENCYPART_ARC
(0,11),-6.5787 # DEPENDENCYPART_ARC
(0,12),-7.14041 # DEPENDENCYPART_ARC
(0,13),-7.88652 # DEPENDENCYPART_ARC
(0,14),-9.16356 # DEPENDENCYPART_ARC
(0,15),-6.90869 # DEPENDENCYPART_ARC
(0,16),-5.33298 # DEPENDENCYPART_ARC
(0,17),-7.27933 # DEPENDENCYPART_ARC
(0,18),-5.171 # DEPENDENCYPART_ARC
(1,2),-1.49957 # DEPENDENCYPART_ARC
(1,3),-2.08922 # DEPENDENCYPART_ARC
(1,4),-2.75206 # DEPENDENCYPART_ARC
(1,5),-2.69819 # DEPENDENCYPART_ARC
(1,6),-2.49059 # DEPENDENCYPART_ARC
(1,7),-2.02957 # DEPENDENCYPART_ARC
(1,8),-1.4835 # DEPENDENCYPART_ARC
(1,9),-2.84718 # DEPENDENCYPART_ARC
(1,10),-3.21127 # DEPENDENCYPART_ARC
(1,11),-3.31514 # DEPENDENCYPART_ARC
(1,12),-2.55226 # DEPENDENCYPART_ARC
(1,13),-3.57163 # DEPENDENCYPART_ARC
(1,14),-3.68349 # DEPENDENCYPART_ARC
(1,15),-3.57489 # DEPENDENCYPART_ARC
(1,16),-4.21573 # DEPENDENCYPART_ARC
(1,17),-3.62839 # DEPENDENCYPART_ARC
(1,18),-2.9628 # DEPENDENCYPART_ARC
(2,1),-0.252985 # DEPENDENCYPART_ARC
(2,3),0.799471 # DEPENDENCYPART_ARC
(2,4),0.207336 # DEPENDENCYPART_ARC
(2,5),0.0921049 # DEPENDENCYPART_ARC
(2,6),-0.16661 # DEPENDENCYPART_ARC
(2,7),0.0578793 # DEPENDENCYPART_ARC
(2,8),-0.302563 # DEPENDENCYPART_ARC
(2,9),-0.469787 # DEPENDENCYPART_ARC
(2,10),-1.01739 # DEPENDENCYPART_ARC
(2,11),-1.07307 # DEPENDENCYPART_ARC
(2,12),-0.324191 # DEPENDENCYPART_ARC
(2,13),-1.37685 # DEPENDENCYPART_ARC
(2,14),-2.2107 # DEPENDENCYPART_ARC
(2,15),-1.22034 # DEPENDENCYPART_ARC
(2,16),-1.6454 # DEPENDENCYPART_ARC
(2,17),-1.40223 # DEPENDENCYPART_ARC
(2,18),-1.10217 # DEPENDENCYPART_ARC
(3,1),1.97552 # DEPENDENCYPART_ARC
(3,2),4.06411 # DEPENDENCYPART_ARC
