# _root_ Using black and white , `` we can make housewives look like stars , '' says John Perrin .
#goldHeads=8,1,2,3,8,8,8,16,8,9,9,11,12,8,8,0,18,16,16,
#predictedHeads=8,1,2,3,8,8,8,16,8,9,9,11,12,16,16,0,18,16,16,
(0,1),-6.47154 # DEPENDENCYPART_ARC
(0,2),-6.63233 # DEPENDENCYPART_ARC
(0,3),-7.31472 # DEPENDENCYPART_ARC
(0,4),-6.86502 # DEPENDENCYPART_ARC
(0,5),-7.17435 # DEPENDENCYPART_ARC
(0,6),-7.12145 # DEPENDENCYPART_ARC
(0,7),-6.39697 # DEPENDENCYPART_ARC
(0,8),-4.04516 # DEPENDENCYPART_ARC
(0,9),-4.83462 # DEPENDENCYPART_ARC
(0,10),-6.16893 # DEPENDENCYPART_ARC
(0,11),-4.36009 # DEPENDENCYPART_ARC
(0,12),-7.42336 # DEPENDENCYPART_ARC
(0,13),-6.10056 # DEPENDENCYPART_ARC
(0,14),-7.64323 # DEPENDENCYPART_ARC
(0,15),-6.90817 # DEPENDENCYPART_ARC
(0,16),0.458766 # DEPENDENCYPART_ARC
(0,17),-7.44087 # DEPENDENCYPART_ARC
(0,18),-6.78486 # DEPENDENCYPART_ARC
(0,19),-5.52366 # DEPENDENCYPART_ARC
(1,2),3.43718 # DEPENDENCYPART_ARC
(1,3),1.71257 # DEPENDENCYPART_ARC
(1,4),2.09512 # DEPENDENCYPART_ARC
(1,5),1.00653 # DEPENDENCYPART_ARC
(1,6),1.20434 # DEPENDENCYPART_ARC
(1,7),0.741891 # DEPENDENCYPART_ARC
(1,8),0.412695 # DEPENDENCYPART_ARC
(1,9),0.339796 # DEPENDENCYPART_ARC
(1,10),-0.00420172 # DEPENDENCYPART_ARC
(1,11),0.464981 # DEPENDENCYPART_ARC
(1,12),-0.42408 # DEPENDENCYPART_ARC
(1,13),-1.7427 # DEPENDENCYPART_ARC
(1,14),0.165814 # DEPENDENCYPART_ARC
(1,15),2.03644 # DEPENDENCYPART_ARC
(1,16),-0.9136 # DEPENDENCYPART_ARC
(1,17),-2.4097 # DEPENDENCYPART_ARC
(1,18),-2.01421 # DEPENDENCYPART_ARC
(1,19),0.465829 # DEPENDENCYPART_ARC
(2,1),1.52025 # DEPENDENCYPART_ARC
(2,3),3.65531 # DEPENDENCYPART_ARC
(2,4),1.1699 # DEPENDENCYPART_ARC
(2,5),1.41428 # DEPENDENCYPART_ARC
(2,6),1.19633 # DEPENDENCYPART_ARC
(2,7),-0.00761194 # DEPENDENCYPART_ARC
(2,8),0.286515 # DEPENDENCYPART_ARC
(2,9),-0.0842639 # DEPENDENCYPART_ARC
(2,10),-0.22166 # DEPENDENCYPART_ARC
(2,11),-0.0120829 # DEPENDENCYPART_ARC
(2,12),0.0688114 # DEPENDENCYPART_ARC
(2,13),-0.350228 # DEPENDENCYPART_ARC
(2,14),0.199326 # DEPENDENCYPART_ARC
(2,15),1.20158 # DEPENDENCYPART_ARC
(2,16),-1.05329 # DEPENDENCYPART_ARC
(2,17),-1.15677 # DEPENDENCYPART_ARC
(2,18),-1.09525 # DEPENDENCYPART_ARC
(2,19),0.986315 # DEPENDENCYPART_ARC
(3,1),0.100973 # DEPENDENCYPART_ARC
(3,2),0.449769 # DEPENDENCYPART_ARC
(3,4),3.62953 # DEPENDENCYPART_ARC
(3,5),0.994579 # DEPENDENCYPART_ARC
(3,6),0.471895 # DEPENDENCYPART_ARC
(3,7),-0.471827 # DEPENDENCYPART_ARC
(3,8),0.570951 # DEPENDENCYPART_ARC
(3,9),-0.423216 # DEPENDENCYPART_ARC
(3,10),-0.973087 # DEPENDENCYPART_ARC
(3,11),-1.10621 # DEPENDENCYPART_ARC
(3,12),-1.11161 # DEPENDENCYPART_ARC
(3,13),-2.96307 # DEPENDENCYPART_ARC
(3,14),-0.243293 # DEPENDENCYPART_ARC
(3,15),-0.475828 # DEPENDENCYPART_ARC
(3,16),-1.65803 # DEPENDENCYPART_ARC
(3,17),-4.27577 # DEPENDENCYPART_ARC
(3,18),-3.50576 # DEPENDENCYPART_ARC
(3,19),0.28771 # DEPENDENCYPART_ARC
(4,1),-0.484127 # DEPENDENCYPART_ARC
(4,2),0.858731 # DEPENDENCYPART_ARC
(4,3),0.357341 # DEPENDENCYPART_ARC
(4,5),1.54447 # DEPENDENCYPART_ARC
(4,6),1.10307 # DEPENDENCYPART_ARC
(4,7),0.10856 # DEPENDENCYPART_ARC
(4,8),0.173508 # DEPENDENCYPART_ARC
(4,9),-0.374201 # DEPENDENCYPART_ARC
(4,10),-0.0877482 # DEPENDENCYPART_ARC
(4,11),-0.320818 # DEPENDENCYPART_ARC
(4,12),-0.478178 # DEPENDENCYPART_ARC
(4,13),0.150358 # DEPENDENCYPART_ARC
(4,14),0.722271 # DEPENDENCYPART_ARC
(4,15),0.763839 # DEPENDENCYPART_ARC
(4,16),-1.65579 # DEPENDENCYPART_ARC
(4,17),-1.42925 # DEPENDENCYPART_ARC
(4,18),-1.51843 # DEPENDENCYPART_ARC
(4,19),0.675332 # DEPENDENCYPART_ARC
(5,1),-1.30603 # DEPENDENCYPART_ARC
(5,2),-1.32264 # DEPENDENCYPART_ARC
(5,3),-1.29946 # DEPENDENCYPART_ARC
(5,4),-1.0006 # DEPENDENCYPART_ARC
(5,6),0.188533 # DEPENDENCYPART_ARC
