# _root_ New Jersey Turnpike Authority 's 7.20 % issue of 2018 was off 3\/4 at 98 1\/2 bid , yielding 7.32 % , up 0.07 percentage point from late Friday .
#goldHeads=4,4,4,8,4,7,8,11,8,9,0,11,12,11,16,17,14,11,11,21,19,19,19,26,26,23,23,29,27,11,
#predictedHeads=4,4,4,8,4,7,8,11,8,9,0,11,12,11,16,17,14,11,11,21,19,19,19,26,26,23,23,29,27,11,
(0,1),-6.03077 # DEPENDENCYPART_ARC
(0,2),-6.06354 # DEPENDENCYPART_ARC
(0,3),-6.0452 # DEPENDENCYPART_ARC
(0,4),-5.9879 # DEPENDENCYPART_ARC
(0,5),-9.52189 # DEPENDENCYPART_ARC
(0,6),-8.10588 # DEPENDENCYPART_ARC
(0,7),-7.98173 # DEPENDENCYPART_ARC
(0,8),-7.94907 # DEPENDENCYPART_ARC
(0,9),-8.92377 # DEPENDENCYPART_ARC
(0,10),-8.6737 # DEPENDENCYPART_ARC
(0,11),-3.62865 # DEPENDENCYPART_ARC
(0,12),-6.78018 # DEPENDENCYPART_ARC
(0,13),-8.9506 # DEPENDENCYPART_ARC
(0,14),-9.7371 # DEPENDENCYPART_ARC
(0,15),-9.1695 # DEPENDENCYPART_ARC
(0,16),-9.31036 # DEPENDENCYPART_ARC
(0,17),-8.05493 # DEPENDENCYPART_ARC
(0,18),-8.72899 # DEPENDENCYPART_ARC
(0,19),-6.65246 # DEPENDENCYPART_ARC
(0,20),-9.74092 # DEPENDENCYPART_ARC
(0,21),-9.95643 # DEPENDENCYPART_ARC
(0,22),-9.38581 # DEPENDENCYPART_ARC
(0,23),-9.37711 # DEPENDENCYPART_ARC
(0,24),-10.1697 # DEPENDENCYPART_ARC
(0,25),-9.01493 # DEPENDENCYPART_ARC
(0,26),-8.59545 # DEPENDENCYPART_ARC
(0,27),-10.8959 # DEPENDENCYPART_ARC
(0,28),-7.7434 # DEPENDENCYPART_ARC
(0,29),-9.91346 # DEPENDENCYPART_ARC
(0,30),-6.91435 # DEPENDENCYPART_ARC
(1,2),0.0553051 # DEPENDENCYPART_ARC
(1,3),0.305415 # DEPENDENCYPART_ARC
(1,4),-1.05574 # DEPENDENCYPART_ARC
(1,5),-0.582727 # DEPENDENCYPART_ARC
(1,6),-0.99164 # DEPENDENCYPART_ARC
(1,7),-0.607311 # DEPENDENCYPART_ARC
(1,8),-0.16546 # DEPENDENCYPART_ARC
(1,9),-1.25541 # DEPENDENCYPART_ARC
(1,10),-2.0281 # DEPENDENCYPART_ARC
(1,11),-1.44073 # DEPENDENCYPART_ARC
(1,12),-1.93119 # DEPENDENCYPART_ARC
(1,13),-2.81026 # DEPENDENCYPART_ARC
(1,14),-2.68147 # DEPENDENCYPART_ARC
(1,15),-3.442 # DEPENDENCYPART_ARC
(1,16),-3.92315 # DEPENDENCYPART_ARC
(1,17),-4.24964 # DEPENDENCYPART_ARC
(1,18),-1.8394 # DEPENDENCYPART_ARC
(1,19),-2.67273 # DEPENDENCYPART_ARC
(1,20),-4.44255 # DEPENDENCYPART_ARC
(1,21),-4.62412 # DEPENDENCYPART_ARC
(1,22),-1.63922 # DEPENDENCYPART_ARC
(1,23),-2.34188 # DEPENDENCYPART_ARC
(1,24),-5.06919 # DEPENDENCYPART_ARC
(1,25),-6.22445 # DEPENDENCYPART_ARC
(1,26),-6.06094 # DEPENDENCYPART_ARC
(1,27),-4.20999 # DEPENDENCYPART_ARC
(1,28),-3.48432 # DEPENDENCYPART_ARC
(1,29),-4.80753 # DEPENDENCYPART_ARC
(1,30),-1.06515 # DEPENDENCYPART_ARC
(2,1),2.15093 # DEPENDENCYPART_ARC
(2,3),0.757319 # DEPENDENCYPART_ARC
(2,4),-0.262099 # DEPENDENCYPART_ARC
(2,5),0.0566582 # DEPENDENCYPART_ARC
(2,6),-0.902247 # DEPENDENCYPART_ARC
(2,7),-0.997381 # DEPENDENCYPART_ARC
(2,8),-0.129496 # DEPENDENCYPART_ARC
(2,9),-1.30274 # DEPENDENCYPART_ARC
(2,10),-2.01044 # DEPENDENCYPART_ARC
(2,11),-1.31121 # DEPENDENCYPART_ARC
(2,12),-1.84337 # DEPENDENCYPART_ARC
(2,13),-2.68997 # DEPENDENCYPART_ARC
(2,14),-2.64744 # DEPENDENCYPART_ARC
(2,15),-3.44132 # DEPENDENCYPART_ARC
(2,16),-3.98548 # DEPENDENCYPART_ARC
(2,17),-4.40476 # DEPENDENCYPART_ARC
(2,18),-2.05582 # DEPENDENCYPART_ARC
(2,19),-2.60773 # DEPENDENCYPART_ARC
(2,20),-4.42397 # DEPENDENCYPART_ARC
(2,21),-4.82083 # DEPENDENCYPART_ARC
(2,22),-1.91573 # DEPENDENCYPART_ARC
(2,23),-2.0406 # DEPENDENCYPART_ARC
(2,24),-4.99189 # DEPENDENCYPART_ARC
(2,25),-6.63304 # DEPENDENCYPART_ARC
(2,26),-6.05901 # DEPENDENCYPART_ARC
(2,27),-4.0172 # DEPENDENCYPART_ARC
(2,28),-3.50302 # DEPENDENCYPART_ARC
(2,29),-4.58044 # DEPENDENCYPART_ARC
(2,30),0.454739 # DEPENDENCYPART_ARC
(3,1),1.2196 # DEPENDENCYPART_ARC
(3,2),1.2516 # DEPENDENCYPART_ARC
(3,4),-0.391687 # DEPENDENCYPART_ARC
(3,5),0.921577 # DEPENDENCYPART_ARC
(3,6),-0.822018 # DEPENDENCYPART_ARC
(3,7),-1.05247 # DEPENDENCYPART_ARC
(3,8),-0.35103 # DEPENDENCYPART_ARC
(3,9),-1.45474 # DEPENDENCYPART_ARC
(3,10),-2.05695 # DEPENDENCYPART_ARC
(3,11),-1.6964 # DEPENDENCYPART_ARC
(3,12),-1.96638 # DEPENDENCYPART_ARC
(3,13),-2.71735 # DEPENDENCYPART_ARC
(3,14),-2.7753 # DEPENDENCYPART_ARC
(3,15),-3.55656 # DEPENDENCYPART_ARC
(3,16),-4.05253 # DEPENDENCYPART_ARC
(3,17),-4.56125 # DEPENDENCYPART_ARC
(3,18),-1.71552 # DEPENDENCYPART_ARC
(3,19),-2.64281 # DEPENDENCYPART_ARC
(3,20),-4.48267 # DEPENDENCYPART_ARC
(3,21),-4.93979 # DEPENDENCYPART_ARC
(3,22),-1.43429 # DEPENDENCYPART_ARC
(3,23),-2.15253 # DEPENDENCYPART_ARC
(3,24),-5.02067 # DEPENDENCYPART_ARC
(3,25),-6.80753 # DEPENDENCYPART_ARC
(3,26),-6.23577 # DEPENDENCYPART_ARC
(3,27),-4.06831 # DEPENDENCYPART_ARC
(3,28),-3.49478 # DEPENDENCYPART_ARC
(3,29),-4.69014 # DEPENDENCYPART_ARC
(3,30),0.331716 # DEPENDENCYPART_ARC
