# _root_ `` We have no plans to adjust our asset allocation in foreign equities , '' said Masato Murakami , chief portfolio manager in the pension fund management department at Yasuda Trust & Banking Co .
#goldHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,28,31,29,31,32,33,16,
#predictedHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,22,31,29,31,32,33,16,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.71802 # DEPENDENCYPART_ARC
(0,3),-3.97417 # DEPENDENCYPART_ARC
(0,4),-6.9422 # DEPENDENCYPART_ARC
(0,5),-5.91418 # DEPENDENCYPART_ARC
(0,6),-6.79822 # DEPENDENCYPART_ARC
(0,7),-5.34742 # DEPENDENCYPART_ARC
(0,8),-6.96745 # DEPENDENCYPART_ARC
(0,9),-5.68421 # DEPENDENCYPART_ARC
(0,10),-5.85481 # DEPENDENCYPART_ARC
(0,11),-7.44566 # DEPENDENCYPART_ARC
(0,12),-6.36499 # DEPENDENCYPART_ARC
(0,13),-6.5213 # DEPENDENCYPART_ARC
(0,14),-7.53751 # DEPENDENCYPART_ARC
(0,15),-6.71655 # DEPENDENCYPART_ARC
(0,16),1.84027 # DEPENDENCYPART_ARC
(0,17),-7.14378 # DEPENDENCYPART_ARC
(0,18),-7.24263 # DEPENDENCYPART_ARC
(0,19),-8.18121 # DEPENDENCYPART_ARC
(0,20),-6.54274 # DEPENDENCYPART_ARC
(0,21),-7.04522 # DEPENDENCYPART_ARC
(0,22),-7.23554 # DEPENDENCYPART_ARC
(0,23),-9.90961 # DEPENDENCYPART_ARC
(0,24),-9.41595 # DEPENDENCYPART_ARC
(0,25),-7.29943 # DEPENDENCYPART_ARC
(0,26),-7.18597 # DEPENDENCYPART_ARC
(0,27),-7.17291 # DEPENDENCYPART_ARC
(0,28),-7.65759 # DEPENDENCYPART_ARC
(0,29),-10.8991 # DEPENDENCYPART_ARC
(0,30),-8.41875 # DEPENDENCYPART_ARC
(0,31),-8.01063 # DEPENDENCYPART_ARC
(0,32),-10.6481 # DEPENDENCYPART_ARC
(0,33),-9.26056 # DEPENDENCYPART_ARC
(0,34),-6.85259 # DEPENDENCYPART_ARC
(0,35),-7.03364 # DEPENDENCYPART_ARC
(1,2),-1.49957 # DEPENDENCYPART_ARC
(1,3),-2.08922 # DEPENDENCYPART_ARC
(1,4),-2.75273 # DEPENDENCYPART_ARC
(1,5),-2.83409 # DEPENDENCYPART_ARC
(1,6),-2.78837 # DEPENDENCYPART_ARC
(1,7),-2.8533 # DEPENDENCYPART_ARC
(1,8),-3.29917 # DEPENDENCYPART_ARC
(1,9),-3.22215 # DEPENDENCYPART_ARC
(1,10),-3.21077 # DEPENDENCYPART_ARC
(1,11),-3.13086 # DEPENDENCYPART_ARC
(1,12),-3.09936 # DEPENDENCYPART_ARC
(1,13),-3.97374 # DEPENDENCYPART_ARC
(1,14),-2.76393 # DEPENDENCYPART_ARC
(1,15),-1.81128 # DEPENDENCYPART_ARC
(1,16),-3.43043 # DEPENDENCYPART_ARC
