# _root_ DPC Acquisition Partners , a hostile suitor for Dataproducts Corp. , said it intends to launch a tender offer for the computer printer maker 's common stock .
#goldHeads=3,3,12,3,7,7,3,7,8,9,3,0,14,12,14,15,19,19,16,19,24,24,24,27,24,27,20,12,
#predictedHeads=3,3,12,3,7,7,3,7,8,9,3,0,14,12,14,15,19,19,16,19,24,24,24,27,24,27,20,12,
(0,1),-6.00169 # DEPENDENCYPART_ARC
(0,2),-5.98386 # DEPENDENCYPART_ARC
(0,3),-6.87582 # DEPENDENCYPART_ARC
(0,4),-6.96798 # DEPENDENCYPART_ARC
(0,5),-7.5097 # DEPENDENCYPART_ARC
(0,6),-6.60464 # DEPENDENCYPART_ARC
(0,7),-7.6724 # DEPENDENCYPART_ARC
(0,8),-7.9921 # DEPENDENCYPART_ARC
(0,9),-7.57879 # DEPENDENCYPART_ARC
(0,10),-7.38498 # DEPENDENCYPART_ARC
(0,11),-7.6003 # DEPENDENCYPART_ARC
(0,12),-0.562321 # DEPENDENCYPART_ARC
(0,13),-6.90787 # DEPENDENCYPART_ARC
(0,14),-3.78286 # DEPENDENCYPART_ARC
(0,15),-7.59265 # DEPENDENCYPART_ARC
(0,16),-6.34121 # DEPENDENCYPART_ARC
(0,17),-8.46115 # DEPENDENCYPART_ARC
(0,18),-7.69751 # DEPENDENCYPART_ARC
(0,19),-7.15029 # DEPENDENCYPART_ARC
(0,20),-8.59838 # DEPENDENCYPART_ARC
(0,21),-9.29114 # DEPENDENCYPART_ARC
(0,22),-7.6632 # DEPENDENCYPART_ARC
(0,23),-7.50215 # DEPENDENCYPART_ARC
(0,24),-8.16968 # DEPENDENCYPART_ARC
(0,25),-11.3753 # DEPENDENCYPART_ARC
(0,26),-6.57239 # DEPENDENCYPART_ARC
(0,27),-9.06528 # DEPENDENCYPART_ARC
(0,28),-5.56414 # DEPENDENCYPART_ARC
(1,2),0.160183 # DEPENDENCYPART_ARC
(1,3),0.745202 # DEPENDENCYPART_ARC
(1,4),1.44689 # DEPENDENCYPART_ARC
(1,5),-1.09683 # DEPENDENCYPART_ARC
(1,6),-0.972618 # DEPENDENCYPART_ARC
(1,7),0.257664 # DEPENDENCYPART_ARC
(1,8),-1.26701 # DEPENDENCYPART_ARC
(1,9),-2.18588 # DEPENDENCYPART_ARC
(1,10),-1.23181 # DEPENDENCYPART_ARC
(1,11),1.28239 # DEPENDENCYPART_ARC
(1,12),-1.70606 # DEPENDENCYPART_ARC
(1,13),-2.56118 # DEPENDENCYPART_ARC
(1,14),-2.09364 # DEPENDENCYPART_ARC
(1,15),-2.59418 # DEPENDENCYPART_ARC
(1,16),-2.84611 # DEPENDENCYPART_ARC
(1,17),-2.40061 # DEPENDENCYPART_ARC
(1,18),-3.83969 # DEPENDENCYPART_ARC
(1,19),-4.13599 # DEPENDENCYPART_ARC
(1,20),-4.6127 # DEPENDENCYPART_ARC
(1,21),-2.61657 # DEPENDENCYPART_ARC
(1,22),-5.24351 # DEPENDENCYPART_ARC
(1,23),-5.49662 # DEPENDENCYPART_ARC
(1,24),-5.51602 # DEPENDENCYPART_ARC
(1,25),-5.01451 # DEPENDENCYPART_ARC
(1,26),-3.41183 # DEPENDENCYPART_ARC
(1,27),-6.21118 # DEPENDENCYPART_ARC
(1,28),-1.41274 # DEPENDENCYPART_ARC
(2,1),2.87928 # DEPENDENCYPART_ARC
(2,3),2.05463 # DEPENDENCYPART_ARC
(2,4),2.11207 # DEPENDENCYPART_ARC
(2,5),-0.269205 # DEPENDENCYPART_ARC
(2,6),-0.191339 # DEPENDENCYPART_ARC
(2,7),1.23064 # DEPENDENCYPART_ARC
(2,8),0.28871 # DEPENDENCYPART_ARC
(2,9),-1.37942 # DEPENDENCYPART_ARC
(2,10),0.317564 # DEPENDENCYPART_ARC
(2,11),1.52746 # DEPENDENCYPART_ARC
(2,12),-0.964867 # DEPENDENCYPART_ARC
(2,13),-1.56422 # DEPENDENCYPART_ARC
(2,14),-1.24537 # DEPENDENCYPART_ARC
(2,15),-1.6183 # DEPENDENCYPART_ARC
(2,16),-1.96026 # DEPENDENCYPART_ARC
(2,17),-1.67019 # DEPENDENCYPART_ARC
(2,18),-3.07614 # DEPENDENCYPART_ARC
(2,19),-2.86473 # DEPENDENCYPART_ARC
(2,20),-1.5955 # DEPENDENCYPART_ARC
(2,21),-1.92555 # DEPENDENCYPART_ARC
(2,22),-4.4819 # DEPENDENCYPART_ARC
(2,23),-4.35983 # DEPENDENCYPART_ARC
(2,24),-4.5377 # DEPENDENCYPART_ARC
(2,25),-3.81448 # DEPENDENCYPART_ARC
(2,26),-2.58656 # DEPENDENCYPART_ARC
(2,27),-4.91224 # DEPENDENCYPART_ARC
(2,28),-0.893201 # DEPENDENCYPART_ARC
(3,1),4.31134 # DEPENDENCYPART_ARC
(3,2),4.56093 # DEPENDENCYPART_ARC
(3,4),3.58675 # DEPENDENCYPART_ARC
(3,5),0.879007 # DEPENDENCYPART_ARC
(3,6),1.06039 # DEPENDENCYPART_ARC
(3,7),2.61928 # DEPENDENCYPART_ARC
(3,8),0.670315 # DEPENDENCYPART_ARC
(3,9),-0.346046 # DEPENDENCYPART_ARC
(3,10),2.05598 # DEPENDENCYPART_ARC
(3,11),3.73328 # DEPENDENCYPART_ARC
(3,12),-0.0397356 # DEPENDENCYPART_ARC
(3,13),-0.271685 # DEPENDENCYPART_ARC
(3,14),0.133199 # DEPENDENCYPART_ARC
(3,15),-0.59515 # DEPENDENCYPART_ARC
(3,16),-0.835912 # DEPENDENCYPART_ARC
(3,17),-0.692772 # DEPENDENCYPART_ARC
(3,18),-2.37727 # DEPENDENCYPART_ARC
(3,19),-1.84127 # DEPENDENCYPART_ARC
(3,20),-2.01503 # DEPENDENCYPART_ARC
(3,21),-0.919316 # DEPENDENCYPART_ARC
(3,22),-3.96995 # DEPENDENCYPART_ARC
(3,23),-3.70631 # DEPENDENCYPART_ARC
(3,24),-3.76789 # DEPENDENCYPART_ARC
(3,25),-2.26601 # DEPENDENCYPART_ARC
(3,26),-1.45066 # DEPENDENCYPART_ARC
(3,27),-4.27729 # DEPENDENCYPART_ARC
(3,28),0.340099 # DEPENDENCYPART_ARC
(4,1),-1.63423 # DEPENDENCYPART_ARC
(4,2),-1.77098 # DEPENDENCYPART_ARC
