# _root_ `` We did n't trade much today , as our policy now is to wait and see , '' said a fund manager at Taisho Life Insurance Co .
#goldHeads=20,3,20,3,3,5,5,5,5,11,13,11,9,13,14,15,16,20,20,0,23,23,20,23,27,27,24,27,20,
#predictedHeads=20,3,20,3,3,13,5,13,5,11,13,13,9,13,14,15,16,20,20,0,23,23,20,23,27,27,24,27,20,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.44019 # DEPENDENCYPART_ARC
(0,3),-3.53718 # DEPENDENCYPART_ARC
(0,4),-6.41881 # DEPENDENCYPART_ARC
(0,5),-4.63213 # DEPENDENCYPART_ARC
(0,6),-6.58412 # DEPENDENCYPART_ARC
(0,7),-6.46373 # DEPENDENCYPART_ARC
(0,8),-6.92982 # DEPENDENCYPART_ARC
(0,9),-6.52701 # DEPENDENCYPART_ARC
(0,10),-7.14015 # DEPENDENCYPART_ARC
(0,11),-5.9211 # DEPENDENCYPART_ARC
(0,12),-7.27897 # DEPENDENCYPART_ARC
(0,13),-3.85528 # DEPENDENCYPART_ARC
(0,14),-7.18928 # DEPENDENCYPART_ARC
(0,15),-5.74866 # DEPENDENCYPART_ARC
(0,16),-8.24509 # DEPENDENCYPART_ARC
(0,17),-5.722 # DEPENDENCYPART_ARC
(0,18),-7.99722 # DEPENDENCYPART_ARC
(0,19),-7.20207 # DEPENDENCYPART_ARC
(0,20),0.414311 # DEPENDENCYPART_ARC
(0,21),-8.4536 # DEPENDENCYPART_ARC
(0,22),-6.86493 # DEPENDENCYPART_ARC
(0,23),-6.85044 # DEPENDENCYPART_ARC
(0,24),-8.11346 # DEPENDENCYPART_ARC
(0,25),-7.29873 # DEPENDENCYPART_ARC
(0,26),-7.1792 # DEPENDENCYPART_ARC
(0,27),-7.58481 # DEPENDENCYPART_ARC
(0,28),-6.16685 # DEPENDENCYPART_ARC
(0,29),-5.52963 # DEPENDENCYPART_ARC
(1,2),-1.46934 # DEPENDENCYPART_ARC
(1,3),-1.6555 # DEPENDENCYPART_ARC
(1,4),-2.07966 # DEPENDENCYPART_ARC
(1,5),-2.49835 # DEPENDENCYPART_ARC
(1,6),-2.1933 # DEPENDENCYPART_ARC
(1,7),-2.80343 # DEPENDENCYPART_ARC
(1,8),-2.11357 # DEPENDENCYPART_ARC
(1,9),-2.80436 # DEPENDENCYPART_ARC
(1,10),-3.48406 # DEPENDENCYPART_ARC
(1,11),-3.09873 # DEPENDENCYPART_ARC
(1,12),-3.08221 # DEPENDENCYPART_ARC
(1,13),-3.23969 # DEPENDENCYPART_ARC
(1,14),-3.50967 # DEPENDENCYPART_ARC
(1,15),-3.61088 # DEPENDENCYPART_ARC
(1,16),-3.76639 # DEPENDENCYPART_ARC
(1,17),-3.79903 # DEPENDENCYPART_ARC
(1,18),-3.13818 # DEPENDENCYPART_ARC
(1,19),-1.74437 # DEPENDENCYPART_ARC
(1,20),-3.87216 # DEPENDENCYPART_ARC
(1,21),-4.58429 # DEPENDENCYPART_ARC
(1,22),-3.87764 # DEPENDENCYPART_ARC
(1,23),-3.86983 # DEPENDENCYPART_ARC
(1,24),-4.57823 # DEPENDENCYPART_ARC
(1,25),-4.75418 # DEPENDENCYPART_ARC
(1,26),-4.81455 # DEPENDENCYPART_ARC
(1,27),-5.03069 # DEPENDENCYPART_ARC
(1,28),-5.12351 # DEPENDENCYPART_ARC
(1,29),-3.90373 # DEPENDENCYPART_ARC
(2,1),-0.153597 # DEPENDENCYPART_ARC
(2,3),0.969345 # DEPENDENCYPART_ARC
(2,4),-0.175726 # DEPENDENCYPART_ARC
(2,5),-0.798939 # DEPENDENCYPART_ARC
(2,6),-0.832991 # DEPENDENCYPART_ARC
(2,7),-0.49431 # DEPENDENCYPART_ARC
(2,8),0.138176 # DEPENDENCYPART_ARC
(2,9),-0.131789 # DEPENDENCYPART_ARC
(2,10),-1.53091 # DEPENDENCYPART_ARC
(2,11),-0.933274 # DEPENDENCYPART_ARC
(2,12),-1.08228 # DEPENDENCYPART_ARC
(2,13),-0.584801 # DEPENDENCYPART_ARC
(2,14),-0.838888 # DEPENDENCYPART_ARC
(2,15),-2.1214 # DEPENDENCYPART_ARC
(2,16),-1.4017 # DEPENDENCYPART_ARC
(2,17),-2.34096 # DEPENDENCYPART_ARC
(2,18),-0.716849 # DEPENDENCYPART_ARC
(2,19),-1.25678 # DEPENDENCYPART_ARC
(2,20),-1.82246 # DEPENDENCYPART_ARC
(2,21),-2.05927 # DEPENDENCYPART_ARC
(2,22),-1.9425 # DEPENDENCYPART_ARC
(2,23),-2.0374 # DEPENDENCYPART_ARC
(2,24),-2.67007 # DEPENDENCYPART_ARC
(2,25),-2.65402 # DEPENDENCYPART_ARC
(2,26),-2.74756 # DEPENDENCYPART_ARC
(2,27),-2.77095 # DEPENDENCYPART_ARC
(2,28),-2.99452 # DEPENDENCYPART_ARC
(2,29),-2.06961 # DEPENDENCYPART_ARC
(3,1),2.61376 # DEPENDENCYPART_ARC
(3,2),3.86567 # DEPENDENCYPART_ARC
(3,4),4.47215 # DEPENDENCYPART_ARC
(3,5),3.48436 # DEPENDENCYPART_ARC
(3,6),0.91972 # DEPENDENCYPART_ARC
(3,7),1.58286 # DEPENDENCYPART_ARC
(3,8),1.97977 # DEPENDENCYPART_ARC
(3,9),0.78107 # DEPENDENCYPART_ARC
(3,10),-0.494856 # DEPENDENCYPART_ARC
(3,11),-0.41069 # DEPENDENCYPART_ARC
(3,12),0.547877 # DEPENDENCYPART_ARC
(3,13),1.31351 # DEPENDENCYPART_ARC
(3,14),-0.433594 # DEPENDENCYPART_ARC
(3,15),0.87 # DEPENDENCYPART_ARC
(3,16),1.09708 # DEPENDENCYPART_ARC
(3,17),0.51899 # DEPENDENCYPART_ARC
(3,18),0.781617 # DEPENDENCYPART_ARC
(3,19),1.86359 # DEPENDENCYPART_ARC
(3,20),-1.04589 # DEPENDENCYPART_ARC
(3,21),-1.95891 # DEPENDENCYPART_ARC
(3,22),-3.24556 # DEPENDENCYPART_ARC
(3,23),-3.20566 # DEPENDENCYPART_ARC
(3,24),-6.06462 # DEPENDENCYPART_ARC
(3,25),-4.15374 # DEPENDENCYPART_ARC
(3,26),-3.93608 # DEPENDENCYPART_ARC
(3,27),-4.31816 # DEPENDENCYPART_ARC
(3,28),-3.7583 # DEPENDENCYPART_ARC
(3,29),4.92445 # DEPENDENCYPART_ARC
(4,1),-0.574718 # DEPENDENCYPART_ARC
(4,2),-0.141661 # DEPENDENCYPART_ARC
(4,3),0.006915 # DEPENDENCYPART_ARC
(4,5),-0.179867 # DEPENDENCYPART_ARC
(4,6),-0.451752 # DEPENDENCYPART_ARC
(4,7),-1.03751 # DEPENDENCYPART_ARC
(4,8),-1.2129 # DEPENDENCYPART_ARC
(4,9),-1.91728 # DEPENDENCYPART_ARC
(4,10),-2.50305 # DEPENDENCYPART_ARC
(4,11),-2.70157 # DEPENDENCYPART_ARC
(4,12),-2.90709 # DEPENDENCYPART_ARC
(4,13),-1.49292 # DEPENDENCYPART_ARC
(4,14),-2.74353 # DEPENDENCYPART_ARC
(4,15),-2.33158 # DEPENDENCYPART_ARC
(4,16),-1.5578 # DEPENDENCYPART_ARC
(4,17),-2.73485 # DEPENDENCYPART_ARC
(4,18),-1.31299 # DEPENDENCYPART_ARC
(4,19),-1.64062 # DEPENDENCYPART_ARC
(4,20),-2.75646 # DEPENDENCYPART_ARC
(4,21),-2.90035 # DEPENDENCYPART_ARC
(4,22),-4.21126 # DEPENDENCYPART_ARC
(4,23),-4.38551 # DEPENDENCYPART_ARC
(4,24),-3.62648 # DEPENDENCYPART_ARC
(4,25),-4.14736 # DEPENDENCYPART_ARC
(4,26),-4.24822 # DEPENDENCYPART_ARC
(4,27),-4.39564 # DEPENDENCYPART_ARC
(4,28),-4.45351 # DEPENDENCYPART_ARC
(4,29),-0.642728 # DEPENDENCYPART_ARC
(5,1),0.436696 # DEPENDENCYPART_ARC
(5,2),0.851453 # DEPENDENCYPART_ARC
(5,3),0.0575913 # DEPENDENCYPART_ARC
