# _root_ `` The beginning was chaotic , '' says Nigel Longley , a broker for Commerzbank
#goldHeads=4,3,4,8,4,4,4,0,10,8,10,13,10,13,14,
#predictedHeads=8,3,4,8,4,8,8,0,10,8,10,13,10,13,14,
(0,1),-6.40372 # DEPENDENCYPART_ARC
(0,2),-6.74726 # DEPENDENCYPART_ARC
(0,3),-5.70525 # DEPENDENCYPART_ARC
(0,4),-3.4814 # DEPENDENCYPART_ARC
(0,5),-6.45599 # DEPENDENCYPART_ARC
(0,6),-6.56134 # DEPENDENCYPART_ARC
(0,7),-6.24219 # DEPENDENCYPART_ARC
(0,8),1.13664 # DEPENDENCYPART_ARC
(0,9),-6.52326 # DEPENDENCYPART_ARC
(0,10),-6.55726 # DEPENDENCYPART_ARC
(0,11),-7.04585 # DEPENDENCYPART_ARC
(0,12),-7.60005 # DEPENDENCYPART_ARC
(0,13),-7.17987 # DEPENDENCYPART_ARC
(0,14),-7.19918 # DEPENDENCYPART_ARC
(0,15),-6.9321 # DEPENDENCYPART_ARC
(1,2),-1.82282 # DEPENDENCYPART_ARC
(1,3),-2.13975 # DEPENDENCYPART_ARC
(1,4),-1.97566 # DEPENDENCYPART_ARC
(1,5),-2.11227 # DEPENDENCYPART_ARC
(1,6),-2.14344 # DEPENDENCYPART_ARC
(1,7),-1.17111 # DEPENDENCYPART_ARC
(1,8),-2.58981 # DEPENDENCYPART_ARC
(1,9),-3.08634 # DEPENDENCYPART_ARC
(1,10),-3.16801 # DEPENDENCYPART_ARC
(1,11),-2.40669 # DEPENDENCYPART_ARC
(1,12),-3.67099 # DEPENDENCYPART_ARC
(1,13),-3.55934 # DEPENDENCYPART_ARC
(1,14),-3.42276 # DEPENDENCYPART_ARC
(1,15),-3.71241 # DEPENDENCYPART_ARC
(2,1),-0.685833 # DEPENDENCYPART_ARC
(2,3),0.0138865 # DEPENDENCYPART_ARC
(2,4),-0.188443 # DEPENDENCYPART_ARC
(2,5),-1.25312 # DEPENDENCYPART_ARC
(2,6),-1.43734 # DEPENDENCYPART_ARC
(2,7),-1.4617 # DEPENDENCYPART_ARC
(2,8),-1.49613 # DEPENDENCYPART_ARC
(2,9),-2.21545 # DEPENDENCYPART_ARC
(2,10),-2.26367 # DEPENDENCYPART_ARC
(2,11),-1.54662 # DEPENDENCYPART_ARC
(2,12),-2.77418 # DEPENDENCYPART_ARC
(2,13),-2.38437 # DEPENDENCYPART_ARC
(2,14),-2.33452 # DEPENDENCYPART_ARC
(2,15),-2.94404 # DEPENDENCYPART_ARC
(3,1),0.389277 # DEPENDENCYPART_ARC
(3,2),3.67465 # DEPENDENCYPART_ARC
(3,4),1.06553 # DEPENDENCYPART_ARC
(3,5),0.608324 # DEPENDENCYPART_ARC
(3,6),0.260664 # DEPENDENCYPART_ARC
(3,7),0.744432 # DEPENDENCYPART_ARC
(3,8),-0.0864022 # DEPENDENCYPART_ARC
(3,9),-0.773831 # DEPENDENCYPART_ARC
(3,10),-0.493864 # DEPENDENCYPART_ARC
(3,11),-0.552632 # DEPENDENCYPART_ARC
(3,12),-0.951983 # DEPENDENCYPART_ARC
(3,13),-1.76399 # DEPENDENCYPART_ARC
(3,14),-0.635787 # DEPENDENCYPART_ARC
(3,15),-1.26059 # DEPENDENCYPART_ARC
(4,1),2.71355 # DEPENDENCYPART_ARC
(4,2),0.917785 # DEPENDENCYPART_ARC
(4,3),3.19541 # DEPENDENCYPART_ARC
(4,5),2.82714 # DEPENDENCYPART_ARC
(4,6),1.56053 # DEPENDENCYPART_ARC
(4,7),1.35082 # DEPENDENCYPART_ARC
(4,8),0.443495 # DEPENDENCYPART_ARC
(4,9),-0.135717 # DEPENDENCYPART_ARC
(4,10),-0.0563479 # DEPENDENCYPART_ARC
(4,11),0.427393 # DEPENDENCYPART_ARC
(4,12),-1.39388 # DEPENDENCYPART_ARC
(4,13),-0.0111427 # DEPENDENCYPART_ARC
(4,14),1.12533 # DEPENDENCYPART_ARC
(4,15),-1.96293 # DEPENDENCYPART_ARC
(5,1),-0.052374 # DEPENDENCYPART_ARC
(5,2),0.915577 # DEPENDENCYPART_ARC
(5,3),0.282192 # DEPENDENCYPART_ARC
(5,4),0.0367412 # DEPENDENCYPART_ARC
(5,6),0.849748 # DEPENDENCYPART_ARC
(5,7),1.0595 # DEPENDENCYPART_ARC
(5,8),0.666672 # DEPENDENCYPART_ARC
(5,9),0.492427 # DEPENDENCYPART_ARC
(5,10),0.339765 # DEPENDENCYPART_ARC
(5,11),0.49187 # DEPENDENCYPART_ARC
(5,12),-0.548749 # DEPENDENCYPART_ARC
(5,13),-0.480327 # DEPENDENCYPART_ARC
(5,14),-0.73477 # DEPENDENCYPART_ARC
(5,15),-0.611065 # DEPENDENCYPART_ARC
(6,1),-1.19007 # DEPENDENCYPART_ARC
(6,2),-0.805289 # DEPENDENCYPART_ARC
(6,3),-1.00371 # DEPENDENCYPART_ARC
(6,4),-1.1381 # DEPENDENCYPART_ARC
(6,5),-0.500033 # DEPENDENCYPART_ARC
(6,7),0.208827 # DEPENDENCYPART_ARC
(6,8),-0.187462 # DEPENDENCYPART_ARC
(6,9),-0.73556 # DEPENDENCYPART_ARC
(6,10),-1.03189 # DEPENDENCYPART_ARC
(6,11),0.520354 # DEPENDENCYPART_ARC
(6,12),-1.57731 # DEPENDENCYPART_ARC
(6,13),-2.0492 # DEPENDENCYPART_ARC
(6,14),-1.29237 # DEPENDENCYPART_ARC
(6,15),-1.95489 # DEPENDENCYPART_ARC
(7,1),0.199755 # DEPENDENCYPART_ARC
(7,2),-0.463835 # DEPENDENCYPART_ARC
(7,3),-1.41182 # DEPENDENCYPART_ARC
(7,4),-0.951958 # DEPENDENCYPART_ARC
(7,5),-0.974444 # DEPENDENCYPART_ARC
(7,6),0.384697 # DEPENDENCYPART_ARC
(7,8),-0.12282 # DEPENDENCYPART_ARC
(7,9),-1.22974 # DEPENDENCYPART_ARC
(7,10),-1.57971 # DEPENDENCYPART_ARC
(7,11),-1.37997 # DEPENDENCYPART_ARC
(7,12),-2.39248 # DEPENDENCYPART_ARC
(7,13),-2.20172 # DEPENDENCYPART_ARC
(7,14),-1.98174 # DEPENDENCYPART_ARC
(7,15),-2.69786 # DEPENDENCYPART_ARC
(8,1),3.47904 # DEPENDENCYPART_ARC
(8,2),-0.3781 # DEPENDENCYPART_ARC
(8,3),-0.23632 # DEPENDENCYPART_ARC
(8,4),1.36037 # DEPENDENCYPART_ARC
(8,5),0.375089 # DEPENDENCYPART_ARC
(8,6),3.73663 # DEPENDENCYPART_ARC
(8,7),4.19735 # DEPENDENCYPART_ARC
(8,9),1.62845 # DEPENDENCYPART_ARC
(8,10),2.8568 # DEPENDENCYPART_ARC
(8,11),0.941118 # DEPENDENCYPART_ARC
(8,12),-0.147968 # DEPENDENCYPART_ARC
(8,13),-0.295674 # DEPENDENCYPART_ARC
(8,14),-1.28429 # DEPENDENCYPART_ARC
(8,15),-0.569827 # DEPENDENCYPART_ARC
(9,1),-1.84284 # DEPENDENCYPART_ARC
(9,2),-1.70655 # DEPENDENCYPART_ARC
(9,3),-3.08354 # DEPENDENCYPART_ARC
(9,4),-2.37634 # DEPENDENCYPART_ARC
(9,5),-1.19406 # DEPENDENCYPART_ARC
(9,6),-1.26395 # DEPENDENCYPART_ARC
(9,7),-0.902135 # DEPENDENCYPART_ARC
(9,8),-0.620249 # DEPENDENCYPART_ARC
(9,10),1.62959 # DEPENDENCYPART_ARC
(9,11),1.23663 # DEPENDENCYPART_ARC
(9,12),-0.642139 # DEPENDENCYPART_ARC
(9,13),0.535644 # DEPENDENCYPART_ARC
(9,14),-0.572671 # DEPENDENCYPART_ARC
(9,15),-1.53267 # DEPENDENCYPART_ARC
(10,1),-0.277705 # DEPENDENCYPART_ARC
(10,2),-0.180223 # DEPENDENCYPART_ARC
(10,3),-2.12832 # DEPENDENCYPART_ARC
(10,4),-1.5399 # DEPENDENCYPART_ARC
(10,5),-0.308474 # DEPENDENCYPART_ARC
(10,6),-0.199396 # DEPENDENCYPART_ARC
(10,7),-0.173046 # DEPENDENCYPART_ARC
(10,8),-0.152265 # DEPENDENCYPART_ARC
(10,9),4.56331 # DEPENDENCYPART_ARC
(10,11),3.40649 # DEPENDENCYPART_ARC
(10,12),0.626859 # DEPENDENCYPART_ARC
(10,13),2.22696 # DEPENDENCYPART_ARC
(10,14),0.68693 # DEPENDENCYPART_ARC
(10,15),0.326379 # DEPENDENCYPART_ARC
(11,1),-2.04927 # DEPENDENCYPART_ARC
(11,2),-1.80358 # DEPENDENCYPART_ARC
(11,3),-2.12935 # DEPENDENCYPART_ARC
(11,4),-1.82217 # DEPENDENCYPART_ARC
(11,5),-1.9169 # DEPENDENCYPART_ARC
(11,6),-0.877738 # DEPENDENCYPART_ARC
(11,7),-1.66275 # DEPENDENCYPART_ARC
(11,8),-1.44884 # DEPENDENCYPART_ARC
(11,9),-1.77544 # DEPENDENCYPART_ARC
(11,10),-1.22214 # DEPENDENCYPART_ARC
(11,12),-0.413738 # DEPENDENCYPART_ARC
(11,13),-1.19164 # DEPENDENCYPART_ARC
(11,14),-0.911908 # DEPENDENCYPART_ARC
(11,15),-1.22349 # DEPENDENCYPART_ARC
(12,1),-2.62332 # DEPENDENCYPART_ARC
(12,2),-1.14815 # DEPENDENCYPART_ARC
(12,3),-2.51196 # DEPENDENCYPART_ARC
(12,4),-2.05736 # DEPENDENCYPART_ARC
