# _root_ `` For all intents and purposes , an agreement appears to have been achieved , '' he said .
#goldHeads=18,10,4,2,4,5,10,9,10,18,10,11,12,13,18,18,18,0,18,
#predictedHeads=18,10,4,2,4,5,10,9,10,18,10,11,12,13,18,18,18,0,18,
(0,1),-6.40454 # DEPENDENCYPART_ARC
(0,2),-6.71088 # DEPENDENCYPART_ARC
(0,3),-6.84359 # DEPENDENCYPART_ARC
(0,4),-6.52666 # DEPENDENCYPART_ARC
(0,5),-7.63604 # DEPENDENCYPART_ARC
(0,6),-6.32357 # DEPENDENCYPART_ARC
(0,7),-6.58978 # DEPENDENCYPART_ARC
(0,8),-7.30363 # DEPENDENCYPART_ARC
(0,9),-6.03038 # DEPENDENCYPART_ARC
(0,10),-4.12514 # DEPENDENCYPART_ARC
(0,11),-7.4355 # DEPENDENCYPART_ARC
(0,12),-5.44931 # DEPENDENCYPART_ARC
(0,13),-4.09316 # DEPENDENCYPART_ARC
(0,14),-4.77637 # DEPENDENCYPART_ARC
(0,15),-7.40519 # DEPENDENCYPART_ARC
(0,16),-6.79228 # DEPENDENCYPART_ARC
(0,17),-2.94533 # DEPENDENCYPART_ARC
(0,18),1.79502 # DEPENDENCYPART_ARC
(0,19),-5.06556 # DEPENDENCYPART_ARC
(1,2),-1.87679 # DEPENDENCYPART_ARC
(1,3),-2.4758 # DEPENDENCYPART_ARC
(1,4),-2.60045 # DEPENDENCYPART_ARC
(1,5),-2.86066 # DEPENDENCYPART_ARC
(1,6),-3.01601 # DEPENDENCYPART_ARC
(1,7),-2.06253 # DEPENDENCYPART_ARC
(1,8),-3.28202 # DEPENDENCYPART_ARC
(1,9),-3.3479 # DEPENDENCYPART_ARC
(1,10),-2.88758 # DEPENDENCYPART_ARC
(1,11),-3.2035 # DEPENDENCYPART_ARC
(1,12),-3.34309 # DEPENDENCYPART_ARC
(1,13),-3.21659 # DEPENDENCYPART_ARC
(1,14),-3.28773 # DEPENDENCYPART_ARC
(1,15),-2.91622 # DEPENDENCYPART_ARC
(1,16),-2.02017 # DEPENDENCYPART_ARC
(1,17),-3.78578 # DEPENDENCYPART_ARC
(1,18),-3.68802 # DEPENDENCYPART_ARC
(1,19),-3.12344 # DEPENDENCYPART_ARC
(2,1),-0.162249 # DEPENDENCYPART_ARC
(2,3),1.11595 # DEPENDENCYPART_ARC
(2,4),2.73093 # DEPENDENCYPART_ARC
(2,5),0.663005 # DEPENDENCYPART_ARC
(2,6),0.828528 # DEPENDENCYPART_ARC
(2,7),0.599192 # DEPENDENCYPART_ARC
(2,8),-1.41565 # DEPENDENCYPART_ARC
(2,9),-1.41781 # DEPENDENCYPART_ARC
(2,10),-0.36305 # DEPENDENCYPART_ARC
(2,11),1.16109 # DEPENDENCYPART_ARC
(2,12),-0.717299 # DEPENDENCYPART_ARC
(2,13),-0.671425 # DEPENDENCYPART_ARC
(2,14),-0.523055 # DEPENDENCYPART_ARC
(2,15),0.186581 # DEPENDENCYPART_ARC
(2,16),0.257783 # DEPENDENCYPART_ARC
(2,17),-2.214 # DEPENDENCYPART_ARC
(2,18),-3.46959 # DEPENDENCYPART_ARC
(2,19),0.869912 # DEPENDENCYPART_ARC
(3,1),-1.32477 # DEPENDENCYPART_ARC
(3,2),-0.100812 # DEPENDENCYPART_ARC
(3,4),0.320177 # DEPENDENCYPART_ARC
(3,5),0.288585 # DEPENDENCYPART_ARC
(3,6),-0.539272 # DEPENDENCYPART_ARC
(3,7),0.177315 # DEPENDENCYPART_ARC
(3,8),-1.70521 # DEPENDENCYPART_ARC
(3,9),-0.69607 # DEPENDENCYPART_ARC
(3,10),-0.564971 # DEPENDENCYPART_ARC
(3,11),-1.19605 # DEPENDENCYPART_ARC
(3,12),-1.9195 # DEPENDENCYPART_ARC
(3,13),-1.4477 # DEPENDENCYPART_ARC
(3,14),-1.72422 # DEPENDENCYPART_ARC
(3,15),-0.162469 # DEPENDENCYPART_ARC
(3,16),-1.2781 # DEPENDENCYPART_ARC
(3,17),-1.9414 # DEPENDENCYPART_ARC
(3,18),-2.27013 # DEPENDENCYPART_ARC
(3,19),-0.212876 # DEPENDENCYPART_ARC
(4,1),-0.343546 # DEPENDENCYPART_ARC
(4,2),0.199368 # DEPENDENCYPART_ARC
(4,3),4.32214 # DEPENDENCYPART_ARC
(4,5),3.84284 # DEPENDENCYPART_ARC
(4,6),1.41692 # DEPENDENCYPART_ARC
(4,7),1.43623 # DEPENDENCYPART_ARC
(4,8),0.450791 # DEPENDENCYPART_ARC
(4,9),0.423605 # DEPENDENCYPART_ARC
(4,10),0.859153 # DEPENDENCYPART_ARC
(4,11),0.460848 # DEPENDENCYPART_ARC
(4,12),0.399235 # DEPENDENCYPART_ARC
(4,13),-0.0962082 # DEPENDENCYPART_ARC
(4,14),-0.02668 # DEPENDENCYPART_ARC
(4,15),0.543844 # DEPENDENCYPART_ARC
(4,16),0.915264 # DEPENDENCYPART_ARC
(4,17),-0.708975 # DEPENDENCYPART_ARC
(4,18),-0.572271 # DEPENDENCYPART_ARC
(4,19),0.444746 # DEPENDENCYPART_ARC
(5,1),-1.19785 # DEPENDENCYPART_ARC
(5,2),-0.588541 # DEPENDENCYPART_ARC
(5,3),-0.367201 # DEPENDENCYPART_ARC
(5,4),0.113387 # DEPENDENCYPART_ARC
(5,6),3.98085 # DEPENDENCYPART_ARC
(5,7),1.01077 # DEPENDENCYPART_ARC
(5,8),-0.440727 # DEPENDENCYPART_ARC
(5,9),0.285773 # DEPENDENCYPART_ARC
(5,10),0.048372 # DEPENDENCYPART_ARC
(5,11),0.138781 # DEPENDENCYPART_ARC
(5,12),-0.467302 # DEPENDENCYPART_ARC
(5,13),-0.341158 # DEPENDENCYPART_ARC
(5,14),-0.481925 # DEPENDENCYPART_ARC
(5,15),-0.406302 # DEPENDENCYPART_ARC
(5,16),-0.468516 # DEPENDENCYPART_ARC
(5,17),-1.6682 # DEPENDENCYPART_ARC
(5,18),-1.71738 # DEPENDENCYPART_ARC
(5,19),-0.244954 # DEPENDENCYPART_ARC
(6,1),-1.55622 # DEPENDENCYPART_ARC
(6,2),-1.47202 # DEPENDENCYPART_ARC
(6,3),1.37137 # DEPENDENCYPART_ARC
(6,4),-0.0857837 # DEPENDENCYPART_ARC
(6,5),0.102596 # DEPENDENCYPART_ARC
(6,7),1.4011 # DEPENDENCYPART_ARC
(6,8),0.0608102 # DEPENDENCYPART_ARC
(6,9),0.284395 # DEPENDENCYPART_ARC
(6,10),-0.0976186 # DEPENDENCYPART_ARC
(6,11),0.0264245 # DEPENDENCYPART_ARC
(6,12),-0.269753 # DEPENDENCYPART_ARC
(6,13),-0.985618 # DEPENDENCYPART_ARC
(6,14),-0.98974 # DEPENDENCYPART_ARC
(6,15),0.588136 # DEPENDENCYPART_ARC
(6,16),0.424736 # DEPENDENCYPART_ARC
(6,17),-1.28819 # DEPENDENCYPART_ARC
(6,18),-1.76649 # DEPENDENCYPART_ARC
(6,19),-0.400075 # DEPENDENCYPART_ARC
(7,1),-1.49036 # DEPENDENCYPART_ARC
(7,2),-1.76562 # DEPENDENCYPART_ARC
(7,3),-1.14385 # DEPENDENCYPART_ARC
(7,4),-1.70078 # DEPENDENCYPART_ARC
(7,5),-1.27639 # DEPENDENCYPART_ARC
(7,6),-1.22483 # DEPENDENCYPART_ARC
(7,8),-0.284377 # DEPENDENCYPART_ARC
(7,9),-0.934688 # DEPENDENCYPART_ARC
(7,10),-0.64358 # DEPENDENCYPART_ARC
(7,11),-1.2913 # DEPENDENCYPART_ARC
(7,12),-1.11938 # DEPENDENCYPART_ARC
(7,13),-1.51226 # DEPENDENCYPART_ARC
(7,14),-1.62649 # DEPENDENCYPART_ARC
(7,15),0.784191 # DEPENDENCYPART_ARC
(7,16),-1.21697 # DEPENDENCYPART_ARC
(7,17),-2.03856 # DEPENDENCYPART_ARC
(7,18),-1.70473 # DEPENDENCYPART_ARC
(7,19),-1.52975 # DEPENDENCYPART_ARC
(8,1),-2.46498 # DEPENDENCYPART_ARC
(8,2),-1.65011 # DEPENDENCYPART_ARC
(8,3),-1.01487 # DEPENDENCYPART_ARC
(8,4),-1.83384 # DEPENDENCYPART_ARC
(8,5),-1.79243 # DEPENDENCYPART_ARC
(8,6),-1.37568 # DEPENDENCYPART_ARC
(8,7),-0.376213 # DEPENDENCYPART_ARC
(8,9),0.484985 # DEPENDENCYPART_ARC
(8,10),1.03792 # DEPENDENCYPART_ARC
(8,11),-0.486809 # DEPENDENCYPART_ARC
(8,12),-0.812308 # DEPENDENCYPART_ARC
(8,13),-0.838607 # DEPENDENCYPART_ARC
(8,14),-0.90182 # DEPENDENCYPART_ARC
(8,15),-0.367443 # DEPENDENCYPART_ARC
(8,16),-0.768835 # DEPENDENCYPART_ARC
(8,17),-1.38173 # DEPENDENCYPART_ARC
(8,18),-1.41278 # DEPENDENCYPART_ARC
(8,19),-0.404145 # DEPENDENCYPART_ARC
(9,1),-2.08573 # DEPENDENCYPART_ARC
(9,2),-0.562314 # DEPENDENCYPART_ARC
(9,3),0.179584 # DEPENDENCYPART_ARC
(9,4),-0.370323 # DEPENDENCYPART_ARC
(9,5),-0.197221 # DEPENDENCYPART_ARC
(9,6),-0.0669519 # DEPENDENCYPART_ARC
(9,7),0.802658 # DEPENDENCYPART_ARC
(9,8),4.45396 # DEPENDENCYPART_ARC
(9,10),1.79291 # DEPENDENCYPART_ARC
(9,11),2.34579 # DEPENDENCYPART_ARC
(9,12),1.11577 # DEPENDENCYPART_ARC
(9,13),0.995571 # DEPENDENCYPART_ARC
(9,14),0.676783 # DEPENDENCYPART_ARC
(9,15),1.17162 # DEPENDENCYPART_ARC
(9,16),0.939335 # DEPENDENCYPART_ARC
(9,17),-0.150157 # DEPENDENCYPART_ARC
(9,18),-0.404091 # DEPENDENCYPART_ARC
(9,19),0.186241 # DEPENDENCYPART_ARC
(10,1),1.22807 # DEPENDENCYPART_ARC
(10,2),1.35556 # DEPENDENCYPART_ARC
(10,3),0.185367 # DEPENDENCYPART_ARC
(10,4),0.424622 # DEPENDENCYPART_ARC
(10,5),0.122616 # DEPENDENCYPART_ARC
(10,6),0.124369 # DEPENDENCYPART_ARC
(10,7),3.37162 # DEPENDENCYPART_ARC
(10,8),1.14068 # DEPENDENCYPART_ARC
(10,9),3.27629 # DEPENDENCYPART_ARC
(10,11),3.68288 # DEPENDENCYPART_ARC
(10,12),1.79371 # DEPENDENCYPART_ARC
(10,13),1.28539 # DEPENDENCYPART_ARC
(10,14),0.389492 # DEPENDENCYPART_ARC
(10,15),1.30578 # DEPENDENCYPART_ARC
(10,16),0.366051 # DEPENDENCYPART_ARC
(10,17),-0.611584 # DEPENDENCYPART_ARC
(10,18),0.0592548 # DEPENDENCYPART_ARC
(10,19),1.00352 # DEPENDENCYPART_ARC
(11,1),-0.590712 # DEPENDENCYPART_ARC
(11,2),-0.65748 # DEPENDENCYPART_ARC
(11,3),0.0244497 # DEPENDENCYPART_ARC
(11,4),0.593233 # DEPENDENCYPART_ARC
(11,5),-0.381355 # DEPENDENCYPART_ARC
(11,6),0.0949817 # DEPENDENCYPART_ARC
(11,7),0.347835 # DEPENDENCYPART_ARC
(11,8),0.983831 # DEPENDENCYPART_ARC
(11,9),0.567597 # DEPENDENCYPART_ARC
