# _root_ George M. Salem , analyst at Prudential-Bache Securities Inc. , called the results `` mildly disappointing . ''
#goldHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
#predictedHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
(0,1),-5.93426 # DEPENDENCYPART_ARC
(0,2),-5.84548 # DEPENDENCYPART_ARC
(0,3),-6.71536 # DEPENDENCYPART_ARC
(0,4),-6.88731 # DEPENDENCYPART_ARC
(0,5),-7.3497 # DEPENDENCYPART_ARC
(0,6),-8.19339 # DEPENDENCYPART_ARC
(0,7),-7.582 # DEPENDENCYPART_ARC
(0,8),-7.54049 # DEPENDENCYPART_ARC
(0,9),-7.70437 # DEPENDENCYPART_ARC
(0,10),-7.53842 # DEPENDENCYPART_ARC
(0,11),-0.222564 # DEPENDENCYPART_ARC
(0,12),-8.11645 # DEPENDENCYPART_ARC
(0,13),-6.40554 # DEPENDENCYPART_ARC
(0,14),-7.75427 # DEPENDENCYPART_ARC
(0,15),-7.747 # DEPENDENCYPART_ARC
(0,16),-6.33983 # DEPENDENCYPART_ARC
(0,17),-6.94933 # DEPENDENCYPART_ARC
(0,18),-7.54601 # DEPENDENCYPART_ARC
(1,2),0.257322 # DEPENDENCYPART_ARC
(1,3),0.82131 # DEPENDENCYPART_ARC
(1,4),0.909277 # DEPENDENCYPART_ARC
(1,5),0.39051 # DEPENDENCYPART_ARC
(1,6),-0.859185 # DEPENDENCYPART_ARC
(1,7),-1.87793 # DEPENDENCYPART_ARC
(1,8),-1.75346 # DEPENDENCYPART_ARC
(1,9),-1.59437 # DEPENDENCYPART_ARC
(1,10),0.939985 # DEPENDENCYPART_ARC
(1,11),-0.909392 # DEPENDENCYPART_ARC
(1,12),-1.49704 # DEPENDENCYPART_ARC
(1,13),-2.26141 # DEPENDENCYPART_ARC
(1,14),-0.805618 # DEPENDENCYPART_ARC
(1,15),-2.46113 # DEPENDENCYPART_ARC
(1,16),-2.57949 # DEPENDENCYPART_ARC
(1,17),-0.25313 # DEPENDENCYPART_ARC
(1,18),-1.03959 # DEPENDENCYPART_ARC
(2,1),2.93402 # DEPENDENCYPART_ARC
(2,3),2.31265 # DEPENDENCYPART_ARC
