# _root_ `` It 's pure psychology , '' said William Au Yeung , an account executive for Drexel Burnham Lambert ( HK ) Ltd. in Hong Kong .
#goldHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
#predictedHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.5215 # DEPENDENCYPART_ARC
(0,3),-3.77616 # DEPENDENCYPART_ARC
(0,4),-6.47476 # DEPENDENCYPART_ARC
(0,5),-6.42643 # DEPENDENCYPART_ARC
(0,6),-6.57256 # DEPENDENCYPART_ARC
(0,7),-6.24139 # DEPENDENCYPART_ARC
(0,8),0.642127 # DEPENDENCYPART_ARC
(0,9),-6.54673 # DEPENDENCYPART_ARC
(0,10),-6.33275 # DEPENDENCYPART_ARC
(0,11),-6.83825 # DEPENDENCYPART_ARC
(0,12),-7.2029 # DEPENDENCYPART_ARC
(0,13),-7.69065 # DEPENDENCYPART_ARC
(0,14),-7.15245 # DEPENDENCYPART_ARC
(0,15),-7.17604 # DEPENDENCYPART_ARC
(0,16),-7.257 # DEPENDENCYPART_ARC
(0,17),-7.76342 # DEPENDENCYPART_ARC
(0,18),-7.55544 # DEPENDENCYPART_ARC
(0,19),-7.74595 # DEPENDENCYPART_ARC
(0,20),-8.36985 # DEPENDENCYPART_ARC
(0,21),-9.04292 # DEPENDENCYPART_ARC
(0,22),-8.73048 # DEPENDENCYPART_ARC
(0,23),-9.90689 # DEPENDENCYPART_ARC
(0,24),-11.4249 # DEPENDENCYPART_ARC
(0,25),-9.96427 # DEPENDENCYPART_ARC
(0,26),-9.49157 # DEPENDENCYPART_ARC
(0,27),-6.2636 # DEPENDENCYPART_ARC
(1,2),-1.58687 # DEPENDENCYPART_ARC
(1,3),-1.98216 # DEPENDENCYPART_ARC
(1,4),-1.87375 # DEPENDENCYPART_ARC
(1,5),-2.6131 # DEPENDENCYPART_ARC
(1,6),-2.2202 # DEPENDENCYPART_ARC
(1,7),-1.25354 # DEPENDENCYPART_ARC
(1,8),-2.68814 # DEPENDENCYPART_ARC
(1,9),-3.16309 # DEPENDENCYPART_ARC
(1,10),-3.23834 # DEPENDENCYPART_ARC
(1,11),-3.34221 # DEPENDENCYPART_ARC
(1,12),-2.57933 # DEPENDENCYPART_ARC
(1,13),-3.87265 # DEPENDENCYPART_ARC
(1,14),-3.50056 # DEPENDENCYPART_ARC
(1,15),-3.45448 # DEPENDENCYPART_ARC
(1,16),-3.68575 # DEPENDENCYPART_ARC
(1,17),-3.9636 # DEPENDENCYPART_ARC
(1,18),-4.07433 # DEPENDENCYPART_ARC
(1,19),-4.20201 # DEPENDENCYPART_ARC
(1,20),-4.06439 # DEPENDENCYPART_ARC
(1,21),-4.36764 # DEPENDENCYPART_ARC
(1,22),-3.21031 # DEPENDENCYPART_ARC
(1,23),-4.60725 # DEPENDENCYPART_ARC
(1,24),-4.61103 # DEPENDENCYPART_ARC
(1,25),-4.81149 # DEPENDENCYPART_ARC
(1,26),-4.87186 # DEPENDENCYPART_ARC
(1,27),-3.82219 # DEPENDENCYPART_ARC
(2,1),0.00184887 # DEPENDENCYPART_ARC
