# _root_ The company earned $ 36 million , or 57 cents a share , in the year-ago quarter .
#goldHeads=2,3,0,3,4,4,4,4,10,8,12,10,4,3,17,17,14,3,
#predictedHeads=2,3,0,3,4,4,4,4,10,8,12,10,4,3,17,17,14,3,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-5.87464 # DEPENDENCYPART_ARC
(0,3),-2.54852 # DEPENDENCYPART_ARC
(0,4),-7.08257 # DEPENDENCYPART_ARC
(0,5),-7.48246 # DEPENDENCYPART_ARC
(0,6),-7.72598 # DEPENDENCYPART_ARC
(0,7),-6.5954 # DEPENDENCYPART_ARC
(0,8),-7.42441 # DEPENDENCYPART_ARC
(0,9),-8.04162 # DEPENDENCYPART_ARC
(0,10),-6.62455 # DEPENDENCYPART_ARC
(0,11),-7.50675 # DEPENDENCYPART_ARC
(0,12),-6.70417 # DEPENDENCYPART_ARC
(0,13),-7.36931 # DEPENDENCYPART_ARC
(0,14),-7.57795 # DEPENDENCYPART_ARC
(0,15),-8.33218 # DEPENDENCYPART_ARC
(0,16),-7.35487 # DEPENDENCYPART_ARC
(0,17),-6.33356 # DEPENDENCYPART_ARC
(0,18),-5.59828 # DEPENDENCYPART_ARC
(1,2),-0.866396 # DEPENDENCYPART_ARC
(1,3),-0.939868 # DEPENDENCYPART_ARC
(1,4),-2.75908 # DEPENDENCYPART_ARC
(1,5),-1.8771 # DEPENDENCYPART_ARC
(1,6),-1.87571 # DEPENDENCYPART_ARC
(1,7),-1.74226 # DEPENDENCYPART_ARC
(1,8),-2.17764 # DEPENDENCYPART_ARC
(1,9),-2.54062 # DEPENDENCYPART_ARC
(1,10),-3.09669 # DEPENDENCYPART_ARC
(1,11),-3.54216 # DEPENDENCYPART_ARC
(1,12),-3.29305 # DEPENDENCYPART_ARC
(1,13),-2.15309 # DEPENDENCYPART_ARC
(1,14),-3.49111 # DEPENDENCYPART_ARC
(1,15),-4.20648 # DEPENDENCYPART_ARC
(1,16),-3.78114 # DEPENDENCYPART_ARC
(1,17),-3.84967 # DEPENDENCYPART_ARC
(1,18),-2.6898 # DEPENDENCYPART_ARC
(2,1),5.17338 # DEPENDENCYPART_ARC
(2,3),1.44899 # DEPENDENCYPART_ARC
(2,4),0.478218 # DEPENDENCYPART_ARC
(2,5),0.601314 # DEPENDENCYPART_ARC
(2,6),-0.00723929 # DEPENDENCYPART_ARC
(2,7),0.675945 # DEPENDENCYPART_ARC
(2,8),0.215571 # DEPENDENCYPART_ARC
(2,9),-0.496626 # DEPENDENCYPART_ARC
(2,10),-0.980584 # DEPENDENCYPART_ARC
(2,11),-0.361566 # DEPENDENCYPART_ARC
(2,12),-0.84522 # DEPENDENCYPART_ARC
(2,13),0.264558 # DEPENDENCYPART_ARC
(2,14),-0.178247 # DEPENDENCYPART_ARC
(2,15),-1.20422 # DEPENDENCYPART_ARC
(2,16),-1.09464 # DEPENDENCYPART_ARC
(2,17),-1.34093 # DEPENDENCYPART_ARC
(2,18),-0.159073 # DEPENDENCYPART_ARC
(3,1),0.940164 # DEPENDENCYPART_ARC
(3,2),3.01265 # DEPENDENCYPART_ARC
(3,4),2.76603 # DEPENDENCYPART_ARC
(3,5),1.4317 # DEPENDENCYPART_ARC
(3,6),1.18654 # DEPENDENCYPART_ARC
(3,7),1.35575 # DEPENDENCYPART_ARC
(3,8),0.0611552 # DEPENDENCYPART_ARC
(3,9),-0.152071 # DEPENDENCYPART_ARC
(3,10),0.236892 # DEPENDENCYPART_ARC
(3,11),-0.351672 # DEPENDENCYPART_ARC
(3,12),0.249101 # DEPENDENCYPART_ARC
(3,13),1.6785 # DEPENDENCYPART_ARC
(3,14),2.03613 # DEPENDENCYPART_ARC
(3,15),-1.09274 # DEPENDENCYPART_ARC
(3,16),-0.4612 # DEPENDENCYPART_ARC
(3,17),0.249036 # DEPENDENCYPART_ARC
(3,18),4.91324 # DEPENDENCYPART_ARC
(4,1),1.59486 # DEPENDENCYPART_ARC
(4,2),0.576047 # DEPENDENCYPART_ARC
(4,3),1.0108 # DEPENDENCYPART_ARC
(4,5),4.33784 # DEPENDENCYPART_ARC
(4,6),3.9239 # DEPENDENCYPART_ARC
(4,7),3.78283 # DEPENDENCYPART_ARC
(4,8),3.00084 # DEPENDENCYPART_ARC
(4,9),0.0707395 # DEPENDENCYPART_ARC
(4,10),-0.363258 # DEPENDENCYPART_ARC
(4,11),0.51387 # DEPENDENCYPART_ARC
(4,12),0.501666 # DEPENDENCYPART_ARC
(4,13),2.24179 # DEPENDENCYPART_ARC
(4,14),0.285562 # DEPENDENCYPART_ARC
(4,15),-0.373371 # DEPENDENCYPART_ARC
(4,16),-0.309541 # DEPENDENCYPART_ARC
(4,17),-0.390361 # DEPENDENCYPART_ARC
(4,18),0.0411254 # DEPENDENCYPART_ARC
(5,1),-1.02301 # DEPENDENCYPART_ARC
(5,2),-1.93794 # DEPENDENCYPART_ARC
(5,3),-1.46242 # DEPENDENCYPART_ARC
(5,4),-0.646957 # DEPENDENCYPART_ARC
(5,6),1.58473 # DEPENDENCYPART_ARC
(5,7),-0.456346 # DEPENDENCYPART_ARC
(5,8),-0.0908864 # DEPENDENCYPART_ARC
(5,9),-0.61383 # DEPENDENCYPART_ARC
(5,10),-1.22778 # DEPENDENCYPART_ARC
(5,11),-1.30779 # DEPENDENCYPART_ARC
(5,12),-1.50299 # DEPENDENCYPART_ARC
(5,13),-0.248652 # DEPENDENCYPART_ARC
(5,14),-1.35464 # DEPENDENCYPART_ARC
(5,15),-1.8538 # DEPENDENCYPART_ARC
(5,16),-1.66649 # DEPENDENCYPART_ARC
(5,17),-2.07455 # DEPENDENCYPART_ARC
(5,18),-0.789061 # DEPENDENCYPART_ARC
(6,1),0.195625 # DEPENDENCYPART_ARC
(6,2),-0.885029 # DEPENDENCYPART_ARC
(6,3),-0.41632 # DEPENDENCYPART_ARC
(6,4),0.341627 # DEPENDENCYPART_ARC
(6,5),1.81082 # DEPENDENCYPART_ARC
(6,7),0.0557943 # DEPENDENCYPART_ARC
(6,8),0.245764 # DEPENDENCYPART_ARC
