# _root_ `` When it goes , you never know when you 'll get it back , '' he said .
#goldHeads=18,4,4,8,8,8,8,18,12,11,8,11,12,12,18,18,18,0,18,
#predictedHeads=18,4,4,18,8,8,8,4,12,11,8,11,12,12,18,18,18,0,18,
(0,1),-6.35437 # DEPENDENCYPART_ARC
(0,2),-5.76262 # DEPENDENCYPART_ARC
(0,3),-5.48599 # DEPENDENCYPART_ARC
(0,4),-4.46072 # DEPENDENCYPART_ARC
(0,5),-6.58354 # DEPENDENCYPART_ARC
(0,6),-5.35762 # DEPENDENCYPART_ARC
(0,7),-6.63375 # DEPENDENCYPART_ARC
(0,8),-4.4934 # DEPENDENCYPART_ARC
(0,9),-5.90062 # DEPENDENCYPART_ARC
(0,10),-5.60865 # DEPENDENCYPART_ARC
(0,11),-5.51983 # DEPENDENCYPART_ARC
(0,12),-4.81155 # DEPENDENCYPART_ARC
(0,13),-5.79157 # DEPENDENCYPART_ARC
(0,14),-6.8592 # DEPENDENCYPART_ARC
(0,15),-7.22339 # DEPENDENCYPART_ARC
(0,16),-6.83002 # DEPENDENCYPART_ARC
(0,17),-3.34963 # DEPENDENCYPART_ARC
(0,18),-1.253 # DEPENDENCYPART_ARC
(0,19),-3.99283 # DEPENDENCYPART_ARC
(1,2),-1.99287 # DEPENDENCYPART_ARC
(1,3),-2.1762 # DEPENDENCYPART_ARC
(1,4),-2.12655 # DEPENDENCYPART_ARC
(1,5),-2.07309 # DEPENDENCYPART_ARC
(1,6),-2.89358 # DEPENDENCYPART_ARC
(1,7),-2.59801 # DEPENDENCYPART_ARC
(1,8),-3.15421 # DEPENDENCYPART_ARC
(1,9),-3.43568 # DEPENDENCYPART_ARC
(1,10),-3.18445 # DEPENDENCYPART_ARC
(1,11),-3.50604 # DEPENDENCYPART_ARC
(1,12),-3.37728 # DEPENDENCYPART_ARC
(1,13),-3.47191 # DEPENDENCYPART_ARC
(1,14),-3.34978 # DEPENDENCYPART_ARC
(1,15),-2.93476 # DEPENDENCYPART_ARC
(1,16),-1.7453 # DEPENDENCYPART_ARC
(1,17),-3.80432 # DEPENDENCYPART_ARC
(1,18),-3.79214 # DEPENDENCYPART_ARC
(1,19),-3.14199 # DEPENDENCYPART_ARC
(2,1),0.304886 # DEPENDENCYPART_ARC
(2,3),0.265039 # DEPENDENCYPART_ARC
(2,4),0.206724 # DEPENDENCYPART_ARC
(2,5),-0.0974888 # DEPENDENCYPART_ARC
(2,6),-1.04496 # DEPENDENCYPART_ARC
(2,7),-0.696418 # DEPENDENCYPART_ARC
(2,8),-1.02947 # DEPENDENCYPART_ARC
(2,9),-1.0337 # DEPENDENCYPART_ARC
(2,10),-1.56826 # DEPENDENCYPART_ARC
(2,11),-1.29566 # DEPENDENCYPART_ARC
(2,12),-0.862473 # DEPENDENCYPART_ARC
(2,13),-1.72674 # DEPENDENCYPART_ARC
(2,14),-1.53788 # DEPENDENCYPART_ARC
(2,15),-1.17621 # DEPENDENCYPART_ARC
(2,16),-0.685096 # DEPENDENCYPART_ARC
(2,17),-2.15568 # DEPENDENCYPART_ARC
(2,18),-1.42221 # DEPENDENCYPART_ARC
(2,19),0.0268061 # DEPENDENCYPART_ARC
(3,1),-0.925579 # DEPENDENCYPART_ARC
(3,2),0.466286 # DEPENDENCYPART_ARC
(3,4),1.11799 # DEPENDENCYPART_ARC
(3,5),-0.039177 # DEPENDENCYPART_ARC
(3,6),-0.429967 # DEPENDENCYPART_ARC
(3,7),-0.769672 # DEPENDENCYPART_ARC
(3,8),-0.707322 # DEPENDENCYPART_ARC
(3,9),-1.46236 # DEPENDENCYPART_ARC
(3,10),-0.884087 # DEPENDENCYPART_ARC
(3,11),-0.693235 # DEPENDENCYPART_ARC
(3,12),-1.91666 # DEPENDENCYPART_ARC
(3,13),-1.24873 # DEPENDENCYPART_ARC
(3,14),-1.58841 # DEPENDENCYPART_ARC
(3,15),-0.404221 # DEPENDENCYPART_ARC
(3,16),-1.12007 # DEPENDENCYPART_ARC
(3,17),-1.66626 # DEPENDENCYPART_ARC
(3,18),-1.35676 # DEPENDENCYPART_ARC
(3,19),-1.30847 # DEPENDENCYPART_ARC
(4,1),1.18509 # DEPENDENCYPART_ARC
(4,2),2.77577 # DEPENDENCYPART_ARC
(4,3),3.44469 # DEPENDENCYPART_ARC
(4,5),2.16002 # DEPENDENCYPART_ARC
(4,6),0.712914 # DEPENDENCYPART_ARC
(4,7),0.271255 # DEPENDENCYPART_ARC
(4,8),0.839334 # DEPENDENCYPART_ARC
(4,9),-1.44201 # DEPENDENCYPART_ARC
(4,10),-0.288463 # DEPENDENCYPART_ARC
(4,11),0.77551 # DEPENDENCYPART_ARC
(4,12),-0.0616956 # DEPENDENCYPART_ARC
(4,13),-0.772404 # DEPENDENCYPART_ARC
(4,14),-1.25605 # DEPENDENCYPART_ARC
(4,15),0.31462 # DEPENDENCYPART_ARC
(4,16),0.42213 # DEPENDENCYPART_ARC
(4,17),-1.50962 # DEPENDENCYPART_ARC
(4,18),-1.08814 # DEPENDENCYPART_ARC
(4,19),-0.601441 # DEPENDENCYPART_ARC
(5,1),-1.47359 # DEPENDENCYPART_ARC
(5,2),-0.498843 # DEPENDENCYPART_ARC
(5,3),-1.17881 # DEPENDENCYPART_ARC
(5,4),-0.956698 # DEPENDENCYPART_ARC
(5,6),-0.156355 # DEPENDENCYPART_ARC
(5,7),-0.814253 # DEPENDENCYPART_ARC
(5,8),-0.722237 # DEPENDENCYPART_ARC
(5,9),-1.62154 # DEPENDENCYPART_ARC
(5,10),-1.50499 # DEPENDENCYPART_ARC
(5,11),-1.30164 # DEPENDENCYPART_ARC
(5,12),-1.35451 # DEPENDENCYPART_ARC
(5,13),-1.78681 # DEPENDENCYPART_ARC
(5,14),-1.82913 # DEPENDENCYPART_ARC
(5,15),0.751738 # DEPENDENCYPART_ARC
(5,16),-1.1453 # DEPENDENCYPART_ARC
(5,17),-2.13905 # DEPENDENCYPART_ARC
(5,18),-1.85823 # DEPENDENCYPART_ARC
(5,19),-1.52798 # DEPENDENCYPART_ARC
(6,1),-1.28339 # DEPENDENCYPART_ARC
(6,2),-0.178956 # DEPENDENCYPART_ARC
(6,3),-0.696503 # DEPENDENCYPART_ARC
(6,4),-0.622961 # DEPENDENCYPART_ARC
(6,5),1.06823 # DEPENDENCYPART_ARC
(6,7),0.91413 # DEPENDENCYPART_ARC
(6,8),0.857737 # DEPENDENCYPART_ARC
(6,9),-0.384156 # DEPENDENCYPART_ARC
(6,10),0.211451 # DEPENDENCYPART_ARC
(6,11),-0.0438176 # DEPENDENCYPART_ARC
(6,12),-0.909563 # DEPENDENCYPART_ARC
(6,13),-0.0901444 # DEPENDENCYPART_ARC
(6,14),-0.615321 # DEPENDENCYPART_ARC
(6,15),0.801265 # DEPENDENCYPART_ARC
(6,16),-0.219831 # DEPENDENCYPART_ARC
(6,17),-0.470924 # DEPENDENCYPART_ARC
(6,18),-0.431048 # DEPENDENCYPART_ARC
(6,19),-0.298869 # DEPENDENCYPART_ARC
(7,1),-1.3226 # DEPENDENCYPART_ARC
(7,2),-0.331683 # DEPENDENCYPART_ARC
(7,3),-1.40744 # DEPENDENCYPART_ARC
(7,4),-1.10493 # DEPENDENCYPART_ARC
(7,5),-0.0365081 # DEPENDENCYPART_ARC
(7,6),0.485671 # DEPENDENCYPART_ARC
(7,8),0.543861 # DEPENDENCYPART_ARC
(7,9),-1.24745 # DEPENDENCYPART_ARC
(7,10),-0.908084 # DEPENDENCYPART_ARC
(7,11),-0.860636 # DEPENDENCYPART_ARC
(7,12),-1.4655 # DEPENDENCYPART_ARC
(7,13),-1.55033 # DEPENDENCYPART_ARC
(7,14),-1.65475 # DEPENDENCYPART_ARC
(7,15),-0.819785 # DEPENDENCYPART_ARC
(7,16),-0.980612 # DEPENDENCYPART_ARC
(7,17),-1.87042 # DEPENDENCYPART_ARC
(7,18),-1.65181 # DEPENDENCYPART_ARC
(7,19),0.160901 # DEPENDENCYPART_ARC
(8,1),1.8547 # DEPENDENCYPART_ARC
(8,2),1.76063 # DEPENDENCYPART_ARC
(8,3),0.741198 # DEPENDENCYPART_ARC
(8,4),0.965512 # DEPENDENCYPART_ARC
(8,5),2.86298 # DEPENDENCYPART_ARC
(8,6),3.13824 # DEPENDENCYPART_ARC
(8,7),3.3559 # DEPENDENCYPART_ARC
(8,9),1.00207 # DEPENDENCYPART_ARC
(8,10),1.31423 # DEPENDENCYPART_ARC
(8,11),1.84581 # DEPENDENCYPART_ARC
(8,12),1.02501 # DEPENDENCYPART_ARC
(8,13),0.210568 # DEPENDENCYPART_ARC
(8,14),0.619189 # DEPENDENCYPART_ARC
(8,15),1.88043 # DEPENDENCYPART_ARC
(8,16),1.31913 # DEPENDENCYPART_ARC
(8,17),-0.401251 # DEPENDENCYPART_ARC
(8,18),-0.147376 # DEPENDENCYPART_ARC
(8,19),3.33287 # DEPENDENCYPART_ARC
(9,1),-1.57013 # DEPENDENCYPART_ARC
(9,2),-0.766033 # DEPENDENCYPART_ARC
(9,3),-1.52568 # DEPENDENCYPART_ARC
(9,4),-1.41233 # DEPENDENCYPART_ARC
(9,5),-0.466237 # DEPENDENCYPART_ARC
(9,6),-0.714425 # DEPENDENCYPART_ARC
(9,7),0.216417 # DEPENDENCYPART_ARC
(9,8),-0.224381 # DEPENDENCYPART_ARC
(9,10),0.392535 # DEPENDENCYPART_ARC
(9,11),0.307907 # DEPENDENCYPART_ARC
(9,12),0.256497 # DEPENDENCYPART_ARC
(9,13),-0.987777 # DEPENDENCYPART_ARC
(9,14),-0.627175 # DEPENDENCYPART_ARC
(9,15),-0.349467 # DEPENDENCYPART_ARC
(9,16),-0.046393 # DEPENDENCYPART_ARC
(9,17),-1.4687 # DEPENDENCYPART_ARC
(9,18),-0.739425 # DEPENDENCYPART_ARC
(9,19),0.380371 # DEPENDENCYPART_ARC
(10,1),-2.63599 # DEPENDENCYPART_ARC
(10,2),-1.83868 # DEPENDENCYPART_ARC
(10,3),-2.44026 # DEPENDENCYPART_ARC
(10,4),-2.15315 # DEPENDENCYPART_ARC
(10,5),-1.18383 # DEPENDENCYPART_ARC
(10,6),-1.80527 # DEPENDENCYPART_ARC
(10,7),-1.60318 # DEPENDENCYPART_ARC
(10,8),-1.46656 # DEPENDENCYPART_ARC
(10,9),0.194023 # DEPENDENCYPART_ARC
(10,11),0.623479 # DEPENDENCYPART_ARC
(10,12),-0.464003 # DEPENDENCYPART_ARC
(10,13),-0.174246 # DEPENDENCYPART_ARC
(10,14),-0.724743 # DEPENDENCYPART_ARC
(10,15),0.134114 # DEPENDENCYPART_ARC
(10,16),-0.408133 # DEPENDENCYPART_ARC
(10,17),-0.672564 # DEPENDENCYPART_ARC
(10,18),-0.751757 # DEPENDENCYPART_ARC
(10,19),-0.678905 # DEPENDENCYPART_ARC
(11,1),-0.500933 # DEPENDENCYPART_ARC
(11,2),0.355995 # DEPENDENCYPART_ARC
(11,3),-0.541152 # DEPENDENCYPART_ARC
(11,4),0.192671 # DEPENDENCYPART_ARC
(11,5),0.869522 # DEPENDENCYPART_ARC
(11,6),0.622611 # DEPENDENCYPART_ARC
(11,7),0.485256 # DEPENDENCYPART_ARC
(11,8),-0.0876208 # DEPENDENCYPART_ARC
(11,9),1.51313 # DEPENDENCYPART_ARC
(11,10),3.53017 # DEPENDENCYPART_ARC
(11,12),3.80762 # DEPENDENCYPART_ARC
(11,13),0.450759 # DEPENDENCYPART_ARC
(11,14),0.100256 # DEPENDENCYPART_ARC
(11,15),0.958247 # DEPENDENCYPART_ARC
(11,16),0.485823 # DEPENDENCYPART_ARC
(11,17),-0.265161 # DEPENDENCYPART_ARC
(11,18),-0.0335814 # DEPENDENCYPART_ARC
(11,19),2.15956 # DEPENDENCYPART_ARC
(12,1),-0.942004 # DEPENDENCYPART_ARC
(12,2),-0.00665825 # DEPENDENCYPART_ARC
(12,3),-0.758459 # DEPENDENCYPART_ARC
(12,4),-0.409145 # DEPENDENCYPART_ARC
(12,5),0.394924 # DEPENDENCYPART_ARC
(12,6),-0.127707 # DEPENDENCYPART_ARC
(12,7),-0.106202 # DEPENDENCYPART_ARC
(12,8),-0.109405 # DEPENDENCYPART_ARC
(12,9),2.58386 # DEPENDENCYPART_ARC
(12,10),1.25996 # DEPENDENCYPART_ARC
(12,11),0.813992 # DEPENDENCYPART_ARC
(12,13),3.78888 # DEPENDENCYPART_ARC
(12,14),3.88659 # DEPENDENCYPART_ARC
(12,15),2.03641 # DEPENDENCYPART_ARC
(12,16),1.63225 # DEPENDENCYPART_ARC
(12,17),1.16784 # DEPENDENCYPART_ARC
(12,18),0.695129 # DEPENDENCYPART_ARC
(12,19),0.621785 # DEPENDENCYPART_ARC
(13,1),-2.23268 # DEPENDENCYPART_ARC
(13,2),-1.52773 # DEPENDENCYPART_ARC
(13,3),-2.08358 # DEPENDENCYPART_ARC
(13,4),-1.85109 # DEPENDENCYPART_ARC
(13,5),-0.963644 # DEPENDENCYPART_ARC
(13,6),-1.76285 # DEPENDENCYPART_ARC
(13,7),-1.85719 # DEPENDENCYPART_ARC
(13,8),-1.58476 # DEPENDENCYPART_ARC
(13,9),-0.266395 # DEPENDENCYPART_ARC
(13,10),-0.783942 # DEPENDENCYPART_ARC
(13,11),-0.613439 # DEPENDENCYPART_ARC
(13,12),0.148 # DEPENDENCYPART_ARC
(13,14),0.743977 # DEPENDENCYPART_ARC
(13,15),0.215559 # DEPENDENCYPART_ARC
(13,16),0.213955 # DEPENDENCYPART_ARC
(13,17),-0.238823 # DEPENDENCYPART_ARC
(13,18),0.162158 # DEPENDENCYPART_ARC
(13,19),-0.0399335 # DEPENDENCYPART_ARC
(14,1),-1.90221 # DEPENDENCYPART_ARC
(14,2),-1.16662 # DEPENDENCYPART_ARC
(14,3),-2.10064 # DEPENDENCYPART_ARC
(14,4),-1.84329 # DEPENDENCYPART_ARC
(14,5),-1.00765 # DEPENDENCYPART_ARC
(14,6),-1.62105 # DEPENDENCYPART_ARC
(14,7),-1.40036 # DEPENDENCYPART_ARC
(14,8),-1.35229 # DEPENDENCYPART_ARC
(14,9),-0.106944 # DEPENDENCYPART_ARC
(14,10),-0.962117 # DEPENDENCYPART_ARC
(14,11),-0.761825 # DEPENDENCYPART_ARC
(14,12),-0.238985 # DEPENDENCYPART_ARC
(14,13),0.735917 # DEPENDENCYPART_ARC
(14,15),0.850842 # DEPENDENCYPART_ARC
(14,16),0.577058 # DEPENDENCYPART_ARC
(14,17),0.128661 # DEPENDENCYPART_ARC
(14,18),0.18854 # DEPENDENCYPART_ARC
(14,19),0.407621 # DEPENDENCYPART_ARC
(15,1),-2.63059 # DEPENDENCYPART_ARC
(15,2),-2.07407 # DEPENDENCYPART_ARC
(15,3),-2.91997 # DEPENDENCYPART_ARC
(15,4),-2.60105 # DEPENDENCYPART_ARC
(15,5),-1.24281 # DEPENDENCYPART_ARC
(15,6),-2.61747 # DEPENDENCYPART_ARC
(15,7),-2.92252 # DEPENDENCYPART_ARC
(15,8),-2.41448 # DEPENDENCYPART_ARC
(15,9),-1.25627 # DEPENDENCYPART_ARC
(15,10),-2.20571 # DEPENDENCYPART_ARC
(15,11),-2.21109 # DEPENDENCYPART_ARC
(15,12),-1.59815 # DEPENDENCYPART_ARC
(15,13),-1.25778 # DEPENDENCYPART_ARC
(15,14),-1.23251 # DEPENDENCYPART_ARC
(15,16),0.397006 # DEPENDENCYPART_ARC
(15,17),-0.729755 # DEPENDENCYPART_ARC
(15,18),-0.535978 # DEPENDENCYPART_ARC
(15,19),-0.917226 # DEPENDENCYPART_ARC
(16,1),0.473373 # DEPENDENCYPART_ARC
(16,2),-1.87095 # DEPENDENCYPART_ARC
(16,3),-2.48138 # DEPENDENCYPART_ARC
(16,4),-2.08509 # DEPENDENCYPART_ARC
(16,5),-1.71338 # DEPENDENCYPART_ARC
(16,6),-2.16324 # DEPENDENCYPART_ARC
(16,7),-2.30558 # DEPENDENCYPART_ARC
(16,8),-1.91762 # DEPENDENCYPART_ARC
(16,9),-0.996536 # DEPENDENCYPART_ARC
(16,10),-1.70123 # DEPENDENCYPART_ARC
(16,11),-1.2904 # DEPENDENCYPART_ARC
(16,12),-1.28555 # DEPENDENCYPART_ARC
(16,13),-0.92744 # DEPENDENCYPART_ARC
(16,14),-0.799646 # DEPENDENCYPART_ARC
(16,15),0.31226 # DEPENDENCYPART_ARC
(16,17),-0.00289257 # DEPENDENCYPART_ARC
(16,18),-0.0475982 # DEPENDENCYPART_ARC
(16,19),-0.487627 # DEPENDENCYPART_ARC
(17,1),-2.43904 # DEPENDENCYPART_ARC
(17,2),-1.73308 # DEPENDENCYPART_ARC
(17,3),-2.37646 # DEPENDENCYPART_ARC
(17,4),-2.06288 # DEPENDENCYPART_ARC
(17,5),-0.815631 # DEPENDENCYPART_ARC
(17,6),-2.04369 # DEPENDENCYPART_ARC
(17,7),-2.15005 # DEPENDENCYPART_ARC
(17,8),-1.71743 # DEPENDENCYPART_ARC
(17,9),-0.90301 # DEPENDENCYPART_ARC
(17,10),-1.55312 # DEPENDENCYPART_ARC
(17,11),-1.44415 # DEPENDENCYPART_ARC
(17,12),-1.24508 # DEPENDENCYPART_ARC
(17,13),-0.918123 # DEPENDENCYPART_ARC
(17,14),-0.819112 # DEPENDENCYPART_ARC
(17,15),0.696834 # DEPENDENCYPART_ARC
(17,16),0.00192981 # DEPENDENCYPART_ARC
(17,18),1.28557 # DEPENDENCYPART_ARC
(17,19),-0.280189 # DEPENDENCYPART_ARC
(18,1),4.06576 # DEPENDENCYPART_ARC
(18,2),-1.88892 # DEPENDENCYPART_ARC
(18,3),-2.15195 # DEPENDENCYPART_ARC
(18,4),0.863767 # DEPENDENCYPART_ARC
(18,5),-0.753672 # DEPENDENCYPART_ARC
(18,6),-1.0541 # DEPENDENCYPART_ARC
(18,7),-1.02522 # DEPENDENCYPART_ARC
(18,8),0.57193 # DEPENDENCYPART_ARC
(18,9),0.451925 # DEPENDENCYPART_ARC
(18,10),-0.417379 # DEPENDENCYPART_ARC
(18,11),1.40738 # DEPENDENCYPART_ARC
(18,12),0.326046 # DEPENDENCYPART_ARC
(18,13),0.812107 # DEPENDENCYPART_ARC
(18,14),0.190545 # DEPENDENCYPART_ARC
(18,15),3.85606 # DEPENDENCYPART_ARC
(18,16),3.76822 # DEPENDENCYPART_ARC
(18,17),4.16465 # DEPENDENCYPART_ARC
(18,19),7.11753 # DEPENDENCYPART_ARC
(19,1),-2.43576 # DEPENDENCYPART_ARC
(19,2),-2.19579 # DEPENDENCYPART_ARC
(19,3),-1.81092 # DEPENDENCYPART_ARC
(19,4),-2.12155 # DEPENDENCYPART_ARC
(19,5),-1.2256 # DEPENDENCYPART_ARC
(19,6),-1.82443 # DEPENDENCYPART_ARC
(19,7),-2.0816 # DEPENDENCYPART_ARC
(19,8),-1.8404 # DEPENDENCYPART_ARC
(19,9),-1.45927 # DEPENDENCYPART_ARC
(19,10),-1.62749 # DEPENDENCYPART_ARC
(19,11),-1.36864 # DEPENDENCYPART_ARC
(19,12),-1.74632 # DEPENDENCYPART_ARC
(19,13),-1.18312 # DEPENDENCYPART_ARC
(19,14),-1.57303 # DEPENDENCYPART_ARC
(19,15),-0.495371 # DEPENDENCYPART_ARC
(19,16),-1.12938 # DEPENDENCYPART_ARC
(19,17),-0.925655 # DEPENDENCYPART_ARC
(19,18),-1.00176 # DEPENDENCYPART_ARC
