# _root_ Two years ago when the NAHB lobbied for the $ 19 billion omnibus housing bill , the organization `` basically dropped out of the taxpayers ' coalition , '' says Ms. MacDonald .
#goldHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,22,25,27,25,23,30,30,0,32,30,30,
#predictedHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,21,25,27,25,23,30,30,0,32,30,30,
(0,1),-6.48974 # DEPENDENCYPART_ARC
(0,2),-6.36046 # DEPENDENCYPART_ARC
(0,3),-6.69921 # DEPENDENCYPART_ARC
(0,4),-5.97051 # DEPENDENCYPART_ARC
(0,5),-7.30776 # DEPENDENCYPART_ARC
(0,6),-5.89299 # DEPENDENCYPART_ARC
(0,7),-4.19792 # DEPENDENCYPART_ARC
(0,8),-7.34187 # DEPENDENCYPART_ARC
(0,9),-7.51551 # DEPENDENCYPART_ARC
(0,10),-8.3522 # DEPENDENCYPART_ARC
(0,11),-8.19973 # DEPENDENCYPART_ARC
(0,12),-8.39904 # DEPENDENCYPART_ARC
(0,13),-5.78818 # DEPENDENCYPART_ARC
(0,14),-5.87829 # DEPENDENCYPART_ARC
(0,15),-6.12927 # DEPENDENCYPART_ARC
(0,16),-7.95689 # DEPENDENCYPART_ARC
(0,17),-8.58171 # DEPENDENCYPART_ARC
(0,18),-6.43614 # DEPENDENCYPART_ARC
(0,19),-7.95976 # DEPENDENCYPART_ARC
(0,20),-8.29186 # DEPENDENCYPART_ARC
(0,21),-5.55467 # DEPENDENCYPART_ARC
(0,22),-7.67285 # DEPENDENCYPART_ARC
(0,23),-9.53891 # DEPENDENCYPART_ARC
(0,24),-9.41223 # DEPENDENCYPART_ARC
(0,25),-7.22505 # DEPENDENCYPART_ARC
(0,26),-8.6967 # DEPENDENCYPART_ARC
(0,27),-7.03149 # DEPENDENCYPART_ARC
(0,28),-9.88812 # DEPENDENCYPART_ARC
(0,29),-8.04794 # DEPENDENCYPART_ARC
(0,30),0.294711 # DEPENDENCYPART_ARC
(0,31),-8.58954 # DEPENDENCYPART_ARC
(0,32),-8.13818 # DEPENDENCYPART_ARC
(0,33),-4.65761 # DEPENDENCYPART_ARC
(1,2),0.684937 # DEPENDENCYPART_ARC
(1,3),-0.309873 # DEPENDENCYPART_ARC
(1,4),-1.01632 # DEPENDENCYPART_ARC
(1,5),-1.04558 # DEPENDENCYPART_ARC
(1,6),-0.661484 # DEPENDENCYPART_ARC
(1,7),0.0702983 # DEPENDENCYPART_ARC
(1,8),-1.00411 # DEPENDENCYPART_ARC
(1,9),-1.34481 # DEPENDENCYPART_ARC
(1,10),-1.28924 # DEPENDENCYPART_ARC
(1,11),-1.42764 # DEPENDENCYPART_ARC
(1,12),-1.46182 # DEPENDENCYPART_ARC
(1,13),-1.40255 # DEPENDENCYPART_ARC
(1,14),-1.40777 # DEPENDENCYPART_ARC
(1,15),-1.73143 # DEPENDENCYPART_ARC
(1,16),-0.659776 # DEPENDENCYPART_ARC
(1,17),-2.16359 # DEPENDENCYPART_ARC
(1,18),-1.63846 # DEPENDENCYPART_ARC
(1,19),-1.99367 # DEPENDENCYPART_ARC
(1,20),-2.18876 # DEPENDENCYPART_ARC
(1,21),-1.67076 # DEPENDENCYPART_ARC
(1,22),-2.33589 # DEPENDENCYPART_ARC
(1,23),-3.70736 # DEPENDENCYPART_ARC
(1,24),-3.00774 # DEPENDENCYPART_ARC
(1,25),-2.19461 # DEPENDENCYPART_ARC
(1,26),-2.32705 # DEPENDENCYPART_ARC
(1,27),-2.70115 # DEPENDENCYPART_ARC
(1,28),-2.02786 # DEPENDENCYPART_ARC
(1,29),-2.57478 # DEPENDENCYPART_ARC
(1,30),-2.61446 # DEPENDENCYPART_ARC
(1,31),-2.7322 # DEPENDENCYPART_ARC
(1,32),-2.56324 # DEPENDENCYPART_ARC
(1,33),-2.56031 # DEPENDENCYPART_ARC
(2,1),4.05329 # DEPENDENCYPART_ARC
(2,3),1.41382 # DEPENDENCYPART_ARC
(2,4),-0.428173 # DEPENDENCYPART_ARC
(2,5),-0.188799 # DEPENDENCYPART_ARC
(2,6),-0.0840416 # DEPENDENCYPART_ARC
(2,7),0.309373 # DEPENDENCYPART_ARC
(2,8),0.025144 # DEPENDENCYPART_ARC
(2,9),-0.782098 # DEPENDENCYPART_ARC
(2,10),-1.51574 # DEPENDENCYPART_ARC
(2,11),-0.400087 # DEPENDENCYPART_ARC
(2,12),-0.343353 # DEPENDENCYPART_ARC
(2,13),-1.24509 # DEPENDENCYPART_ARC
(2,14),-1.11374 # DEPENDENCYPART_ARC
(2,15),-1.49738 # DEPENDENCYPART_ARC
(2,16),0.155571 # DEPENDENCYPART_ARC
(2,17),-1.28629 # DEPENDENCYPART_ARC
(2,18),-1.80234 # DEPENDENCYPART_ARC
(2,19),-1.04231 # DEPENDENCYPART_ARC
