# _root_ Ten minutes later , the Dow hit bottom - down 63.52 points , another 2.5 % .
#goldHeads=2,3,7,7,6,7,0,7,7,7,12,10,12,16,14,12,7,
#predictedHeads=2,3,7,7,6,7,0,7,8,7,12,10,12,16,16,10,7,
(0,1),-6.46292 # DEPENDENCYPART_ARC
(0,2),-6.23517 # DEPENDENCYPART_ARC
(0,3),-5.19105 # DEPENDENCYPART_ARC
(0,4),-6.51045 # DEPENDENCYPART_ARC
(0,5),-7.36152 # DEPENDENCYPART_ARC
(0,6),-5.99547 # DEPENDENCYPART_ARC
(0,7),-3.75742 # DEPENDENCYPART_ARC
(0,8),-5.12107 # DEPENDENCYPART_ARC
(0,9),-6.71971 # DEPENDENCYPART_ARC
(0,10),-7.72544 # DEPENDENCYPART_ARC
(0,11),-8.22524 # DEPENDENCYPART_ARC
(0,12),-5.78381 # DEPENDENCYPART_ARC
(0,13),-7.33897 # DEPENDENCYPART_ARC
(0,14),-7.83286 # DEPENDENCYPART_ARC
(0,15),-8.67441 # DEPENDENCYPART_ARC
(0,16),-6.74589 # DEPENDENCYPART_ARC
(0,17),-5.38744 # DEPENDENCYPART_ARC
(1,2),0.699631 # DEPENDENCYPART_ARC
(1,3),-0.130703 # DEPENDENCYPART_ARC
(1,4),0.47995 # DEPENDENCYPART_ARC
(1,5),-0.904041 # DEPENDENCYPART_ARC
(1,6),-0.500795 # DEPENDENCYPART_ARC
(1,7),-0.00103316 # DEPENDENCYPART_ARC
(1,8),-0.781752 # DEPENDENCYPART_ARC
(1,9),0.0775062 # DEPENDENCYPART_ARC
(1,10),-0.734899 # DEPENDENCYPART_ARC
(1,11),-1.07139 # DEPENDENCYPART_ARC
(1,12),-1.39385 # DEPENDENCYPART_ARC
(1,13),-0.489314 # DEPENDENCYPART_ARC
(1,14),-1.54669 # DEPENDENCYPART_ARC
(1,15),-1.55427 # DEPENDENCYPART_ARC
(1,16),-1.98331 # DEPENDENCYPART_ARC
(1,17),-0.742732 # DEPENDENCYPART_ARC
(2,1),3.69616 # DEPENDENCYPART_ARC
(2,3),0.843495 # DEPENDENCYPART_ARC
(2,4),0.632058 # DEPENDENCYPART_ARC
(2,5),0.528658 # DEPENDENCYPART_ARC
(2,6),0.578362 # DEPENDENCYPART_ARC
(2,7),0.926133 # DEPENDENCYPART_ARC
(2,8),0.479517 # DEPENDENCYPART_ARC
(2,9),1.2483 # DEPENDENCYPART_ARC
(2,10),0.359952 # DEPENDENCYPART_ARC
(2,11),-0.0630099 # DEPENDENCYPART_ARC
(2,12),0.613428 # DEPENDENCYPART_ARC
(2,13),-0.488938 # DEPENDENCYPART_ARC
(2,14),-0.131044 # DEPENDENCYPART_ARC
(2,15),-0.650474 # DEPENDENCYPART_ARC
(2,16),-0.562766 # DEPENDENCYPART_ARC
(2,17),1.16435 # DEPENDENCYPART_ARC
(3,1),1.45028 # DEPENDENCYPART_ARC
(3,2),3.21116 # DEPENDENCYPART_ARC
(3,4),1.85171 # DEPENDENCYPART_ARC
(3,5),0.936656 # DEPENDENCYPART_ARC
(3,6),1.78166 # DEPENDENCYPART_ARC
(3,7),1.57452 # DEPENDENCYPART_ARC
(3,8),0.492392 # DEPENDENCYPART_ARC
(3,9),1.07582 # DEPENDENCYPART_ARC
(3,10),0.459984 # DEPENDENCYPART_ARC
(3,11),-0.0781017 # DEPENDENCYPART_ARC
(3,12),0.0173637 # DEPENDENCYPART_ARC
(3,13),0.530572 # DEPENDENCYPART_ARC
(3,14),-0.431695 # DEPENDENCYPART_ARC
(3,15),-0.423746 # DEPENDENCYPART_ARC
(3,16),-0.662154 # DEPENDENCYPART_ARC
(3,17),2.46477 # DEPENDENCYPART_ARC
(4,1),-1.26857 # DEPENDENCYPART_ARC
(4,2),-1.74555 # DEPENDENCYPART_ARC
