# _root_ The FHA alone lost $ 4.2 billion in fiscal 1988 ; the government 's equity in the agency , essentially its reserve fund , fell to minus $ 2.9 billion .
#goldHeads=2,4,2,0,4,5,5,4,10,8,4,13,15,13,25,15,18,16,15,23,23,23,15,15,4,25,28,26,28,28,4,
#predictedHeads=2,4,4,0,4,5,5,5,10,8,4,13,15,13,4,15,18,16,4,23,23,23,18,18,4,25,28,26,28,28,25,
(0,1),-6.20509 # DEPENDENCYPART_ARC
(0,2),-5.87112 # DEPENDENCYPART_ARC
(0,3),-6.12296 # DEPENDENCYPART_ARC
(0,4),-3.23153 # DEPENDENCYPART_ARC
(0,5),-7.45005 # DEPENDENCYPART_ARC
(0,6),-7.64089 # DEPENDENCYPART_ARC
(0,7),-7.93895 # DEPENDENCYPART_ARC
(0,8),-7.19265 # DEPENDENCYPART_ARC
(0,9),-7.11128 # DEPENDENCYPART_ARC
(0,10),-8.17342 # DEPENDENCYPART_ARC
(0,11),-6.36564 # DEPENDENCYPART_ARC
(0,12),-7.78985 # DEPENDENCYPART_ARC
(0,13),-7.39907 # DEPENDENCYPART_ARC
(0,14),-8.54794 # DEPENDENCYPART_ARC
(0,15),-7.12876 # DEPENDENCYPART_ARC
(0,16),-8.32809 # DEPENDENCYPART_ARC
(0,17),-8.53798 # DEPENDENCYPART_ARC
(0,18),-7.72495 # DEPENDENCYPART_ARC
(0,19),-8.46028 # DEPENDENCYPART_ARC
(0,20),-8.3613 # DEPENDENCYPART_ARC
(0,21),-7.81702 # DEPENDENCYPART_ARC
(0,22),-7.29283 # DEPENDENCYPART_ARC
(0,23),-7.92557 # DEPENDENCYPART_ARC
(0,24),-9.41742 # DEPENDENCYPART_ARC
(0,25),-2.69121 # DEPENDENCYPART_ARC
(0,26),-9.16991 # DEPENDENCYPART_ARC
(0,27),-8.84337 # DEPENDENCYPART_ARC
(0,28),-10.2319 # DEPENDENCYPART_ARC
(0,29),-10.0696 # DEPENDENCYPART_ARC
(0,30),-10.2911 # DEPENDENCYPART_ARC
(0,31),-5.21511 # DEPENDENCYPART_ARC
(1,2),-0.444217 # DEPENDENCYPART_ARC
(1,3),-0.834612 # DEPENDENCYPART_ARC
(1,4),-0.331273 # DEPENDENCYPART_ARC
(1,5),-1.96461 # DEPENDENCYPART_ARC
(1,6),-0.946465 # DEPENDENCYPART_ARC
(1,7),-1.49923 # DEPENDENCYPART_ARC
(1,8),-1.27535 # DEPENDENCYPART_ARC
(1,9),-1.72814 # DEPENDENCYPART_ARC
(1,10),-1.69153 # DEPENDENCYPART_ARC
(1,11),-1.26242 # DEPENDENCYPART_ARC
(1,12),-2.80697 # DEPENDENCYPART_ARC
(1,13),-2.48275 # DEPENDENCYPART_ARC
(1,14),-2.77973 # DEPENDENCYPART_ARC
(1,15),-2.35453 # DEPENDENCYPART_ARC
(1,16),-2.7986 # DEPENDENCYPART_ARC
(1,17),-3.3124 # DEPENDENCYPART_ARC
(1,18),-2.89084 # DEPENDENCYPART_ARC
(1,19),-1.88994 # DEPENDENCYPART_ARC
(1,20),-2.88888 # DEPENDENCYPART_ARC
(1,21),-3.52695 # DEPENDENCYPART_ARC
(1,22),-3.29648 # DEPENDENCYPART_ARC
(1,23),-3.36888 # DEPENDENCYPART_ARC
(1,24),-2.85484 # DEPENDENCYPART_ARC
(1,25),-4.61653 # DEPENDENCYPART_ARC
(1,26),-3.34728 # DEPENDENCYPART_ARC
(1,27),-4.45638 # DEPENDENCYPART_ARC
(1,28),-4.886 # DEPENDENCYPART_ARC
(1,29),-4.04907 # DEPENDENCYPART_ARC
(1,30),-4.17811 # DEPENDENCYPART_ARC
(1,31),-2.7393 # DEPENDENCYPART_ARC
(2,1),3.65421 # DEPENDENCYPART_ARC
